Municipality,November 2016 Labor Force,November 2016 Unemployed,November 2016 Unemp Rate
"EAST HARTFORD",2.7342000000000000e+04,1.3030000000000000e+03,4.7655621388340286e-02
"EAST HAVEN",1.5798000000000000e+04,6.7400000000000000e+02,4.2663628307380679e-02
"EAST LYME",8.5500000000000000e+03,2.7900000000000000e+02,3.2631578947368421e-02
"EAST WINDSOR",6.5800000000000000e+03,2.6200000000000000e+02,3.9817629179331307e-02
"EASTFORD",9.2700000000000000e+02,2.5000000000000000e+01,2.6968716289104640e-02
"EASTON",3.8610000000000000e+03,1.0100000000000000e+02,2.6159026159026159e-02
"ELLINGTON",9.0930000000000000e+03,2.6900000000000000e+02,2.9583195864951062e-02
"ENFIELD",2.3418000000000000e+04,9.7400000000000000e+02,4.1591937825604233e-02
"ESSEX",3.3370000000000000e+03,8.2000000000000000e+01,2.4572969733293377e-02
"FAIRFIELD",2.9042000000000000e+04,9.2200000000000000e+02,3.1747124853660214e-02
"FARMINGTON",1.4097000000000000e+04,3.5900000000000000e+02,2.5466411293182948e-02
"FRANKLIN",1.0550000000000000e+03,3.4000000000000000e+01,3.2227488151658767e-02
"GLASTONBURY",1.8923000000000000e+04,4.6700000000000000e+02,2.4678962109602073e-02
"GOSHEN",1.5950000000000000e+03,4.5000000000000000e+01,2.8213166144200628e-02
"GRANBY",6.7490000000000000e+03,1.6600000000000000e+02,2.4596236479478440e-02
"GREENWICH",2.8753000000000000e+04,7.8300000000000000e+02,2.7231941014850623e-02
"GRISWOLD",6.2590000000000000e+03,2.9300000000000000e+02,4.6812589870586355e-02
"GROTON",1.8359000000000000e+04,5.9400000000000000e+02,3.2354703415218691e-02
"GROTON (City of)",,,
"GUILFORD",1.2895000000000000e+04,3.1400000000000000e+02,2.4350523458704924e-02
"HADDAM",5.0270000000000000e+03,1.1700000000000000e+02,2.3274318679132683e-02
"HAMDEN",3.5231000000000000e+04,1.1830000000000000e+03,3.3578382674349296e-02
"HAMPTON",1.0280000000000000e+03,3.6000000000000000e+01,3.5019455252918288e-02
"HARTFORD",5.3349000000000000e+04,3.7820000000000000e+03,7.0891675570301224e-02
"HARTLAND",1.1390000000000000e+03,3.2000000000000000e+01,2.8094820017559263e-02
"HARWINTON",3.2130000000000000e+03,8.8000000000000000e+01,2.7388733271086211e-02
"HEBRON",5.4810000000000000e+03,1.4500000000000000e+02,2.6455026455026454e-02
"KENT",1.5240000000000000e+03,3.8000000000000000e+01,2.4934383202099737e-02
"KILLINGLY",9.6170000000000000e+03,4.2900000000000000e+02,4.4608505771030468e-02
"KILLINGWORTH",3.8320000000000000e+03,9.3000000000000000e+01,2.4269311064718163e-02
"LEBANON",4.0210000000000000e+03,1.3300000000000000e+02,3.3076349166873915e-02
"LEDYARD",7.8940000000000000e+03,2.2900000000000000e+02,2.9009374208259438e-02
"LISBON",2.3280000000000000e+03,9.6000000000000000e+01,4.1237113402061855e-02
"LITCHFIELD",4.7440000000000000e+03,1.2700000000000000e+02,2.6770657672849914e-02
"LYME",1.2020000000000000e+03,3.1000000000000000e+01,2.5790349417637273e-02
"MADISON",9.0600000000000000e+03,2.3000000000000000e+02,2.5386313465783666e-02
"MANCHESTER",3.2789000000000000e+04,1.2120000000000000e+03,3.6963615846777882e-02
"MANSFIELD",1.2521000000000000e+04,4.2000000000000000e+02,3.3543646673588369e-02
"MARLBOROUGH",3.5860000000000000e+03,9.4000000000000000e+01,2.6213050752928055e-02
"MERIDEN",3.2099000000000000e+04,1.5010000000000000e+03,4.6761581357674692e-02
"MIDDLEBURY",3.8350000000000000e+03,1.2200000000000000e+02,3.1812255541069104e-02
"MIDDLEFIELD",2.5190000000000000e+03,7.6000000000000000e+01,3.0170702659785630e-02
"MIDDLETOWN",2.6182000000000000e+04,9.3100000000000000e+02,3.5558780841799711e-02
"MILFORD",2.9755000000000000e+04,1.0570000000000000e+03,3.5523441438413711e-02
"MONROE",1.0200000000000000e+04,3.2800000000000000e+02,3.2156862745098040e-02
"MONTVILLE",9.2830000000000000e+03,3.5400000000000000e+02,3.8134223850048478e-02
"MORRIS",1.3940000000000000e+03,3.6000000000000000e+01,2.5824964131994262e-02
"NAUGATUCK",1.7231000000000000e+04,7.4300000000000000e+02,4.3119958214845336e-02
"NEW BRITAIN",3.6300000000000000e+04,1.8980000000000000e+03,5.2286501377410470e-02
"NEW CANAAN",8.3600000000000000e+03,2.4000000000000000e+02,2.8708133971291867e-02
"NEW FAIRFIELD",7.2640000000000000e+03,2.2700000000000000e+02,3.1250000000000000e-02
"NEW HARTFORD",3.9970000000000000e+03,1.2100000000000000e+02,3.0272704528396296e-02
"NEW HAVEN",6.3977000000000000e+04,3.2720000000000000e+03,5.1143379652062462e-02
"NEW LONDON",1.1879000000000000e+04,6.6100000000000000e+02,5.5644414513006148e-02
"NEW MILFORD",1.5417000000000000e+04,4.6400000000000000e+02,3.0096646558993318e-02
"NEWINGTON",1.7323000000000000e+04,5.4000000000000000e+02,3.1172429717716332e-02
"NEWTOWN",1.4352000000000000e+04,4.3800000000000000e+02,3.0518394648829432e-02
"NORFOLK",8.9800000000000000e+02,2.8000000000000000e+01,3.1180400890868598e-02
"NORTH BRANFORD",8.1960000000000000e+03,2.4600000000000000e+02,3.0014641288433383e-02
"NORTH CANAAN",1.7000000000000000e+03,6.1000000000000000e+01,3.5882352941176469e-02
"NORTH HAVEN",1.3374000000000000e+04,4.0500000000000000e+02,3.0282637954239570e-02
"NORTH STONINGTON",2.8590000000000000e+03,7.7000000000000000e+01,2.6932493878978662e-02
"NORWALK",5.0206000000000000e+04,1.6180000000000000e+03,3.2227223837788310e-02
"NORWICH",2.0072000000000000e+04,9.1700000000000000e+02,4.5685532084495814e-02
"OLD LYME",3.7270000000000000e+03,1.0000000000000000e+02,2.6831231553528307e-02
"OLD SAYBROOK",5.1050000000000000e+03,1.5500000000000000e+02,3.0362389813907934e-02
"ORANGE",7.2470000000000000e+03,1.9700000000000000e+02,2.7183662205050366e-02
"OXFORD",7.0660000000000000e+03,1.9900000000000000e+02,2.8163034248514011e-02
"PLAINFIELD",8.6860000000000000e+03,3.7500000000000000e+02,4.3172921943357125e-02
"PLAINVILLE",1.0440000000000000e+04,3.5800000000000000e+02,3.4291187739463602e-02
"PLYMOUTH",6.6930000000000000e+03,2.8700000000000000e+02,4.2880621544897655e-02
"POMFRET",2.4860000000000000e+03,5.7000000000000000e+01,2.2928399034593726e-02
"PORTLAND",5.5030000000000000e+03,1.8500000000000000e+02,3.3618026530983100e-02
"PRESTON",2.3910000000000000e+03,9.4000000000000000e+01,3.9314094521120869e-02
"PROSPECT",5.5120000000000000e+03,1.4700000000000000e+02,2.6669085631349784e-02
"PUTNAM",4.8690000000000000e+03,2.1000000000000000e+02,4.3130006161429452e-02
"REDDING",4.4780000000000000e+03,1.3300000000000000e+02,2.9700759267530148e-02
"RIDGEFIELD",1.1849000000000000e+04,3.2100000000000000e+02,2.7090893746307704e-02
"ROCKY HILL",1.1484000000000000e+04,3.0500000000000000e+02,2.6558690351793802e-02
"ROXBURY",1.3180000000000000e+03,2.8000000000000000e+01,2.1244309559939303e-02
"SALEM",2.1190000000000000e+03,8.7000000000000000e+01,4.1057102406795658e-02
"SALISBURY",1.7900000000000000e+03,4.3000000000000000e+01,2.4022346368715083e-02
"SCOTLAND",9.5000000000000000e+02,2.7000000000000000e+01,2.8421052631578948e-02
"SEYMOUR",8.9580000000000000e+03,3.5700000000000000e+02,3.9852645679839246e-02
"SHARON",1.4520000000000000e+03,2.8000000000000000e+01,1.9283746556473830e-02
"SHELTON",2.2060000000000000e+04,7.9500000000000000e+02,3.6038077969174978e-02
"SHERMAN",1.8760000000000000e+03,5.2000000000000000e+01,2.7718550106609809e-02
"SIMSBURY",1.3006000000000000e+04,3.2400000000000000e+02,2.4911579271105645e-02
"SOMERS",5.2180000000000000e+03,1.6700000000000000e+02,3.2004599463395934e-02
"SOUTH WINDSOR",1.4069000000000000e+04,4.1900000000000000e+02,2.9781789750515316e-02
"SOUTHBURY",8.8220000000000000e+03,3.1600000000000000e+02,3.5819542053956016e-02
"SOUTHINGTON",2.4327000000000000e+04,7.1400000000000000e+02,2.9350104821802937e-02
"SPRAGUE",1.6040000000000000e+03,6.5000000000000000e+01,4.0523690773067333e-02
"STAFFORD",6.7800000000000000e+03,2.5400000000000000e+02,3.7463126843657817e-02
"STAMFORD",6.9256000000000000e+04,2.1380000000000000e+03,3.0870971468176044e-02
"STERLING",2.0250000000000000e+03,8.5000000000000000e+01,4.1975308641975309e-02
"STONINGTON",9.5140000000000000e+03,2.7000000000000000e+02,2.8379230607525750e-02
"STRATFORD",2.7535000000000000e+04,1.2450000000000000e+03,4.5215180679135644e-02
"SUFFIELD",7.6250000000000000e+03,2.2800000000000000e+02,2.9901639344262296e-02
"THOMASTON",4.6980000000000000e+03,1.4100000000000000e+02,3.0012771392081736e-02
"THOMPSON",5.2560000000000000e+03,2.0100000000000000e+02,3.8242009132420089e-02
"TOLLAND",8.5630000000000000e+03,2.0000000000000000e+02,2.3356300362022655e-02
"TORRINGTON",1.9502000000000000e+04,8.1800000000000000e+02,4.1944415957337708e-02
"TRUMBULL",1.8100000000000000e+04,5.5000000000000000e+02,3.0386740331491711e-02
"UNION",4.6400000000000000e+02,1.7000000000000000e+01,3.6637931034482756e-02
"VERNON",1.7071000000000000e+04,5.9500000000000000e+02,3.4854431492003984e-02
"VOLUNTOWN",1.4380000000000000e+03,4.8000000000000000e+01,3.3379694019471488e-02
"WALLINGFORD",2.6242000000000000e+04,8.1400000000000000e+02,3.1018977212102734e-02
"WARREN",7.9100000000000000e+02,2.3000000000000000e+01,2.9077117572692796e-02
"WASHINGTON",2.0360000000000000e+03,4.3000000000000000e+01,2.1119842829076620e-02
"WATERBURY",5.0384000000000000e+04,3.1790000000000000e+03,6.3095427119720549e-02
"WATERFORD",1.0053000000000000e+04,3.4900000000000000e+02,3.4716005172585301e-02
"WATERTOWN",1.2913000000000000e+04,3.9300000000000000e+02,3.0434445907225278e-02
"WEST HARTFORD",3.4350000000000000e+04,8.9300000000000000e+02,2.5997088791848616e-02
"WEST HAVEN",2.9969000000000000e+04,1.3370000000000000e+03,4.4612766525409589e-02
"WESTBROOK",3.6230000000000000e+03,1.1900000000000000e+02,3.2845707976814797e-02
"WESTON",4.3880000000000000e+03,1.2600000000000000e+02,2.8714676390154969e-02
"WESTPORT",1.2488000000000000e+04,3.3600000000000000e+02,2.6905829596412557e-02
"WETHERSFIELD",1.4059000000000000e+04,4.4800000000000000e+02,3.1865708798634325e-02
"WILLINGTON",3.6180000000000000e+03,8.7000000000000000e+01,2.4046434494195690e-02
"WILTON",8.5220000000000000e+03,2.5300000000000000e+02,2.9687866697958226e-02
"WINCHESTER",6.2150000000000000e+03,2.3100000000000000e+02,3.7168141592920353e-02
"WINDHAM",1.2179000000000000e+04,5.3800000000000000e+02,4.4174398554889562e-02
"WINDSOR",1.6568000000000000e+04,6.1200000000000000e+02,3.6938676967648479e-02
"WINDSOR LOCKS",7.4520000000000000e+03,2.7800000000000000e+02,3.7305421363392377e-02
"WOLCOTT",9.8300000000000000e+03,3.1200000000000000e+02,3.1739572736520852e-02
"WOODBRIDGE",4.8730000000000000e+03,1.1300000000000000e+02,2.3189000615637185e-02
"WOODBURY",5.5330000000000000e+03,1.5000000000000000e+02,2.7110066871498282e-02
"WOODSTOCK",4.1500000000000000e+03,1.2400000000000000e+02,2.9879518072289158e-02
