Municipality,November 2016 Labor Force,November 2016 Unemployed,November 2016 Unemp Rate
"ANDOVER",1.9390000000000000e+03,5.8000000000000000e+01,2.9912325941206807e-02
"ANSONIA",9.3390000000000000e+03,4.9200000000000000e+02,5.2682300032123354e-02
"ASHFORD",2.5180000000000000e+03,6.4000000000000000e+01,2.5416997617156472e-02
"AVON",9.3830000000000000e+03,2.2800000000000000e+02,2.4299264627517851e-02
"BARKHAMSTED",2.3030000000000000e+03,6.5000000000000000e+01,2.8224055579678681e-02
"BEACON FALLS",3.4100000000000000e+03,1.1700000000000000e+02,3.4310850439882697e-02
"BERLIN",1.1701000000000000e+04,3.3000000000000000e+02,2.8202717716434494e-02
"BETHANY",3.1050000000000000e+03,8.7000000000000000e+01,2.8019323671497585e-02
"BETHEL",1.0722000000000000e+04,3.3600000000000000e+02,3.1337437045327363e-02
"BETHLEHEM",1.9310000000000000e+03,6.0000000000000000e+01,3.1071983428275506e-02
"BLOOMFIELD",1.1456000000000000e+04,4.8300000000000000e+02,4.2161312849162011e-02
"BOLTON",3.1600000000000000e+03,7.4000000000000000e+01,2.3417721518987342e-02
"BOZRAH",1.4260000000000000e+03,4.5000000000000000e+01,3.1556802244039270e-02
"BRANFORD",1.6043000000000000e+04,5.1800000000000000e+02,3.2288225394252947e-02
"BRIDGEPORT",7.0250000000000000e+04,4.2260000000000000e+03,6.0156583629893241e-02
"BRIDGEWATER",8.5400000000000000e+02,2.3000000000000000e+01,2.6932084309133488e-02
"BRISTOL",3.2898000000000000e+04,1.3680000000000000e+03,4.1583074958964072e-02
"BROOKFIELD",9.3510000000000000e+03,2.7300000000000000e+02,2.9194738530638434e-02
"BROOKLYN",4.1420000000000000e+03,1.5200000000000000e+02,3.6697247706422020e-02
"BURLINGTON",5.5700000000000000e+03,1.6900000000000000e+02,3.0341113105924595e-02
"CANAAN",6.8700000000000000e+02,1.3000000000000000e+01,1.8922852983988356e-02
"CANTERBURY",2.8310000000000000e+03,1.0800000000000000e+02,3.8149063935005299e-02
"CANTON",5.6640000000000000e+03,1.4300000000000000e+02,2.5247175141242938e-02
"CHAPLIN",1.2480000000000000e+03,5.3000000000000000e+01,4.2467948717948720e-02
"CHESHIRE",1.5466000000000000e+04,3.6800000000000000e+02,2.3794129057286954e-02
"CHESTER",2.3650000000000000e+03,6.1000000000000000e+01,2.5792811839323467e-02
"CLINTON",7.2640000000000000e+03,2.0400000000000000e+02,2.8083700440528634e-02
"COLCHESTER",9.4350000000000000e+03,2.8400000000000000e+02,3.0100688924218334e-02
"COLEBROOK",8.3300000000000000e+02,2.7000000000000000e+01,3.2412965186074429e-02
"COLUMBIA",3.2120000000000000e+03,9.5000000000000000e+01,2.9576587795765878e-02
"CORNWALL",7.5400000000000000e+02,1.3000000000000000e+01,1.7241379310344827e-02
"COVENTRY",7.7170000000000000e+03,2.1300000000000000e+02,2.7601399507580667e-02
"CROMWELL",7.9660000000000000e+03,2.3800000000000000e+02,2.9876977152899824e-02
"DANBURY",4.6767000000000000e+04,1.3480000000000000e+03,2.8823743237753118e-02
"DARIEN",8.5850000000000000e+03,2.5200000000000000e+02,2.9353523587652884e-02
"DEEP RIVER",2.8800000000000000e+03,6.9000000000000000e+01,2.3958333333333335e-02
"DERBY",6.8550000000000000e+03,3.5500000000000000e+02,5.1787016776075855e-02
"DURHAM",4.3030000000000000e+03,9.6000000000000000e+01,2.2310016267720195e-02
"EAST GRANBY",3.0910000000000000e+03,9.6000000000000000e+01,3.1057910061468779e-02
"EAST HADDAM",5.0020000000000000e+03,1.5600000000000000e+02,3.1187524990004000e-02
"EAST HAMPTON",7.6590000000000000e+03,2.2700000000000000e+02,2.9638333986160073e-02
