Municipality,Numbered,ADM 2010-11,NCE 2010-11
"ANDOVER            ",1.0000000000000000e+00,6.3648000000000002e+02,7.8287960000000000e+06
"ANSONIA            ",2.0000000000000000e+00,2.7954200000000001e+03,3.0656052000000000e+07
"ASHFORD            ",3.0000000000000000e+00,7.0177999999999997e+02,1.0273910000000000e+07
"AVON               ",4.0000000000000000e+00,3.5854299999999998e+03,4.4166484000000000e+07
"BARKHAMSTED        ",5.0000000000000000e+00,6.6010000000000002e+02,7.8743750000000000e+06
"BEACON FALLS       ",6.0000000000000000e+00,1.0212500000000000e+03,1.3711345000000000e+07
"BERLIN             ",7.0000000000000000e+00,3.1664400000000001e+03,4.0887033000000000e+07
"BETHANY            ",8.0000000000000000e+00,1.0144500000000000e+03,1.3705852000000000e+07
"BETHEL             ",9.0000000000000000e+00,2.9532199999999998e+03,4.1141452000000000e+07
"BETHLEHEM          ",1.0000000000000000e+01,4.8638000000000000e+02,6.9911170000000000e+06
"BLOOMFIELD         ",1.1000000000000000e+01,2.4071100000000001e+03,4.1515434000000000e+07
"BOLTON             ",1.2000000000000000e+01,8.2914999999999998e+02,1.1596324000000000e+07
"BOZRAH             ",1.3000000000000000e+01,3.5691000000000003e+02,5.4921870000000000e+06
"BRANFORD           ",1.4000000000000000e+01,3.4883099999999999e+03,4.8690503000000000e+07
"BRIDGEPORT         ",1.5000000000000000e+01,2.0949070000000000e+04,2.8187386400000000e+08
"BRIDGEWATER        ",1.6000000000000000e+01,2.2394000000000000e+02,4.5836800000000000e+06
"BRISTOL            ",1.7000000000000000e+01,8.7600499999999993e+03,1.0784219800000000e+08
"BROOKFIELD         ",1.8000000000000000e+01,2.9398099999999999e+03,3.6047611000000000e+07
"BROOKLYN           ",1.9000000000000000e+01,1.2856500000000001e+03,1.5680257000000000e+07
"BURLINGTON         ",2.0000000000000000e+01,1.8522200000000000e+03,2.1029517000000000e+07
"CANAAN             ",2.1000000000000000e+01,1.3999000000000001e+02,3.0945950000000000e+06
"CANTERBURY         ",2.2000000000000000e+01,7.1294000000000005e+02,1.0522192000000000e+07
"CANTON             ",2.3000000000000000e+01,1.8113599999999999e+03,2.2710028000000000e+07
"CHAPLIN            ",2.4000000000000000e+01,2.8857999999999998e+02,5.4835370000000000e+06
"CHESHIRE           ",2.5000000000000000e+01,4.7924799999999996e+03,6.0014271000000000e+07
"CHESTER            ",2.6000000000000000e+01,5.5613999999999999e+02,8.5039580000000000e+06
"CLINTON            ",2.7000000000000000e+01,2.0832100000000000e+03,3.0219550000000000e+07
"COLCHESTER         ",2.8000000000000000e+01,3.1351500000000001e+03,3.6145869000000000e+07
"COLEBROOK          ",2.9000000000000000e+01,2.5319999999999999e+02,3.7082820000000000e+06
"COLUMBIA           ",3.0000000000000000e+01,7.6629999999999995e+02,1.1098697000000000e+07
"CORNWALL           ",3.1000000000000000e+01,1.6930000000000001e+02,3.7355080000000000e+06
"COVENTRY           ",3.2000000000000000e+01,1.9273399999999999e+03,2.4831957000000000e+07
"CROMWELL           ",3.3000000000000000e+01,2.0195999999999999e+03,2.7228311000000000e+07
"DANBURY            ",3.4000000000000000e+01,1.0482719999999999e+04,1.2442572100000000e+08
"DARIEN             ",3.5000000000000000e+01,4.8480799999999999e+03,7.5723867000000000e+07
"DEEP RIVER         ",3.6000000000000000e+01,6.5339999999999998e+02,9.8157820000000000e+06
"DERBY              ",3.7000000000000000e+01,1.5903199999999999e+03,1.9479134000000000e+07
"DURHAM             ",3.8000000000000000e+01,1.3506900000000001e+03,2.0235123000000000e+07
"EAST GRANBY        ",3.9000000000000000e+01,9.2377999999999997e+02,1.3759193000000000e+07
"EAST HADDAM        ",4.0000000000000000e+01,1.3712800000000000e+03,1.8598344000000000e+07
"EAST HAMPTON       ",4.1000000000000000e+01,2.0040100000000000e+03,2.7125783000000000e+07
"EAST HARTFORD      ",4.2000000000000000e+01,8.0274200000000001e+03,9.5547952000000000e+07
"EAST HAVEN         ",4.3000000000000000e+01,3.7748499999999999e+03,4.8379300000000000e+07
"EAST LYME          ",4.4000000000000000e+01,2.8787500000000000e+03,3.8049775000000000e+07
"EAST WINDSOR       ",4.5000000000000000e+01,1.3962100000000000e+03,2.0465433000000000e+07
"EASTFORD           ",4.6000000000000000e+01,2.4593000000000001e+02,3.6791150000000000e+06
"EASTON             ",4.7000000000000000e+01,1.5532400000000000e+03,2.3575753000000000e+07
"ELLINGTON          ",4.8000000000000000e+01,2.7324299999999998e+03,2.9289384000000000e+07
"ENFIELD            ",4.9000000000000000e+01,6.0516000000000004e+03,7.3096193000000000e+07
"ESSEX              ",5.0000000000000000e+01,9.9267999999999995e+02,1.3823385000000000e+07
"FAIRFIELD          ",5.1000000000000000e+01,1.0211770000000000e+04,1.4684475700000000e+08
