Sort ID,Municipality,numbered,PER CAPITA INCOME - 2015 ESTIMATE,Population_Range,PercentOfState
1,"NEW CANAAN",9.1000000000000000e+01,105846.0000,"10,000 to 30,000",2.7277787799912376e+00
2,"WESTPORT",1.5900000000000000e+02,97395.0000,"10,000 to 30,000",2.5099863412622736e+00
3,"DARIEN",3.5000000000000000e+01,96767.0000,"10,000 to 30,000",2.4938020256165760e+00
4,"WESTON",1.5800000000000000e+02,92794.0000,"0 to 10,000",2.3914130350746077e+00
5,"GREENWICH",5.7000000000000000e+01,90087.0000,"30,000 to 70,000",2.3216503878566090e+00
6,"WILTON",1.6200000000000000e+02,78131.0000,"10,000 to 30,000",2.0135298817101770e+00
7,"RIDGEFIELD",1.1900000000000000e+02,75634.0000,"10,000 to 30,000",1.9491791871762492e+00
8,"WASHINGTON",1.5100000000000000e+02,70264.0000,"0 to 10,000",1.8107878256835812e+00
9,"ROXBURY",1.2100000000000000e+02,68446.0000,"0 to 10,000",1.7639357781614824e+00
10,"AVON",4.0000000000000000e+00,66822.0000,"10,000 to 30,000",1.7220833440713348e+00
11,"BRIDGEWATER",1.6000000000000000e+01,66035.0000,"0 to 10,000",1.7018014071076979e+00
12,"SHERMAN",1.2800000000000000e+02,63914.0000,"0 to 10,000",1.6471406849985826e+00
13,"REDDING",1.1800000000000000e+02,61043.0000,"0 to 10,000",1.5731515604463573e+00
14,"FAIRFIELD",5.1000000000000000e+01,60155.0000,"30,000 to 70,000",1.5502667319537149e+00
15,"WOODBRIDGE",1.6800000000000000e+02,58594.0000,"0 to 10,000",1.5100378836687884e+00
16,"EASTON",4.7000000000000000e+01,58532.0000,"0 to 10,000",1.5084400690668247e+00
17,"GLASTONBURY",5.4000000000000000e+01,57709.0000,"10,000 to 30,000",1.4872303687859185e+00
18,"SHARON",1.2600000000000000e+02,57523.0000,"0 to 10,000",1.4824369249800273e+00
19,"ESSEX",5.0000000000000000e+01,53427.0000,"0 to 10,000",1.3768780764373889e+00
20,"SALISBURY",1.2300000000000000e+02,53332.0000,"0 to 10,000",1.3744298121279284e+00
21,"SIMSBURY",1.2900000000000000e+02,53329.0000,"10,000 to 30,000",1.3743524985181559e+00
22,"GRANBY",5.6000000000000000e+01,52984.0000,"0 to 10,000",1.3654614333943251e+00
23,"WARREN",1.5000000000000000e+02,52716.0000,"0 to 10,000",1.3585547509213205e+00
24,"MADISON",7.7000000000000000e+01,52413.0000,"10,000 to 30,000",1.3507460763343040e+00
25,"FARMINGTON",5.2000000000000000e+01,52341.0000,"10,000 to 30,000",1.3488905496997654e+00
26,"GUILFORD",6.1000000000000000e+01,52071.0000,"10,000 to 30,000",1.3419323248202459e+00
27,"LYME",7.6000000000000000e+01,51318.0000,"0 to 10,000",1.3225266087673633e+00
28,"ORANGE",1.0800000000000000e+02,49776.0000,"10,000 to 30,000",1.2827874133443291e+00
29,"CORNWALL",3.1000000000000000e+01,49753.0000,"0 to 10,000",1.2821946756694069e+00
30,"WEST HARTFORD",1.5500000000000000e+02,49600.0000,"30,000 to 70,000",1.2782516815710125e+00
31,"BOLTON",1.2000000000000000e+01,49199.0000,"0 to 10,000",1.2679174290647630e+00
32,"MONROE",8.6000000000000000e+01,48998.0000,"10,000 to 30,000",1.2627374172100094e+00
33,"NEWTOWN",9.8000000000000000e+01,48744.0000,"10,000 to 30,000",1.2561915315826095e+00
34,"DURHAM",3.8000000000000000e+01,48570.0000,"0 to 10,000",1.2517073422158080e+00
35,"WESTBROOK",1.5700000000000000e+02,48545.0000,"0 to 10,000",1.2510630621343710e+00
36,"KILLINGWORTH",7.1000000000000000e+01,48537.0000,"0 to 10,000",1.2508568925083112e+00
37,"STAMFORD",1.3600000000000000e+02,47819.0000,"70,000 & Up",1.2323531685694404e+00
38,"BROOKFIELD",1.8000000000000000e+01,47633.0000,"10,000 to 30,000",1.2275597247635492e+00
39,"CANTON",2.3000000000000000e+01,47497.0000,"0 to 10,000",1.2240548411205319e+00
40,"BURLINGTON",2.0000000000000000e+01,47339.0000,"0 to 10,000",1.2199829910058502e+00
41,"MORRIS",8.8000000000000000e+01,46999.0000,"0 to 10,000",1.2112207818983067e+00
42,"WOODBURY",1.6900000000000000e+02,46853.0000,"0 to 10,000",1.2074581862227147e+00
43,"OLD LYME",1.0600000000000000e+02,46429.0000,"0 to 10,000",1.1965311960415432e+00
44,"HADDAM",6.2000000000000000e+01,46119.0000,"0 to 10,000",1.1885421230317244e+00
45,"TRUMBULL",1.4500000000000000e+02,46037.0000,"30,000 to 70,000",1.1864288843646109e+00
46,"TOLLAND",1.4300000000000000e+02,45901.0000,"10,000 to 30,000",1.1829240007215938e+00
47,"LITCHFIELD",7.5000000000000000e+01,45766.0000,"0 to 10,000",1.1794448882818338e+00
48,"PORTLAND",1.1400000000000000e+02,45534.0000,"0 to 10,000",1.1734659691260985e+00
49,"NORFOLK",9.9000000000000000e+01,45462.0000,"0 to 10,000",1.1716104424915599e+00
