Municipality,numbered,Comptroller Town Code,County_Identifier,Net Investment In Capital Assets,Unrestricted Net Position,Total Net Position,Change In Net Position,Nonspendable_Fund_Bal,Restricted_Fund_Bal,Committed_Fund_Bal,Assigned_Fund_Bal,Total_Fund_Bal,Unassigned_Fund_Bal,Unrestricted_Fund_Bal,Restatement of Fund Balance (Y or N),Inter_Gov_Rev,Tax_Rev,Total_Revenue,Education,Debt_Service,Total_Expenditures,TOTAL_Trans_to_Genl_Fund,Other_Financing_Sources,TOTAL_Trans_from_Genl_Fund,Other_Financing_Uses,Operating_Surplus_(Deficit)_Including_Transfers,Prior_Yr_OP_Surplus_(Def)_including_sources_and_uses,Operating_Surplus_(Deficit)_Including_Sources_And_Uses,Special / Extraordinary Items,Deficit - Individual Enterprise Funds (Y or N),Deficit - Individual Internal Service Funds (Y or N),RSD_DEBT,TOWN_Bonded_Long_Term_Debt,Total_Bonded_Long_Term_Debt_(RSD_+_Town),Total_Net_Pension_Liability,Curr_Year_Adjusted_Taxes_Collectible,Curr_Year_Taxes_Collected,Curr_Year_Tax_Collection_Rate,Total_Adjusted_Taxes_Collectible,Total_Taxes_Collected,Overal_Total_Tax_Collection_Rate,2015 Population,Moody's_Bond_Ratings_Nov_2016,Moody's_Bond_Ratings_July_2015,area lmt,ACGLFY15,EGL,TANF15 Recipients,empl,ACMR,enrollmt
"PORTLAND",114,113,"M",61515503.0000,-2152488.0000,59885833.0000,-198624.0000,0.0000,0.0000,167714.0000,474056.0000,5749892.0000,5108122.0000,5749892.0000,"N",6788227.0000,25715084.0000,33450128.0000,21094353.0000,2803149.0000,31991474.0000,0.0000,0.0000,1106737.0000,1106737.0000,351917.0000,-262153.0000,351917.0000,0.0000,"N","N",,14932412.0000,14932412.0000,9498553.0000,25626817.0000,25199996.0000,9.8334475171067870e-01,26346105.0000,25512869.0000,9.6837346545153447e-01,9.3910000000000000e+03,"Aa3","Aa3",2.3399999999999999e+01,801938884.0000,1139281294.8100,2.9000000000000000e+01,4.6699760985475271e-02,3.1780000000000001e+01,1.3825400000000000e+03
"PRESTON",115,114,"NL",8515554.0000,4764799.0000,13359330.0000,576234.0000,19075.0000,2112.0000,0.0000,757060.0000,3658031.0000,2879784.0000,3636844.0000,"N",5644492.0000,9207560.0000,16078431.0000,11560965.0000,688833.0000,15479315.0000,4.0000,4.0000,315155.0000,315155.0000,283965.0000,256975.0000,283965.0000,0.0000,"N","N",,5923000.0000,5923000.0000,363759.0000,9115447.0000,8938828.0000,9.8062420855499466e-01,9479988.0000,9110836.0000,9.6105986632050588e-01,4.7070000000000000e+03,,,3.0890000000000001e+01,392192485.0000,550138880.8300,2.0000000000000000e+01,5.5004135649296938e-02,2.3140000000000001e+01,6.0925000000000000e+02
"PROSPECT",116,115,"NH",15607173.0000,1275274.0000,18265521.0000,309849.0000,0.0000,0.0000,5942.0000,0.0000,1130027.0000,1124085.0000,1130027.0000,"N",5723898.0000,23746587.0000,30060866.0000,22117025.0000,596936.0000,31331634.0000,405358.0000,1634197.0000,35000.0000,35000.0000,-900410.0000,44266.0000,328429.0000,0.0000,"N","N",19283483.0000,2118395.0000,21401878.0000,213734.0000,23634467.0000,23376960.0000,9.8910459880478796e-01,23981042.0000,23629041.0000,9.8532169703051264e-01,9.7390000000000000e+03,,"A2",1.4320000000000000e+01,812671708.0000,1175864777.6700,1.7000000000000000e+01,4.8050770625566640e-02,2.8980000000000000e+01,1.4093900000000001e+03
"PUTNAM",117,116,"W",32035281.0000,11255059.0000,44236622.0000,8602046.0000,971014.0000,0.0000,72710.0000,0.0000,5433447.0000,4389723.0000,4462433.0000,"Y",11351549.0000,9768262.0000,24762837.0000,18932080.0000,0.0000,23676638.0000,13825.0000,13825.0000,315281.0000,315281.0000,784743.0000,466209.0000,784743.0000,0.0000,"N","N",,0.0000,0.0000,0.0000,9777586.0000,9497050.0000,9.7130825543237365e-01,10436170.0000,9680668.0000,9.2760735020606222e-01,9.3720000000000000e+03,,,2.0289999999999999e+01,640264705.0000,833480942.6600,1.2800000000000000e+02,6.7383216205043409e-02,1.5070000000000000e+01,1.1967300000000000e+03
"REDDING",118,117,"F",30966996.0000,16784958.0000,47751954.0000,4139242.0000,1526022.0000,0.0000,208822.0000,159412.0000,8488722.0000,6594466.0000,6962700.0000,"N",4064199.0000,45698262.0000,51182117.0000,36249453.0000,2190217.0000,49765977.0000,0.0000,0.0000,87500.0000,87500.0000,1328640.0000,675662.0000,1328640.0000,0.0000,"N","N",7555065.0000,14827366.0000,22382431.0000,3405997.0000,45720390.0000,45147782.0000,9.8747587236241863e-01,48018377.0000,45650887.0000,9.5069616784424016e-01,9.2930000000000000e+03,"Aa1",,3.1500000000000000e+01,1628096295.0000,2374930560.5200,3.0000000000000000e+00,4.1945560017849173e-02,2.8910000000000000e+01,1.5349900000000000e+03
"RIDGEFIELD",119,118,"F",102182274.0000,29132923.0000,131357058.0000,9647543.0000,0.0000,0.0000,0.0000,3228924.0000,16499503.0000,13270579.0000,16499503.0000,"N",12774311.0000,121797734.0000,143866822.0000,94568454.0000,13210471.0000,142523343.0000,179589.0000,179589.0000,1079854.0000,1079854.0000,443214.0000,1405205.0000,443214.0000,0.0000,"N","N",,78983264.0000,78983264.0000,816794.0000,121507726.0000,120015866.0000,9.8772209760554652e-01,125491588.0000,121093654.0000,9.6495435215944514e-01,2.5244000000000000e+04,"Aaa","Aaa",3.4430000000000000e+01,4700389133.0000,7297420053.7400,0.0000000000000000e+00,3.8748516194675259e-02,2.6010000000000002e+01,5.1395600000000004e+03
"ROCKY HILL",120,119,"H",20007218.0000,12775623.0000,32833268.0000,3056397.0000,0.0000,0.0000,0.0000,1084837.0000,6288871.0000,5204034.0000,6288871.0000,"N",9434186.0000,59840044.0000,72019191.0000,38973084.0000,1962439.0000,70463669.0000,0.0000,0.0000,1405502.0000,1405502.0000,150020.0000,268168.0000,150020.0000,0.0000,"N","N",,28538944.0000,28538944.0000,4946026.0000,59329833.0000,58987538.0000,9.9423064278640394e-01,60184930.0000,59553947.0000,9.8951593031677532e-01,2.0021000000000000e+04,"Aa2","Aa2",1.3449999999999999e+01,1988502360.0000,2841314800.0100,4.0000000000000000e+01,4.1549543218552351e-02,2.9699999999999999e+01,2.6462800000000002e+03
"ROXBURY",121,120,"L",10791403.0000,3133901.0000,16243734.0000,29754.0000,0.0000,0.0000,168905.0000,238764.0000,2216449.0000,1808780.0000,2216449.0000,"N",206168.0000,9337031.0000,9954919.0000,6978595.0000,0.0000,9573112.0000,0.0000,0.0000,269670.0000,269670.0000,112137.0000,272845.0000,112137.0000,0.0000,"N","N",622744.0000,0.0000,622744.0000,0.0000,9295118.0000,9249206.0000,9.9506063290428370e-01,9387548.0000,9320470.0000,9.9285457714836722e-01,2.1870000000000000e+03,,,2.6219999999999999e+01,694544900.0000,970743202.8900,0.0000000000000000e+00,3.2551097653292962e-02,1.3400000000000000e+01,2.3006000000000000e+02
"SALEM",122,121,"NL",15735907.0000,3139580.0000,19619946.0000,654337.0000,0.0000,31306.0000,0.0000,536100.0000,2631672.0000,2064266.0000,2600366.0000,"N",4577707.0000,11340498.0000,16185118.0000,11559640.0000,5925240.0000,14996162.0000,0.0000,208118.0000,802556.0000,802556.0000,386400.0000,750813.0000,594518.0000,0.0000,"N","N",,4740679.0000,4740679.0000,0.0000,11289461.0000,11114399.0000,9.8449332523492483e-01,11601336.0000,11278136.0000,9.7214113960667980e-01,4.1830000000000000e+03,"A1","A1",2.8949999999999999e+01,362175579.0000,506358606.8900,1.6000000000000000e+01,5.3503787878787880e-02,3.1100000000000001e+01,6.4907000000000005e+02
"SALISBURY",123,122,"L",14199480.0000,6710454.0000,24088962.0000,1149943.0000,0.0000,45831.0000,447673.0000,586414.0000,2393022.0000,1313104.0000,2347191.0000,"N",1133784.0000,12354606.0000,14424717.0000,8230306.0000,191981.0000,12767388.0000,276154.0000,276154.0000,1523732.0000,1523732.0000,409751.0000,115931.0000,409751.0000,0.0000,"N","N",846159.0000,2972299.0000,3818458.0000,193456.0000,12298145.0000,12216496.0000,9.9336086865132911e-01,12424957.0000,12275801.0000,9.8799545141282985e-01,3.6380000000000000e+03,,,5.7320000000000000e+01,1168534540.0000,1608901918.3200,5.0000000000000000e+00,3.4368070953436809e-02,1.0500000000000000e+01,3.4166000000000003e+02
