Municipality,numbered,Comptroller Town Code,County_Identifier,Net Investment In Capital Assets,Unrestricted Net Position,Total Net Position,Change In Net Position,Nonspendable_Fund_Bal,Restricted_Fund_Bal,Committed_Fund_Bal,Assigned_Fund_Bal,Total_Fund_Bal,Unassigned_Fund_Bal,Unrestricted_Fund_Bal,Restatement of Fund Balance (Y or N),Inter_Gov_Rev,Tax_Rev,Total_Revenue,Education,Debt_Service,Total_Expenditures,TOTAL_Trans_to_Genl_Fund,Other_Financing_Sources,TOTAL_Trans_from_Genl_Fund,Other_Financing_Uses,Operating_Surplus_(Deficit)_Including_Transfers,Prior_Yr_OP_Surplus_(Def)_including_sources_and_uses,Operating_Surplus_(Deficit)_Including_Sources_And_Uses,Special / Extraordinary Items,Deficit - Individual Enterprise Funds (Y or N),Deficit - Individual Internal Service Funds (Y or N),RSD_DEBT,TOWN_Bonded_Long_Term_Debt,Total_Bonded_Long_Term_Debt_(RSD_+_Town),Total_Net_Pension_Liability,Curr_Year_Adjusted_Taxes_Collectible,Curr_Year_Taxes_Collected,Curr_Year_Tax_Collection_Rate,Total_Adjusted_Taxes_Collectible,Total_Taxes_Collected,Overal_Total_Tax_Collection_Rate,2015 Population,Moody's_Bond_Ratings_Nov_2016,Moody's_Bond_Ratings_July_2015,area lmt,ACGLFY15,EGL,TANF15 Recipients,empl,ACMR,enrollmt
"SCOTLAND",124,123,"W",11773247.0000,1003742.0000,12965958.0000,2664.0000,384.0000,0.0000,80000.0000,122289.0000,760369.0000,557696.0000,759985.0000,"N",1983643.0000,4042884.0000,6094488.0000,4691725.0000,379871.0000,6125257.0000,93252.0000,93252.0000,173041.0000,173041.0000,-110558.0000,37623.0000,-110558.0000,0.0000,"N","N",0.0000,2665000.0000,2665000.0000,0.0000,3961693.0000,3882947.0000,9.8012314432238945e-01,4151744.0000,4005603.0000,9.6480009364739250e-01,1.6860000000000000e+03,"A1","A1",1.8609999999999999e+01,112924860.0000,161392095.7200,5.0000000000000000e+00,5.1308900523560207e-02,3.5000000000000000e+01,2.1928000000000000e+02
"SEYMOUR",125,124,"NH",62197985.0000,-12915975.0000,49283010.0000,-680277.0000,0.0000,0.0000,0.0000,552768.0000,5226779.0000,4674011.0000,5226779.0000,"N",15026084.0000,42069189.0000,58304783.0000,36132376.0000,5540734.0000,58132197.0000,115793.0000,5932681.0000,215793.0000,5948442.0000,72586.0000,-273965.0000,156825.0000,0.0000,"N","Y",,37397622.0000,37397622.0000,4042799.0000,41691686.0000,40914919.0000,9.8136877937725997e-01,43477906.0000,41652503.0000,9.5801538832159949e-01,1.6475000000000000e+04,,,1.4570000000000000e+01,1221159820.0000,1707834886.4700,5.2000000000000000e+01,5.9607059607059608e-02,3.4039999999999999e+01,2.3990799999999999e+03
"SHARON",126,125,"L",5545137.0000,5186469.0000,10731606.0000,-148000.0000,0.0000,0.0000,209631.0000,7937.0000,2740731.0000,2523163.0000,2740731.0000,"N",645482.0000,9632171.0000,10735764.0000,6819517.0000,1055238.0000,11265478.0000,10180.0000,10180.0000,240037.0000,240037.0000,-759571.0000,550674.0000,-759571.0000,0.0000,"N","N",797735.0000,6227993.0000,7025728.0000,0.0000,9556585.0000,9347006.0000,9.7806967656333299e-01,10166858.0000,9552875.0000,9.3960936604012768e-01,2.7060000000000000e+03,"Aa2","Aa2",5.8700000000000003e+01,720510556.0000,1029649365.7100,3.0000000000000000e+00,3.4059945504087197e-02,1.3250000000000000e+01,2.3209999999999999e+02
"SHELTON",127,126,"F",167773445.0000,-2293956.0000,165791336.0000,4386359.0000,63293.0000,0.0000,5329978.0000,212000.0000,17327802.0000,11722531.0000,17264509.0000,"N",15753536.0000,101284259.0000,121073698.0000,75053250.0000,12568421.0000,121963611.0000,0.0000,1107685.0000,2146019.0000,2146019.0000,-3035932.0000,2237645.0000,-1928247.0000,0.0000,"N","Y",,51672666.0000,51672666.0000,1403438.0000,101063257.0000,99744035.0000,9.8694657149234766e-01,103079981.0000,100250200.0000,9.7254771515722338e-01,4.1296000000000000e+04,"Aa2","Aa2",3.0570000000000000e+01,4514471490.0000,6665777222.2600,1.0600000000000000e+02,5.3524567912406118e-02,2.2309999999999999e+01,5.1537399999999998e+03
"SHERMAN",128,127,"F",13489846.0000,3105146.0000,16605742.0000,2791495.0000,0.0000,10750.0000,0.0000,0.0000,1926219.0000,1915469.0000,1915469.0000,"N",1251577.0000,13371415.0000,14977813.0000,9615620.0000,1106095.0000,13918646.0000,0.0000,0.0000,598256.0000,598256.0000,460911.0000,272064.0000,460911.0000,0.0000,"N","N",,8320000.0000,8320000.0000,0.0000,13309122.0000,13234566.0000,9.9439812784043902e-01,13440211.0000,13306765.0000,9.9007113802008018e-01,3.6680000000000000e+03,"Aa2","Aa2",2.1800000000000001e+01,667551747.0000,953756781.4400,3.0000000000000000e+00,4.0816326530612242e-02,1.9840000000000000e+01,5.3790999999999997e+02
"SIMSBURY",129,128,"H",100313724.0000,20323545.0000,120637269.0000,1790328.0000,0.0000,0.0000,639000.0000,183461.0000,12692552.0000,11870091.0000,12692552.0000,"N",12761784.0000,83958850.0000,98216557.0000,71510265.0000,7480695.0000,96237301.0000,444358.0000,444358.0000,1366260.0000,1366260.0000,1057354.0000,-365380.0000,1057354.0000,0.0000,"N","N",,37731882.0000,37731882.0000,17624481.0000,83746697.0000,83403072.0000,9.9589685310215881e-01,84434321.0000,83600702.0000,9.9012701245030443e-01,2.4348000000000000e+04,"Aaa","Aaa",3.3880000000000003e+01,2251625275.0000,3577008149.9400,2.7000000000000000e+01,3.6489535516999926e-02,3.7140000000000001e+01,4.3580100000000002e+03
"SOMERS",130,129,"T",42583307.0000,5400289.0000,48647335.0000,1283534.0000,163398.0000,0.0000,814624.0000,611645.0000,7771893.0000,6182226.0000,7608495.0000,"N",12535916.0000,19918176.0000,33257780.0000,24073247.0000,1660509.0000,32544500.0000,175000.0000,592324.0000,350000.0000,350000.0000,538280.0000,715423.0000,955604.0000,0.0000,"N","N",,16027771.0000,16027771.0000,1265658.0000,19584592.0000,19353138.0000,9.8818183192174747e-01,19916691.0000,19592045.0000,9.8369980234166410e-01,1.1432000000000000e+04,"Aa2","Aa2",2.8340000000000000e+01,851728169.0000,1200742780.3600,3.2000000000000000e+01,4.7305157037611477e-02,2.3370000000000001e+01,1.4846700000000001e+03
"SOUTH WINDSOR",131,132,"H",122049902.0000,3142130.0000,125192032.0000,387656.0000,970.0000,0.0000,0.0000,1527753.0000,6858362.0000,5329639.0000,6857392.0000,"N",20827429.0000,89316302.0000,111719918.0000,75058105.0000,6255201.0000,110313636.0000,55258.0000,133798.0000,1711223.0000,1711223.0000,-249683.0000,352779.0000,-171143.0000,0.0000,"N","N",,62897475.0000,62897475.0000,15910231.0000,89399738.0000,87965832.0000,9.8396073599231348e-01,93018117.0000,88727354.0000,9.5387174952165499e-01,2.5789000000000000e+04,"Aa2","Aa2",2.7960000000000001e+01,2505704902.0000,3692855075.9000,3.8000000000000000e+01,4.3940264215967834e-02,3.5509999999999998e+01,4.4006199999999999e+03
"SOUTHBURY",132,130,"NH",78462332.0000,15900404.0000,94362736.0000,648680.0000,260615.0000,0.0000,393408.0000,5255385.0000,6606810.0000,697402.0000,6346195.0000,"N",3508992.0000,57950667.0000,62919891.0000,43729317.0000,1346076.0000,60351190.0000,75000.0000,75000.0000,3138052.0000,3138052.0000,-494351.0000,-1315037.0000,-494351.0000,0.0000,"N","N",10647129.0000,7440000.0000,18087129.0000,4059859.0000,57891678.0000,57430685.0000,9.9203697291344706e-01,58538034.0000,57799057.0000,9.8737612199275426e-01,1.9675000000000000e+04,"Aa2","Aa2",3.9060000000000002e+01,2099835796.0000,3206264993.8200,2.1000000000000000e+01,5.1154368492530557e-02,2.7600000000000001e+01,2.6572100000000000e+03
"SOUTHINGTON",133,131,"H",143966000.0000,11035000.0000,155706000.0000,17032000.0000,56000.0000,0.0000,0.0000,1250000.0000,19107000.0000,17801000.0000,19051000.0000,"N",31392000.0000,108052000.0000,144100000.0000,95625000.0000,8358000.0000,152888000.0000,77000.0000,12807000.0000,6443000.0000,6443000.0000,-15154000.0000,1645000.0000,-2424000.0000,0.0000,"N","N",,120933000.0000,120933000.0000,12531000.0000,107104000.0000,105859000.0000,9.8837578428443384e-01,109496000.0000,107170000.0000,9.7875721487542922e-01,4.3817000000000000e+04,"Aa2","Aa2",3.5990000000000002e+01,3773777166.0000,5446032327.2000,1.5200000000000000e+02,4.5866622511073395e-02,2.8359999999999999e+01,6.7213599999999997e+03
"SPRAGUE",134,133,"NL",17029832.0000,488101.0000,17836726.0000,482315.0000,84818.0000,0.0000,0.0000,131.0000,490646.0000,405697.0000,405828.0000,"N",3841555.0000,5043815.0000,9019812.0000,6544087.0000,947116.0000,9339224.0000,135063.0000,135063.0000,28800.0000,28800.0000,-213149.0000,265479.0000,-213149.0000,0.0000,"N","N",,8711959.0000,8711959.0000,0.0000,5148379.0000,4806258.0000,9.3354782155703764e-01,5377349.0000,4916159.0000,9.1423469073701558e-01,2.9510000000000000e+03,"A2","A2",1.3210000000000001e+01,165459070.0000,232205841.6600,4.9000000000000000e+01,6.6420664206642069e-02,3.1000000000000000e+01,4.5270999999999998e+02
"STAFFORD",135,134,"T",81673571.0000,5435963.0000,90868794.0000,2664098.0000,0.0000,0.0000,0.0000,1099512.0000,6182049.0000,5082537.0000,6182049.0000,"Y",14075480.0000,26295285.0000,41624778.0000,29723966.0000,7730610.0000,46938496.0000,6796.0000,5668685.0000,180552.0000,180552.0000,-5487474.0000,877095.0000,174415.0000,0.0000,"N","N",,37958258.0000,37958258.0000,6867017.0000,25286135.0000,24363791.0000,9.6352372555157206e-01,27344276.0000,25203868.0000,9.2172372748139320e-01,1.1837000000000000e+04,"A1","A1",5.7950000000000003e+01,765337048.0000,1097754329.0800,6.4000000000000000e+01,5.9997066158134077e-02,3.3030000000000001e+01,1.6275400000000000e+03
"STAMFORD",136,135,"F",360883178.0000,-120107079.0000,240971229.0000,9137362.0000,3010397.0000,0.0000,3388867.0000,34156520.0000,41977411.0000,1421627.0000,38967014.0000,"N",48297407.0000,460727865.0000,544435260.0000,272876527.0000,52455482.0000,489227854.0000,2798761.0000,2798761.0000,49197066.0000,49197066.0000,8809101.0000,501421.0000,8809101.0000,0.0000,"N","Y",,392289279.0000,392289279.0000,140675412.0000,463857225.0000,457890852.0000,9.8713747964149956e-01,471164875.0000,462002142.0000,9.8055302191191562e-01,1.2887400000000000e+05,"Aa1","Aa1",3.7710000000000001e+01,18989740227.0000,31452286888.5000,8.1700000000000000e+02,4.6490481070392449e-02,2.4789999999999999e+01,1.5773820000000000e+04
"STERLING",137,136,"W",23326377.0000,1505577.0000,25296261.0000,140756.0000,1880.0000,16501.0000,0.0000,0.0000,3478880.0000,3460499.0000,3460499.0000,"N",4172963.0000,7450493.0000,11786287.0000,8378283.0000,923768.0000,10916125.0000,0.0000,0.0000,151723.0000,151723.0000,718439.0000,201696.0000,718439.0000,0.0000,"N","N",,8100000.0000,8100000.0000,0.0000,7104670.0000,6895904.0000,9.7061566547073963e-01,7457800.0000,7205643.0000,9.6618882244093429e-01,3.7640000000000000e+03,"A1","A1",2.7230000000000000e+01,224150120.0000,332141431.1500,3.1000000000000000e+01,7.3050345508390915e-02,3.1500000000000000e+01,6.0399000000000001e+02
"STONINGTON",138,137,"NL",88407197.0000,21570530.0000,110561401.0000,-1003470.0000,0.0000,0.0000,0.0000,431163.0000,13971325.0000,13540162.0000,13971325.0000,"N",5473746.0000,53836879.0000,62246533.0000,37234199.0000,4859490.0000,59860948.0000,45000.0000,185902.0000,1665122.0000,1665122.0000,765463.0000,-744718.0000,906365.0000,0.0000,"N","N",,42111291.0000,42111291.0000,4233036.0000,53310452.0000,52721144.0000,9.8894573244286132e-01,54101361.0000,53377250.0000,9.8661566018644153e-01,1.8370000000000000e+04,"Aa1","Aa1",3.8680000000000000e+01,2600089853.0000,3653849291.7700,1.1600000000000000e+02,4.8172583516598595e-02,2.0430000000000000e+01,2.3388699999999999e+03
"STRATFORD",139,138,"F",78329391.0000,-271441549.0000,-190403189.0000,1633606.0000,769659.0000,115669.0000,0.0000,126991.0000,8997137.0000,7984818.0000,8111809.0000,"N",41072498.0000,163762613.0000,212990275.0000,110427752.0000,31330630.0000,217337885.0000,3330040.0000,4592766.0000,1651477.0000,1651477.0000,-2669047.0000,-760077.0000,-1406321.0000,0.0000,"Y","Y",,306724607.0000,306724607.0000,49602149.0000,162727443.0000,158559699.0000,9.7438819216252293e-01,169855772.0000,161895715.0000,9.5313637619568203e-01,5.2609000000000000e+04,"A1","A1",1.7579999999999998e+01,4558232784.0000,6545374298.0000,2.3900000000000000e+02,6.4008963423449472e-02,3.5630000000000003e+01,7.3225900000000001e+03
"SUFFIELD",140,139,"H",84036434.0000,13021870.0000,97530588.0000,2657432.0000,0.0000,0.0000,350000.0000,812017.0000,10863038.0000,9701021.0000,10863038.0000,"N",16357768.0000,36687209.0000,56288342.0000,35848599.0000,2780436.0000,53814443.0000,2056302.0000,2056302.0000,4673074.0000,4673074.0000,-142873.0000,-524312.0000,-142873.0000,0.0000,"N","N",,16818247.0000,16818247.0000,7696340.0000,36554636.0000,36096179.0000,9.8745830761384135e-01,37338595.0000,36404158.0000,9.7497396460686325e-01,1.5662000000000000e+04,,,4.2210000000000001e+01,1343190541.0000,1919627779.9900,2.7000000000000000e+01,4.4234856535600428e-02,2.7120000000000001e+01,2.2784000000000001e+03
"THOMASTON",141,140,"L",35802178.0000,-3630183.0000,32803816.0000,1542033.0000,0.0000,0.0000,0.0000,160000.0000,3167183.0000,3007183.0000,3167183.0000,"N",8030707.0000,18337484.0000,26761277.0000,15560482.0000,3260835.0000,23088382.0000,15000.0000,15000.0000,3660821.0000,3660821.0000,27074.0000,123671.0000,27074.0000,0.0000,"N","N",,27030667.0000,27030667.0000,5026516.0000,18080787.0000,17844146.0000,9.8691201881864987e-01,18684835.0000,18130532.0000,9.7033407038381658e-01,7.6210000000000000e+03,"Aa3","Aa3",1.2010000000000000e+01,523056807.0000,724533057.0900,2.0000000000000000e+01,4.8992576882290563e-02,3.3630000000000003e+01,1.0439700000000000e+03
"THOMPSON",142,141,"W",29410202.0000,2421873.0000,34973395.0000,-1590047.0000,0.0000,146490.0000,0.0000,216709.0000,2316695.0000,1953496.0000,2170205.0000,"N",9980410.0000,14130718.0000,24700624.0000,18736722.0000,1007713.0000,24853860.0000,64389.0000,64389.0000,359300.0000,359300.0000,-448147.0000,37348.0000,-448147.0000,0.0000,"N","N",,9751687.0000,9751687.0000,781293.0000,14009675.0000,13724925.0000,9.7967476047802682e-01,14753847.0000,13884401.0000,9.4106987824938138e-01,9.2900000000000000e+03,"A1","A1",4.6939999999999998e+01,615056976.0000,830639785.5200,5.2000000000000000e+01,5.2510098095787654e-02,2.2870000000000001e+01,1.0605999999999999e+03
"TOLLAND",143,142,"T",76933951.0000,18974027.0000,96221041.0000,-261387.0000,0.0000,0.0000,75249.0000,1537737.0000,8466220.0000,6853234.0000,8466220.0000,"N",16383122.0000,40552478.0000,57670027.0000,41845358.0000,4814034.0000,57475275.0000,86820.0000,86820.0000,210456.0000,210456.0000,71116.0000,488537.0000,71116.0000,0.0000,"N","N",,47315223.0000,47315223.0000,0.0000,40469272.0000,40094577.0000,9.9074124684031872e-01,40868737.0000,40339996.0000,9.8706245803485437e-01,1.4849000000000000e+04,"Aa2","Aa2",3.9710000000000001e+01,1300919626.0000,1824222786.9300,2.5000000000000000e+01,3.7098103874690848e-02,3.1050000000000001e+01,2.7919200000000001e+03
"TORRINGTON",144,143,"L",84490613.0000,-53393531.0000,31101934.0000,-2176877.0000,0.0000,0.0000,243703.0000,230674.0000,8812190.0000,8337813.0000,8812190.0000,"N",34990554.0000,86608504.0000,128056737.0000,76790078.0000,3808649.0000,126043610.0000,1501272.0000,1501272.0000,1549930.0000,1549930.0000,1964469.0000,417297.0000,1964469.0000,0.0000,"N","Y",,24673333.0000,24673333.0000,39800412.0000,86433955.0000,86433955.0000,1.0000000000000000e+00,86433955.0000,86433955.0000,1.0000000000000000e+00,3.4906000000000000e+04,"Aa3","Aa3",3.9789999999999999e+01,2373788485.0000,2876842026.8200,2.9700000000000000e+02,6.1972826910450023e-02,3.6320000000000000e+01,4.4822299999999996e+03
"TRUMBULL",145,144,"F",129919770.0000,-74707011.0000,55400270.0000,5061713.0000,1641853.0000,0.0000,1617278.0000,374390.0000,20254434.0000,16620913.0000,18612581.0000,"N",18574675.0000,144465175.0000,170470944.0000,111191120.0000,13053134.0000,170497669.0000,1267366.0000,2102280.0000,0.0000,607885.0000,1240641.0000,-2040913.0000,1467670.0000,0.0000,"N","N",,90938640.0000,90938640.0000,83797622.0000,143277980.0000,141672994.0000,9.8879809723727263e-01,146719539.0000,143941956.0000,9.8106875867433030e-01,3.6628000000000000e+04,"Aa2","Aa2",2.3289999999999999e+01,4517559428.0000,6660963078.0300,2.3000000000000000e+01,4.6656727955386230e-02,3.2161000000000001e+01,6.5865000000000000e+03
"UNION",146,145,"T",6537723.0000,-430791.0000,6228726.0000,1111.0000,0.0000,0.0000,0.0000,140000.0000,410156.0000,270156.0000,410156.0000,"N",604346.0000,2641477.0000,3295667.0000,2111063.0000,344362.0000,3316858.0000,40500.0000,40500.0000,0.0000,0.0000,19309.0000,-111964.0000,19309.0000,0.0000,"N","N",,2708983.0000,2708983.0000,0.0000,2602383.0000,2562545.0000,9.8469172293240470e-01,2670451.0000,2607967.0000,9.7660170510524247e-01,8.4300000000000000e+02,,,2.8710000000000001e+01,89854183.0000,128390261.4300,0.0000000000000000e+00,4.7516198704103674e-02,2.9000000000000000e+01,1.0980000000000000e+02
"VERNON",147,146,"T",117079226.0000,-38202259.0000,82254265.0000,3967349.0000,129500.0000,0.0000,0.0000,2003342.0000,14284787.0000,12151945.0000,14155287.0000,"N",25776430.0000,64116182.0000,92741578.0000,57008315.0000,5708537.0000,89124230.0000,167162.0000,167162.0000,2183065.0000,2183065.0000,1601445.0000,1279152.0000,1601445.0000,0.0000,"N","Y",,38016495.0000,38016495.0000,43896668.0000,63997909.0000,63158074.0000,9.8687714937686477e-01,65575191.0000,63839120.0000,9.7352549076067507e-01,2.8959000000000000e+04,"Aa2","Aa2",1.7730000000000000e+01,1762050886.0000,2520764899.9600,2.7100000000000000e+02,5.4595674659144333e-02,3.6109999999999999e+01,3.5821199999999999e+03
"VOLUNTOWN",148,147,"NL",9179768.0000,2803011.0000,11982779.0000,-109085.0000,0.0000,0.0000,0.0000,29654.0000,928931.0000,899277.0000,928931.0000,"N",3594485.0000,4928100.0000,8656046.0000,7048859.0000,0.0000,8581215.0000,82000.0000,82000.0000,1006304.0000,1006304.0000,-849473.0000,-333262.0000,-849473.0000,0.0000,"N","N",,0.0000,0.0000,0.0000,4888366.0000,4799913.0000,9.8190540560997275e-01,5109195.0000,4902170.0000,9.5947991806928490e-01,2.5790000000000000e+03,,,3.8920000000000002e+01,200681842.0000,283651328.7700,2.0000000000000000e+01,5.7756883814640697e-02,2.4250000000000000e+01,4.0570999999999998e+02
