Municipality,Numbered,Town Code,Net Grand List - 2012 GL Year
"ANDOVER",1,1,258994445.0000
"ANSONIA",2,2,892673611.0000
"ASHFORD",3,3,295376144.0000
"AVON",4,4,2688826620.0000
"BARKHAMSTED",5,5,374882562.0000
"BEACON FALLS",6,6,472457962.0000
"BERLIN",7,7,2155657751.0000
"BETHANY",8,8,620166763.0000
"BETHEL",9,9,1852145585.0000
"BETHLEHEM",10,10,407011169.0000
"BLOOMFIELD",11,11,2031708687.0000
"BOLTON",12,12,480891802.0000
"BOZRAH",13,13,215585700.0000
"BRANFORD",14,14,3486675562.0000
"BRIDGEPORT",15,15,7110904657.0000
"BRIDGEWATER",16,16,387086614.0000
"BRISTOL",17,17,3773177053.0000
"BROOKFIELD",18,18,2181612178.0000
"BROOKLYN",19,19,531868925.0000
"BURLINGTON",20,20,941466651.0000
"CANAAN",21,21,170020565.0000
"CANTERBURY",22,22,383275877.0000
"CANTON",23,23,1135939550.0000
"CHAPLIN",24,24,171883425.0000
"CHESHIRE",25,25,2881617644.0000
"CHESTER",26,26,501227540.0000
"CLINTON",27,27,1499396462.0000
"COLCHESTER",28,28,1191172264.0000
"COLEBROOK",29,29,184993030.0000
"COLUMBIA",30,30,463992644.0000
"CORNWALL",31,31,393024930.0000
"COVENTRY",32,32,994034405.0000
"CROMWELL",33,33,1255940643.0000
"DANBURY",34,34,6827106602.0000
"DARIEN",35,35,8891650290.0000
"DEEP RIVER",36,36,488069153.0000
"DERBY",37,37,744835102.0000
"DURHAM",38,38,737429530.0000
"EAST GRANBY",39,40,590727726.0000
"EAST HADDAM",40,41,843905515.0000
"EAST HAMPTON",41,42,1127504483.0000
"EAST HARTFORD",42,43,2688831662.0000
"EAST HAVEN",43,44,1974186731.0000
"EAST LYME",44,45,2050119208.0000
"EAST WINDSOR",45,47,929988582.0000
"EASTFORD",46,39,164465448.0000
"EASTON",47,46,1323625353.0000
"ELLINGTON",48,48,1271301727.0000
"ENFIELD",49,49,2845323647.0000
"ESSEX",50,50,1119610296.0000
"FAIRFIELD",51,51,10889060051.0000
"FARMINGTON",52,52,3475173670.0000
"FRANKLIN",53,53,215037865.0000
"GLASTONBURY",54,54,3808546358.0000
"GOSHEN",55,55,518007170.0000
"GRANBY",56,56,954011490.0000
"GREENWICH",57,57,30824749610.0000
"GRISWOLD",58,58,695610176.0000
"GROTON",59,59,3868863246.0000
"GROTON (City of)",60,,
"GUILFORD",61,60,3493861794.0000
"HADDAM",62,61,899845277.0000
"HAMDEN",63,62,4062588948.0000
"HAMPTON",64,63,155670037.0000
"HARTFORD",65,64,3484646856.0000
"HARTLAND",66,65,195097545.0000
"HARWINTON",67,66,564695831.0000
"HEBRON",68,67,772648505.0000
"KENT",69,68,671859145.0000
"KILLINGLY",70,69,1336287490.0000
"KILLINGWORTH",71,70,713809345.0000
"LEBANON",72,71,675482689.0000
"LEDYARD",73,72,1108546974.0000
"LISBON",74,73,368210844.0000
"LITCHFIELD",75,74,1110140980.0000
"LYME",76,75,608491084.0000
"MADISON",77,76,3457789924.0000
"MANCHESTER",78,77,3908022444.0000
"MANSFIELD",79,78,1011715713.0000
"MARLBOROUGH",80,79,567632905.0000
"MERIDEN",81,80,3218470206.0000
"MIDDLEBURY",82,81,927388544.0000
"MIDDLEFIELD",83,82,403493320.0000
"MIDDLETOWN",84,83,3573042211.0000
"MILFORD",85,84,6440527586.0000
"MONROE",86,85,2307984642.0000
"MONTVILLE",87,86,1241891661.0000
"MORRIS",88,87,353616808.0000
"NAUGATUCK",89,88,1566229089.0000
"NEW BRITAIN",90,89,2441301264.0000
"NEW CANAAN",91,90,8299347038.0000
"NEW FAIRFIELD",92,91,1687072376.0000
"NEW HARTFORD",93,92,715256311.0000
"NEW HAVEN",94,93,6077165950.0000
"NEW LONDON",95,95,1569776194.0000
"NEW MILFORD",96,96,2884668215.0000
"NEWINGTON",97,94,2536619686.0000
"NEWTOWN",98,97,3037125308.0000
"NORFOLK",99,98,309443430.0000
"NORTH BRANFORD",100,99,1261064588.0000
"NORTH CANAAN",101,100,308491940.0000
"NORTH HAVEN",102,101,2813316822.0000
"NORTH STONINGTON",103,102,524625576.0000
"NORWALK",104,103,12804127889.0000
"NORWICH",105,104,2423927020.0000
"OLD LYME",106,105,1607851495.0000
"OLD SAYBROOK",107,106,2488991824.0000
"ORANGE",108,107,1892490448.0000
"OXFORD",109,108,1408304205.0000
"PLAINFIELD",110,109,835558360.0000
"PLAINVILLE",111,110,1339175184.0000
"PLYMOUTH",112,111,757086852.0000
"POMFRET",113,112,358044798.0000
"PORTLAND",114,113,795869961.0000
"PRESTON",115,114,381825751.0000
"PROSPECT",116,115,806651649.0000
"PUTNAM",117,116,627661365.0000
"REDDING",118,117,1626710439.0000
"RIDGEFIELD",119,118,4618881301.0000
"ROCKY HILL",120,119,2161927354.0000
"ROXBURY",121,120,694043380.0000
"SALEM",122,121,360941990.0000
"SALISBURY",123,122,1156066100.0000
"SCOTLAND",124,123,127867900.0000
"SEYMOUR",125,124,1208751805.0000
"SHARON",126,125,851634816.0000
"SHELTON",127,126,4495499170.0000
"SHERMAN",128,127,763304091.0000
"SIMSBURY",129,128,2234667295.0000
"SOMERS",130,129,834794596.0000
"SOUTH WINDSOR",131,132,2466560488.0000
"SOUTHBURY",132,130,2099284584.0000
"SOUTHINGTON",133,131,3731644512.0000
"SPRAGUE",134,133,163859991.0000
"STAFFORD",135,134,763713549.0000
"STAMFORD",136,135,18839166277.0000
"STERLING",137,136,224123451.0000
"STONINGTON",138,137,2592616626.0000
"STRATFORD",139,138,4531278020.0000
"SUFFIELD",140,139,1428862977.0000
"THOMASTON",141,140,527643734.0000
"THOMPSON",142,141,613190008.0000
"TOLLAND",143,142,1295797756.0000
"TORRINGTON",144,143,2360288625.0000
"TRUMBULL",145,144,4465363903.0000
"UNION",146,145,98614334.0000
"VERNON",147,146,1734380865.0000
"VOLUNTOWN",148,147,199289624.0000
"WALLINGFORD",149,148,4217052785.0000
"WARREN",150,149,342705650.0000
"WASHINGTON",151,150,1254795221.0000
"WATERBURY",152,151,4016431515.0000
"WATERFORD",153,152,3173071768.0000
"WATERTOWN",154,153,1957587145.0000
"WEST HARTFORD",155,155,5888535750.0000
"WEST HAVEN",156,156,2819622036.0000
"WESTBROOK",157,154,1134261597.0000
"WESTON",158,157,2660640912.0000
"WESTPORT",159,158,9799546479.0000
"WETHERSFIELD",160,159,2335601900.0000
"WILLINGTON",161,160,479609789.0000
"WILTON",162,161,4237894310.0000
"WINCHESTER",163,162,688379460.0000
"WINDHAM",164,163,962400175.0000
"WINDSOR",165,164,3014228046.0000
"WINDSOR LOCKS",166,165,1269830949.0000
"WOLCOTT",167,166,1257541104.0000
"WOODBRIDGE",168,167,1201171700.0000
"WOODBURY",169,168,1237661106.0000
"WOODSTOCK",170,169,667366070.0000
