2017 Tax Exempt %,Municipality,numbered,2017 Net GL,2017 GL Tax Exempt Property,2017 Total NGL and Taxable,SortID
5.6484551598520261e-01,"MANSFIELD",7.9000000000000000e+01,1104769523.0000,1434028912.0000,2538798435.0000,1
5.5400288756754745e-01,"NEW HAVEN",9.4000000000000000e+01,6597582657.0000,8195299344.0000,14792882001.0000,2
5.0882475097374547e-01,"HARTFORD",6.5000000000000000e+01,4061916449.0000,4207874134.0000,8269790583.0000,3
4.1492447196801258e-01,"WINDHAM",1.6400000000000000e+02,893208537.0000,633446560.0000,1526655097.0000,4
3.9008546262161620e-01,"WINDSOR LOCKS",1.6600000000000000e+02,1283733731.0000,821042680.0000,2104776411.0000,5
3.6570563612596751e-01,"WESTBROOK",1.5700000000000000e+02,1140719830.0000,657687810.0000,1798407640.0000,6
3.6179388749923430e-01,"EASTFORD",4.6000000000000000e+01,146546806.0000,83076200.0000,229623006.0000,7
3.1141705343029935e-01,"NEW BRITAIN",9.0000000000000000e+01,2651729516.0000,1199265530.0000,3850995046.0000,8
2.8242860211088605e-01,"MIDDLETOWN",8.4000000000000000e+01,3458455940.0000,1361212110.0000,4819668050.0000,9
2.7347804380397972e-01,"BRIDGEPORT",1.5000000000000000e+01,6064663214.0000,2282865945.0000,8347529159.0000,11
2.7249698704252351e-01,"WATERBURY",1.5200000000000000e+02,4271815282.0000,1600071440.0000,5871886722.0000,12
2.5951502004661570e-01,"CANAAN",2.1000000000000000e+01,176741680.0000,61942000.0000,238683680.0000,13
2.5925807125070444e-01,"GROTON",5.9000000000000000e+01,3732711091.0000,1306440800.0000,5039151891.0000,14
2.4845360844393488e-01,"WEST HAVEN",1.5600000000000000e+02,2653442117.0000,877201030.0000,3530643147.0000,16
2.3050990059027790e-01,"NEW LONDON",9.5000000000000000e+01,1325382323.0000,397034020.0000,1722416343.0000,17
2.2829172335902315e-01,"NEW MILFORD",9.6000000000000000e+01,2896387950.0000,856828178.0000,3753216128.0000,18
2.2707554732182686e-01,"NORWICH",1.0500000000000000e+02,1874078028.0000,550580710.0000,2424658738.0000,19
2.2551174718197484e-01,"POMFRET",1.1300000000000000e+02,351630878.0000,102386180.0000,454017058.0000,20
2.2152639387468523e-01,"EAST WINDSOR",4.5000000000000000e+01,959152611.0000,272941327.0000,1232093938.0000,21
1.9891025415887204e-01,"MONTVILLE",8.7000000000000000e+01,1272082737.0000,315857620.0000,1587940357.0000,22
1.9587925926338384e-01,"DEEP RIVER",3.6000000000000000e+01,503279145.0000,122595950.0000,625875095.0000,23
1.9306679637127849e-01,"EAST HAVEN",4.3000000000000000e+01,1974117707.0000,472327300.0000,2446445007.0000,24
1.7907457016595396e-01,"DERBY",3.7000000000000000e+01,718832500.0000,156804280.0000,875636780.0000,25
1.7489434352171984e-01,"KENT",6.9000000000000000e+01,604164826.0000,128062400.0000,732227226.0000,26
1.6857357417375857e-01,"MERIDEN",8.1000000000000000e+01,3069921607.0000,622433497.0000,3692355104.0000,27
1.6811381747365495e-01,"PUTNAM",1.1700000000000000e+02,631892551.0000,127697600.0000,759590151.0000,28
1.6537691397583193e-01,"EAST HADDAM",4.0000000000000000e+01,872252915.0000,172833100.0000,1045086015.0000,30
1.6315969292555055e-01,"NORFOLK",9.9000000000000000e+01,295959369.0000,57703530.0000,353662899.0000,31
1.6161758792073391e-01,"DANBURY",3.4000000000000000e+01,7733743428.0000,1490857800.0000,9224601228.0000,32
1.5612378228334778e-01,"HAMDEN",6.3000000000000000e+01,3874828212.0000,716873901.0000,4591702113.0000,33
1.4505139991248575e-01,"LEDYARD",7.3000000000000000e+01,1104163506.0000,187333440.0000,1291496946.0000,34
