Municipality,numbered,Comptroller Town Code,County_Identifier,Net Investment In Capital Assets,Unrestricted Net Position,Total Net Position,Change In Net Position,Nonspendable_Fund_Bal,Restricted_Fund_Bal,Committed_Fund_Bal,Assigned_Fund_Bal,Total_Fund_Bal,Unassigned_Fund_Bal,Unrestricted_Fund_Bal,Restatement of Fund Balance (Y or N),Inter_Gov_Rev,Tax_Rev,Total_Revenue,Education,Debt_Service,Total_Expenditures,TOTAL_Trans_to_Genl_Fund,Other_Financing_Sources,TOTAL_Trans_from_Genl_Fund,Other_Financing_Uses,Operating_Surplus_(Deficit)_Including_Transfers,Prior_Yr_OP_Surplus_(Def)_including_sources_and_uses,Operating_Surplus_(Deficit)_Including_Sources_And_Uses,Special / Extraordinary Items,RSD_DEBT,TOWN_Bonded_Long_Term_Debt,Total_Bonded_Long_Term_Debt_(RSD_+_Town),Total_Net_Pension_Liability,Curr_Year_Adjusted_Taxes_Collectible,Curr_Year_Taxes_Collected,Curr_Year_Tax_Collection_Rate,Total_Adjusted_Taxes_Collectible,Total_Taxes_Collected,Overal_Total_Tax_Collection_Rate,2016 Population,Moody's_Bond_Ratings_Latest,Date of Latest Moody's Ratings,Moody's_Bond_Ratings_July_2016,ACGLFY16,EGL,TANF16 Recipients,empl,ACMR,enrollmt,TFA16 Recipients
"OLD SAYBROOK",107,106,"M",73711809.0000,-5819021.0000,68041947.0000,1866742.0000,0.0000,143100.0000,49589.0000,0.0000,4422521.0000,4229832.0000,4279421.0000,"N",4562670.0000,41747791.0000,47605190.0000,27971556.0000,4070729.0000,46004771.0000,0.0000,0.0000,864599.0000,864599.0000,735820.0000,820937.0000,735820.0000,0.0000,,35274791.0000,35274791.0000,18428428.0000,41542750.0000,41182095.0000,9.9131846110332122e-01,42061088.0000,41497131.0000,9.8659195406452638e-01,1.0093000000000000e+04,"Aa2","2017-07-18 00:00:00","Aa2",2219086904.0000,3181508485.8638,1.4000000000000000e+01,4.3675889328063239e-02,1.8809999999999999e+01,1.3512400000000000e+03,1.4000000000000000e+01
"ORANGE",108,107,"NH",27508202.0000,1453452.0000,28988278.0000,-330749.0000,13400.0000,0.0000,0.0000,1265994.0000,11250025.0000,9970631.0000,11236625.0000,"N",5118888.0000,60374182.0000,67324863.0000,44175681.0000,6375710.0000,67077255.0000,870351.0000,870351.0000,529315.0000,529315.0000,588644.0000,1499272.0000,588644.0000,0.0000,16483780.8084,26005000.0000,42488780.8084,12448029.0000,60318829.0000,59953187.0000,9.9393817807703133e-01,60723993.0000,60309878.0000,9.9318037270704518e-01,1.3912000000000000e+04,"Aa1","2017-07-18 00:00:00","Aa1",1921064120.0000,2891806319.9690,1.8000000000000000e+01,4.0768380320619128e-02,3.1399999999999999e+01,2.3035000000000000e+03,2.1500000000000000e+01
"OXFORD",109,108,"NH",66103570.0000,9552266.0000,75668975.0000,6741578.0000,4032.0000,0.0000,0.0000,1221677.0000,12332136.0000,11106427.0000,12328104.0000,"N",8541198.0000,36410153.0000,49171149.0000,31084769.0000,3742213.0000,47346449.0000,31260.0000,6184260.0000,1774000.0000,1774000.0000,81960.0000,-258288.0000,6234960.0000,0.0000,,20929228.0000,20929228.0000,3901617.0000,36140159.0000,35570164.0000,9.8422820995336513e-01,38092090.0000,36087749.0000,9.4738170050527548e-01,1.2984000000000000e+04,"Aa2","2017-07-18 00:00:00","Aa2",1442578157.0000,2121407917.0100,1.8000000000000000e+01,4.3641417651146631e-02,2.4960000000000001e+01,2.0371300000000001e+03,2.1500000000000000e+01
"PLAINFIELD",110,109,"W",59882369.0000,-770106.0000,60539134.0000,-882976.0000,4666.0000,7747.0000,0.0000,2100000.0000,8467820.0000,6355407.0000,8455407.0000,"N",22220524.0000,26039694.0000,50690564.0000,39109612.0000,1507800.0000,50395621.0000,359000.0000,359000.0000,15583.0000,15583.0000,638360.0000,375944.0000,638360.0000,0.0000,,9652628.0000,9652628.0000,5471858.0000,25855061.0000,25280635.0000,9.7778284104609148e-01,27196784.0000,25845487.0000,9.5031408860694710e-01,1.5067000000000000e+04,"Aa3","2017-07-18 00:00:00","Aa3",910620960.0000,1315005038.1321,1.2000000000000000e+02,5.9684161634928005e-02,2.8359999999999999e+01,2.2938099999999999e+03,1.3550000000000000e+02
"PLAINVILLE",111,110,"H",90129040.0000,6154118.0000,97549725.0000,1878661.0000,48562.0000,0.0000,198387.0000,1173970.0000,10908631.0000,9487712.0000,10860069.0000,"N",16214440.0000,44113227.0000,61995041.0000,38395769.0000,6042767.0000,59428830.0000,320221.0000,5791198.0000,3143704.0000,8505121.0000,-257272.0000,-978153.0000,-147712.0000,0.0000,,43663334.0000,43663334.0000,6726776.0000,43669442.0000,42766974.0000,9.7933410736047422e-01,45854334.0000,43519308.0000,9.4907731077284863e-01,1.7677000000000000e+04,"Aa3","2017-07-18 00:00:00","Aa3",1363370576.0000,1936585287.0100,8.6000000000000000e+01,5.0253661338183209e-02,3.1829999999999998e+01,2.4151599999999999e+03,9.5000000000000000e+01
"PLYMOUTH",112,111,"L",157247133.0000,-7425872.0000,151320044.0000,-2311089.0000,0.0000,0.0000,100000.0000,1092917.0000,1573549.0000,380632.0000,1573549.0000,"N",13691121.0000,27131451.0000,41340709.0000,25838998.0000,2984914.0000,41319766.0000,60000.0000,60000.0000,780713.0000,780713.0000,-699770.0000,-875030.0000,-699770.0000,0.0000,,21912407.0000,21912407.0000,14397958.0000,27003099.0000,26429209.0000,9.7900000000000009e-01,27851138.0000,26808403.0000,9.6299999999999997e-01,1.1749000000000000e+04,,"2017-07-18 00:00:00",,764173358.0000,1052827086.2407,6.1000000000000000e+01,5.8258258258258255e-02,3.5430000000000000e+01,1.6783699999999999e+03,6.9000000000000000e+01
"POMFRET",113,112,"W",8857654.0000,4921409.0000,14670835.0000,175911.0000,0.0000,0.0000,0.0000,338550.0000,2111987.0000,1773437.0000,2111987.0000,"N",4165929.0000,8953068.0000,13344694.0000,10594981.0000,411679.0000,12704893.0000,33611.0000,33611.0000,389492.0000,389492.0000,283920.0000,192147.0000,283920.0000,0.0000,,7371000.0000,7371000.0000,0.0000,8826456.0000,8750085.0000,9.9134748986456167e-01,8973508.0000,8853732.0000,9.8665226575827425e-01,4.1490000000000000e+03,,"2017-07-18 00:00:00",,363706721.0000,469782177.0194,7.0000000000000000e+00,3.5351483136936201e-02,2.4239999999999998e+01,6.0247000000000003e+02,9.0000000000000000e+00
"PORTLAND",114,113,"M",62647452.0000,-1851331.0000,61227750.0000,1341917.0000,0.0000,0.0000,172117.0000,344556.0000,5989805.0000,5473132.0000,5989805.0000,"N",6731383.0000,26303134.0000,34206154.0000,21778087.0000,2695142.0000,32864796.0000,0.0000,0.0000,1101445.0000,1101445.0000,239913.0000,351917.0000,239913.0000,0.0000,,12625110.0000,12625110.0000,10841171.0000,26142320.0000,25806203.0000,9.8714280140400701e-01,26908974.0000,26166094.0000,9.7239285303111145e-01,9.3490000000000000e+03,"Aa3","2017-07-18 00:00:00","Aa3",804546811.0000,1124230415.4447,3.2000000000000000e+01,4.9051787016776073e-02,3.2340000000000003e+01,1.4005100000000000e+03,3.5500000000000000e+01
"PRESTON",115,114,"NL",8610505.0000,4590462.0000,13304503.0000,9344.0000,0.0000,2112.0000,0.0000,787116.0000,3421075.0000,2631847.0000,3418963.0000,"N",5818194.0000,9150633.0000,16169516.0000,12070980.0000,680114.0000,16150853.0000,1181.0000,1181.0000,256800.0000,256800.0000,-236956.0000,283965.0000,-236956.0000,0.0000,,5385000.0000,5385000.0000,484141.0000,9116594.0000,8941697.0000,9.8081553264300247e-01,9347969.0000,9082115.0000,9.7156023944880432e-01,4.6850000000000000e+03,,"2017-07-18 00:00:00",,394076849.0000,538805849.0079,1.3000000000000000e+01,5.0685500623182382e-02,2.3000000000000000e+01,6.4809000000000003e+02,1.6500000000000000e+01
"PROSPECT",116,115,"NH",15920376.0000,1809008.0000,19102446.0000,824858.0000,0.0000,0.0000,0.0000,376590.0000,1514169.0000,1137579.0000,1514169.0000,"N",5725934.0000,24272060.0000,31309518.0000,22604656.0000,1237965.0000,32313779.0000,445070.0000,1703403.0000,315000.0000,315000.0000,-874191.0000,328429.0000,384142.0000,0.0000,20031399.3160,2204781.0000,22236180.3160,384817.0000,24076621.0000,23849245.0000,9.9055614988498597e-01,24418586.0000,24096515.0000,9.8681041563995553e-01,9.7550000000000000e+03,,"2017-07-18 00:00:00","A2",823909411.0000,1212916004.7384,2.0000000000000000e+01,4.1979278313683456e-02,2.9230000000000000e+01,1.3910699999999999e+03,2.2000000000000000e+01
"PUTNAM",117,116,"W",46290864.0000,13142348.0000,60695770.0000,16459148.0000,0.0000,0.0000,1053443.0000,0.0000,5666218.0000,4612775.0000,5666218.0000,"Y",11336152.0000,10283467.0000,25321834.0000,19502945.0000,44860.0000,24506075.0000,66017.0000,66017.0000,470228.0000,470228.0000,411548.0000,784743.0000,411548.0000,0.0000,,640000.0000,640000.0000,0.0000,10058833.0000,9842558.0000,9.7849899685182162e-01,10789172.0000,10107044.0000,9.3677661270021462e-01,9.3330000000000000e+03,,"2017-07-18 00:00:00",,610075511.0000,873806122.8586,9.6000000000000000e+01,5.7756463719766470e-02,1.6420000000000002e+01,1.1658900000000001e+03,1.1100000000000000e+02
"REDDING",118,117,"F",44090719.0000,5684357.0000,49775076.0000,2023122.0000,1742005.0000,0.0000,200000.0000,224909.0000,9306152.0000,7139238.0000,7564147.0000,"N",3786491.0000,45448399.0000,50709756.0000,36254652.0000,2149046.0000,49940447.0000,0.0000,7435217.0000,296000.0000,7387096.0000,473309.0000,1328640.0000,817430.0000,0.0000,6550569.9442,13118962.0000,19669531.9442,4469285.0000,45708421.0000,45056402.0000,9.8573525434186404e-01,48012484.0000,45342898.0000,9.4439808613109877e-01,9.2160000000000000e+03,"Aa1","2017-07-18 00:00:00","Aa1",1631023118.0000,2302598147.8619,0.0000000000000000e+00,4.1834451901565997e-02,2.8910000000000000e+01,1.4880500000000000e+03,1.5000000000000000e+00
"RIDGEFIELD",119,118,"F",111173490.0000,28964190.0000,140179620.0000,8822562.0000,0.0000,0.0000,0.0000,3000480.0000,17075014.0000,14074534.0000,17075014.0000,"N",13768527.0000,122758353.0000,145507107.0000,96082052.0000,12067557.0000,143548301.0000,55443.0000,55443.0000,1438738.0000,1438738.0000,575511.0000,443214.0000,575511.0000,0.0000,,79604661.0000,79604661.0000,4440105.0000,121415526.0000,120105602.0000,9.8921123151910573e-01,125615712.0000,121776834.0000,9.6943950769470622e-01,2.5063000000000000e+04,"Aaa","2017-07-18 00:00:00","Aaa",4711745970.0000,7212648901.2660,0.0000000000000000e+00,3.7863421230561189e-02,2.6010000000000002e+01,5.0147700000000004e+03,0.0000000000000000e+00
"ROCKY HILL",120,119,"H",43831264.0000,-7213416.0000,36668287.0000,3835019.0000,0.0000,0.0000,0.0000,1733105.0000,6002588.0000,4269483.0000,6002588.0000,"N",10581229.0000,60302037.0000,72666162.0000,41398116.0000,3675133.0000,72385328.0000,0.0000,0.0000,567117.0000,567117.0000,-286283.0000,150020.0000,-286283.0000,0.0000,,26468603.0000,26468603.0000,7851694.0000,60060008.0000,59652805.0000,9.9322006417315167e-01,60666198.0000,59994871.0000,9.8893408484243561e-01,2.0119000000000000e+04,,"2017-07-18 00:00:00","Aa2",2018435060.0000,3193390993.0241,4.4000000000000000e+01,3.9650246731884685e-02,2.9699999999999999e+01,2.7623200000000002e+03,5.1500000000000000e+01
"ROXBURY",121,120,"L",10419051.0000,3300014.0000,16249049.0000,5315.0000,5317.0000,0.0000,331981.0000,0.0000,2432390.0000,2095092.0000,2427073.0000,"N",188982.0000,9598004.0000,10292835.0000,7119534.0000,6626.0000,9743394.0000,0.0000,0.0000,333500.0000,333500.0000,215941.0000,112137.0000,215941.0000,0.0000,453194.9710,0.0000,453194.9710,0.0000,9548602.0000,9495771.0000,9.9446714817519888e-01,9615784.0000,9537571.0000,9.9186618584610464e-01,2.1760000000000000e+03,,"2017-07-18 00:00:00",,698225720.0000,944561939.3068,0.0000000000000000e+00,3.1626506024096383e-02,1.3699999999999999e+01,2.1491999999999999e+02,0.0000000000000000e+00
"SALEM",122,121,"NL",16372894.0000,3460231.0000,20691961.0000,1072015.0000,0.0000,28072.0000,0.0000,355917.0000,2822246.0000,2438257.0000,2794174.0000,"N",4577988.0000,11659288.0000,16527256.0000,11748904.0000,302814.0000,14987615.0000,8718.0000,8718.0000,1357785.0000,1357785.0000,190574.0000,594518.0000,190574.0000,0.0000,,4711136.0000,4711136.0000,0.0000,11588834.0000,11442788.0000,9.8739769678295508e-01,11894914.0000,11585198.0000,9.7396231700372105e-01,4.1670000000000000e+03,"A1","2017-07-18 00:00:00","A1",366624276.0000,496154900.8184,9.0000000000000000e+00,5.1546391752577317e-02,3.1699999999999999e+01,6.3045000000000005e+02,9.5000000000000000e+00
"SALISBURY",123,122,"L",16969020.0000,5820065.0000,25968113.0000,1879151.0000,0.0000,47382.0000,271946.0000,240526.0000,2161326.0000,1601472.0000,2113944.0000,"N",1473804.0000,12674139.0000,14829653.0000,8702313.0000,422882.0000,13371285.0000,25198.0000,25198.0000,1715262.0000,1715262.0000,-231696.0000,409751.0000,-231696.0000,0.0000,813628.2980,2446645.0000,3260273.2980,153126.0000,12646957.0000,12573395.0000,9.9418342293723305e-01,12791297.0000,12642195.0000,9.8834348072756029e-01,3.6180000000000000e+03,,"2017-07-18 00:00:00",,1179704370.0000,1644012796.1403,1.0000000000000000e+00,3.2578685808945337e-02,1.0699999999999999e+01,3.4187000000000000e+02,2.0000000000000000e+00
"SCOTLAND",124,123,"W",11989221.0000,829621.0000,13000067.0000,34109.0000,0.0000,0.0000,0.0000,13282.0000,665543.0000,652261.0000,665543.0000,"N",1828593.0000,4126784.0000,6047374.0000,4673197.0000,368867.0000,6207941.0000,530.0000,85080.0000,18000.0000,18000.0000,-178037.0000,-110558.0000,-93487.0000,0.0000,0.0000,2470459.0000,2470459.0000,0.0000,4066647.0000,3982604.0000,9.7933358858046937e-01,4207566.0000,4066461.0000,9.6646398416566726e-01,1.6780000000000000e+03,"A1","2017-07-18 00:00:00","A1",113163615.0000,151789304.8494,3.0000000000000000e+00,4.8066875653082548e-02,3.5750000000000000e+01,2.0909000000000000e+02,4.0000000000000000e+00
"SEYMOUR",125,124,"NH",58219654.0000,-7412603.0000,50807051.0000,-2416110.0000,0.0000,0.0000,0.0000,953421.0000,6070115.0000,5116694.0000,6070115.0000,"N",15037154.0000,43329387.0000,59765806.0000,36363723.0000,5363078.0000,58766471.0000,340793.0000,340793.0000,496792.0000,496792.0000,843336.0000,156825.0000,843336.0000,0.0000,,35347897.0000,35347897.0000,2050425.0000,42668022.0000,41941962.0000,9.8298350928946276e-01,44386335.0000,42865609.0000,9.6573886985713053e-01,1.6553000000000000e+04,,"2017-07-18 00:00:00",,1233217428.0000,1702581361.1047,4.3000000000000000e+01,5.4427025833517335e-02,3.4590000000000003e+01,2.3234899999999998e+03,4.7000000000000000e+01
"SHARON",126,125,"L",5778762.0000,5025011.0000,10803773.0000,72167.0000,0.0000,0.0000,330129.0000,0.0000,2323570.0000,1993441.0000,2323570.0000,"Y",563923.0000,10097120.0000,11008037.0000,6969515.0000,773595.0000,10931833.0000,7220.0000,7220.0000,340954.0000,340954.0000,-257530.0000,-759571.0000,-257530.0000,0.0000,712421.9086,5869388.0000,6581809.9086,0.0000,9955836.0000,9737142.0000,9.7803358753599401e-01,10566368.0000,9933741.0000,9.4012824463429634e-01,2.7140000000000000e+03,"Aa2","2017-07-18 00:00:00","Aa2",725223484.0000,926930282.0057,1.0000000000000000e+00,3.2279757901815739e-02,1.3699999999999999e+01,2.3040000000000001e+02,2.0000000000000000e+00
"SHELTON",127,126,"F",167108948.0000,-4392765.0000,163029125.0000,-2762211.0000,63293.0000,0.0000,7319250.0000,362000.0000,12717944.0000,4973401.0000,12654651.0000,"N",15574065.0000,103118237.0000,122379640.0000,76887536.0000,11279206.0000,125838479.0000,0.0000,0.0000,1151019.0000,1151019.0000,-4609858.0000,-1928247.0000,-4609858.0000,0.0000,,45802103.0000,45802103.0000,1975001.0000,101891070.0000,100864919.0000,9.8992894077959925e-01,104492790.0000,102230005.0000,9.7834506093674023e-01,4.1334000000000000e+04,"Aa2","2017-07-18 00:00:00","Aa2",4552405520.0000,6691388869.4689,1.0400000000000000e+02,4.9552989801877889e-02,2.2309999999999999e+01,5.1786999999999998e+03,1.2150000000000000e+02
"SHERMAN",128,127,"F",13915748.0000,3656703.0000,17583201.0000,977459.0000,0.0000,10750.0000,0.0000,0.0000,2227249.0000,2216499.0000,2216499.0000,"N",1216580.0000,13674668.0000,15269632.0000,9589213.0000,1074720.0000,13897046.0000,0.0000,0.0000,1071556.0000,1071556.0000,301030.0000,460911.0000,301030.0000,0.0000,,7500000.0000,7500000.0000,0.0000,13550914.0000,13511521.0000,9.9709296361854260e-01,13675416.0000,13602801.0000,9.9469010668487157e-01,3.6410000000000000e+03,"Aa2","2017-07-18 00:00:00","Aa2",675106868.0000,993367439.2039,3.0000000000000000e+00,4.1467304625199361e-02,2.0039999999999999e+01,5.0218000000000001e+02,3.0000000000000000e+00
"SIMSBURY",129,128,"H",103429189.0000,19400044.0000,122829233.0000,2191964.0000,0.0000,0.0000,427598.0000,1787133.0000,13462303.0000,11247572.0000,13462303.0000,"N",13884108.0000,84535118.0000,100917731.0000,74054959.0000,6909415.0000,97932964.0000,101446.0000,101446.0000,2316462.0000,2316462.0000,769751.0000,1057354.0000,769751.0000,0.0000,,31689473.0000,31689473.0000,20042867.0000,84403852.0000,83954704.0000,9.9467858410064036e-01,85185164.0000,84258940.0000,9.8912693294808940e-01,2.4407000000000000e+04,"Aaa","2017-07-18 00:00:00","Aaa",2268971299.0000,3586049743.5545,2.4000000000000000e+01,3.5846072746441748e-02,3.7119999999999997e+01,4.2534700000000003e+03,2.7500000000000000e+01
"SOMERS",130,129,"T",44264729.0000,4416124.0000,50124091.0000,1476756.0000,132912.0000,0.0000,787237.0000,629566.0000,7693740.0000,6144025.0000,7560828.0000,"Y",12199915.0000,20216216.0000,33119999.0000,24017924.0000,2059426.0000,33691559.0000,196399.0000,741828.0000,200000.0000,200000.0000,-575161.0000,955604.0000,-29732.0000,0.0000,,14985087.0000,14985087.0000,1224593.0000,20179886.0000,19909113.0000,9.8658203520079346e-01,20477389.0000,20106174.0000,9.8187195642960146e-01,1.1092000000000000e+04,"Aa2","2017-07-18 00:00:00","Aa2",866472730.0000,1243529110.2388,1.8000000000000000e+01,4.5463452870860281e-02,2.3370000000000001e+01,1.4411400000000001e+03,1.8500000000000000e+01
"SOUTH WINDSOR",131,132,"H",121725879.0000,3572905.0000,125298784.0000,106752.0000,0.0000,0.0000,0.0000,2096625.0000,10131880.0000,8035255.0000,10131880.0000,"N",21589783.0000,92999372.0000,117077453.0000,76768518.0000,6874897.0000,112353559.0000,57537.0000,264604.0000,1714980.0000,1714980.0000,3066451.0000,-171143.0000,3273518.0000,0.0000,,64937503.0000,64937503.0000,23466481.0000,91894135.0000,90891340.0000,9.8908749725975442e-01,95673962.0000,92213511.0000,9.6383079651284853e-01,2.5737000000000000e+04,"Aa2","2017-07-18 00:00:00","Aa2",2500561611.0000,3624125847.2869,3.8000000000000000e+01,4.2684659090909093e-02,3.6539999999999999e+01,4.3208800000000001e+03,3.8500000000000000e+01
"SOUTHBURY",132,130,"NH",81692295.0000,16858952.0000,98551247.0000,4013068.0000,255981.0000,0.0000,487531.0000,5505058.0000,8210336.0000,1961766.0000,7954355.0000,"N",3804091.0000,60597395.0000,66119809.0000,44646554.0000,1283505.0000,61144972.0000,100000.0000,100000.0000,3471311.0000,3471311.0000,1603526.0000,-494351.0000,1603526.0000,0.0000,8869382.3706,6410000.0000,15279382.3706,5375901.0000,60118678.0000,59678981.0000,9.9268618315259693e-01,60658099.0000,59954788.0000,9.8840532407716897e-01,1.9572000000000000e+04,"Aa2","2017-07-18 00:00:00","Aa2",2119764540.0000,3186299045.3322,2.2000000000000000e+01,4.9840328467153285e-02,2.8399999999999999e+01,2.5822600000000002e+03,2.3500000000000000e+01
"SOUTHINGTON",133,131,"H",155774000.0000,17739000.0000,173627000.0000,10912000.0000,33000.0000,0.0000,146000.0000,598000.0000,20515000.0000,19738000.0000,20482000.0000,"N",33321000.0000,111979000.0000,150107000.0000,99479000.0000,9428000.0000,145402000.0000,40000.0000,533000.0000,3830000.0000,3830000.0000,915000.0000,-2424000.0000,1408000.0000,0.0000,,130880000.0000,130880000.0000,10270000.0000,111851000.0000,110580000.0000,9.8863666842495823e-01,114052000.0000,111477000.0000,9.7742257917441167e-01,4.3685000000000000e+04,"Aa2","2017-07-18 00:00:00","Aa2",3828716963.0000,5705132585.6831,1.0500000000000000e+02,4.3210888816005245e-02,2.9140000000000001e+01,6.6480400000000000e+03,1.2000000000000000e+02
"SPRAGUE",134,133,"NL",17375163.0000,676037.0000,18297647.0000,460922.0000,23664.0000,0.0000,0.0000,21802.0000,181755.0000,136289.0000,158091.0000,"N",3912985.0000,5055478.0000,9198373.0000,6849721.0000,2004292.0000,9625684.0000,155922.0000,155922.0000,37500.0000,37500.0000,-308889.0000,-213149.0000,-308889.0000,0.0000,,9013788.0000,9013788.0000,0.0000,5382997.0000,4884449.0000,9.0738467808917600e-01,5801557.0000,5032387.0000,8.6742007361127371e-01,2.9210000000000000e+03,"Baa1","2017-08-23 00:00:00","A2",170748310.0000,254681401.7775,4.3000000000000000e+01,5.4409005628517824e-02,3.1000000000000000e+01,4.6188999999999999e+02,5.3500000000000000e+01
"STAFFORD",135,134,"T",80754424.0000,4696745.0000,90266951.0000,-639969.0000,0.0000,25347.0000,0.0000,988270.0000,6745433.0000,5731816.0000,6720086.0000,"Y",14705231.0000,25944840.0000,42323060.0000,29837976.0000,7489662.0000,47367764.0000,233131.0000,7614965.0000,2045000.0000,2045000.0000,-6856573.0000,174415.0000,525261.0000,0.0000,,38326782.0000,38326782.0000,8035676.0000,25481291.0000,24756557.0000,9.7155819145898059e-01,27332149.0000,25772933.0000,9.4295304039210381e-01,1.1758000000000000e+04,"A1","2017-07-18 00:00:00","A1",769249636.0000,1101177516.2062,6.1000000000000000e+01,5.5841293166789124e-02,3.3369999999999997e+01,1.5964900000000000e+03,7.0000000000000000e+01
"STAMFORD",136,135,"F",392005326.0000,-139728759.0000,252276567.0000,11305338.0000,3500714.0000,0.0000,3810091.0000,32902500.0000,41634615.0000,1421310.0000,38133901.0000,"N",49990949.0000,477337508.0000,556311786.0000,285987017.0000,52986592.0000,507886110.0000,2779647.0000,2779647.0000,51548119.0000,51548119.0000,-342796.0000,8809101.0000,-342796.0000,0.0000,,419242793.0000,419242793.0000,205750702.0000,484534634.0000,478430034.0000,9.8740110701766681e-01,489534537.0000,480171398.0000,9.8087338422048864e-01,1.2911300000000000e+05,"Aa1","2017-07-18 00:00:00","Aa1",19303915067.0000,32163709171.3531,7.6400000000000000e+02,4.3937256913279481e-02,2.5430000000000000e+01,1.5642219999999999e+04,8.4200000000000000e+02
"STERLING",137,136,"W",22612766.0000,2311860.0000,25528962.0000,232701.0000,0.0000,19771.0000,0.0000,29138.0000,4259120.0000,4210211.0000,4239349.0000,"N",4256995.0000,7396849.0000,11796071.0000,8504359.0000,886946.0000,11023758.0000,0.0000,7164135.0000,126577.0000,7156210.0000,645736.0000,718439.0000,780238.0000,0.0000,,7295000.0000,7295000.0000,0.0000,7207848.0000,6997179.0000,9.7077227488703977e-01,7472455.0000,7218719.0000,9.6604382361620111e-01,3.7410000000000000e+03,"A1","2017-07-18 00:00:00","A1",225629668.0000,320149040.4049,2.4000000000000000e+01,6.0726729716276753e-02,3.1600000000000001e+01,5.8342999999999995e+02,2.6500000000000000e+01
"STONINGTON",138,137,"NL",90575409.0000,22328420.0000,114460247.0000,656794.0000,0.0000,0.0000,0.0000,854412.0000,15189339.0000,14334927.0000,15189339.0000,"N",5989782.0000,56448889.0000,65993278.0000,38884087.0000,5129384.0000,62670703.0000,45000.0000,45000.0000,2149561.0000,2149561.0000,1218014.0000,906365.0000,1218014.0000,0.0000,,39028195.0000,39028195.0000,4878508.0000,56039548.0000,55329813.0000,9.8733510484417186e-01,56708398.0000,55936058.0000,9.8638050046837855e-01,1.8647000000000000e+04,"Aa1","2017-07-18 00:00:00","Aa1",2622270316.0000,3994188057.2767,1.0500000000000000e+02,4.0272614622057001e-02,2.1320000000000000e+01,2.2504400000000001e+03,1.1600000000000000e+02
"STRATFORD",139,138,"F",81258836.0000,-293902729.0000,-210167686.0000,-19764497.0000,1071115.0000,0.0000,0.0000,16710.0000,8325621.0000,7237796.0000,7254506.0000,"N",41912560.0000,164688249.0000,214593744.0000,112764984.0000,31379528.0000,217361854.0000,4957546.0000,5371628.0000,3275034.0000,3275034.0000,-1085598.0000,-1406321.0000,-671516.0000,0.0000,,281082298.0000,281082298.0000,68333836.0000,164272933.0000,160243285.0000,9.7546979939781076e-01,171852382.0000,163426407.0000,9.5096969328013159e-01,5.2148000000000000e+04,"A1","2017-07-18 00:00:00","A1",4442837825.0000,6353037221.4329,1.9000000000000000e+02,5.8630854896822800e-02,3.6979999999999997e+01,7.2455500000000002e+03,2.1400000000000000e+02
"SUFFIELD",140,139,"H",92786797.0000,7355722.0000,100619559.0000,3088971.0000,0.0000,0.0000,350000.0000,648557.0000,10311579.0000,9313022.0000,10311579.0000,"N",16623110.0000,38381113.0000,58377893.0000,37292260.0000,2700920.0000,54884056.0000,215883.0000,215883.0000,4261179.0000,4261179.0000,-551459.0000,-142873.0000,-551459.0000,0.0000,,14734618.0000,14734618.0000,10142246.0000,38122479.0000,37797719.0000,9.9148114161201317e-01,38985224.0000,38169588.0000,9.7907832977950826e-01,1.5625000000000000e+04,,"2017-07-18 00:00:00",,1367017452.0000,1994576432.9648,3.3000000000000000e+01,4.1761174116077382e-02,2.7780000000000001e+01,2.2611199999999999e+03,3.7500000000000000e+01
"THOMASTON",141,140,"L",38387002.0000,-6562121.0000,32560235.0000,-243581.0000,0.0000,0.0000,0.0000,102266.0000,3442589.0000,3340323.0000,3442589.0000,"N",8198506.0000,18477767.0000,27078296.0000,15809352.0000,3460239.0000,23301522.0000,39736.0000,48044.0000,3549412.0000,3549412.0000,267098.0000,27074.0000,275406.0000,0.0000,,24373139.0000,24373139.0000,5610985.0000,18294050.0000,18081176.0000,9.8836375761518092e-01,18738227.0000,18384889.0000,9.8114346677516506e-01,7.5950000000000000e+03,"Aa3","2017-07-18 00:00:00","Aa3",540190445.0000,773308065.9874,2.5000000000000000e+01,4.3163937911971081e-02,3.3630000000000003e+01,1.0137900000000000e+03,2.8500000000000000e+01
"THOMPSON",142,141,"W",29135691.0000,2045204.0000,34366963.0000,-646545.0000,0.0000,66490.0000,0.0000,165826.0000,2384946.0000,2152630.0000,2318456.0000,"N",9943392.0000,14673714.0000,25382886.0000,19162844.0000,1029419.0000,24963696.0000,21500.0000,9201500.0000,440000.0000,9552439.0000,690.0000,-448147.0000,68251.0000,0.0000,,9841473.0000,9841473.0000,1300604.0000,14413827.0000,14152974.0000,9.8190258562143140e-01,15274949.0000,14413374.0000,9.4359555635832237e-01,9.2660000000000000e+03,"A1","2017-07-18 00:00:00","A1",583238930.0000,834528271.4271,3.9000000000000000e+01,5.3568012244117086e-02,2.4800000000000001e+01,1.0430000000000000e+03,4.8500000000000000e+01
