Municipality,numbered,Comptroller Town Code,County_Identifier,Net Investment In Capital Assets,Unrestricted Net Position,Total Net Position,Change In Net Position,Nonspendable_Fund_Bal,Restricted_Fund_Bal,Committed_Fund_Bal,Assigned_Fund_Bal,Total_Fund_Bal,Unassigned_Fund_Bal,Unrestricted_Fund_Bal,Restatement of Fund Balance (Y or N),Inter_Gov_Rev,Tax_Rev,Total_Revenue,Education,Debt_Service,Total_Expenditures,TOTAL_Trans_to_Genl_Fund,Other_Financing_Sources,TOTAL_Trans_from_Genl_Fund,Other_Financing_Uses,Operating_Surplus_(Deficit)_Including_Transfers,Prior_Yr_OP_Surplus_(Def)_including_sources_and_uses,Operating_Surplus_(Deficit)_Including_Sources_And_Uses,Special / Extraordinary Items,RSD_DEBT,TOWN_Bonded_Long_Term_Debt,Total_Bonded_Long_Term_Debt_(RSD_+_Town),Total_Net_Pension_Liability,Curr_Year_Adjusted_Taxes_Collectible,Curr_Year_Taxes_Collected,Curr_Year_Tax_Collection_Rate,Total_Adjusted_Taxes_Collectible,Total_Taxes_Collected,Overal_Total_Tax_Collection_Rate,2016 Population,Moody's_Bond_Ratings_Latest,Date of Latest Moody's Ratings,Moody's_Bond_Ratings_July_2016,ACGLFY16,EGL,TANF16 Recipients,empl,ACMR,enrollmt,TFA16 Recipients
"MONTVILLE",87,86,"NL",60554052.0000,11364915.0000,72102115.0000,3112940.0000,125836.0000,56094.0000,188197.0000,745621.0000,9972049.0000,8856301.0000,9790119.0000,"N",22183160.0000,38055026.0000,62931474.0000,42589128.0000,4313433.0000,63763384.0000,99517.0000,6453859.0000,378108.0000,6161279.0000,-1110501.0000,688587.0000,-539330.0000,0.0000,,35466572.0000,35466572.0000,6141156.0000,37925442.0000,37067885.0000,9.7738834526964780e-01,40066836.0000,37625242.0000,9.3906197135206781e-01,1.9231000000000000e+04,"Aa3","2017-07-18 00:00:00","Aa3",1255607913.0000,1901263919.4953,5.9000000000000000e+01,5.1088596680319037e-02,3.0090000000000000e+01,2.3891799999999998e+03,6.6000000000000000e+01
"MORRIS",88,87,"L",4968281.0000,2127309.0000,7446456.0000,-283214.0000,0.0000,0.0000,0.0000,250000.0000,1575160.0000,1325160.0000,1575160.0000,"N",740207.0000,7891612.0000,8788032.0000,6478187.0000,0.0000,8907702.0000,26040.0000,26040.0000,110000.0000,110000.0000,-203630.0000,49167.0000,-203630.0000,0.0000,1361187.1757,0.0000,1361187.1757,569652.0000,7902417.0000,7751541.0000,9.8090761345547828e-01,8073513.0000,7800850.0000,9.6622746504526591e-01,2.2790000000000000e+03,,"2017-07-18 00:00:00",,296719209.0000,423916012.8571,7.0000000000000000e+00,3.8054968287526428e-02,2.5920000000000002e+01,3.1061000000000001e+02,7.0000000000000000e+00
"NAUGATUCK",89,88,"NH",156856265.0000,-102404476.0000,57158654.0000,-13258376.0000,0.0000,0.0000,0.0000,3356651.0000,12228726.0000,8872075.0000,12228726.0000,"N",37437473.0000,71992921.0000,113299625.0000,66980264.0000,11012333.0000,117453695.0000,3540144.0000,3583144.0000,2392836.0000,2392836.0000,-3006762.0000,-53610.0000,-2963762.0000,0.0000,,101571434.0000,101571434.0000,45599176.0000,72676537.0000,67905477.0000,9.3435212797769929e-01,83762181.0000,70424068.0000,8.4076210957305419e-01,3.1392000000000000e+04,"Aa3","2017-07-18 00:00:00","Aa2",1584067046.0000,2248544820.7369,2.1500000000000000e+02,5.8952722228644089e-02,4.5570000000000000e+01,4.4955799999999999e+03,2.4600000000000000e+02
"NEW BRITAIN",90,89,"H",138395000.0000,-62371000.0000,79838000.0000,16097000.0000,0.0000,0.0000,0.0000,3165000.0000,28400000.0000,25235000.0000,28400000.0000,"N",106451000.0000,122687000.0000,241843000.0000,139867000.0000,17038000.0000,230873000.0000,2208000.0000,2709000.0000,222000.0000,222000.0000,12956000.0000,9978000.0000,13457000.0000,0.0000,,242370000.0000,242370000.0000,68790000.0000,121456000.0000,117364000.0000,9.6630878672111709e-01,134600000.0000,120700000.0000,8.9673105497771177e-01,7.2558000000000000e+04,"Baa1","2017-07-18 00:00:00","Baa1",2458540626.0000,3648566782.4571,2.4150000000000000e+03,6.9477142075006840e-02,4.9000000000000000e+01,1.1355379999999999e+04,2.6850000000000000e+03
"NEW CANAAN",91,90,"F",115588687.0000,51012408.0000,167584828.0000,2663960.0000,739609.0000,0.0000,0.0000,4311322.0000,28963138.0000,23912207.0000,28223529.0000,"N",12617362.0000,130758741.0000,149972951.0000,92082006.0000,17014906.0000,147035801.0000,10000.0000,10813985.0000,5408788.0000,15264507.0000,-2461638.0000,-1157350.0000,-1513372.0000,0.0000,,120380287.0000,120380287.0000,0.0000,130453388.0000,130015344.0000,9.9664214163606080e-01,130955629.0000,130183123.0000,9.9410100958699532e-01,2.0280000000000000e+04,"Aaa","2017-07-18 00:00:00","Aaa",8126991701.0000,12377454660.4973,9.0000000000000000e+00,3.9447026576093433e-02,1.5984999999999999e+01,4.2625600000000004e+03,1.0500000000000000e+01
"NEW FAIRFIELD",92,91,"F",73130981.0000,13633248.0000,88741106.0000,924114.0000,15268.0000,0.0000,0.0000,887141.0000,7142428.0000,6240019.0000,7127160.0000,"N",9601063.0000,45050139.0000,57272490.0000,36936252.0000,2887611.0000,56414857.0000,0.0000,9596955.0000,1113893.0000,10579629.0000,-256260.0000,21089.0000,-125041.0000,0.0000,,22745000.0000,22745000.0000,1660672.0000,42676388.0000,42399159.0000,9.9350392540249655e-01,42992497.0000,42557132.0000,9.8987346559563638e-01,1.4005000000000000e+04,"Aa1","2017-07-18 00:00:00","Aa1",1578364683.0000,2255766432.8586,8.0000000000000000e+00,4.3108258928571432e-02,2.8530000000000001e+01,2.4256700000000001e+03,1.2500000000000000e+01
"NEW HARTFORD",93,92,"L",12910546.0000,1988043.0000,15507604.0000,675188.0000,0.0000,17901.0000,0.0000,422333.0000,3944045.0000,3503811.0000,3926144.0000,"N",5313625.0000,19105372.0000,24775920.0000,18606770.0000,617525.0000,25484098.0000,143384.0000,2161704.0000,515998.0000,515998.0000,-1080792.0000,-453148.0000,937528.0000,0.0000,1489248.4350,7904102.0000,9393350.4350,1654532.0000,19065563.0000,18787961.0000,9.8543961172297923e-01,19579424.0000,18979069.0000,9.6933745344091837e-01,6.7330000000000000e+03,"Aa3","2017-07-18 00:00:00","Aa3",652658673.0000,923271138.5153,5.0000000000000000e+00,4.2932462967612356e-02,2.9044000000000000e+01,1.0305300000000000e+03,6.5000000000000000e+00
"NEW HAVEN",94,93,"NH",956517425.0000,-751798333.0000,215482617.0000,200018.0000,0.0000,0.0000,0.0000,0.0000,2023605.0000,2023605.0000,2023605.0000,"N",245394710.0000,250993094.0000,541928552.0000,214734762.0000,62488475.0000,545931996.0000,0.0000,66478096.0000,1511026.0000,62177048.0000,-5514470.0000,1703954.0000,297604.0000,0.0000,,596763536.0000,596763536.0000,704400931.0000,252312223.0000,247240938.0000,9.7990075573944746e-01,257025028.0000,246445791.0000,9.5883966210481264e-01,1.2993400000000000e+05,"Baa1","2017-07-18 00:00:00","A3",6072519797.0000,9723396015.4338,4.0970000000000000e+03,6.5148511760757935e-02,4.1549999999999997e+01,1.9066830000000002e+04,4.5970000000000000e+03
"NEW LONDON",95,95,"NL",186966539.0000,-41039093.0000,147489245.0000,-36948379.0000,0.0000,0.0000,0.0000,24694.0000,4750483.0000,4725789.0000,4750483.0000,"N",36544314.0000,49248024.0000,91139131.0000,46918298.0000,5920295.0000,85615161.0000,0.0000,0.0000,5018476.0000,5018476.0000,505494.0000,1925668.0000,505494.0000,0.0000,,49578166.0000,49578166.0000,23810078.0000,49446015.0000,48320489.0000,9.7723727584518183e-01,51545903.0000,48832811.0000,9.4736551613035080e-01,2.6984000000000000e+04,,"2017-07-18 00:00:00",,1253973537.0000,1858962621.8175,5.3200000000000000e+02,7.1757129714811407e-02,3.9490000000000002e+01,3.6051999999999998e+03,6.3400000000000000e+02
"NEW MILFORD",96,96,"L",104318070.0000,35547039.0000,149126487.0000,-2923469.0000,1927521.0000,0.0000,450879.0000,1092702.0000,21351121.0000,17880019.0000,19423600.0000,"N",24998442.0000,78014253.0000,107749832.0000,70948347.0000,5293159.0000,106116793.0000,1188500.0000,2277282.0000,3684948.0000,3684948.0000,-863409.0000,1614797.0000,225373.0000,0.0000,,14305861.0000,14305861.0000,17800009.0000,77482102.0000,76253142.0000,9.8413878859404202e-01,79128364.0000,77417102.0000,9.7837359559209391e-01,2.7151000000000000e+04,"Aa1","2017-07-18 00:00:00","Aa1",2902881880.0000,4150983903.3160,6.9000000000000000e+01,4.4158053120502423e-02,2.6750000000000000e+01,4.1534200000000001e+03,8.1500000000000000e+01
