Municipality,Mill Rate FY 2016-17,Mill Rate - Real & Personal Property - FY 2016-17,Mill Rate - Motor Vehicle - FY 2016-17,Comments
"ANDOVER",3.0719999999999999e+01,,,
"ANSONIA",,3.7320000000000000e+01,3.7000000000000000e+01,
"ASHFORD",,3.2368000000000002e+01,3.2000000000000000e+01,
"AVON",2.9520000000000000e+01,,,
"BARKHAMSTED",2.8359999999999999e+01,,,
"BEACON FALLS",,3.2899999999999999e+01,3.2000000000000000e+01,
"BERLIN",3.0809999999999999e+01,,,
"BETHANY",3.5500000000000000e+01,,,
"BETHEL",,3.2170000000000002e+01,3.2000000000000000e+01,
"BETHLEHEM",2.3410000000000000e+01,,,
"BLOOMFIELD",3.6649999999999999e+01,,,
"BOLTON",,3.7500000000000000e+01,3.7000000000000000e+01,
"BOZRAH",2.7500000000000000e+01,,,
"BRANFORD",2.7410000000000000e+01,,,
"BRIDGEPORT",,5.4369999999999997e+01,3.7000000000000000e+01,
"BRIDGEWATER",1.6454000000000001e+01,,,
"BRISTOL",3.6030000000000001e+01,,,
"BROOKFIELD",2.6399999999999999e+01,,,
"BROOKLYN",2.6340000000000000e+01,,,
"BURLINGTON",3.1600000000000001e+01,,,
"CANAAN",2.4000000000000000e+01,,,
"CANTERBURY",2.4500000000000000e+01,,,
"CANTON",2.9760000000000002e+01,,,
"CHAPLIN",3.5049999999999997e+01,,,
"CHESHIRE",3.1190000000000001e+01,,,
"CHESTER",2.5570000000000000e+01,,,
"CLINTON",2.7140000000000001e+01,,,
"COLCHESTER",3.0910000000000000e+01,,,
"COLEBROOK",2.9300000000000001e+01,,,
"COLUMBIA",2.7440000000000001e+01,,,
"CORNWALL",1.5310000000000000e+01,,,
"COVENTRY",3.1199999999999999e+01,,,
"CROMWELL",3.1379999999999999e+01,,,
"DANBURY",2.8680000000000000e+01,,,
"DARIEN",1.5770000000000000e+01,,,
"DEEP RIVER",2.7530000000000001e+01,,,
"DERBY",,3.9369999999999997e+01,3.7000000000000000e+01,
"DURHAM",3.5310000000000002e+01,,,
"EAST GRANBY",3.1100000000000001e+01,,,
"EAST HADDAM",2.9350000000000001e+01,,,
"EAST HAMPTON",2.9440000000000001e+01,,,
"EAST HARTFORD",,4.5859999999999999e+01,3.7000000000000000e+01,
"EAST HAVEN",3.1550000000000001e+01,,,
"EAST LYME",2.5359999999999999e+01,,,
"EAST WINDSOR",3.0930000000000000e+01,,,
"EASTFORD",2.5109999999999999e+01,,,
"EASTON",3.0809999999999999e+01,,,
"ELLINGTON",3.0500000000000000e+01,,,
"ENFIELD",,3.0859999999999999e+01,2.8800000000000001e+01,
"ESSEX",2.1579999999999998e+01,,,
"FAIRFIELD",2.5449999999999999e+01,,,
"FARMINGTON",2.5780000000000001e+01,,,
"FRANKLIN",2.5219999999999999e+01,,,
"GLASTONBURY",,3.6399999999999999e+01,3.4600000000000001e+01,
"GOSHEN",1.8699999999999999e+01,,,
"GRANBY",3.6939999999999998e+01,,,
"GREENWICH",1.1202000000000000e+01,,,
"GRISWOLD",2.7059999999999999e+01,,,
"GROTON",2.1730000000000000e+01,,,
