Tax Exempt %,Municipality,numbered,2018 Net Grand List,2018 Tax Exempt Property Assessment,Total NGL and Taxable
5.7496430361592210e-01,"MANSFIELD",79,1107706109.0000,1498442312.0000,2606148421.0000
5.5697536538433978e-01,"NEW HAVEN",94,6586033021.0000,8280031993.0000,14866065014.0000
5.0775814573270428e-01,"HARTFORD",65,4025919645.0000,4152823406.0000,8178743051.0000
4.4131971998117736e-01,"WINDSOR LOCKS",166,1461337386.0000,1154357920.0000,2615695306.0000
4.0344815512980431e-01,"WINDHAM",164,950431736.0000,642777210.0000,1593208946.0000
3.6411505221335821e-01,"WESTBROOK",157,1149561346.0000,658252080.0000,1807813426.0000
3.4920225190442522e-01,"EASTFORD",46,154907651.0000,83119680.0000,238027331.0000
3.1219772173738058e-01,"NEW BRITAIN",90,2684288510.0000,1218415210.0000,3902703720.0000
2.8488510349675183e-01,"MIDDLETOWN",84,3464464084.0000,1380161725.0000,4844625809.0000
2.8120997631490779e-01,"FARMINGTON",52,3667248785.0000,1434726290.0000,5101975075.0000
2.7016317797522016e-01,"BRIDGEPORT",15,6372682964.0000,2358971526.0000,8731654490.0000
2.6792255127884634e-01,"WATERBURY",152,4335806209.0000,1586799680.0000,5922605889.0000
2.5967798050462176e-01,"GROTON",59,3750970179.0000,1315703620.0000,5066673799.0000
2.5363847101053560e-01,"CANAAN",21,181600530.0000,61713900.0000,243314430.0000
2.5061562371761381e-01,"NORWICH",105,1987387026.0000,664639209.0000,2652026235.0000
2.4952744711172595e-01,"SUFFIELD",140,1463802021.0000,486705050.0000,1950507071.0000
2.4443708791182495e-01,"WEST HAVEN",156,2683008169.0000,867997480.0000,3551005649.0000
2.4393926777882710e-01,"NEW MILFORD",96,2912395588.0000,939670078.0000,3852065666.0000
2.2347268174039406e-01,"POMFRET",113,356086268.0000,102476180.0000,458562448.0000
2.2247079811081319e-01,"EAST WINDSOR",45,954201918.0000,273021337.0000,1227223255.0000
2.1501341756580328e-01,"NEW LONDON",95,1449238134.0000,396956650.0000,1846194784.0000
1.9740379022499524e-01,"MONTVILLE",87,1282590471.0000,315461520.0000,1598051991.0000
1.9515897264204984e-01,"DEEP RIVER",36,508866800.0000,123390730.0000,632257530.0000
1.9331543012488869e-01,"EAST HAVEN",43,1972764707.0000,472757100.0000,2445521807.0000
1.7699645059642782e-01,"DERBY",37,723147500.0000,155521250.0000,878668750.0000
1.7232728167025113e-01,"KENT",69,591845519.0000,123226400.0000,715071919.0000
1.6891313911428293e-01,"EAST HADDAM",40,878682740.0000,178586700.0000,1057269440.0000
1.6641791574117615e-01,"SOMERS",130,867171797.0000,173123830.0000,1040295627.0000
1.6612523189964104e-01,"MERIDEN",81,3126883746.0000,622940407.0000,3749824153.0000
1.6221608714471955e-01,"DANBURY",34,7840619462.0000,1518141600.0000,9358761062.0000
1.5870791834320375e-01,"PUTNAM",117,651895151.0000,122978600.0000,774873751.0000
1.5720535282043441e-01,"HAMDEN",63,3870450238.0000,721949881.0000,4592400119.0000
1.5203456369139740e-01,"NORFOLK",99,260524275.0000,46710270.0000,307234545.0000
1.4450084797897003e-01,"LEDYARD",73,1111080848.0000,187670700.0000,1298751548.0000
1.4155512593888489e-01,"MORRIS",88,337271111.0000,55615050.0000,392886161.0000
1.3952276129985824e-01,"LITCHFIELD",75,1049804996.0000,170221460.0000,1220026456.0000
1.3299426381801191e-01,"WASHINGTON",151,1206937533.0000,185138070.0000,1392075603.0000
1.3125962962689164e-01,"WALLINGFORD",149,4236788453.0000,640144400.0000,4876932853.0000
1.2628349462650565e-01,"SIMSBURY",129,2442435959.0000,353019940.0000,2795455899.0000
1.2596606903555163e-01,"KILLINGLY",70,1343574733.0000,193636450.0000,1537211183.0000
1.2584354951316698e-01,"SALISBURY",123,1268910246.0000,182672300.0000,1451582546.0000
1.2371367381485772e-01,"SPRAGUE",134,162822920.0000,22987260.0000,185810180.0000
1.2366496200783499e-01,"CHESHIRE",25,2801534670.0000,395341580.0000,3196876250.0000
1.2194376139453790e-01,"ANSONIA",2,991285843.0000,137669000.0000,1128954843.0000
1.2061646479887504e-01,"STAMFORD",136,21644176320.0000,2968720617.0000,24612896937.0000
1.2047216986966890e-01,"VOLUNTOWN",148,205878155.0000,28199890.0000,234078045.0000
1.1937229046025125e-01,"HARTLAND",66,200988260.0000,27244690.0000,228232950.0000
1.1766213105383209e-01,"NORWALK",104,14278579822.0000,1904087073.0000,16182666895.0000
1.1525185175499181e-01,"TORRINGTON",144,1990937765.0000,259349810.0000,2250287575.0000
1.1242033674024172e-01,"WINCHESTER",163,720384009.0000,91243430.0000,811627439.0000
1.1171892349040018e-01,"ENFIELD",49,2931233750.0000,368660650.0000,3299894400.0000
1.0955708538421460e-01,"ASHFORD",3,303793134.0000,37377680.0000,341170814.0000
1.0927489016427885e-01,"REDDING",118,1566028367.0000,192121650.0000,1758150017.0000
1.0900439961491448e-01,"STAFFORD",135,785213437.0000,96063010.0000,881276447.0000
1.0602209070215431e-01,"NORTH STONINGTON",103,529171238.0000,62757525.0000,591928763.0000
1.0506946192462047e-01,"UNION",146,92609474.0000,10872830.0000,103482304.0000
1.0278145123837230e-01,"GRISWOLD",58,725588151.0000,83120220.0000,808708371.0000
1.0166057751291432e-01,"ROCKY HILL",120,2208948420.0000,249975640.0000,2458924060.0000
1.0159732784348112e-01,"VERNON",147,1830070306.0000,206956478.0000,2037026784.0000
1.0115186337227611e-01,"WATERTOWN",154,1831869941.0000,206149460.0000,2038019401.0000
1.0028191536592325e-01,"SOUTHBURY",132,2138190984.0000,238321193.0000,2376512177.0000
1.0023578820074955e-01,"FAIRFIELD",51,10966569327.0000,1221700870.0000,12188270197.0000
9.8884128641593766e-02,"HAMPTON",64,147576350.0000,16194320.0000,163770670.0000
9.8044812300916440e-02,"PLAINFIELD",110,999860890.0000,108687410.0000,1108548300.0000
9.7919457438832888e-02,"GREENWICH",57,33102411425.0000,3593215920.0000,36695627345.0000
9.7770041388545448e-02,"TOLLAND",143,1281864011.0000,138909040.0000,1420773051.0000
9.7399709991740177e-02,"NORTH HAVEN",102,2886765912.0000,311511270.0000,3198277182.0000
9.7189320002021615e-02,"WOODBRIDGE",168,1156494546.0000,124498880.0000,1280993426.0000
9.6428510597129952e-02,"RIDGEFIELD",119,4840022456.0000,516523775.0000,5356546231.0000
9.6312208789102696e-02,"BRISTOL",17,3945511672.0000,420500252.0000,4366011924.0000
9.6212653878961288e-02,"SCOTLAND",124,111452759.0000,11864700.0000,123317459.0000
9.2805723057304404e-02,"MADISON",77,2932909218.0000,300035800.0000,3232945018.0000
9.2127010128095738e-02,"THOMASTON",141,563757264.0000,57207640.0000,620964904.0000
9.1135059682094718e-02,"WINDSOR",165,3105965090.0000,311445960.0000,3417411050.0000
9.0890467697947619e-02,"BRIDGEWATER",16,380014331.0000,37992870.0000,418007201.0000
9.0889863923529365e-02,"STONINGTON",138,2790498286.0000,278984910.0000,3069483196.0000
9.0662432038394428e-02,"MANCHESTER",78,4027713642.0000,401569590.0000,4429283232.0000
9.0302910605940617e-02,"WESTPORT",159,11307712334.0000,1122482800.0000,12430195134.0000
9.0212718232417832e-02,"BLOOMFIELD",11,2155023283.0000,213687872.0000,2368711155.0000
8.9944223465275364e-02,"SHARON",126,729146484.0000,72064280.0000,801210764.0000
8.8898995203557887e-02,"CROMWELL",33,1446485326.0000,141138130.0000,1587623456.0000
8.8846446901923781e-02,"STRATFORD",139,4616208382.0000,450125790.0000,5066334172.0000
8.8291633386958460e-02,"THOMPSON",142,610881466.0000,59158964.0000,670040430.0000
8.7558250789117262e-02,"NEWINGTON",97,2640307103.0000,253364855.0000,2893671958.0000
8.7266008209831353e-02,"WILTON",162,4245883836.0000,405946680.0000,4651830516.0000
8.7212048781792381e-02,"EAST LYME",44,2183924019.0000,208662360.0000,2392586379.0000
8.7064524705916260e-02,"NEWTOWN",98,3188565218.0000,304086020.0000,3492651238.0000
8.6233635380480733e-02,"AVON",4,2559343136.0000,241529423.0000,2800872559.0000
8.5651595065660280e-02,"STERLING",137,236437554.0000,22148290.0000,258585844.0000
8.5067655595286909e-02,"COLEBROOK",29,187316668.0000,17416140.0000,204732808.0000
8.3101766643604885e-02,"NORTH CANAAN",101,320478800.0000,29046140.0000,349524940.0000
8.1572190591943164e-02,"CHAPLIN",24,218445290.0000,19401700.0000,237846990.0000
8.0750729730329415e-02,"WOODSTOCK",170,724932776.0000,63681150.0000,788613926.0000
7.9953735094792644e-02,"BEACON FALLS",6,478923791.0000,41619370.0000,520543161.0000
7.9835328901179739e-02,"BETHLEHEM",10,361791560.0000,31389760.0000,393181320.0000
7.9520427031001623e-02,"WETHERSFIELD",160,2321469775.0000,200552270.0000,2522022045.0000
7.8969263106825588e-02,"WATERFORD",153,3300513595.0000,282986350.0000,3583499945.0000
7.8667189598191897e-02,"PRESTON",115,440197519.0000,37585877.0000,477783396.0000
7.8406007017082974e-02,"SALEM",122,374381805.0000,31851100.0000,406232905.0000
7.8140782466193826e-02,"COLCHESTER",28,1223066888.0000,103672450.0000,1326739338.0000
7.7863087588018090e-02,"NEW CANAAN",91,7706360081.0000,650707050.0000,8357067131.0000
7.7512057871860635e-02,"HEBRON",68,778563080.0000,65418770.0000,843981850.0000
7.7366852592651261e-02,"MIDDLEBURY",82,961292386.0000,80608600.0000,1041900986.0000
7.7184707551357506e-02,"PLAINVILLE",111,1396438540.0000,116798780.0000,1513237320.0000
7.7097799319518656e-02,"MILFORD",85,6590353101.0000,550547740.0000,7140900841.0000
7.6979006441865921e-02,"WESTON",158,2234268538.0000,186335710.0000,2420604248.0000
7.6707663294224515e-02,"GUILFORD",61,2987621831.0000,248213356.0000,3235835187.0000
7.6348400783694884e-02,"NORTH BRANFORD",100,1263309544.0000,104424291.0000,1367733835.0000
7.5865933580047631e-02,"BERLIN",7,2334216926.0000,191625385.0000,2525842311.0000
7.5380270508603145e-02,"NAUGATUCK",89,1715681562.0000,139872140.0000,1855553702.0000
7.3921697228200370e-02,"CORNWALL",31,393026776.0000,31372300.0000,424399076.0000
7.3606635752812899e-02,"CANTON",23,1080596193.0000,85858830.0000,1166455023.0000
7.3135189497338549e-02,"ORANGE",108,2080863835.0000,164192630.0000,2245056465.0000
7.2502480255062882e-02,"BROOKLYN",19,555929903.0000,43457040.0000,599386943.0000
7.1427359727440673e-02,"DARIEN",35,8473454179.0000,651792260.0000,9125246439.0000
6.8795709931133750e-02,"BRANFORD",14,3583125596.0000,264714920.0000,3847840516.0000
6.7853070736459617e-02,"KILLINGWORTH",71,700716370.0000,51006720.0000,751723090.0000
6.7785860879673782e-02,"LEBANON",72,666581923.0000,48470440.0000,715052363.0000
6.7618562161014931e-02,"CLINTON",27,1543849109.0000,111963680.0000,1655812789.0000
6.7488904960435067e-02,"MIDDLEFIELD",83,421101430.0000,30476500.0000,451577930.0000
6.6308030635071527e-02,"HADDAM",62,949807954.0000,67452540.0000,1017260494.0000
6.6135720065639170e-02,"OLD SAYBROOK",107,2272648040.0000,160947600.0000,2433595640.0000
6.6012807628179196e-02,"PLYMOUTH",112,763052060.0000,53931370.0000,816983430.0000
6.5942201402271847e-02,"FRANKLIN",53,232086350.0000,16384730.0000,248471080.0000
6.5564519310401775e-02,"EASTON",47,1284698368.0000,90140660.0000,1374839028.0000
6.5224938272555100e-02,"LYME",76,493602258.0000,34441630.0000,528043888.0000
6.5013838026188389e-02,"BETHANY",8,563920992.0000,39211990.0000,603132982.0000
6.4935244202442358e-02,"BOLTON",12,443024196.0000,30765660.0000,473789856.0000
6.4544504519753493e-02,"OXFORD",109,1542367730.0000,106420200.0000,1648787930.0000
6.3841071632375915e-02,"TRUMBULL",145,4684998075.0000,319492010.0000,5004490085.0000
6.3346819582127775e-02,"OLD LYME",106,1586335438.0000,107285500.0000,1693620938.0000
6.3337435654631805e-02,"SEYMOUR",125,1215603131.0000,82199490.0000,1297802621.0000
6.1314231663238655e-02,"GRANBY",56,1003655584.0000,65558010.0000,1069213594.0000
6.0923964052124469e-02,"CHESTER",26,440999763.0000,28610520.0000,469610283.0000
6.0867687213650441e-02,"PORTLAND",114,828545517.0000,53700260.0000,882245777.0000
6.0487765408264643e-02,"EAST HAMPTON",41,1147808108.0000,73898290.0000,1221706398.0000
5.9085128960456049e-02,"LISBON",74,378847315.0000,23789870.0000,402637185.0000
5.8808229544800854e-02,"COVENTRY",32,977892640.0000,61101400.0000,1038994040.0000
5.8691372919409276e-02,"WOODBURY",169,1066345892.0000,66487550.0000,1132833442.0000
5.7670521024308780e-02,"BOZRAH",13,227249026.0000,13907630.0000,241156656.0000
5.7666516035119145e-02,"GLASTONBURY",54,4225059297.0000,258554380.0000,4483613677.0000
5.6741738821107258e-02,"MONROE",86,2186084476.0000,131504000.0000,2317588476.0000
5.6217579506900657e-02,"SOUTH WINDSOR",131,2768191892.0000,164890810.0000,2933082702.0000
5.6212316982949248e-02,"COLUMBIA",30,494411199.0000,29447300.0000,523858499.0000
5.6051897149389789e-02,"NEW HARTFORD",93,677694328.0000,40241675.0000,717936003.0000
5.4512056374152851e-02,"PROSPECT",116,864171826.0000,49823780.0000,913995606.0000
5.4035346964467414e-02,"WOLCOTT",167,1242066460.0000,70949260.0000,1313015720.0000
5.3895485156824276e-02,"WILLINGTON",161,441512168.0000,25151040.0000,466663208.0000
5.3293657214114477e-02,"BARKHAMSTED",5,356598332.0000,20074260.0000,376672592.0000
5.2759866880153682e-02,"DURHAM",38,699395332.0000,38955280.0000,738350612.0000
5.2138404704313891e-02,"BROOKFIELD",18,2274481668.0000,125110930.0000,2399592598.0000
5.1954425238154092e-02,"ELLINGTON",48,1413925575.0000,77485400.0000,1491410975.0000
5.1084340369308201e-02,"BETHEL",9,2039778550.0000,109810330.0000,2149588880.0000
