Tax Exempt %,Municipality,numbered,2018 Net Grand List,2018 Tax Exempt Property Assessment,Total NGL and Taxable
5.0050938912940823e-02,"ROXBURY",121,666032190.0000,35091920.0000,701124110.0000
4.8757471773405933e-02,"BURLINGTON",20,952047658.0000,48798740.0000,1000846398.0000
4.8467510137907933e-02,"GOSHEN",55,559425795.0000,28495060.0000,587920855.0000
4.8266773977955542e-02,"SHELTON",127,4735794614.0000,240173950.0000,4975968564.0000
4.6745846991216089e-02,"ANDOVER",1,263368267.0000,12915100.0000,276283367.0000
4.6281440740131165e-02,"ESSEX",50,1062738700.0000,51571900.0000,1114310600.0000
4.5837839746115140e-02,"SOUTHINGTON",133,4068965111.0000,195472613.0000,4264437724.0000
4.4809636948642387e-02,"CANTERBURY",22,364883117.0000,17117300.0000,382000417.0000
4.4499364231023263e-02,"MARLBOROUGH",80,589677713.0000,27462340.0000,617140053.0000
4.4379395018981700e-02,"NEW FAIRFIELD",92,1604519204.0000,74514500.0000,1679033704.0000
4.4325972882940705e-02,"WARREN",150,382221550.0000,17728160.0000,399949710.0000
3.3976004400016122e-02,"HARWINTON",67,573930317.0000,20185688.0000,594116005.0000
3.3018600543827534e-02,"SHERMAN",128,688720839.0000,23517100.0000,712237939.0000
3.2496427840359533e-02,"EAST HARTFORD",42,2783862372.0000,93504133.0000,2877366505.0000
3.2220879803326628e-02,"EAST GRANBY",39,607221264.0000,20216600.0000,627437864.0000
1.6306966583504015e-02,"WEST HARTFORD",155,6314734062.0000,104681190.0000,6419415252.0000
