FISCIN14_Municipality,FISCIN14_numbered,FISCIN14_Comptroller Town Code,FISCIN14_County_Identifier,FISCIN14_Net Investment In Capital Assets,FISCIN14_Unrestricted Net Position,FISCIN14_Total Net Position,FISCIN14_Change In Net Position,FISCIN14_Nonspendable_Fund_Bal,FISCIN14_Restricted_Fund_Bal,FISCIN14_Committed_Fund_Bal,FISCIN14_Assigned_Fund_Bal,FISCIN14_Total_Fund_Bal,FISCIN14_Unassigned_Fund_Bal,FISCIN14_Unrestricted_Fund_Bal,FISCIN14_Restatement of Fund Balance (Y or N),FISCIN14_Inter_Gov_Rev,FISCIN14_Tax_Rev,FISCIN14_Total_Revenue,FISCIN14_Education,FISCIN14_Debt_Service,FISCIN14_Total_Expenditures,FISCIN14_TOTAL_Trans_to_Genl_Fund,FISCIN14_Other_Financing_Sources,FISCIN14_TOTAL_Trans_from_Genl_Fund,FISCIN14_Other_Financing_Uses,FISCIN14_Operating_Surplus_(Deficit)_Including_Transfers,FISCIN14_Prior_Yr_OP_Surplus_(Def)_including_sources_and_uses,FISCIN14_Operating_Surplus_(Deficit)_Including_Sources_And_Uses,FISCIN14_Special / Extraordinary Items,FISCIN14_RSD_DEBT,FISCIN14_TOWN_Bonded_Long_Term_Debt,FISCIN14_Total_Bonded_Long_Term_Debt_(RSD_+_Town),FISCIN14_Curr_Year_Adjusted_Taxes_Collectible,FISCIN14_Curr_Year_Taxes_Collected,FISCIN14_Curr_Year_Tax_Collection_Rate,FISCIN14_Total_Adjusted_Taxes_Collectible,FISCIN14_Total_Taxes_Collected,FISCIN14_Overal_Total_Tax_Collection_Rate,2014 Population,Moody's_Bond_Ratings_Dec_2014,Moody's_Bond_Ratings_July_2014,ACGLFY14,FISCIN14_EGL,TANF14 Recipients,TFA14 Recipients,FISCIN14_empl,FISCIN14_ACMR,FISCIN14_enrollmt,FISCIN15_Municipality,FISCIN15_numbered,FISCIN15_Comptroller Town Code,FISCIN15_County_Identifier,FISCIN15_Net Investment In Capital Assets,FISCIN15_Unrestricted Net Position,FISCIN15_Total Net Position,FISCIN15_Change In Net Position,FISCIN15_Nonspendable_Fund_Bal,FISCIN15_Restricted_Fund_Bal,FISCIN15_Committed_Fund_Bal,FISCIN15_Assigned_Fund_Bal,FISCIN15_Total_Fund_Bal,FISCIN15_Unassigned_Fund_Bal,FISCIN15_Unrestricted_Fund_Bal,FISCIN15_Restatement of Fund Balance (Y or N),FISCIN15_Inter_Gov_Rev,FISCIN15_Tax_Rev,FISCIN15_Total_Revenue,FISCIN15_Education,FISCIN15_Debt_Service,FISCIN15_Total_Expenditures,FISCIN15_TOTAL_Trans_to_Genl_Fund,FISCIN15_Other_Financing_Sources,FISCIN15_TOTAL_Trans_from_Genl_Fund,FISCIN15_Other_Financing_Uses,FISCIN15_Operating_Surplus_(Deficit)_Including_Transfers,FISCIN15_Prior_Yr_OP_Surplus_(Def)_including_sources_and_uses,FISCIN15_Operating_Surplus_(Deficit)_Including_Sources_And_Uses,FISCIN15_Special / Extraordinary Items,FISCIN15_RSD_DEBT,FISCIN15_TOWN_Bonded_Long_Term_Debt,FISCIN15_Total_Bonded_Long_Term_Debt_(RSD_+_Town),FISCIN15_Total_Net_Pension_Liability,FISCIN15_Curr_Year_Adjusted_Taxes_Collectible,FISCIN15_Curr_Year_Taxes_Collected,FISCIN15_Curr_Year_Tax_Collection_Rate,FISCIN15_Total_Adjusted_Taxes_Collectible,FISCIN15_Total_Taxes_Collected,FISCIN15_Overal_Total_Tax_Collection_Rate,2015 Population,Moody's_Bond_Ratings_Nov_2016,Moody's_Bond_Ratings_July_2015,ACGLFY15,FISCIN15_EGL,TANF15 Recipients,TFA15 Recipients,FISCIN15_empl,FISCIN15_ACMR,FISCIN15_enrollmt,FISCIN16_Municipality,FISCIN16_numbered,FISCIN16_Comptroller Town Code,FISCIN16_County_Identifier,FISCIN16_Net Investment In Capital Assets,FISCIN16_Unrestricted Net Position,FISCIN16_Total Net Position,FISCIN16_Change In Net Position,FISCIN16_Nonspendable_Fund_Bal,FISCIN16_Restricted_Fund_Bal,FISCIN16_Committed_Fund_Bal,FISCIN16_Assigned_Fund_Bal,FISCIN16_Total_Fund_Bal,FISCIN16_Unassigned_Fund_Bal,FISCIN16_Unrestricted_Fund_Bal,FISCIN16_Restatement of Fund Balance (Y or N),FISCIN16_Inter_Gov_Rev,FISCIN16_Tax_Rev,FISCIN16_Total_Revenue,FISCIN16_Education,FISCIN16_Debt_Service,FISCIN16_Total_Expenditures,FISCIN16_TOTAL_Trans_to_Genl_Fund,FISCIN16_Other_Financing_Sources,FISCIN16_TOTAL_Trans_from_Genl_Fund,FISCIN16_Other_Financing_Uses,FISCIN16_Operating_Surplus_(Deficit)_Including_Transfers,FISCIN16_Prior_Yr_OP_Surplus_(Def)_including_sources_and_uses,FISCIN16_Operating_Surplus_(Deficit)_Including_Sources_And_Uses,FISCIN16_Special / Extraordinary Items,FISCIN16_RSD_DEBT,FISCIN16_TOWN_Bonded_Long_Term_Debt,FISCIN16_Total_Bonded_Long_Term_Debt_(RSD_+_Town),FISCIN16_Total_Net_Pension_Liability,FISCIN16_Curr_Year_Adjusted_Taxes_Collectible,FISCIN16_Curr_Year_Taxes_Collected,FISCIN16_Curr_Year_Tax_Collection_Rate,FISCIN16_Total_Adjusted_Taxes_Collectible,FISCIN16_Total_Taxes_Collected,FISCIN16_Overal_Total_Tax_Collection_Rate,2016 Population,Moody's_Bond_Ratings_Latest,Date of Latest Moody's Ratings,Moody's_Bond_Ratings_July_2016,ACGLFY16,FISCIN16_EGL,TANF16 Recipients,TFA16 Recipients,FISCIN16_empl,FISCIN16_ACMR,FISCIN16_enrollmt,FISCIN17_Municipality,FISCIN17_numbered,FISCIN17_Comptroller Town Code,FISCIN17_County_Identifier,FISCIN17_Net Investment In Capital Assets,FISCIN17_Unrestricted Net Position,FISCIN17_Total Net Position,FISCIN17_Change In Net Position,FISCIN17_Nonspendable_Fund_Bal,FISCIN17_Restricted_Fund_Bal,FISCIN17_Committed_Fund_Bal,FISCIN17_Assigned_Fund_Bal,FISCIN17_Total_Fund_Bal,FISCIN17_Unassigned_Fund_Bal,FISCIN17_Unrestricted_Fund_Bal,FISCIN17_Restatement of Fund Balance (Y or N),FISCIN17_Inter_Gov_Rev,FISCIN17_Tax_Rev,FISCIN17_Total_Revenue,FISCIN17_Education,FISCIN17_Debt_Service,FISCIN17_Total_Expenditures,FISCIN17_TOTAL_Trans_to_Genl_Fund,FISCIN17_Other_Financing_Sources,FISCIN17_TOTAL_Trans_from_Genl_Fund,FISCIN17_Other_Financing_Uses,FISCIN17_Operating_Surplus_(Deficit)_Including_Transfers,FISCIN17_Prior_Yr_OP_Surplus_(Def)_including_sources_and_uses,FISCIN17_Operating_Surplus_(Deficit)_Including_Sources_And_Uses,FISCIN17_Special / Extraordinary Items,FISCIN17_RSD_DEBT,FISCIN17_TOWN_Bonded_Long_Term_Debt,FISCIN17_Total_Bonded_Long_Term_Debt_(RSD_+_Town),FISCIN17_Total_Net_Pension_Liability,FISCIN17_Curr_Year_Adjusted_Taxes_Collectible,FISCIN17_Curr_Year_Taxes_Collected,FISCIN17_Curr_Year_Tax_Collection_Rate,FISCIN17_Total_Adjusted_Taxes_Collectible,FISCIN17_Total_Taxes_Collected,FISCIN17_Overal_Total_Tax_Collection_Rate,2017 Population,Moody's_Bond_Ratings_June_2017,ACGLFY17,FISCIN17_EGL,TANF17 Recipients,TFA17 Recipients,FISCIN17_empl,FISCIN17_ACMR,FISCIN17_enrollmt,FISCIN18_Municipality,Fisc_Year_End,FISCIN18_numbered,FISCIN18_Comptroller Town Code,FISCIN18_County_Identifier,FISCIN18_Net Investment In Capital Assets,FISCIN18_Unrestricted Net Position,FISCIN18_Total Net Position,FISCIN18_Change In Net Position,FISCIN18_Nonspendable_Fund_Bal,FISCIN18_Restricted_Fund_Bal,FISCIN18_Committed_Fund_Bal,FISCIN18_Assigned_Fund_Bal,FISCIN18_Total_Fund_Bal,FISCIN18_Unassigned_Fund_Bal,FISCIN18_Unrestricted_Fund_Bal,FISCIN18_Restatement of Fund Balance (Y or N),FISCIN18_Inter_Gov_Rev,FISCIN18_Tax_Rev,FISCIN18_Total_Revenue,FISCIN18_Education,FISCIN18_Debt_Service,FISCIN18_Total_Expenditures,FISCIN18_TOTAL_Trans_to_Genl_Fund,FISCIN18_Other_Financing_Sources,FISCIN18_TOTAL_Trans_from_Genl_Fund,FISCIN18_Other_Financing_Uses,FISCIN18_Operating_Surplus_(Deficit)_Including_Transfers,FISCIN18_Prior_Yr_OP_Surplus_(Def)_including_sources_and_uses,FISCIN18_Operating_Surplus_(Deficit)_Including_Sources_And_Uses,FISCIN18_Special / Extraordinary Items,Largest Deficit - Individual Enterprise Fund,Largest Deficit - Individual Internal Service Fund,FISCIN18_RSD_DEBT,FISCIN18_TOWN_Bonded_Long_Term_Debt,FISCIN18_Total_Bonded_Long_Term_Debt_(RSD_+_Town),FISCIN18_Total_Net_Pension_Liability,Total_Net_OPEB_Liability,FISCIN18_Curr_Year_Adjusted_Taxes_Collectible,FISCIN18_Curr_Year_Taxes_Collected,FISCIN18_Curr_Year_Tax_Collection_Rate,FISCIN18_Total_Adjusted_Taxes_Collectible,FISCIN18_Total_Taxes_Collected,FISCIN18_Overal_Total_Tax_Collection_Rate,2018 Population,Moody's_Bond_Ratings_June_2018,area lmt,ACGLFY18,FISCIN18_EGL,FISCIN18_empl,FISCIN18_ACMR,FISCIN18_enrollmt
"BRIDGEPORT",1.5000000000000000e+01,1.5000000000000000e+01,"F",676991832.0000,-443964841.0000,236146543.0000,37794036.0000,350000.0000,0.0000,0.0000,0.0000,13395816.0000,13045816.0000,13045816.0000,"N",240139304.0000,290690776.0000,552115914.0000,267927607.0000,74023395.0000,549445907.0000,500000.0000,15940189.0000,2910284.0000,18138462.0000,259723.0000,203568.0000,471734.0000,0.0000,,622329724.0000,622329724.0000,293618037.0000,284699957.0000,9.6962693405650691e-01,336641533.0000,289259683.0000,8.5925132416741934e-01,1.4761200000000000e+05,"A2","A2",7110904657.0000,8275778088.8500,2.8130000000000000e+03,3.2435000000000000e+03,9.6999999999999989e-02,4.1854999999999997e+01,2.1008020000000000e+04,"BRIDGEPORT",15,15,"F",723867957.0000,-876052275.0000,-149091723.0000,-43965881.0000,350000.0000,0.0000,0.0000,0.0000,13713461.0000,13363461.0000,13363461.0000,"N",232665443.0000,297658389.0000,552294012.0000,264104051.0000,77557896.0000,552219478.0000,500000.0000,35898433.0000,558839.0000,35655322.0000,15695.0000,471734.0000,317645.0000,0.0000,,647805133.0000,647805133.0000,376674202.0000,296309866.0000,291238982.0000,9.8288655025749294e-01,341471864.0000,293925589.0000,8.6076078291475278e-01,1.4762900000000000e+05,"A2","A2",7079109642.0000,7896519203.1400,2.5500000000000000e+03,2.9840000000000000e+03,8.4000000000000005e-02,4.2198000000000000e+01,2.1095810000000001e+04,"BRIDGEPORT",15,15,"F",813952729.0000,-1061684357.0000,-244663065.0000,51825413.0000,350000.0000,0.0000,0.0000,0.0000,14619142.0000,14269142.0000,14269142.0000,"N",234246831.0000,299380641.0000,567250296.0000,273774169.0000,73557934.0000,569926736.0000,3313024.0000,73458939.0000,316915.0000,69876818.0000,319669.0000,317645.0000,905681.0000,0.0000,,627370200.0000,627370200.0000,364747226.0000,298378832.0000,293406881.0000,9.8333678375683164e-01,342229488.0000,295217003.0000,8.6262877207121325e-01,1.4593600000000000e+05,"A2","2017-07-18 00:00:00","A2",7136523574.0000,8791072382.5945,2.1790000000000000e+03,2.5305000000000000e+03,7.4999999999999997e-02,4.2198000000000000e+01,2.0945509999999998e+04,"BRIDGEPORT",15,"15","F",852428086.0000,-1094796887.0000,-233399023.0000,11264042.0000,350000.0000,0.0000,0.0000,0.0000,19266129.0000,18916129.0000,18916129.0000,"N",271187039.0000,312461292.0000,606408867.0000,294590330.0000,76925538.0000,601984579.0000,349851.0000,349851.0000,127152.0000,127152.0000,4646987.0000,905681.0000,4646987.0000,0.0000,,648585506.0000,648585506.0000,346152410.0000,310799950.0000,307164691.0000,9.8830354058937264e-01,341311462.0000,309992101.0000,9.0823817982415134e-01,1.4657900000000000e+05,"A2",6065560261.0000,8675714411.4300,2.1790000000000000e+03,2.1405000000000000e+03,6.8000000000000005e-02,"54.37 / 37.00",2.1087040000000001e+04,"BRIDGEPORT",2.0180000000000000e+03,"15","15","F",903774582.0000,-1601612985.0000,-673588994.0000,219725716.0000,0.0000,0.0000,0.0000,0.0000,21014433.0000,21014433.0000,21014433.0000,"N",272473344.0000,311378677.0000,607730220.0000,302605027.0000,76804705.0000,706559843.0000,394391.0000,186810577.0000,304426.0000,86232650.0000,-98739658.0000,4646987.0000,1748304.0000,0.0000,0.0000,-62531043.0000,,763760607.0000,763760607.0000,293705063.0000,938698280.0000,313253555.0000,308782170.0000,9.8572598800993660e-01,341157516.0000,310275971.0000,9.0948009775050653e-01,1.4490000000000000e+05,"Baa1",1.5974000000000000e+01,6026033446.0000,9430537961.2700,,"54.37/39",
"DERBY",3.7000000000000000e+01,3.7000000000000000e+01,"NH",49050907.0000,-7712000.0000,41347819.0000,-932890.0000,0.0000,0.0000,0.0000,0.0000,2716999.0000,2716999.0000,2716999.0000,"N",13542428.0000,25774455.0000,43430691.0000,20697007.0000,1266853.0000,42217547.0000,0.0000,0.0000,489388.0000,489388.0000,723756.0000,350646.0000,723756.0000,0.0000,,8346950.0000,8346950.0000,26011029.0000,25169145.0000,9.6763357574204389e-01,27818793.0000,25705256.0000,9.2402484895732173e-01,1.2768000000000000e+04,,,744835102.0000,943469618.0900,1.3100000000000000e+02,1.6000000000000000e+02,7.9000000000000001e-02,3.5340000000000003e+01,1.6328900000000001e+03,"DERBY",37,37,"NH",51285408.0000,-13575166.0000,37720897.0000,811827.0000,0.0000,0.0000,0.0000,0.0000,2100570.0000,2100570.0000,2100570.0000,"N",14130654.0000,27801813.0000,44200265.0000,22108184.0000,1255477.0000,44373819.0000,0.0000,0.0000,442875.0000,442875.0000,-616429.0000,723756.0000,-616429.0000,0.0000,,7211265.0000,7211265.0000,4997530.0000,26701973.0000,26093087.0000,9.7719696593206806e-01,28773762.0000,27418863.0000,9.5291199670032722e-01,1.2700000000000000e+04,,,748399081.0000,982902414.6800,1.3300000000000000e+02,1.6000000000000000e+02,6.7000000000000004e-02,3.5740000000000002e+01,1.5877600000000000e+03,"DERBY",37,37,"NH",49770818.0000,-18911744.0000,30868006.0000,-6852891.0000,0.0000,0.0000,0.0000,0.0000,1038354.0000,1038354.0000,1038354.0000,"N",15541595.0000,27125675.0000,45897112.0000,23611655.0000,1253566.0000,47376519.0000,56350.0000,13198934.0000,8680000.0000,12781743.0000,-10103057.0000,-616429.0000,-1062216.0000,0.0000,,14919251.0000,14919251.0000,8404568.0000,26742066.0000,26191631.0000,9.7941688574098951e-01,27799630.0000,26662463.0000,9.5909416780007506e-01,1.2631000000000000e+04,,"2017-07-18 00:00:00",,748833439.0000,975413502.5358,1.1800000000000000e+02,1.2650000000000000e+02,6.2000000000000000e-02,3.5740000000000002e+01,1.5445999999999999e+03,"DERBY",37,"37","NH",49712938.0000,-22582299.0000,27139737.0000,-3728269.0000,0.0000,0.0000,0.0000,0.0000,1210300.0000,1210300.0000,1210300.0000,"N",19206507.0000,28607680.0000,51756248.0000,26469328.0000,2121736.0000,51584302.0000,0.0000,0.0000,0.0000,0.0000,171946.0000,-1062216.0000,171946.0000,0.0000,,14568935.0000,14568935.0000,8907598.0000,28191295.0000,27589666.0000,9.7865905060409608e-01,29177659.0000,28029431.0000,9.6064701421042720e-01,1.2581000000000000e+04,,718248343.0000,1027004775.7100,1.1800000000000000e+02,1.2550000000000000e+02,5.7999999999999996e-02,"39.37 / 37.00",1.5349200000000001e+03,"DERBY",2.0180000000000000e+03,"37","37","NH",46465527.0000,-32753338.0000,13721449.0000,-4808350.0000,0.0000,0.0000,0.0000,0.0000,-2544956.0000,-2544956.0000,-2544956.0000,"Y",17539578.0000,28422294.0000,49442264.0000,26691955.0000,2098699.0000,51373683.0000,810766.0000,810766.0000,0.0000,0.0000,-1120653.0000,171946.0000,-1120653.0000,0.0000,0.0000,0.0000,,12923545.0000,12923545.0000,6027627.0000,29589978.0000,28292141.0000,27701559.0000,9.7912558119938675e-01,29374956.0000,28173592.0000,9.5910244086833696e-01,1.2515000000000000e+04,,5.0549999999999997e+00,715985451.0000,1028072826.8200,,"39.37/39",
"NEW BRITAIN",9.0000000000000000e+01,8.9000000000000000e+01,"H",125383000.0000,-25437000.0000,102801000.0000,-14231000.0000,0.0000,0.0000,0.0000,0.0000,4965000.0000,4965000.0000,4965000.0000,"N",107833000.0000,108353000.0000,230246000.0000,141020000.0000,28345000.0000,249193000.0000,11364000.0000,11364000.0000,47000.0000,47000.0000,-7630000.0000,395000.0000,-7630000.0000,0.0000,,210533000.0000,210533000.0000,108247000.0000,105001000.0000,9.7001302576514825e-01,118620000.0000,107047000.0000,9.0243635137413591e-01,7.2878000000000000e+04,"Baa1","A2",2441301264.0000,3498493915.7100,2.6250000000000000e+03,2.8930000000000000e+03,8.9999999999999997e-02,4.4119999999999997e+01,1.1002510000000000e+04,"NEW BRITAIN",90,89,"H",138868000.0000,-94349000.0000,47830000.0000,-13869000.0000,0.0000,0.0000,0.0000,3666000.0000,14943000.0000,11277000.0000,14943000.0000,"N",103914000.0000,119390000.0000,232946000.0000,138100000.0000,15830000.0000,228633000.0000,2026000.0000,5692000.0000,27000.0000,27000.0000,6312000.0000,-7630000.0000,9978000.0000,0.0000,,248334000.0000,248334000.0000,59729000.0000,120217000.0000,115690000.0000,9.6234309623430958e-01,131187000.0000,117890000.0000,8.9864087142780913e-01,7.2808000000000000e+04,"Baa1","Baa1",2443274834.0000,3598885107.0600,2.5390000000000000e+03,2.8000000000000000e+03,7.9000000000000001e-02,4.9000000000000000e+01,1.1157760000000000e+04,"NEW BRITAIN",90,89,"H",138395000.0000,-62371000.0000,79838000.0000,16097000.0000,0.0000,0.0000,0.0000,3165000.0000,28400000.0000,25235000.0000,28400000.0000,"N",106451000.0000,122687000.0000,241843000.0000,139867000.0000,17038000.0000,230873000.0000,2208000.0000,2709000.0000,222000.0000,222000.0000,12956000.0000,9978000.0000,13457000.0000,0.0000,,242370000.0000,242370000.0000,68790000.0000,121456000.0000,117364000.0000,9.6630878672111709e-01,134600000.0000,120700000.0000,8.9673105497771177e-01,7.2558000000000000e+04,"Baa1","2017-07-18 00:00:00","Baa1",2458540626.0000,3648566782.4571,2.4150000000000000e+03,2.6850000000000000e+03,7.0000000000000007e-02,4.9000000000000000e+01,1.1355379999999999e+04,"NEW BRITAIN",90,"89","H",118980000.0000,-47898000.0000,74474000.0000,-3188000.0000,0.0000,0.0000,0.0000,17294000.0000,36132000.0000,18838000.0000,36132000.0000,"N",122745000.0000,124302000.0000,256655000.0000,154308000.0000,23760000.0000,258157000.0000,2359000.0000,9311000.0000,77000.0000,77000.0000,780000.0000,13457000.0000,7732000.0000,0.0000,,280716000.0000,280716000.0000,82470000.0000,122594000.0000,119252000.0000,9.7273928577255009e-01,136056000.0000,122736000.0000,9.0209913565002642e-01,7.2710000000000000e+04,"Baa1",2481187779.0000,3659454404.9000,2.4150000000000000e+03,2.4640000000000000e+03,6.4000000000000001e-02,"50.50 / 37.00",1.1341260000000000e+04,"NEW BRITAIN",2.0180000000000000e+03,"90","89","H",132508000.0000,-105212000.0000,30762000.0000,24419000.0000,0.0000,0.0000,0.0000,9208000.0000,26447000.0000,17239000.0000,26447000.0000,"N",122247000.0000,124516000.0000,257503000.0000,157147000.0000,25415000.0000,270389000.0000,3269000.0000,3269000.0000,68000.0000,68000.0000,-9685000.0000,7732000.0000,-9685000.0000,0.0000,0.0000,-1783000.0000,,285232000.0000,285232000.0000,80204000.0000,51133000.0000,123770000.0000,119586000.0000,9.6619536236567827e-01,137239000.0000,122721000.0000,8.9421374390661545e-01,7.2453000000000000e+04,"Baa2",1.3393000000000001e+01,2504337443.0000,3809056758.5700,,"50.5/37",
"NEW HAVEN",9.4000000000000000e+01,9.3000000000000000e+01,"NH",952587372.0000,-190023485.0000,783329645.0000,-29487603.0000,0.0000,0.0000,0.0000,0.0000,22047.0000,22047.0000,22047.0000,"N",241889965.0000,243999342.0000,529517012.0000,210739315.0000,62281760.0000,524264354.0000,0.0000,27568018.0000,2474489.0000,28077074.0000,2778169.0000,-13513351.0000,4743602.0000,0.0000,,575831359.0000,575831359.0000,245563607.0000,240521693.0000,9.7946799176964361e-01,253711237.0000,242488807.0000,9.5576691780506351e-01,1.3028200000000000e+05,"A3","A3",6077165950.0000,9330121968.7600,4.4810000000000000e+03,5.0460000000000000e+03,8.5000000000000006e-02,4.0799999999999997e+01,1.8738349999999999e+04,"NEW HAVEN",94,93,"NH",918930231.0000,-717176614.0000,215282599.0000,-27489713.0000,0.0000,0.0000,0.0000,0.0000,1726001.0000,1726001.0000,1726001.0000,"N",248893667.0000,249968781.0000,548594672.0000,214438961.0000,64813409.0000,548208785.0000,0.0000,70953959.0000,1444742.0000,69635892.0000,-1058855.0000,4743602.0000,1703954.0000,0.0000,,572143498.0000,572143498.0000,646639223.0000,252620573.0000,247382319.0000,9.7926434123003914e-01,259120816.0000,247911665.0000,9.5674160349973580e-01,1.3032200000000000e+05,"Baa1","A3",6104865259.0000,9713317997.8200,4.3420000000000000e+03,4.8700000000000000e+03,7.2999999999999995e-02,4.1549999999999997e+01,1.9121980000000000e+04,"NEW HAVEN",94,93,"NH",956517425.0000,-751798333.0000,215482617.0000,200018.0000,0.0000,0.0000,0.0000,0.0000,2023605.0000,2023605.0000,2023605.0000,"N",245394710.0000,250993094.0000,541928552.0000,214734762.0000,62488475.0000,545931996.0000,0.0000,66478096.0000,1511026.0000,62177048.0000,-5514470.0000,1703954.0000,297604.0000,0.0000,,596763536.0000,596763536.0000,704400931.0000,252312223.0000,247240938.0000,9.7990075573944746e-01,257025028.0000,246445791.0000,9.5883966210481264e-01,1.2993400000000000e+05,"Baa1","2017-07-18 00:00:00","A3",6072519797.0000,9723396015.4338,4.0970000000000000e+03,4.5970000000000000e+03,6.5000000000000002e-02,4.1549999999999997e+01,1.9066830000000002e+04,"NEW HAVEN",94,"93","NH",1024694383.0000,-854616649.0000,182869478.0000,-32613139.0000,369575.0000,0.0000,0.0000,0.0000,-3394360.0000,-3763935.0000,-3763935.0000,"N",282531510.0000,252389650.0000,582957198.0000,246051060.0000,83736016.0000,598960970.0000,0.0000,88642886.0000,381936.0000,78057079.0000,-16385708.0000,297604.0000,-5417965.0000,0.0000,,583315501.0000,583315501.0000,777124811.0000,251492664.0000,246609814.0000,9.8058452313344613e-01,258423719.0000,247639398.0000,9.5826884218781794e-01,1.3101400000000000e+05,"Baa1",6078126767.0000,10248531793.2400,4.0970000000000000e+03,3.9625000000000000e+03,5.9999999999999998e-02,"41.55 / 37.00",1.9343380000000001e+04,"NEW HAVEN",2.0180000000000000e+03,"94","93","NH",1001195147.0000,-1369562105.0000,-348218419.0000,-107088067.0000,0.0000,0.0000,0.0000,0.0000,-10603115.0000,-10603115.0000,-10603115.0000,"N",299089386.0000,253562833.0000,607787354.0000,260920722.0000,41581266.0000,605765016.0000,0.0000,44697904.0000,15521013.0000,53928997.0000,-13498675.0000,-5417965.0000,-7208755.0000,0.0000,0.0000,0.0000,,619937568.0000,619937568.0000,804230333.0000,616661212.0000,252804250.0000,247772318.0000,9.8009554032418367e-01,260666551.0000,250222687.0000,9.5993400779680393e-01,1.3041800000000000e+05,"Baa1",1.8678999999999998e+01,6573634272.0000,9408561904.2900,,"38.68/37",
"NEW LONDON",9.5000000000000000e+01,9.5000000000000000e+01,"NL",195211659.0000,10713352.0000,207197176.0000,-3210553.0000,0.0000,0.0000,0.0000,200000.0000,2319321.0000,2119321.0000,2319321.0000,"N",37911660.0000,43203129.0000,86667709.0000,45031924.0000,5955958.0000,80594946.0000,50000.0000,50000.0000,5274600.0000,5274600.0000,848163.0000,208169.0000,848163.0000,0.0000,,50250400.0000,50250400.0000,43339999.0000,42380488.0000,9.7786084397463879e-01,44515152.0000,42907295.0000,9.6388068044786190e-01,2.7374000000000000e+04,,,1569776194.0000,1837874031.7600,7.0300000000000000e+02,7.9600000000000000e+02,9.3000000000000013e-02,2.7500000000000000e+01,3.5327300000000000e+03,"NEW LONDON",95,95,"NL",190740367.0000,-13880657.0000,178342550.0000,-10539905.0000,0.0000,0.0000,0.0000,0.0000,4244989.0000,4244989.0000,4244989.0000,"N",36527698.0000,47439641.0000,88986701.0000,45127644.0000,5749677.0000,82547534.0000,50000.0000,1150000.0000,5663499.0000,5663499.0000,825668.0000,848163.0000,1925668.0000,0.0000,,48821926.0000,48821926.0000,20733032.0000,47694829.0000,46378721.0000,9.7240564590345846e-01,49326813.0000,46980519.0000,9.5243369969999891e-01,2.7179000000000000e+04,,,1256420086.0000,1826592880.0000,6.2800000000000000e+02,7.1750000000000000e+02,8.1999999999999990e-02,3.8000000000000000e+01,3.5949099999999999e+03,"NEW LONDON",95,95,"NL",186966539.0000,-41039093.0000,147489245.0000,-36948379.0000,0.0000,0.0000,0.0000,24694.0000,4750483.0000,4725789.0000,4750483.0000,"N",36544314.0000,49248024.0000,91139131.0000,46918298.0000,5920295.0000,85615161.0000,0.0000,0.0000,5018476.0000,5018476.0000,505494.0000,1925668.0000,505494.0000,0.0000,,49578166.0000,49578166.0000,23810078.0000,49446015.0000,48320489.0000,9.7723727584518183e-01,51545903.0000,48832811.0000,9.4736551613035080e-01,2.6984000000000000e+04,,"2017-07-18 00:00:00",,1253973537.0000,1858962621.8175,5.3200000000000000e+02,6.3400000000000000e+02,7.0999999999999994e-02,3.9490000000000002e+01,3.6051999999999998e+03,"NEW LONDON",95,"95","NL",183551413.0000,-45112183.0000,140964884.0000,14512688.0000,0.0000,0.0000,0.0000,0.0000,8216487.0000,8216487.0000,8216487.0000,"N",40325059.0000,52113656.0000,98849564.0000,50532300.0000,7107921.0000,89497760.0000,25000.0000,25000.0000,5910800.0000,5910800.0000,3466004.0000,505494.0000,3466004.0000,0.0000,,52460771.0000,52460771.0000,23307019.0000,52309151.0000,51370348.0000,9.8205279607768825e-01,53717351.0000,52167453.0000,9.7114716248759181e-01,2.7072000000000000e+04,,1296673954.0000,1850395190.8100,5.3200000000000000e+02,5.3700000000000000e+02,6.3000000000000000e-02,"40.46 / 37.00",3.6695400000000000e+03,"NEW LONDON",2.0180000000000000e+03,"95","95","NL",176218811.0000,-45039346.0000,134343479.0000,-6621405.0000,0.0000,0.0000,0.0000,0.0000,12821728.0000,12821728.0000,12821728.0000,"N",40031084.0000,55632876.0000,101799856.0000,51008223.0000,6476811.0000,90377665.0000,0.0000,0.0000,6816950.0000,6816950.0000,4605241.0000,3466004.0000,4605241.0000,0.0000,0.0000,0.0000,,53850870.0000,53850870.0000,28790733.0000,27375331.0000,56138026.0000,55084705.0000,9.8123694267411543e-01,57655569.0000,55669411.0000,9.6555132427883938e-01,2.6939000000000000e+04,,5.6150000000000002e+00,1308497452.0000,1816064648.2000,,"44.26/37",
