Municipality,Numbered,ADM 2017-18,NCE 2017-18
"ANDOVER",1.0000000000000000e+00,4.3001999999999998e+02,8287599.0000
"ANSONIA",2.0000000000000000e+00,2.4577399999999998e+03,37994510.0000
"ASHFORD",3.0000000000000000e+00,5.5782000000000005e+02,10989108.0000
"AVON",4.0000000000000000e+00,3.2371500000000001e+03,55627079.0000
"BARKHAMSTED",5.0000000000000000e+00,5.3358000000000004e+02,9547200.0000
"BEACON FALLS",6.0000000000000000e+00,8.6413999999999999e+02,13550761.0000
"BERLIN",7.0000000000000000e+00,2.8671100000000001e+03,47083079.0000
"BETHANY",8.0000000000000000e+00,7.8477999999999997e+02,14515843.0000
"BETHEL",9.0000000000000000e+00,3.0170400000000000e+03,46893196.0000
"BETHLEHEM",1.0000000000000000e+01,3.5135000000000002e+02,7108639.0000
"BLOOMFIELD",1.1000000000000000e+01,2.2667399999999998e+03,49161756.0000
"BOLTON",1.2000000000000000e+01,7.4091999999999996e+02,13365934.0000
"BOZRAH",1.3000000000000000e+01,2.9651999999999998e+02,5679161.0000
"BRANFORD",1.4000000000000000e+01,2.9497500000000000e+03,55508338.0000
"BRIDGEPORT",1.5000000000000000e+01,2.0740360000000001e+04,295360089.0000
"BRIDGEWATER",1.6000000000000000e+01,1.1358000000000000e+02,3469011.0000
"BRISTOL",1.7000000000000000e+01,8.2144099999999999e+03,123603144.0000
"BROOKFIELD",1.8000000000000000e+01,2.6741700000000001e+03,40724515.0000
"BROOKLYN",1.9000000000000000e+01,1.1967500000000000e+03,19640719.0000
"BURLINGTON",2.0000000000000000e+01,1.5962600000000000e+03,24094340.0000
"CANAAN",2.1000000000000000e+01,1.0445000000000000e+02,3032733.0000
"CANTERBURY",2.2000000000000000e+01,6.3805999999999995e+02,11116459.0000
"CANTON",2.3000000000000000e+01,1.6205999999999999e+03,27322699.0000
"CHAPLIN",2.4000000000000000e+01,2.5901999999999998e+02,5887766.0000
"CHESHIRE",2.5000000000000000e+01,4.2499700000000003e+03,68136096.0000
"CHESTER",2.6000000000000000e+01,4.3219999999999999e+02,8712786.0000
"CLINTON",2.7000000000000000e+01,1.7715500000000000e+03,31691281.0000
"COLCHESTER",2.8000000000000000e+01,2.5330500000000002e+03,39168797.0000
"COLEBROOK",2.9000000000000000e+01,1.9225000000000000e+02,3774687.0000
"COLUMBIA",3.0000000000000000e+01,6.9399000000000001e+02,12475718.0000
"CORNWALL",3.1000000000000000e+01,1.1880000000000000e+02,4176411.0000
"COVENTRY",3.2000000000000000e+01,1.6966099999999999e+03,27321346.0000
"CROMWELL",3.3000000000000000e+01,2.0053599999999999e+03,29941514.0000
"DANBURY",3.4000000000000000e+01,1.1265219999999999e+04,144508899.0000
"DARIEN",3.5000000000000000e+01,4.7832799999999997e+03,101034197.0000
"DEEP RIVER",3.6000000000000000e+01,6.1040999999999997e+02,11591245.0000
"DERBY",3.7000000000000000e+01,1.5048000000000000e+03,25698442.0000
"DURHAM",3.8000000000000000e+01,1.1101300000000001e+03,21809610.0000
"EAST GRANBY",3.9000000000000000e+01,8.7753999999999996e+02,17514448.0000
"EAST HADDAM",4.0000000000000000e+01,1.0580799999999999e+03,20428903.0000
"EAST HAMPTON",4.1000000000000000e+01,1.9651199999999999e+03,31848075.0000
"EAST HARTFORD",4.2000000000000000e+01,8.0959399999999996e+03,111213789.0000
"EAST HAVEN",4.3000000000000000e+01,3.2816999999999998e+03,52671167.0000
"EAST LYME",4.4000000000000000e+01,2.6043600000000001e+03,42938561.0000
"EAST WINDSOR",4.5000000000000000e+01,1.1607100000000000e+03,25789086.0000
"EASTFORD",4.6000000000000000e+01,1.8509999999999999e+02,3774291.0000
"EASTON",4.7000000000000000e+01,1.2973299999999999e+03,26169873.0000
"ELLINGTON",4.8000000000000000e+01,2.7240200000000000e+03,37405663.0000
"ENFIELD",4.9000000000000000e+01,5.5460600000000004e+03,79889454.0000
"ESSEX",5.0000000000000000e+01,7.2779999999999995e+02,15229449.0000
"FAIRFIELD",5.1000000000000000e+01,9.9790100000000002e+03,174919498.0000
"FARMINGTON",5.2000000000000000e+01,4.1067299999999996e+03,68072860.0000
"FRANKLIN",5.3000000000000000e+01,2.4472999999999999e+02,3936898.0000
"GLASTONBURY",5.4000000000000000e+01,6.0414799999999996e+03,104435323.0000
"GOSHEN",5.5000000000000000e+01,3.5087000000000000e+02,8661137.0000
"GRANBY",5.6000000000000000e+01,1.8272800000000000e+03,28240688.0000
"GREENWICH",5.7000000000000000e+01,8.8289699999999993e+03,191548289.0000
