Municipality,numbered,PER CAPITA INCOME - 2018 ESTIMATE,Population_Range,PercentOfState,Sort ID
"NEW CANAAN",9.1000000000000000e+01,119180.0000,"10,000 to 30,000",2.7680230397621703e+00,1
"DARIEN",3.5000000000000000e+01,112096.0000,"10,000 to 30,000",2.6034931252322555e+00,2
"WESTPORT",1.5900000000000000e+02,110963.0000,"10,000 to 30,000",2.5771785581568190e+00,3
"WESTON",1.5800000000000000e+02,99698.0000,"0 to 10,000",2.3155425492382014e+00,4
"ROXBURY",1.2100000000000000e+02,88797.0000,"0 to 10,000",2.0623606465997772e+00,6
"WILTON",1.6200000000000000e+02,85151.0000,"10,000 to 30,000",1.9776802303976218e+00,7
"WASHINGTON",1.5100000000000000e+02,73969.0000,"0 to 10,000",1.7179719435154217e+00,9
"SHERMAN",1.2800000000000000e+02,73827.0000,"0 to 10,000",1.7146739130434783e+00,10
"AVON",4.0000000000000000e+00,72594.0000,"10,000 to 30,000",1.6860367892976589e+00,11
"SHARON",1.2600000000000000e+02,70183.0000,"0 to 10,000",1.6300399479747305e+00,12
"BRIDGEWATER",1.6000000000000000e+01,70043.0000,"0 to 10,000",1.6267883686361948e+00,13
"EASTON",4.7000000000000000e+01,69652.0000,"0 to 10,000",1.6177071720549980e+00,14
"LYME",7.6000000000000000e+01,66526.0000,"0 to 10,000",1.5451040505388332e+00,15
"REDDING",1.1800000000000000e+02,65491.0000,"0 to 10,000",1.5210655890003717e+00,16
"FAIRFIELD",5.1000000000000000e+01,65487.0000,"30,000 to 70,000",1.5209726867335562e+00,17
"WESTBROOK",1.5700000000000000e+02,62714.0000,"0 to 10,000",1.4565681902638425e+00,18
"GUILFORD",6.1000000000000000e+01,60834.0000,"10,000 to 30,000",1.4129041248606466e+00,19
"SIMSBURY",1.2900000000000000e+02,60453.0000,"10,000 to 30,000",1.4040551839464883e+00,20
"GLASTONBURY",5.4000000000000000e+01,60080.0000,"10,000 to 30,000",1.3953920475659607e+00,21
"SALISBURY",1.2300000000000000e+02,59895.0000,"0 to 10,000",1.3910953177257526e+00,22
"WARREN",1.5000000000000000e+02,59002.0000,"0 to 10,000",1.3703548866592346e+00,23
"CANAAN",2.1000000000000000e+01,57318.0000,"0 to 10,000",1.3312430323299889e+00,24
"OLD LYME",1.0600000000000000e+02,56674.0000,"0 to 10,000",1.3162857673727240e+00,25
"NEWTOWN",9.8000000000000000e+01,55985.0000,"10,000 to 30,000",1.3002833519137866e+00,27
"ESSEX",5.0000000000000000e+01,55708.0000,"0 to 10,000",1.2938498699368264e+00,28
"CORNWALL",3.1000000000000000e+01,55647.0000,"0 to 10,000",1.2924331103678930e+00,29
"DURHAM",3.8000000000000000e+01,55566.0000,"0 to 10,000",1.2905518394648829e+00,30
"BETHANY",8.0000000000000000e+00,55103.0000,"0 to 10,000",1.2797984020810107e+00,32
