2017 Net Grand List,2017 Tax Exempt Property Assessment,2017 Total Exempt and NGL,2017 Tax Exempt Property As A % of Total,Numbered,Municipality
259715957.0000,12939600.0000,272655557.0000,4.7457679360630084e-02,1,"ANDOVER"
982152121.0000,135881100.0000,1118033221.0000,1.2153583404119617e-01,2,"ANSONIA"
301252224.0000,35508210.0000,336760434.0000,1.0544056372133076e-01,3,"ASHFORD"
2615585560.0000,241516850.0000,2857102410.0000,8.4532094178591241e-02,4,"AVON"
352476360.0000,18893970.0000,371370330.0000,5.0876358377902726e-02,5,"BARKHAMSTED"
472959356.0000,41361950.0000,514321306.0000,8.0420448302408062e-02,6,"BEACON FALLS"
2325084873.0000,191373885.0000,2516458758.0000,7.6048885916214171e-02,7,"BERLIN"
557943900.0000,38739410.0000,596683310.0000,6.4924574478210220e-02,8,"BETHANY"
2005956925.0000,102603690.0000,2108560615.0000,4.8660536135452764e-02,9,"BETHEL"
377336306.0000,29180360.0000,406516666.0000,7.1781460492446325e-02,10,"BETHLEHEM"
2116863202.0000,196069748.0000,2312932950.0000,8.4771047081152961e-02,11,"BLOOMFIELD"
435016468.0000,30111750.0000,465128218.0000,6.4738600744279076e-02,12,"BOLTON"
224787780.0000,13896800.0000,238684580.0000,5.8222445706379522e-02,13,"BOZRAH"
3569991255.0000,266430420.0000,3836421675.0000,6.9447637035363163e-02,14,"BRANFORD"
6064663214.0000,2282865945.0000,8347529159.0000,2.7347804380397972e-01,15,"BRIDGEPORT"
370309435.0000,37992870.0000,408302305.0000,9.3050833989291343e-02,16,"BRIDGEWATER"
3916963485.0000,422327090.0000,4339290575.0000,9.7326298550541299e-02,17,"BRISTOL"
2242724498.0000,124669550.0000,2367394048.0000,5.2661089566108432e-02,18,"BROOKFIELD"
552340907.0000,43662440.0000,596003347.0000,7.3258716112545585e-02,19,"BROOKLYN"
932139053.0000,47518670.0000,979657723.0000,4.8505379873374409e-02,20,"BURLINGTON"
176741680.0000,61942000.0000,238683680.0000,2.5951502004661570e-01,21,"CANAAN"
361736468.0000,17042800.0000,378779268.0000,4.4994014825542140e-02,22,"CANTERBURY"
1121766972.0000,83283400.0000,1205050372.0000,6.9111965719554164e-02,23,"CANTON"
189965790.0000,20471900.0000,210437690.0000,9.7282478248074289e-02,24,"CHAPLIN"
