Municipality,Comptroller Town Code,County_Identifier,Net Investment In Capital Assets,Unrestricted Net Position,Total Net Position,Change In Net Position,Nonspendable_Fund_Bal,Restricted_Fund_Bal,Committed_Fund_Bal,Assigned_Fund_Bal,Total_Fund_Bal,Unassigned_Fund_Bal,Unrestricted_Fund_Bal,Restatement of Fund Balance (Y or N),Inter_Gov_Rev,Tax_Rev,Total_Revenue,Education,Debt_Service,Total_Expenditures,TOTAL_Trans_to_Genl_Fund,Other_Financing_Sources,TOTAL_Trans_from_Genl_Fund,Other_Financing_Uses,Operating_Surplus_(Deficit)_Including_Transfers,Prior_Yr_OP_Surplus_(Def)_including_sources_and_uses,Operating_Surplus_(Deficit)_Including_Sources_And_Uses,Special / Extraordinary Items,Largest Deficit - Individual Enterprise Fund,Largest Deficit - Individual Internal Service Fund,RSD_DEBT,TOWN_Bonded_Long_Term_Debt,Total_Bonded_Long_Term_Debt_(RSD_+_Town),Total_Net_Pension_Liability,Total_Net_OPEB_Liability,Curr_Year_Adjusted_Taxes_Collectible,Curr_Year_Taxes_Collected,Curr_Year_Tax_Collection_Rate,Total_Adjusted_Taxes_Collectible,Total_Taxes_Collected,Overal_Total_Tax_Collection_Rate,2018 Population,Moody's_Bond_Ratings_Latest,Date of Latest Moody's Ratings,Moody's_Bond_Ratings_June_2018,area lmt,ACGLFY18,EGL,TFA18 Recipients,empl,ACMR,enrollmt,numbered
"ANDOVER",,,7631907.0000,2947730.0000,11046547.0000,887906.0000,0.0000,0.0000,0.0000,43306.0000,2639243.0000,2595937.0000,2639243.0000,"N",2631848.0000,8343462.0000,11147480.0000,8767154.0000,142427.0000,10753389.0000,0.0000,0.0000,209217.0000,209217.0000,184874.0000,-531414.0000,184874.0000,0.0000,0.0000,0.0000,1778925.5877,360000.0000,2138925.5877,607000.0000,534195.0000,8387889.0000,8269987.0000,9.8594378156410989e-01,8539431.0000,8339605.0000,9.7659961184767463e-01,3.2310000000000000e+03,,"2019-08-20 00:00:00",,1.5446999999999999e+01,257040395.0000,367263335.7100,,3.4271099744245526e-02,"32.50",4.3001999999999998e+02,1
"ANSONIA",,,49524320.0000,-19031777.0000,30502038.0000,3794840.0000,0.0000,0.0000,2318548.0000,0.0000,7655700.0000,5337152.0000,7655700.0000,"N",28550301.0000,33939072.0000,65024223.0000,37032077.0000,7194348.0000,68077306.0000,0.0000,0.0000,1103500.0000,1103500.0000,-4156583.0000,-1716385.0000,-4156583.0000,0.0000,0.0000,0.0000,,14538909.0000,14538909.0000,7288921.0000,29703857.0000,33881695.0000,32376814.0000,9.5558424689201649e-01,36330515.0000,32729148.0000,9.0087211810787704e-01,1.8721000000000000e+04,,"2019-08-20 00:00:00","Aa3",6.0190000000000001e+00,900807535.0000,1435095889.7200,,5.6601743247605724e-02,"37.32",2.4577399999999998e+03,2
"ASHFORD",,,13390574.0000,2350476.0000,17407960.0000,134665.0000,0.0000,0.0000,124089.0000,89468.0000,2010480.0000,1796923.0000,2010480.0000,"N",4352678.0000,10213454.0000,14993722.0000,11628583.0000,418369.0000,14580855.0000,0.0000,0.0000,492003.0000,492003.0000,-79136.0000,257434.0000,-79136.0000,0.0000,0.0000,0.0000,218513.7908,1621959.0000,1840472.7908,0.0000,767971.0000,10203872.0000,9991267.0000,9.7916428195100835e-01,10596771.0000,10116372.0000,9.5466552971655239e-01,4.2610000000000000e+03,"Aa3","2019-08-20 00:00:00","Aa3",3.8762000000000000e+01,297170266.0000,426435908.5700,,3.9768339768339767e-02,"34.37 / 32.00",5.5782000000000005e+02,3
"AVON",,,122926656.0000,-35429391.0000,87563406.0000,2142184.0000,96320.0000,0.0000,0.0000,2234305.0000,11925123.0000,9594498.0000,11828803.0000,"N",14972652.0000,80359926.0000,98343591.0000,67977190.0000,2818850.0000,94948874.0000,0.0000,151747.0000,2705728.0000,2705728.0000,688989.0000,302288.0000,840736.0000,0.0000,0.0000,0.0000,,20248138.0000,20248138.0000,25902028.0000,31821266.0000,80213899.0000,79919978.0000,9.9633578464998940e-01,80568248.0000,80070853.0000,9.9382641409802031e-01,1.8302000000000000e+04,"Aaa","2019-08-20 00:00:00","Aaa",2.3154000000000000e+01,2611809940.0000,3718810939.6300,,2.9981064590784767e-02,"30.59",3.2371500000000001e+03,4
"BARKHAMSTED",,,5443053.0000,3223219.0000,8666272.0000,-244574.0000,0.0000,0.0000,0.0000,233130.0000,1664173.0000,1431043.0000,1664173.0000,"N",2191102.0000,10546817.0000,12942711.0000,10189152.0000,254188.0000,12596050.0000,0.0000,0.0000,264600.0000,264600.0000,82061.0000,106421.0000,82061.0000,0.0000,0.0000,0.0000,441512.2489,2170000.0000,2611512.2489,0.0000,0.0000,10306423.0000,10053250.0000,9.7543541537156009e-01,11068923.0000,10317442.0000,9.3210893236857828e-01,3.6240000000000000e+03,,"2019-08-20 00:00:00",,3.6253999999999998e+01,347300660.0000,524028657.0200,,3.9931300987548303e-02,"29.37",5.3358000000000004e+02,5
"BERLIN",,,93712628.0000,11549130.0000,106102705.0000,2991062.0000,0.0000,0.0000,206994.0000,2837000.0000,15069210.0000,12025216.0000,15069210.0000,"N",17080557.0000,71746019.0000,93242425.0000,55662839.0000,8672405.0000,91142608.0000,8639.0000,8639.0000,1334901.0000,1334901.0000,773555.0000,440057.0000,773555.0000,0.0000,0.0000,0.0000,,78054432.0000,78054432.0000,8679763.0000,6005729.0000,70660090.0000,69789191.0000,9.8767481049061778e-01,72269109.0000,70449198.0000,9.7481758077299663e-01,2.0432000000000000e+04,"Aa2","2019-08-20 00:00:00","Aa2",2.6324000000000002e+01,2213220745.0000,3296394142.3800,,3.4871967654986520e-02,"31.61",2.8671100000000001e+03,7
"BETHEL",,,85555251.0000,-721626.0000,85468100.0000,5787643.0000,17865.0000,0.0000,576092.0000,0.0000,19020927.0000,18426970.0000,19003062.0000,"N",17287467.0000,63962433.0000,83690663.0000,53431408.0000,2849596.0000,80177640.0000,0.0000,0.0000,3224923.0000,3224923.0000,288100.0000,2243448.0000,288100.0000,0.0000,0.0000,0.0000,,44389231.0000,44389231.0000,10119136.0000,13591689.0000,63747268.0000,63149000.0000,9.9061500172838779e-01,64465632.0000,63668046.0000,9.8762773317726882e-01,1.9714000000000000e+04,,"2019-08-20 00:00:00",,1.6888999999999999e+01,1943523080.0000,2909170000.5800,,3.4647550776583033e-02,"32.88 / 32.00",3.0170400000000000e+03,9
"BETHLEHEM",,,6727578.0000,4411020.0000,11230041.0000,1322145.0000,0.0000,1001897.0000,1184170.0000,0.0000,3682805.0000,1496738.0000,2680908.0000,"N",1353805.0000,9558245.0000,11398555.0000,6868828.0000,0.0000,9292764.0000,4000.0000,4000.0000,1047921.0000,1047921.0000,1061870.0000,124883.0000,1061870.0000,0.0000,0.0000,0.0000,5037345.9275,0.0000,5037345.9275,1806873.0000,0.0000,9511074.0000,9351096.0000,9.8317981754741890e-01,9925457.0000,9472834.0000,9.5439776727661008e-01,3.4220000000000000e+03,,"2019-08-20 00:00:00",,1.9375000000000000e+01,374076301.0000,512397019.2200,,3.8148524923702951e-02,"25.38",3.5135000000000002e+02,10
"BLOOMFIELD",,,123663048.0000,-97341971.0000,26321077.0000,2139374.0000,391200.0000,0.0000,0.0000,2596815.0000,21345066.0000,18357051.0000,20953866.0000,"N",14695223.0000,76396187.0000,94245204.0000,49016467.0000,5808960.0000,91513882.0000,125000.0000,15377019.0000,1207956.0000,16317181.0000,1648366.0000,1402794.0000,1791160.0000,0.0000,0.0000,0.0000,,43362250.0000,43362250.0000,34455924.0000,84861536.0000,76014160.0000,74917117.0000,9.8556791260996635e-01,77492400.0000,75788795.0000,9.7801584413439258e-01,2.1301000000000000e+04,"Aa2","2019-08-20 00:00:00","Aa2",2.6085999999999999e+01,2018358356.0000,2996916298.2000,,4.2778057372924005e-02,"37.56 / 32.00",2.2667399999999998e+03,11
"BOZRAH",,,6360461.0000,340080.0000,6710541.0000,-104278.0000,0.0000,0.0000,0.0000,370738.0000,1172079.0000,801341.0000,1172079.0000,"N",2505184.0000,6411729.0000,9181640.0000,6436720.0000,419820.0000,8834257.0000,0.0000,0.0000,0.0000,0.0000,347383.0000,173752.0000,347383.0000,0.0000,0.0000,0.0000,,2240000.0000,2240000.0000,542534.0000,439794.0000,6369687.0000,6232871.0000,9.7852076562003754e-01,6664447.0000,6344359.0000,9.5197080868075024e-01,2.5370000000000000e+03,,"2019-08-20 00:00:00",,1.9965000000000000e+01,222402190.0000,344503098.9100,,3.8620689655172416e-02,"28.50",2.9651999999999998e+02,13
