Municipality,Comptroller Town Code,County_Identifier,Net Investment In Capital Assets,Unrestricted Net Position,Total Net Position,Change In Net Position,Nonspendable_Fund_Bal,Restricted_Fund_Bal,Committed_Fund_Bal,Assigned_Fund_Bal,Total_Fund_Bal,Unassigned_Fund_Bal,Unrestricted_Fund_Bal,Restatement of Fund Balance (Y or N),Inter_Gov_Rev,Tax_Rev,Total_Revenue,Education,Debt_Service,Total_Expenditures,TOTAL_Trans_to_Genl_Fund,Other_Financing_Sources,TOTAL_Trans_from_Genl_Fund,Other_Financing_Uses,Operating_Surplus_(Deficit)_Including_Transfers,Prior_Yr_OP_Surplus_(Def)_including_sources_and_uses,Operating_Surplus_(Deficit)_Including_Sources_And_Uses,Special / Extraordinary Items,Largest Deficit - Individual Enterprise Fund,Largest Deficit - Individual Internal Service Fund,RSD_DEBT,TOWN_Bonded_Long_Term_Debt,Total_Bonded_Long_Term_Debt_(RSD_+_Town),Total_Net_Pension_Liability,Total_Net_OPEB_Liability,Curr_Year_Adjusted_Taxes_Collectible,Curr_Year_Taxes_Collected,Curr_Year_Tax_Collection_Rate,Total_Adjusted_Taxes_Collectible,Total_Taxes_Collected,Overal_Total_Tax_Collection_Rate,2018 Population,Moody's_Bond_Ratings_Latest,Date of Latest Moody's Ratings,Moody's_Bond_Ratings_June_2018,area lmt,ACGLFY18,EGL,TFA18 Recipients,empl,ACMR,enrollmt,numbered
"BRANFORD",,,95437127.0000,50129134.0000,145909500.0000,7655560.0000,16554.0000,0.0000,94468.0000,3390015.0000,30625718.0000,27124681.0000,30609164.0000,"N",14347991.0000,101530521.0000,122093385.0000,67243333.0000,8086493.0000,114953787.0000,648814.0000,1330476.0000,5180330.0000,5180330.0000,2608082.0000,2718110.0000,3289744.0000,0.0000,0.0000,0.0000,,38586596.0000,38586596.0000,19443659.0000,14438393.0000,101116747.0000,99419016.0000,9.8321018970279972e-01,105131673.0000,100653887.0000,9.5740783084465897e-01,2.8005000000000000e+04,,"2019-08-20 00:00:00",,2.1835000000000001e+01,3537873236.0000,5299801670.6400,,3.6146072292144588e-02,"28.47",2.9497500000000000e+03,14
"BRIDGEPORT",,,903774582.0000,-1601612985.0000,-673588994.0000,219725716.0000,0.0000,0.0000,0.0000,0.0000,21014433.0000,21014433.0000,21014433.0000,"N",272473344.0000,311378677.0000,607730220.0000,302605027.0000,76804705.0000,706559843.0000,394391.0000,186810577.0000,304426.0000,86232650.0000,-98739658.0000,4646987.0000,1748304.0000,0.0000,0.0000,-62531043.0000,,763760607.0000,763760607.0000,293705063.0000,938698280.0000,313253555.0000,308782170.0000,9.8572598800993660e-01,341157516.0000,310275971.0000,9.0948009775050653e-01,1.4490000000000000e+05,"Baa1","2019-08-20 00:00:00","Baa1",1.5974000000000000e+01,6026033446.0000,9430537961.2700,,6.0336414260290488e-02,"54.37 / 39.00",2.0740360000000001e+04,15
"BRIDGEWATER",,,4418827.0000,3247318.0000,9188437.0000,-108847.0000,0.0000,0.0000,44674.0000,1209014.0000,2533134.0000,1279446.0000,2533134.0000,"N",32062.0000,6321857.0000,6619629.0000,3973409.0000,0.0000,6768830.0000,0.0000,0.0000,217000.0000,217000.0000,-366201.0000,-428314.0000,-366201.0000,0.0000,0.0000,0.0000,84690.0025,0.0000,84690.0025,0.0000,0.0000,6318755.0000,6302414.0000,9.9741388928673447e-01,6344877.0000,6312618.0000,9.9491574068338917e-01,1.6410000000000000e+03,,"2019-08-20 00:00:00",,1.6395000000000000e+01,368053801.0000,526098187.1400,,3.2296650717703351e-02,"17.20",1.1358000000000000e+02,16
"BRISTOL",,,266282611.0000,34221754.0000,502892544.0000,-7062527.0000,5457.0000,0.0000,3085523.0000,6367646.0000,37800488.0000,28341862.0000,37795031.0000,"N",78647592.0000,140996045.0000,226992429.0000,125250458.0000,9495582.0000,216162545.0000,18309.0000,28405749.0000,11995230.0000,40208562.0000,-1147037.0000,2616585.0000,-972929.0000,0.0000,0.0000,0.0000,,71469432.0000,71469432.0000,0.0000,52566838.0000,140626000.0000,138673000.0000,9.8611209875840888e-01,143798000.0000,140302000.0000,9.7568811805449307e-01,6.0032000000000000e+04,"Aa2","2019-08-20 00:00:00","Aa2",2.6411000000000001e+01,3923316582.0000,6156041690.3600,,4.5724090183919812e-02,"36.03 / 32.00",8.2144099999999999e+03,17
"BROOKFIELD",,,49377952.0000,-8824968.0000,42936112.0000,1485518.0000,0.0000,0.0000,0.0000,1024892.0000,6580712.0000,5555820.0000,6580712.0000,"Y",8234605.0000,61466118.0000,71062303.0000,47167673.0000,4388843.0000,69151940.0000,718027.0000,913449.0000,1352161.0000,1352161.0000,1276229.0000,983833.0000,1471651.0000,0.0000,0.0000,-5138.0000,,46355017.0000,46355017.0000,497476.0000,19371928.0000,60994116.0000,60420332.0000,9.9059279750853346e-01,61741621.0000,60839278.0000,9.8538517477537557e-01,1.7002000000000000e+04,"Aa2","2019-08-20 00:00:00","Aa2",1.9773000000000000e+01,2233672619.0000,3191478027.1400,,3.5347043701799488e-02,"27.29",2.6741700000000001e+03,18
"BROOKLYN",,,27544989.0000,-2895572.0000,26325667.0000,3399324.0000,0.0000,0.0000,0.0000,0.0000,1469730.0000,1469730.0000,1469730.0000,"N",6958247.0000,14932539.0000,23246922.0000,18390927.0000,3096485.0000,22595613.0000,0.0000,160000.0000,382362.0000,382362.0000,268947.0000,269285.0000,428947.0000,0.0000,0.0000,0.0000,,1247752.0000,1247752.0000,2819977.0000,1692214.0000,15008416.0000,14831555.0000,9.8821587834452351e-01,15247698.0000,14991976.0000,9.8322881263781592e-01,8.2800000000000000e+03,,"2019-08-20 00:00:00",,2.9091000000000001e+01,548801485.0000,869861570.8300,,4.0301043942704541e-02,"27.09",1.1967500000000000e+03,19
"BURLINGTON",,,10701193.0000,12122705.0000,23178435.0000,608933.0000,0.0000,0.0000,310000.0000,1189724.0000,5733937.0000,4234213.0000,5733937.0000,"N",4760952.0000,29625511.0000,35891402.0000,25810198.0000,3052583.0000,40333720.0000,65000.0000,6310588.0000,1344539.0000,1344539.0000,-5721857.0000,-635373.0000,523731.0000,0.0000,0.0000,0.0000,9607423.2059,7143221.0000,16750644.2059,817534.0000,189609.0000,29638973.0000,29442934.0000,9.9338576947318658e-01,29952578.0000,29615603.0000,9.8874971630154840e-01,9.6650000000000000e+03,,"2019-08-20 00:00:00",,2.9741000000000000e+01,916684555.0000,1335552332.9900,,3.1952247191011238e-02,"32.00",1.5962600000000000e+03,20
"CANAAN",,,2039040.0000,2119679.0000,4173492.0000,120419.0000,0.0000,0.0000,242821.0000,235210.0000,1207287.0000,729256.0000,1207287.0000,"Y",749658.0000,4290238.0000,5205584.0000,3343408.0000,340302.0000,5189452.0000,0.0000,0.0000,131500.0000,131500.0000,-115368.0000,233212.0000,-115368.0000,0.0000,0.0000,0.0000,602694.5833,2352936.0000,2955630.5833,0.0000,113882.0000,4267744.0000,4219187.0000,9.8862232598768807e-01,4360821.0000,4273345.0000,9.7994047451156563e-01,1.0550000000000000e+03,,"2019-08-20 00:00:00",,3.2911999999999999e+01,170797000.0000,245942595.5100,,2.9185867895545316e-02,"24.95",1.0445000000000000e+02,21
"CANTERBURY",,,9658090.0000,2385930.0000,13789771.0000,-206058.0000,0.0000,18999.0000,8843.0000,353765.0000,2440128.0000,2058521.0000,2421129.0000,"N",5065176.0000,8906899.0000,14368919.0000,11946885.0000,66756.0000,14163274.0000,0.0000,0.0000,175000.0000,175000.0000,30645.0000,187321.0000,30645.0000,0.0000,0.0000,0.0000,,220000.0000,220000.0000,326828.0000,1153565.0000,8848336.0000,8725709.0000,9.8614123604709403e-01,9033880.0000,8826301.0000,9.7702216544829024e-01,5.1000000000000000e+03,,"2019-08-20 00:00:00",,3.9945000000000000e+01,359044942.0000,533723720.9200,,3.9491758241758240e-02,"24.50",6.3805999999999995e+02,22
"CANTON",,,74453963.0000,5045895.0000,80337684.0000,1671599.0000,136507.0000,0.0000,0.0000,205500.0000,6496818.0000,6154811.0000,6360311.0000,"N",6621109.0000,34234046.0000,41907927.0000,28963130.0000,2085659.0000,40194949.0000,325000.0000,325000.0000,1739290.0000,1739290.0000,298688.0000,98094.0000,298688.0000,0.0000,0.0000,0.0000,,18429033.0000,18429033.0000,6121679.0000,384755.0000,34189033.0000,33969161.0000,9.9356893188526274e-01,34741339.0000,34125909.0000,9.8228536902391705e-01,1.0270000000000000e+04,"Aa2","2019-08-20 00:00:00","Aa2",2.4585999999999999e+01,1116328163.0000,1554910972.4200,,3.1652173913043480e-02,"30.49",1.6205999999999999e+03,23
"CHAPLIN",,,8767333.0000,2319774.0000,11186073.0000,2704591.0000,1151.0000,90326.0000,175000.0000,163100.0000,1770866.0000,1341289.0000,1679389.0000,"Y",2659059.0000,6672820.0000,9425283.0000,6486371.0000,35019.0000,8279141.0000,0.0000,0.0000,356410.0000,356410.0000,789732.0000,57808.0000,789732.0000,0.0000,0.0000,0.0000,0.0000,51705.0000,51705.0000,0.0000,305027.0000,6607954.0000,6514230.0000,9.8581648722130932e-01,6783908.0000,6612859.0000,9.7478606726388384e-01,2.2560000000000000e+03,,"2019-08-20 00:00:00",,1.9427000000000000e+01,188786100.0000,286928672.3200,,4.6068308181096106e-02,"35.05 / 32.00",2.5901999999999998e+02,24
"CHESHIRE",,,133703530.0000,-49344377.0000,88624903.0000,-405298.0000,90257.0000,0.0000,25000.0000,2354385.0000,13050339.0000,10580697.0000,12960082.0000,"N",28670263.0000,88764655.0000,121107366.0000,83409031.0000,10827620.0000,120607132.0000,1062775.0000,1062775.0000,781952.0000,781952.0000,781057.0000,463913.0000,781057.0000,0.0000,0.0000,-3644741.0000,,96185612.0000,96185612.0000,36595233.0000,29035208.0000,88471517.0000,88279271.0000,9.9782702946079249e-01,88683562.0000,88370205.0000,9.9646657178700149e-01,2.9179000000000000e+04,"Aa1","2019-08-20 00:00:00","Aa1",3.3070000000000000e+01,2763666779.0000,4098891226.5300,,2.9747558036280604e-02,"31.94",4.2499700000000003e+03,25
"CHESTER",,,11783237.0000,3412342.0000,15505069.0000,464803.0000,0.0000,0.0000,0.0000,200000.0000,2432368.0000,2232368.0000,2432368.0000,"N",1476290.0000,11678130.0000,13728425.0000,9282173.0000,222483.0000,13069999.0000,31551.0000,31551.0000,515700.0000,515700.0000,174277.0000,147257.0000,174277.0000,0.0000,0.0000,0.0000,1536578.8166,732484.0000,2269062.8166,704084.0000,160863.0000,11662786.0000,11538351.0000,9.8933059390783640e-01,11872950.0000,11615626.0000,9.7832686905950084e-01,4.2290000000000000e+03,,"2019-08-20 00:00:00",,1.6050999999999998e+01,446080634.0000,655781424.1400,,2.9311809685641461e-02,"26.36",4.3219999999999999e+02,26
"CLINTON",,,65220914.0000,-18698098.0000,46522816.0000,1896694.0000,133902.0000,0.0000,350000.0000,0.0000,9660619.0000,9176717.0000,9526717.0000,"N",13477597.0000,45804387.0000,60470112.0000,38411337.0000,4002081.0000,56439244.0000,5527.0000,5527.0000,1599442.0000,1599442.0000,2436953.0000,443058.0000,2436953.0000,0.0000,0.0000,0.0000,,57640929.0000,57640929.0000,13620558.0000,9339382.0000,45455718.0000,45144035.0000,9.9314315087927996e-01,46090467.0000,45328639.0000,9.8347102883552906e-01,1.2950000000000000e+04,"Aa3","2019-08-20 00:00:00","Aa3",1.6207000000000001e+01,1525469492.0000,2254579500.7800,,3.3900631347790283e-02,"29.91",1.7715500000000000e+03,27
"COLCHESTER",,,70925735.0000,8071693.0000,80747068.0000,12330781.0000,25687.0000,0.0000,273318.0000,1238154.0000,8406943.0000,6869784.0000,8381256.0000,"N",21032544.0000,39539056.0000,62636786.0000,47020602.0000,2236095.0000,59632042.0000,0.0000,0.0000,1770601.0000,1770601.0000,1234143.0000,501744.0000,1234143.0000,0.0000,0.0000,0.0000,,20927467.0000,20927467.0000,540514.0000,6259762.0000,39244661.0000,38812483.0000,9.8898759757410060e-01,40232879.0000,39194673.0000,9.7419508556670775e-01,1.5936000000000000e+04,"Aa3","2019-08-20 00:00:00","Aa3",4.8982999999999997e+01,1201704429.0000,1718352555.7100,,3.3733923676997679e-02,"32.37",2.5330500000000002e+03,28
"COLEBROOK",,,8300678.0000,1928961.0000,10351173.0000,696258.0000,0.0000,0.0000,0.0000,0.0000,1916655.0000,1916655.0000,1916655.0000,"Y",880210.0000,5750977.0000,6750591.0000,3938008.0000,67000.0000,5851647.0000,0.0000,0.0000,510000.0000,510000.0000,388944.0000,240184.0000,388944.0000,0.0000,0.0000,0.0000,151429.1655,300000.0000,451429.1655,0.0000,0.0000,5703852.0000,5647738.0000,9.9016208695457031e-01,5821102.0000,5715716.0000,9.8189586782708838e-01,1.4050000000000000e+03,,"2019-08-20 00:00:00",,3.1530999999999999e+01,183080517.0000,258092027.1000,,4.8076923076923080e-02,"30.90",1.9225000000000000e+02,29
"COLUMBIA",,,14974374.0000,4795823.0000,20244654.0000,133043.0000,18436.0000,0.0000,0.0000,400000.0000,3897962.0000,3479526.0000,3879526.0000,"N",3642463.0000,14393052.0000,18450304.0000,13660946.0000,181250.0000,17432417.0000,16480.0000,16480.0000,948472.0000,948472.0000,85895.0000,202112.0000,85895.0000,0.0000,0.0000,0.0000,,466180.0000,466180.0000,0.0000,509881.0000,14098934.0000,13993050.0000,9.9248992867120311e-01,14470241.0000,14282996.0000,9.8705999437051528e-01,5.3850000000000000e+03,"Aa2","2019-08-20 00:00:00","Aa2",2.1373000000000001e+01,485026439.0000,693045685.7100,,3.4324241495556233e-02,"28.88",6.9399000000000001e+02,30
"CORNWALL",,,5385829.0000,4047545.0000,9489756.0000,155911.0000,731.0000,0.0000,0.0000,596972.0000,2154454.0000,1556751.0000,2153723.0000,"N",695564.0000,6283184.0000,7215781.0000,4377567.0000,365381.0000,6693246.0000,0.0000,0.0000,590000.0000,590000.0000,-67465.0000,76248.0000,-67465.0000,0.0000,0.0000,0.0000,703869.6235,2350000.0000,3053869.6235,0.0000,0.0000,6289405.0000,6192525.0000,9.8459631713969764e-01,6628247.0000,6253317.0000,9.4343451594365746e-01,1.3680000000000000e+03,"Aa2","2019-08-20 00:00:00","Aa2",4.6061000000000000e+01,389384320.0000,556350642.8600,,2.8205128205128206e-02,"16.12",1.1880000000000000e+02,31
"COVENTRY",,,101359144.0000,5807170.0000,107196488.0000,1036030.0000,23329.0000,34048.0000,0.0000,422829.0000,5783965.0000,5303759.0000,5726588.0000,"N",13609567.0000,30835771.0000,45150031.0000,32303060.0000,2774781.0000,44604969.0000,580077.0000,580077.0000,860980.0000,860980.0000,264159.0000,-478788.0000,264159.0000,0.0000,0.0000,0.0000,,17008552.0000,17008552.0000,3043316.0000,8728588.0000,30712305.0000,30360549.0000,9.8854674046770508e-01,31295675.0000,30697682.0000,9.8089215203059210e-01,1.2414000000000000e+04,"Aa3","2019-08-20 00:00:00","Aa3",3.7569000000000003e+01,951967368.0000,1453811079.3400,,3.3752061921076007e-02,"32.00",1.6966099999999999e+03,32
"CROMWELL",,,92647243.0000,10669772.0000,103379053.0000,4553791.0000,0.0000,0.0000,629000.0000,21595.0000,12291646.0000,11641051.0000,12291646.0000,"N",10263506.0000,43419649.0000,55685364.0000,34700021.0000,3793236.0000,53082164.0000,449223.0000,7776415.0000,960497.0000,8196346.0000,2091926.0000,1447440.0000,2183269.0000,0.0000,0.0000,0.0000,,20275000.0000,20275000.0000,5452523.0000,2842506.0000,43312188.0000,42891960.0000,9.9029769634357889e-01,44097160.0000,43190645.0000,9.7944278044209654e-01,1.3905000000000000e+04,,"2019-08-20 00:00:00",,1.2452999999999999e+01,1351057032.0000,2054513018.9700,,3.5451254525028085e-02,"31.68",2.0053599999999999e+03,33
"DANBURY",,,213825956.0000,-292190676.0000,-76073461.0000,11069141.0000,1360911.0000,0.0000,0.0000,15058012.0000,40702646.0000,24283723.0000,39341735.0000,"N",62381831.0000,209305618.0000,282344497.0000,160710267.0000,31680572.0000,273694677.0000,0.0000,18684940.0000,5576410.0000,22716511.0000,3073410.0000,3095168.0000,4618249.0000,0.0000,0.0000,0.0000,,149459169.0000,149459169.0000,102642941.0000,229731110.0000,207887930.0000,204970373.0000,9.8596572201185517e-01,215360042.0000,207870007.0000,9.6522086952416175e-01,8.4730000000000000e+04,"Aa1","2019-08-20 00:00:00","Aa1",4.1892000000000003e+01,7130248614.0000,10962930311.6700,,3.4067330086809233e-02,"28.95",1.1265219999999999e+04,34
"DARIEN",,,122055216.0000,31507972.0000,168423992.0000,11429358.0000,208966.0000,0.0000,333560.0000,212833.0000,23189231.0000,22433872.0000,22980265.0000,"N",22325921.0000,137962249.0000,166258840.0000,116740217.0000,11767347.0000,158006302.0000,674344.0000,1021745.0000,6094752.0000,6094752.0000,2832130.0000,-276108.0000,3179531.0000,0.0000,0.0000,0.0000,,65026101.0000,65026101.0000,0.0000,6686958.0000,137616625.0000,137308028.0000,9.9775756017850314e-01,138409733.0000,137831989.0000,9.9582584268116459e-01,2.1753000000000000e+04,"Aaa","2019-08-20 00:00:00","Aaa",1.2654999999999999e+01,8512569177.0000,13337401712.8700,,3.4105311671851594e-02,"16.16",4.7832799999999997e+03,35
"DEEP RIVER",,,11895614.0000,-543209.0000,11499797.0000,-306144.0000,0.0000,0.0000,74074.0000,97828.0000,1420348.0000,1248446.0000,1420348.0000,"N",2344069.0000,14603284.0000,17696304.0000,12298177.0000,177528.0000,16843212.0000,61223.0000,61223.0000,359313.0000,359313.0000,555002.0000,226175.0000,555002.0000,0.0000,0.0000,0.0000,2373302.0834,371429.0000,2744731.0834,1398757.0000,524319.0000,14481202.0000,14252761.0000,9.8422499734483371e-01,14811357.0000,14444165.0000,9.7520875366112636e-01,4.4630000000000000e+03,,"2019-08-20 00:00:00",,1.3513999999999999e+01,498980605.0000,708960792.8000,,3.2638888888888891e-02,"28.92",6.1040999999999997e+02,36
"DERBY",,,46465527.0000,-32753338.0000,13721449.0000,-4808350.0000,0.0000,0.0000,0.0000,0.0000,-2544956.0000,-2544956.0000,-2544956.0000,"Y",17539578.0000,28422294.0000,49442264.0000,26691955.0000,2098699.0000,51373683.0000,810766.0000,810766.0000,0.0000,0.0000,-1120653.0000,171946.0000,-1120653.0000,0.0000,0.0000,0.0000,,12923545.0000,12923545.0000,6027627.0000,29589978.0000,28292141.0000,27701559.0000,9.7912558119938675e-01,29374956.0000,28173592.0000,9.5910244086833696e-01,1.2515000000000000e+04,,"2019-08-20 00:00:00",,5.0549999999999997e+00,715985451.0000,1028072826.8200,,5.1836492890995262e-02,"39.37 / 39.00",1.5048000000000000e+03,37
"EAST HADDAM",,,64367142.0000,16226216.0000,81033151.0000,1408180.0000,0.0000,0.0000,0.0000,164554.0000,5106087.0000,4941533.0000,5106087.0000,"N",8052065.0000,25801748.0000,34873074.0000,23916218.0000,2012828.0000,33203161.0000,340639.0000,340639.0000,1505779.0000,1505779.0000,504773.0000,37671.0000,504773.0000,0.0000,0.0000,0.0000,,12880000.0000,12880000.0000,384595.0000,1198402.0000,25488028.0000,25241194.0000,9.9031568860486185e-01,25903542.0000,25587369.0000,9.8779421748577856e-01,8.9880000000000000e+03,,"2019-08-20 00:00:00",,5.4253000000000000e+01,858106872.0000,1239198726.3000,,3.5303451011503374e-02,"29.58",1.0580799999999999e+03,40
