Entity,Initials,DBplans,DCplans,CSplans,Comment,NOPEBO
"HARTFORD","BP",1,0,0,,0
"WEST HAVEN","BP",2,0,0,,0
"ANSONIA","BP",1,0,0,,0
"ASHFORD","BP",1,0,0,,0
"BEACON FALLS","BP",1,0,0,,0
"BERLIN","BP",1,0,0,,0
"BETHLEHEM","BP",0,0,0,,0
"BOLTON","BP",1,0,0,,0
"BOZRAH","BP",1,0,0,,0
"BRANFORD","BP",1,0,0,,0
"BRIDGEPORT","BP",1,0,0,,0
"HARTLAND","BP",0,0,0,,0
"HARWINTON","BP",0,0,0,,0
"HEBRON","BP",1,0,0,,0
"KILLINGWORTH","BP",1,0,0,,0
"LEBANON","BP",1,0,0,,0
"LISBON","BP",1,0,0,,0
"MADISON","BP",1,0,0,,0
"MANCHESTER","BP",1,0,0,,0
"MARLBOROUGH","BP",1,0,0,,0
"MIDDLEFIELD","BP",0,0,0,,0
"MILFORD","BP",2,0,0,,0
"MONTVILLE","BP",1,0,0,,0
"MORRIS","BP",0,0,0,,0
"BROOKLYN","MR",1,0,0,,0
"BURLINGTON","MR",1,0,0,,0
"CANAAN","MR",1,0,0,,0
"CHAPLIN","MR",1,0,0,,0
"CLINTON","MR",2,0,0,,0
"COLEBROOK","MR",1,0,0,,0
"COLUMBIA","MR",1,0,0,,0
"CORNWALL","MR",0,0,0,,0
"DEEP RIVER","MR",0,0,0,,0
"DERBY","MR",1,0,0,,0
"DURHAM","MR",1,0,0,,0
"EAST HADDAM","MR",1,0,0,,0
"EAST HAVEN","MR",2,0,0,,0
"EAST WINDSOR","MR",1,0,0,,0
"EASTFORD","MR",1,0,0,,0
"EASTON","MR",1,0,0,,0
"FAIRFIELD","MR",3,0,0,,0
"FRANKLIN","MR",0,0,0,,0
"GOSHEN","MR",0,0,0,,0
"GUILFORD","MR",1,0,0,,0
"HAMPTON","MR",1,0,0,,0
"NEW MILFORD","MR",1,0,0,,0
"NEWINGTON","MR",1,0,0,,0
"NORTH CANAAN","MR",0,0,0,,0
