Municipality,Equalized Net Grand List GLYR 2017
"ANDOVER",384095516.0200
"ANSONIA",1406781545.7100
"ASHFORD",453251481.3000
"AVON",3693549948.8400
"BARKHAMSTED",539457408.8400
"BEACON FALLS",743663061.6100
"BERLIN",3322195404.2900
"BETHANY",842626226.6000
"BETHEL",2866121635.7100
"BETHLEHEM",540062982.8900
"BLOOMFIELD",3067207322.2900
"BOLTON",638184674.2200
"BOZRAH",321252800.0000
"BRANFORD",5433604019.2500
"BRIDGEPORT",9951637059.8500
"BRIDGEWATER",554540921.6700
"BRISTOL",5613277357.1400
"BROOKFIELD",3439647398.1100
"BROOKLYN",913932194.5900
"BURLINGTON",1367367294.0100
"CANAAN",252602400.0000
"CANTERBURY",536259037.8900
"CANTON",1552114126.9000
"CHAPLIN",286918371.0700
"CHESHIRE",4244943198.7800
"CHESTER",649168688.4700
"CLINTON",2362965231.2600
"COLCHESTER",1818727792.4200
"COLEBROOK",257037960.6500
"COLUMBIA",742444901.5800
"CORNWALL",565972391.4000
"COVENTRY",1482536633.9200
"CROMWELL",2060363680.0000
"DANBURY",11055197340.0000
"DARIEN",13174027653.0900
"DEEP RIVER",722637736.7000
"DERBY",1118231607.4300
"DURHAM",1057191265.9400
"EAST GRANBY",863094514.0900
"EAST HADDAM",1246607350.0000
"EAST HAMPTON",1682912341.7800
"EAST HARTFORD",4178783909.5800
"EAST HAVEN",2968812967.5700
"EAST LYME",3302735614.9300
"EAST WINDSOR",1370636530.0000
"EASTFORD",235165657.5500
"EASTON",1779672427.9100
"ELLINGTON",2007169946.0800
"ENFIELD",4406984332.1800
"ESSEX",1567616412.8900
"FAIRFIELD",16468486024.4100
"FARMINGTON",5222254320.0000
"FRANKLIN",346211391.3700
"GLASTONBURY",5970627695.7100
"GOSHEN",791818742.8600
"GRANBY",1414808600.0000
"GREENWICH",50416714164.9600
"GRISWOLD",1073274955.0200
"GROTON",5754589926.3900
"GROTON (City of)",
"GUILFORD",4246530455.7100
"HADDAM",1337706958.7600
"HAMDEN",5741256858.8300
"HAMPTON",226365034.3000
"HARTFORD",7430863343.0000
"HARTLAND",302920272.4700
"HARWINTON",848020215.9000
"HEBRON",1163379075.6200
"KENT",909469321.4400
"KILLINGLY",1968237326.9700
"KILLINGWORTH",1027116068.2000
"LEBANON",1008534747.8900
"LEDYARD",1660436363.4500
"LISBON",594207503.0900
"LITCHFIELD",1440658954.9800
"LYME",754053082.6200
"MADISON",4269820426.6500
"MANCHESTER",6186246719.9800
"MANSFIELD",1629782576.7100
"MARLBOROUGH",876042728.5300
"MERIDEN",4822476186.6400
"MIDDLEBURY",1396256302.7100
"MIDDLEFIELD",637122386.7800
"MIDDLETOWN",4940759434.2900
"MILFORD",9699877201.6600
"MONROE",3175907795.2600
"MONTVILLE",1937335767.4900
"MORRIS",480396515.7100
"NAUGATUCK",2414595090.8700
"NEW BRITAIN",3797547507.1400
"NEW CANAAN",11464169241.2900
"NEW FAIRFIELD",2542127926.4300
"NEW HARTFORD",975469254.5800
"NEW HAVEN",10608364295.1100
"NEW LONDON",2045197009.7400
"NEW MILFORD",4343771207.0600
"NEWINGTON",4227649658.1500
"NEWTOWN",4504405100.0000
"NORFOLK",405327613.8300
"NORTH BRANFORD",1847595800.3800
"NORTH CANAAN",467642414.2900
"NORTH HAVEN",4162286378.6000
"NORTH STONINGTON",830683720.5600
"NORWALK",19216599802.8700
"NORWICH",2801852044.1000
"OLD LYME",2311940149.4800
"OLD SAYBROOK",3248889821.1100
"ORANGE",2963530031.4300
"OXFORD",2259033790.1800
"PLAINFIELD",1410326107.1400
"PLAINVILLE",2050590737.4100
"PLYMOUTH",1208618001.2700
"POMFRET",543867857.6000
"PORTLAND",1245216040.0200
"PRESTON",618729907.1400
"PROSPECT",1270606762.5100
"PUTNAM",971360287.6500
"REDDING",2236521145.7100
"RIDGEFIELD",6873742407.1400
"ROCKY HILL",3102901837.3600
"ROXBURY",944954328.5700
"SALEM",546135040.1000
"SALISBURY",1813192573.1700
"SCOTLAND",177539297.7600
"SEYMOUR",1799436659.5500
"SHARON",1061795413.6700
"SHELTON",7292360722.5900
"SHERMAN",1020795587.3200
"SIMSBURY",3451701684.2900
"SOMERS",1312447348.2900
"SOUTH WINDSOR",3919928541.4300
"SOUTHBURY",3031733541.4300
"SOUTHINGTON",6103583714.7300
"SPRAGUE",238467977.1400
"STAFFORD",1149552836.2300
"STAMFORD",30661834478.5700
"STERLING",336481307.1400
"STONINGTON",3965851387.1400
"STRATFORD",6849326658.0900
"SUFFIELD",2099279393.1000
"THOMASTON",809588693.7300
"THOMPSON",1037471213.1900
"TOLLAND",1913454822.3900
"TORRINGTON",2834037933.5800
"TRUMBULL",6823143797.4700
"UNION",134726905.6200
"VERNON",2940732662.1800
"VOLUNTOWN",337932630.6300
"WALLINGFORD",6320175829.9600
"WARREN",534291700.0000
"WASHINGTON",1649790904.4600
"WATERBURY",6134163548.5700
"WATERFORD",4701087261.4300
"WATERTOWN",2640022335.8000
"WEST HARTFORD",9605646775.1700
"WEST HAVEN",4224962528.4900
"WESTBROOK",1664555780.2200
"WESTON",3418855302.4500
"WESTPORT",16216507898.7200
"WETHERSFIELD",3379119933.9400
"WILLINGTON",652303251.5600
"WILTON",6210325309.4900
"WINCHESTER",1020494160.0000
"WINDHAM",1415621220.0400
"WINDSOR",4518598159.0800
"WINDSOR LOCKS",2098683808.3600
"WOLCOTT",1835063728.4400
"WOODBRIDGE",1736438738.5000
"WOODBURY",1536696981.1600
"WOODSTOCK",1148727212.5100
,
