MUNICIPALITY,NUMBERED,TOWN CODE,Net Grand List - 2018 GL Year
"ANDOVER",1.0000000000000000e+00,1.0000000000000000e+00,263368267.0000
"ANSONIA",2.0000000000000000e+00,2.0000000000000000e+00,991285843.0000
"ASHFORD",3.0000000000000000e+00,3.0000000000000000e+00,303793134.0000
"AVON",4.0000000000000000e+00,4.0000000000000000e+00,2559343136.0000
"BARKHAMSTED",5.0000000000000000e+00,5.0000000000000000e+00,356598332.0000
"BEACON FALLS",6.0000000000000000e+00,6.0000000000000000e+00,478923791.0000
"BERLIN",7.0000000000000000e+00,7.0000000000000000e+00,2334216926.0000
"BETHANY",8.0000000000000000e+00,8.0000000000000000e+00,563920992.0000
"BETHEL",9.0000000000000000e+00,9.0000000000000000e+00,2039778550.0000
"BETHLEHEM",1.0000000000000000e+01,1.0000000000000000e+01,361791560.0000
"BLOOMFIELD",1.1000000000000000e+01,1.1000000000000000e+01,2155023283.0000
"BOLTON",1.2000000000000000e+01,1.2000000000000000e+01,443024196.0000
"BOZRAH",1.3000000000000000e+01,1.3000000000000000e+01,227249026.0000
"BRANFORD",1.4000000000000000e+01,1.4000000000000000e+01,3583125596.0000
"BRIDGEPORT",1.5000000000000000e+01,1.5000000000000000e+01,6372682964.0000
"BRIDGEWATER",1.6000000000000000e+01,1.6000000000000000e+01,380014331.0000
"BRISTOL",1.7000000000000000e+01,1.7000000000000000e+01,3945511672.0000
"BROOKFIELD",1.8000000000000000e+01,1.8000000000000000e+01,2274481668.0000
"BROOKLYN",1.9000000000000000e+01,1.9000000000000000e+01,555929903.0000
"BURLINGTON",2.0000000000000000e+01,2.0000000000000000e+01,952047658.0000
"CANAAN",2.1000000000000000e+01,2.1000000000000000e+01,181600530.0000
"CANTERBURY",2.2000000000000000e+01,2.2000000000000000e+01,364883117.0000
"CANTON",2.3000000000000000e+01,2.3000000000000000e+01,1080596193.0000
"CHAPLIN",2.4000000000000000e+01,2.4000000000000000e+01,218445290.0000
"CHESHIRE",2.5000000000000000e+01,2.5000000000000000e+01,2801534670.0000
"CHESTER",2.6000000000000000e+01,2.6000000000000000e+01,440999763.0000
"CLINTON",2.7000000000000000e+01,2.7000000000000000e+01,1543849109.0000
"COLCHESTER",2.8000000000000000e+01,2.8000000000000000e+01,1223066888.0000
"COLEBROOK",2.9000000000000000e+01,2.9000000000000000e+01,187316668.0000
"COLUMBIA",3.0000000000000000e+01,3.0000000000000000e+01,494411199.0000
"CORNWALL",3.1000000000000000e+01,3.1000000000000000e+01,393026776.0000
"COVENTRY",3.2000000000000000e+01,3.2000000000000000e+01,977892640.0000
"CROMWELL",3.3000000000000000e+01,3.3000000000000000e+01,1446485326.0000
"DANBURY",3.4000000000000000e+01,3.4000000000000000e+01,7840619462.0000
"DARIEN",3.5000000000000000e+01,3.5000000000000000e+01,8473454179.0000
"DEEP RIVER",3.6000000000000000e+01,3.6000000000000000e+01,508866800.0000
"DERBY",3.7000000000000000e+01,3.7000000000000000e+01,723147500.0000
"DURHAM",3.8000000000000000e+01,3.8000000000000000e+01,699395332.0000
"EAST GRANBY",3.9000000000000000e+01,4.0000000000000000e+01,607221264.0000
"EAST HADDAM",4.0000000000000000e+01,4.1000000000000000e+01,878682740.0000
"EAST HAMPTON",4.1000000000000000e+01,4.2000000000000000e+01,1147808108.0000
"EAST HARTFORD",4.2000000000000000e+01,4.3000000000000000e+01,2783862372.0000
"EAST HAVEN",4.3000000000000000e+01,4.4000000000000000e+01,1972764707.0000
"EAST LYME",4.4000000000000000e+01,4.5000000000000000e+01,2183924019.0000
"EAST WINDSOR",4.5000000000000000e+01,4.7000000000000000e+01,954201918.0000
"EASTFORD",4.6000000000000000e+01,3.9000000000000000e+01,154907651.0000
"EASTON",4.7000000000000000e+01,4.6000000000000000e+01,1284698368.0000
"ELLINGTON",4.8000000000000000e+01,4.8000000000000000e+01,1413925575.0000
"ENFIELD",4.9000000000000000e+01,4.9000000000000000e+01,2931233750.0000
"ESSEX",5.0000000000000000e+01,5.0000000000000000e+01,1062738700.0000
"FAIRFIELD",5.1000000000000000e+01,5.1000000000000000e+01,10966569327.0000
"FARMINGTON",5.2000000000000000e+01,5.2000000000000000e+01,3667248785.0000
"FRANKLIN",5.3000000000000000e+01,5.3000000000000000e+01,232086350.0000
"GLASTONBURY",5.4000000000000000e+01,5.4000000000000000e+01,4225059297.0000
"GOSHEN",5.5000000000000000e+01,5.5000000000000000e+01,559425795.0000
"GRANBY",5.6000000000000000e+01,5.6000000000000000e+01,1003655584.0000
"GREENWICH",5.7000000000000000e+01,5.7000000000000000e+01,33102411425.0000
"GRISWOLD",5.8000000000000000e+01,5.8000000000000000e+01,725588151.0000
"GROTON",5.9000000000000000e+01,5.9000000000000000e+01,3750970179.0000
"GROTON (City of)",6.0000000000000000e+01,,
"GUILFORD",6.1000000000000000e+01,6.0000000000000000e+01,2987621831.0000
"HADDAM",6.2000000000000000e+01,6.1000000000000000e+01,949807954.0000
"HAMDEN",6.3000000000000000e+01,6.2000000000000000e+01,3870450238.0000
"HAMPTON",6.4000000000000000e+01,6.3000000000000000e+01,147576350.0000
"HARTFORD",6.5000000000000000e+01,6.4000000000000000e+01,4025919645.0000
"HARTLAND",6.6000000000000000e+01,6.5000000000000000e+01,200988260.0000
"HARWINTON",6.7000000000000000e+01,6.6000000000000000e+01,573930317.0000
"HEBRON",6.8000000000000000e+01,6.7000000000000000e+01,778563080.0000
"KENT",6.9000000000000000e+01,6.8000000000000000e+01,591845519.0000
"KILLINGLY",7.0000000000000000e+01,6.9000000000000000e+01,1343574733.0000
"KILLINGWORTH",7.1000000000000000e+01,7.0000000000000000e+01,700716370.0000
"LEBANON",7.2000000000000000e+01,7.1000000000000000e+01,666581923.0000
"LEDYARD",7.3000000000000000e+01,7.2000000000000000e+01,1111080848.0000
"LISBON",7.4000000000000000e+01,7.3000000000000000e+01,378847315.0000
"LITCHFIELD",7.5000000000000000e+01,7.4000000000000000e+01,1049804996.0000
"LYME",7.6000000000000000e+01,7.5000000000000000e+01,493602258.0000
"MADISON",7.7000000000000000e+01,7.6000000000000000e+01,2932909218.0000
"MANCHESTER",7.8000000000000000e+01,7.7000000000000000e+01,4027713642.0000
"MANSFIELD",7.9000000000000000e+01,7.8000000000000000e+01,1107706109.0000
"MARLBOROUGH",8.0000000000000000e+01,7.9000000000000000e+01,589677713.0000
"MERIDEN",8.1000000000000000e+01,8.0000000000000000e+01,3126883746.0000
"MIDDLEBURY",8.2000000000000000e+01,8.1000000000000000e+01,961292386.0000
"MIDDLEFIELD",8.3000000000000000e+01,8.2000000000000000e+01,421101430.0000
"MIDDLETOWN",8.4000000000000000e+01,8.3000000000000000e+01,3464464084.0000
"MILFORD",8.5000000000000000e+01,8.4000000000000000e+01,6590353101.0000
"MONROE",8.6000000000000000e+01,8.5000000000000000e+01,2186084476.0000
"MONTVILLE",8.7000000000000000e+01,8.6000000000000000e+01,1282590471.0000
"MORRIS",8.8000000000000000e+01,8.7000000000000000e+01,337271111.0000
"NAUGATUCK",8.9000000000000000e+01,8.8000000000000000e+01,1715681562.0000
"NEW BRITAIN",9.0000000000000000e+01,8.9000000000000000e+01,2684288510.0000
"NEW CANAAN",9.1000000000000000e+01,9.0000000000000000e+01,7706360081.0000
"NEW FAIRFIELD",9.2000000000000000e+01,9.1000000000000000e+01,1604519204.0000
"NEW HARTFORD",9.3000000000000000e+01,9.2000000000000000e+01,677694328.0000
"NEW HAVEN",9.4000000000000000e+01,9.3000000000000000e+01,6586033021.0000
"NEW LONDON",9.5000000000000000e+01,9.5000000000000000e+01,1449238134.0000
