MUNICIPALITY,Numbered,2018 Labor Force,2018 Unemployed,2018 Unemp Rate
"ANDOVER",1.0000000000000000e+00,1.9550000000000000e+03,6.7000000000000000e+01,3.4271099744245526e-02
"ANSONIA",2.0000000000000000e+00,9.2930000000000000e+03,5.2600000000000000e+02,5.6601743247605724e-02
"ASHFORD",3.0000000000000000e+00,2.5900000000000000e+03,1.0300000000000000e+02,3.9768339768339767e-02
"AVON",4.0000000000000000e+00,9.5060000000000000e+03,2.8500000000000000e+02,2.9981064590784767e-02
"BARKHAMSTED",5.0000000000000000e+00,2.3290000000000000e+03,9.3000000000000000e+01,3.9931300987548303e-02
"BEACON FALLS",6.0000000000000000e+00,3.5360000000000000e+03,1.3300000000000000e+02,3.7613122171945700e-02
"BERLIN",7.0000000000000000e+00,1.1872000000000000e+04,4.1400000000000000e+02,3.4871967654986520e-02
"BETHANY",8.0000000000000000e+00,3.1260000000000000e+03,1.0400000000000000e+02,3.3269353806781830e-02
"BETHEL",9.0000000000000000e+00,1.0881000000000000e+04,3.7700000000000000e+02,3.4647550776583033e-02
"BETHLEHEM",1.0000000000000000e+01,1.9660000000000000e+03,7.5000000000000000e+01,3.8148524923702951e-02
"BLOOMFIELD",1.1000000000000000e+01,1.1922000000000000e+04,5.1000000000000000e+02,4.2778057372924005e-02
"BOLTON",1.2000000000000000e+01,3.1890000000000000e+03,8.9000000000000000e+01,2.7908435246158672e-02
"BOZRAH",1.3000000000000000e+01,1.4500000000000000e+03,5.6000000000000000e+01,3.8620689655172416e-02
"BRANFORD",1.4000000000000000e+01,1.6129000000000000e+04,5.8300000000000000e+02,3.6146072292144588e-02
"BRIDGEPORT",1.5000000000000000e+01,6.9676000000000000e+04,4.2040000000000000e+03,6.0336414260290488e-02
"BRIDGEWATER",1.6000000000000000e+01,8.3600000000000000e+02,2.7000000000000000e+01,3.2296650717703351e-02
"BRISTOL",1.7000000000000000e+01,3.3221000000000000e+04,1.5190000000000000e+03,4.5724090183919812e-02
"BROOKFIELD",1.8000000000000000e+01,9.3360000000000000e+03,3.3000000000000000e+02,3.5347043701799488e-02
