Municipality,numbered,MEDIAN HOUSEHOLD INCOME - 2018 ESTIMATE,Population_Range,PercentOfStateMedian,SortID
"WESTON",1.5800000000000000e+02,219083.0000,"0 to 10,000",2.8786560849341707e+00,1
"DARIEN",3.5000000000000000e+01,210511.0000,"10,000 to 30,000",2.7660237037815678e+00,2
"NEW CANAAN",9.1000000000000000e+01,192428.0000,"10,000 to 30,000",2.5284208866580822e+00,3
"WESTPORT",1.5900000000000000e+02,187988.0000,"10,000 to 30,000",2.4700812025333088e+00,4
"WILTON",1.6200000000000000e+02,187903.0000,"10,000 to 30,000",2.4689643392111003e+00,5
"RIDGEFIELD",1.1900000000000000e+02,158518.0000,"10,000 to 30,000",2.0828581189393742e+00,6
"EASTON",4.7000000000000000e+01,142841.0000,"0 to 10,000",1.8768691036186371e+00,7
"GREENWICH",5.7000000000000000e+01,142819.0000,"30,000 to 70,000",1.8765800331117126e+00,8
"WOODBRIDGE",1.6800000000000000e+02,142188.0000,"0 to 10,000",1.8682889653903765e+00,9
"ROXBURY",1.2100000000000000e+02,137656.0000,"0 to 10,000",1.8087404409639187e+00,10
"FAIRFIELD",5.1000000000000000e+01,134559.0000,"30,000 to 70,000",1.7680471973300398e+00,11
"AVON",4.0000000000000000e+00,132500.0000,"10,000 to 30,000",1.7409928257956009e+00,12
"REDDING",1.1800000000000000e+02,128047.0000,"0 to 10,000",1.6824823272803722e+00,13
"NEWTOWN",9.8000000000000000e+01,123974.0000,"10,000 to 30,000",1.6289648647938402e+00,15
"GRANBY",5.6000000000000000e+01,121114.0000,"0 to 10,000",1.5913856988936483e+00,16
"SIMSBURY",1.2900000000000000e+02,119588.0000,"10,000 to 30,000",1.5713347173678816e+00,18
"TRUMBULL",1.4500000000000000e+02,118707.0000,"30,000 to 70,000",1.5597587575224030e+00,19
"DURHAM",3.8000000000000000e+01,117631.0000,"0 to 10,000",1.5456205818200930e+00,20
"ORANGE",1.0800000000000000e+02,117215.0000,"10,000 to 30,000",1.5401545213255197e+00,21
"GLASTONBURY",5.4000000000000000e+01,116625.0000,"10,000 to 30,000",1.5324021759125430e+00,22
"TOLLAND",1.4300000000000000e+02,115718.0000,"10,000 to 30,000",1.5204845872861534e+00,23
"MONROE",8.6000000000000000e+01,115049.0000,"10,000 to 30,000",1.5116942159619478e+00,24
"SHERMAN",1.2800000000000000e+02,113506.0000,"0 to 10,000",1.4914198617717394e+00,25
"KILLINGWORTH",7.1000000000000000e+01,113068.0000,"0 to 10,000",1.4856647307702415e+00,26
"SALEM",1.2200000000000000e+02,113000.0000,"0 to 10,000",1.4847712401124746e+00,27
"CHESHIRE",2.5000000000000000e+01,112945.0000,"10,000 to 30,000",1.4840485638451633e+00,28
"SUFFIELD",1.4000000000000000e+02,111573.0000,"10,000 to 30,000",1.4660210758678685e+00,29
"BARKHAMSTED",5.0000000000000000e+00,111071.0000,"0 to 10,000",1.4594250124825900e+00,30
"HEBRON",6.8000000000000000e+01,110938.0000,"0 to 10,000",1.4576774498725462e+00,31
"MARLBOROUGH",8.0000000000000000e+01,109750.0000,"0 to 10,000",1.4420676424986203e+00,33
"MIDDLEBURY",8.2000000000000000e+01,108977.0000,"0 to 10,000",1.4319107560507713e+00,34
"HADDAM",6.2000000000000000e+01,108800.0000,"0 to 10,000",1.4295850524268783e+00,35
"WARREN",1.5000000000000000e+02,107813.0000,"0 to 10,000",1.4166162983207631e+00,37
"BROOKFIELD",1.8000000000000000e+01,107255.0000,"10,000 to 30,000",1.4092844190996767e+00,38
"NEW FAIRFIELD",9.2000000000000000e+01,107089.0000,"10,000 to 30,000",1.4071032507292460e+00,39
"SOUTH WINDSOR",1.3100000000000000e+02,107088.0000,"10,000 to 30,000",1.4070901111607494e+00,40
"COLUMBIA",3.0000000000000000e+01,106604.0000,"0 to 10,000",1.4007305600084092e+00,41
"BRIDGEWATER",1.6000000000000000e+01,106429.0000,"0 to 10,000",1.3984311355215095e+00,42
"OXFORD",1.0900000000000000e+02,106047.0000,"0 to 10,000",1.3934118203558195e+00,43
"BOLTON",1.2000000000000000e+01,105417.0000,"0 to 10,000",1.3851338922029801e+00,44
"SOMERS",1.3000000000000000e+02,105164.0000,"0 to 10,000",1.3818095813733478e+00,45
"MADISON",7.7000000000000000e+01,104754.0000,"10,000 to 30,000",1.3764223582897537e+00,46
"COLCHESTER",2.8000000000000000e+01,103380.0000,"10,000 to 30,000",1.3583685911754657e+00,47
"BETHEL",9.0000000000000000e+00,101473.0000,"10,000 to 30,000",1.3333114340525056e+00,48
"ANDOVER",1.0000000000000000e+00,101098.0000,"0 to 10,000",1.3283840958662918e+00,49
"EAST HAMPTON",4.1000000000000000e+01,100780.0000,"10,000 to 30,000",1.3242057130843823e+00,50
"PROSPECT",1.1600000000000000e+02,100524.0000,"0 to 10,000",1.3208419835492602e+00,52
"NEW HARTFORD",9.3000000000000000e+01,99926.0000,"0 to 10,000",1.3129845215883111e+00,53
"WEST HARTFORD",1.5500000000000000e+02,99280.0000,"30,000 to 70,000",1.3044963603395265e+00,54
"GOSHEN",5.5000000000000000e+01,98967.0000,"0 to 10,000",1.3003836754000999e+00,56
"WASHINGTON",1.5100000000000000e+02,97604.0000,"0 to 10,000",1.2824744435392741e+00,57
"LYME",7.6000000000000000e+01,96146.0000,"0 to 10,000",1.2633169526712742e+00,58
"BERLIN",7.0000000000000000e+00,95996.0000,"10,000 to 30,000",1.2613460173967888e+00,59
"LEBANON",7.2000000000000000e+01,95757.0000,"0 to 10,000",1.2582056605261083e+00,60
"HARTLAND",6.6000000000000000e+01,95259.0000,"0 to 10,000",1.2516621554148162e+00,61
"FARMINGTON",5.2000000000000000e+01,94606.0000,"10,000 to 30,000",1.2430820171865555e+00,62
"MORRIS",8.8000000000000000e+01,94500.0000,"0 to 10,000",1.2416892229259191e+00,63
"SHELTON",1.2700000000000000e+02,94446.0000,"30,000 to 70,000",1.2409796862271043e+00,64
"SOUTHBURY",1.3200000000000000e+02,94176.0000,"10,000 to 30,000",1.2374320027330303e+00,65
"FRANKLIN",5.3000000000000000e+01,94000.0000,"0 to 10,000",1.2351194386776339e+00,66
"BETHLEHEM",1.0000000000000000e+01,93750.0000,"0 to 10,000",1.2318345465534912e+00,67
"MIDDLEFIELD",8.3000000000000000e+01,93750.0000,"0 to 10,000",1.2318345465534912e+00,68
"EAST LYME",4.4000000000000000e+01,93416.0000,"10,000 to 30,000",1.2274459306756367e+00,69
"CANTERBURY",2.2000000000000000e+01,92835.0000,"0 to 10,000",1.2198118413791290e+00,70
"CHESTER",2.6000000000000000e+01,92417.0000,"0 to 10,000",1.2143195017475625e+00,71
"SOUTHINGTON",1.3300000000000000e+02,92220.0000,"30,000 to 70,000",1.2117310067537381e+00,73
"CROMWELL",3.3000000000000000e+01,91841.0000,"10,000 to 30,000",1.2067511102935380e+00,74
"COVENTRY",3.2000000000000000e+01,91461.0000,"10,000 to 30,000",1.2017580742648410e+00,76
"EAST HADDAM",4.0000000000000000e+01,91339.0000,"0 to 10,000",1.2001550469082596e+00,77
"PORTLAND",1.1400000000000000e+02,91295.0000,"0 to 10,000",1.1995769058944104e+00,78
"LEDYARD",7.3000000000000000e+01,91268.0000,"10,000 to 30,000",1.1992221375450030e+00,79
"UNION",1.4600000000000000e+02,90714.0000,"0 to 10,000",1.1919428165979029e+00,80
"MILFORD",8.5000000000000000e+01,89778.0000,"30,000 to 70,000",1.1796441804851128e+00,81
"WOODSTOCK",1.7000000000000000e+02,89531.0000,"0 to 10,000",1.1763987070664599e+00,82
"WESTBROOK",1.5700000000000000e+02,89489.0000,"0 to 10,000",1.1758468451896040e+00,83
"STAMFORD",1.3600000000000000e+02,89309.0000,"70,000 & Up",1.1734817228602212e+00,84
"CANTON",2.3000000000000000e+01,89255.0000,"0 to 10,000",1.1727721861614064e+00,85
"SCOTLAND",1.2400000000000000e+02,89000.0000,"0 to 10,000",1.1694215961947809e+00,86
"WINDSOR",1.6500000000000000e+02,88986.0000,"10,000 to 30,000",1.1692376422358290e+00,87
"LISBON",7.4000000000000000e+01,88553.0000,"0 to 10,000",1.1635482090768139e+00,88
"BOZRAH",1.3000000000000000e+01,87109.0000,"0 to 10,000",1.1445746721677661e+00,90
"ESSEX",5.0000000000000000e+01,87000.0000,"0 to 10,000",1.1431424592016399e+00,91
"BEACON FALLS",6.0000000000000000e+00,86842.0000,"0 to 10,000",1.1410664073791816e+00,92
"WOLCOTT",1.6700000000000000e+02,86786.0000,"10,000 to 30,000",1.1403305915433737e+00,93
"NORTH BRANFORD",1.0000000000000000e+02,86087.0000,"10,000 to 30,000",1.1311460331642709e+00,95
"ELLINGTON",4.8000000000000000e+01,85572.0000,"10,000 to 30,000",1.1243791553885369e+00,96
"WATERFORD",1.5300000000000000e+02,85438.0000,"10,000 to 30,000",1.1226184532099965e+00,97
"SALISBURY",1.2300000000000000e+02,83698.0000,"0 to 10,000",1.0997556040259637e+00,98
"WETHERSFIELD",1.6000000000000000e+02,83391.0000,"10,000 to 30,000",1.0957217564975166e+00,99
"ROCKY HILL",1.2000000000000000e+02,83100.0000,"10,000 to 30,000",1.0918981420650147e+00,100
"NORWALK",1.0400000000000000e+02,82474.0000,"70,000 & Up",1.0836727721861614e+00,101
"CORNWALL",3.1000000000000000e+01,82083.0000,"0 to 10,000",1.0785352009040023e+00,102
