BondedDebt-And-NPL-And-NOPEBL-Per_Capita,Municipality,numbered,Total_Bonded_Long_Term_Debt_(RSD_+_Town),Total_Net_Pension_Liability,Total_Net_OPEB_Liability,2018 Population,SortID
1.8368229668526419e+04,"HAMDEN",63,299190000.0000,306205239.0000,513964677.0000,6.0940000000000000e+04,1
1.5594889731478783e+04,"NEW HAVEN",94,612962784.0000,804230333.0000,616661212.0000,1.3041800000000000e+05,2
1.4765017161148271e+04,"WATERBURY",152,453294000.0000,225040000.0000,917661000.0000,1.0809300000000000e+05,3
1.1700049760578202e+04,"HARTFORD",65,582151000.0000,428860000.0000,423263000.0000,1.2258700000000000e+05,5
1.1359939153693691e+04,"STRATFORD",139,262758088.0000,54168151.0000,273415719.0000,5.1967000000000000e+04,6
1.1092460803863814e+04,"MILFORD",85,163429000.0000,62743000.0000,380153000.0000,5.4661000000000000e+04,7
1.0050808488877525e+04,"NAUGATUCK",89,96261527.0000,33659222.0000,184548947.0000,3.1288000000000000e+04,8
9.2250899319550990e+03,"MIDDLETOWN",84,103058000.0000,0.0000,322643000.0000,4.6146000000000000e+04,9
9.0740558318371750e+03,"WEST HARTFORD",155,147085000.0000,252160000.0000,171867000.0000,6.2939000000000000e+04,10
7.8549653032797269e+03,"NORTH HAVEN",102,93868809.0000,24430316.0000,67792858.0000,2.3691000000000000e+04,11
7.5624707533926066e+03,"MANCHESTER",78,110640000.0000,51962000.0000,273745000.0000,5.7699000000000000e+04,13
7.5253447089947094e+03,"THOMASTON",141,27040744.0000,3383100.0000,26467762.0000,7.5600000000000000e+03,14
7.3913522674728792e+03,"WESTPORT",159,103184898.0000,22240466.0000,82382505.0000,2.8115000000000000e+04,15
7.3630745229809190e+03,"EAST HARTFORD",42,56041000.0000,203889000.0000,108209000.0000,4.9998000000000000e+04,16
6.8683176173749571e+03,"NEW CANAAN",91,123581534.0000,0.0000,15247770.0000,2.0213000000000000e+04,17
6.7397318464257733e+03,"WEST HAVEN",156,117093317.0000,44294291.0000,208482136.0000,5.4879000000000000e+04,18
6.6463466230013482e+03,"STAMFORD",136,433685568.0000,184793273.0000,244050792.0000,1.2977500000000000e+05,19
6.4583396738475867e+03,"ORANGE",108,40816454.1105,13367532.0000,35903394.0000,1.3949000000000000e+04,20
6.3792923568599208e+03,"GUILFORD",61,98215000.0000,15285259.0000,28222100.0000,2.2216000000000000e+04,21
5.8591587264913824e+03,"WATERTOWN",154,42151897.0000,11665704.0000,72980453.0000,2.1641000000000000e+04,23
5.7959207391327373e+03,"WATERFORD",153,74485000.0000,14262138.0000,20720417.0000,1.8887000000000000e+04,24
5.7859149018595044e+03,"FAIRFIELD",51,181197000.0000,59301000.0000,117951000.0000,6.1952000000000000e+04,25
5.7512345649983208e+03,"MERIDEN",81,147916165.0000,139782739.0000,54729602.0000,5.9540000000000000e+04,26
5.7495065766772941e+03,"NEW BRITAIN",90,285232000.0000,80204000.0000,51133000.0000,7.2453000000000000e+04,27
5.6866897202879736e+03,"DANBURY",34,149459169.0000,102642941.0000,229731110.0000,8.4730000000000000e+04,28
5.5506265192503724e+03,"FARMINGTON",52,72133855.0000,31571619.0000,37868806.0000,2.5506000000000000e+04,29
5.5456339490729633e+03,"CHESHIRE",25,96185612.0000,36595233.0000,29035208.0000,2.9179000000000000e+04,30
5.4467506612947191e+03,"WOODBRIDGE",168,26446854.5727,5543605.0000,15968180.0000,8.8050000000000000e+03,31
5.3225088542539524e+03,"TRUMBULL",145,89134770.0000,68975375.0000,32446317.0000,3.5802000000000000e+04,32
5.0221345932521654e+03,"SEYMOUR",125,38146250.0000,3102889.0000,41661281.0000,1.6509000000000000e+04,34
4.8329002555835614e+03,"REDDING",118,35840312.8322,4958634.0000,3301268.0000,9.1250000000000000e+03,35
4.8034085800373041e+03,"GREENWICH",57,163091868.0000,104020565.0000,34190977.0000,6.2727000000000000e+04,36
4.7428545415013314e+03,"WILTON",162,85698700.0000,1555595.0000,0.0000,1.8397000000000000e+04,37
4.7315975017349065e+03,"OLD SAYBROOK",107,30171310.0000,6099961.0000,11456353.0000,1.0087000000000000e+04,38
4.5841640369692414e+03,"NORWALK",104,236971340.0000,93254975.0000,77979740.0000,8.9047000000000000e+04,39
4.5389547768206730e+03,"BERLIN",7,78054432.0000,8679763.0000,6005729.0000,2.0432000000000000e+04,41
4.5033941126248192e+03,"NEW LONDON",95,65150870.0000,28790733.0000,27375331.0000,2.6939000000000000e+04,42
4.3558598905885219e+03,"EAST HAVEN",43,25146101.0000,3326427.0000,96536295.0000,2.8699000000000000e+04,43
4.3041881194065709e+03,"WOLCOTT",167,34196071.0000,11513775.0000,25950582.0000,1.6649000000000000e+04,44
4.2602683859687468e+03,"AVON",4,20248138.0000,25902028.0000,31821266.0000,1.8302000000000000e+04,45
4.2452857020180336e+03,"PLYMOUTH",112,17915579.0000,13390246.0000,18130527.0000,1.1645000000000000e+04,46
4.1903922000532129e+03,"EASTON",47,25049291.1678,3998896.0000,2450991.0000,7.5170000000000000e+03,47
4.0749698259335942e+03,"WETHERSFIELD",160,58022112.0000,20108263.0000,28152988.0000,2.6082000000000000e+04,48
3.9868407604251838e+03,"NORWICH",105,45514000.0000,75908000.0000,34607000.0000,3.9136000000000000e+04,49
3.9673569825314726e+03,"WESTON",158,29868780.0000,9047793.0000,1736934.0000,1.0247000000000000e+04,50
3.8950959298906009e+03,"BROOKFIELD",18,46355017.0000,497476.0000,19371928.0000,1.7002000000000000e+04,52
3.8803393176575441e+03,"WOODBURY",169,24507654.0725,4872333.0000,7626809.0000,9.5370000000000000e+03,53
3.8796023224503533e+03,"STAFFORD",135,33178442.0000,9166432.0000,3760320.0000,1.1884000000000000e+04,54
3.8786376348381941e+03,"DERBY",37,12923545.0000,6027627.0000,29589978.0000,1.2515000000000000e+04,55
3.8321802794196669e+03,"SOUTH WINDSOR",131,76502387.0000,16476709.0000,6864529.0000,2.6054000000000000e+04,56
3.7532664252457321e+03,"FRANKLIN",53,6817774.0000,0.0000,437290.0000,1.9330000000000000e+03,57
3.7167682583862456e+03,"GLASTONBURY",54,57620037.0000,55174485.0000,15400532.0000,3.4491000000000000e+04,58
3.6500676594688507e+03,"ROCKY HILL",120,51005613.0000,1044538.0000,21480462.0000,2.0145000000000000e+04,59
3.5561664820967148e+03,"LITCHFIELD",75,24768000.0000,3068532.0000,1064433.0000,8.1270000000000000e+03,61
3.4992421016717844e+03,"TOLLAND",143,47541771.0000,0.0000,3739622.0000,1.4655000000000000e+04,62
3.4919428868120458e+03,"SPRAGUE",134,9483320.0000,0.0000,604903.0000,2.8890000000000000e+03,63
3.4722407810798195e+03,"EAST HAMPTON",41,31512317.0000,9272945.0000,3846921.0000,1.2854000000000000e+04,64
3.4544007304453689e+03,"BETHEL",9,44389231.0000,10119136.0000,13591689.0000,1.9714000000000000e+04,65
3.4393041780106068e+03,"MIDDLEBURY",82,14962537.6002,4455598.0000,7171125.0000,7.7310000000000000e+03,66
3.4390303881327859e+03,"NEWTOWN",98,73271592.0000,15514268.0000,6729770.0000,2.7774000000000000e+04,67
3.4249888608639862e+03,"LYME",76,8007623.9567,0.0000,0.0000,2.3380000000000000e+03,68
3.4045940099168265e+03,"RIDGEFIELD",119,61317525.0000,0.0000,23824562.0000,2.5008000000000000e+04,69
3.4028521905424200e+03,"WINDSOR",165,39105000.0000,14525582.0000,44235447.0000,2.8760000000000000e+04,70
3.3980239742558329e+03,"EAST LYME",44,49179176.0000,5667208.0000,8509773.0000,1.8645000000000000e+04,71
3.3231705880944673e+03,"BEACON FALLS",6,18809198.5756,1048812.0000,685830.0000,6.1820000000000000e+03,73
3.2966974210453732e+03,"DARIEN",35,65026101.0000,0.0000,6686958.0000,2.1753000000000000e+04,74
3.2635153466331794e+03,"OLD LYME",106,24039054.0433,0.0000,0.0000,7.3660000000000000e+03,75
3.1958455290295237e+03,"NORTH BRANFORD",100,27743316.0000,12470981.0000,5032484.0000,1.4158000000000000e+04,76
3.0820046327531149e+03,"ENFIELD",49,91227550.0000,11843265.0000,33973603.0000,4.4466000000000000e+04,78
2.9818268104776580e+03,"MONROE",86,40234951.0000,6003263.0000,11817954.0000,1.9470000000000000e+04,79
2.9771852424610624e+03,"MADISON",77,21737790.0000,12533108.0000,19634018.0000,1.8106000000000000e+04,80
2.9389484716811507e+03,"ESSEX",50,15552055.1000,2388356.0000,1674131.0000,6.6740000000000000e+03,81
2.9188590478352153e+03,"PLAINVILLE",111,33774573.0000,5073693.0000,12590787.0000,1.7623000000000000e+04,82
2.9094906002843604e+03,"CANAAN",21,2955630.5833,0.0000,113882.0000,1.0550000000000000e+03,83
2.7959312002481133e+03,"GROTON",59,47546060.0000,19304318.0000,41329792.0000,3.8692000000000000e+04,84
2.7526140163452806e+03,"ANSONIA",2,14538909.0000,7288921.0000,29703857.0000,1.8721000000000000e+04,85
2.6948988095238096e+03,"UNION",146,2263715.0000,0.0000,0.0000,8.4000000000000000e+02,86
2.6695946976921609e+03,"NORTH STONINGTON",103,9783019.0000,0.0000,4213666.0000,5.2430000000000000e+03,87
2.6685028575810002e+03,"MARLBOROUGH",80,16429764.1685,0.0000,536577.0000,6.3580000000000000e+03,88
2.5903830265848669e+03,"BOLTON",12,11186227.0000,0.0000,1480746.0000,4.8900000000000000e+03,89
2.5877039100160687e+03,"BRANFORD",14,38586596.0000,19443659.0000,14438393.0000,2.8005000000000000e+04,90
2.5081510987051424e+03,"SHARON",126,6779532.4198,0.0000,0.0000,2.7030000000000000e+03,92
2.5043744175209690e+03,"WINDSOR LOCKS",166,25048122.0000,7198203.0000,0.0000,1.2876000000000000e+04,93
2.4922101164373203e+03,"OXFORD",109,25380583.0000,4582463.0000,2998925.0000,1.3226000000000000e+04,94
2.4087122487930842e+03,"WALLINGFORD",149,27395000.0000,47335000.0000,32542000.0000,4.4535000000000000e+04,96
2.4011357598299683e+03,"NEWINGTON",97,5269000.0000,48913000.0000,18121000.0000,3.0112000000000000e+04,97
2.3635582417582418e+03,"GRANBY",56,17442059.0000,2788483.0000,6654933.0000,1.1375000000000000e+04,98
2.3585051133837260e+03,"SUFFIELD",140,19843492.0000,10733728.0000,6552726.0000,1.5743000000000000e+04,99
2.3418600104124484e+03,"KILLINGLY",70,33636377.0000,0.0000,6847357.0000,1.7287000000000000e+04,100
2.3241628612520535e+03,"BETHANY",8,11384555.3168,549341.0000,800192.0000,5.4790000000000000e+03,101
2.3183869824391818e+03,"COVENTRY",32,17008552.0000,3043316.0000,8728588.0000,1.2414000000000000e+04,102
2.2750694264769295e+03,"PRESTON",115,9535000.0000,552088.0000,464684.0000,4.6380000000000000e+03,103
2.2323608358918132e+03,"CORNWALL",31,3053869.6235,0.0000,0.0000,1.3680000000000000e+03,104
2.1992700349082825e+03,"SALISBURY",123,7820859.5856,92114.0000,0.0000,3.5980000000000000e+03,105
2.1596919412306338e+03,"SIMSBURY",129,31278482.0000,16707637.0000,5960826.0000,2.4979000000000000e+04,106
2.1171646051379639e+03,"POMFRET",113,3627304.0000,0.0000,5273256.0000,4.2040000000000000e+03,107
2.0661692097547975e+03,"BRISTOL",17,71469432.0000,0.0000,52566838.0000,6.0032000000000000e+04,108
2.0546586839266452e+03,"CROMWELL",33,20275000.0000,5452523.0000,2842506.0000,1.3905000000000000e+04,110
2.0366988672793332e+03,"MONTVILLE",87,29693389.0000,6671614.0000,1753853.0000,1.8716000000000000e+04,111
2.0000639764757452e+03,"BETHLEHEM",10,5037345.9275,1806873.0000,0.0000,3.4220000000000000e+03,112
1.9829960596935650e+03,"PROSPECT",116,18491548.4244,275962.0000,646021.0000,9.7900000000000000e+03,113
1.9016763453895639e+03,"WARREN",150,2320970.2072,339475.0000,0.0000,1.3990000000000000e+03,114
1.8373292504811172e+03,"BURLINGTON",20,16750644.2059,817534.0000,189609.0000,9.6650000000000000e+03,115
1.8044472967032966e+03,"EAST WINDSOR",45,10891327.0000,6435590.0000,3198671.0000,1.1375000000000000e+04,116
1.7577567940643603e+03,"GRISWOLD",58,14166428.0000,3669518.0000,2538213.0000,1.1591000000000000e+04,117
1.7410397790464892e+03,"NEW MILFORD",96,18278831.0000,13871855.0000,14812121.0000,2.6974000000000000e+04,118
1.7399437123493976e+03,"COLCHESTER",28,20927467.0000,540514.0000,6259762.0000,1.5936000000000000e+04,119
1.6969943071269006e+03,"NEW FAIRFIELD",92,19108602.0000,1530632.0000,2909956.0000,1.3877000000000000e+04,121
1.6965717935071846e+03,"PUTNAM",117,12888000.0000,0.0000,3051292.0000,9.3950000000000000e+03,122
1.6608496840296950e+03,"ELLINGTON",48,18450515.0000,4150968.0000,4468706.0000,1.6299000000000000e+04,123
1.6449916989485334e+03,"SHERMAN",128,5945000.0000,0.0000,0.0000,3.6140000000000000e+03,124
1.6423085391323859e+03,"NEW HARTFORD",93,9578703.5841,1400129.0000,0.0000,6.6850000000000000e+03,125
1.6091451935914554e+03,"EAST HADDAM",40,12880000.0000,384595.0000,1198402.0000,8.9880000000000000e+03,127
1.5228375484585563e+03,"SOMERS",130,12024458.0000,851264.0000,3622700.0000,1.0834000000000000e+04,128
1.4720938361381475e+03,"KILLINGWORTH",71,7935219.7362,1314766.0000,127252.0000,6.3700000000000000e+03,129
1.4707957424161789e+03,"THOMPSON",142,11043351.0000,710807.0000,2063968.0000,9.3950000000000000e+03,130
1.3757379555789889e+03,"PLAINFIELD",110,8289365.0000,3849382.0000,8735325.0000,1.5173000000000000e+04,131
1.3688110360472474e+03,"HEBRON",68,11603533.2438,0.0000,1375533.0000,9.4820000000000000e+03,132
1.3552145764436530e+03,"WOODSTOCK",170,4152325.0000,1276181.0000,5226191.0000,7.8620000000000000e+03,133
1.3248148435982125e+03,"EAST GRANBY",39,4794649.0000,0.0000,2024173.0000,5.1470000000000000e+03,134
1.2701332282223098e+03,"BOZRAH",13,2240000.0000,542534.0000,439794.0000,2.5370000000000000e+03,135
1.2527109792284866e+03,"SCOTLAND",124,2013345.0000,0.0000,97473.0000,1.6850000000000000e+03,136
1.1379408545731708e+03,"NORFOLK",99,1866223.0015,0.0000,0.0000,1.6400000000000000e+03,137
1.1023465978413890e+03,"WINCHESTER",163,2831716.0000,5315777.0000,3598010.0000,1.0655000000000000e+04,138
1.0739333009944216e+03,"SALEM",122,4000886.0000,0.0000,426941.0000,4.1230000000000000e+03,139
1.0152029055091303e+03,"ANDOVER",1,2138925.5877,607000.0000,534195.0000,3.2310000000000000e+03,141
9.8305447405156531e+02,"HARWINTON",67,4892576.7941,445409.0000,0.0000,5.4300000000000000e+03,142
9.1160075329566860e+02,"LISBON",74,1915000.0000,414874.0000,1542606.0000,4.2480000000000000e+03,143
8.0800340789954339e+02,"MIDDLEFIELD",83,3182564.9266,356490.0000,0.0000,4.3800000000000000e+03,145
7.9642060473032711e+02,"MORRIS",88,1033172.4079,768331.0000,0.0000,2.2620000000000000e+03,146
7.9601917414896468e+02,"SHELTON",127,32714000.0000,0.0000,0.0000,4.1097000000000000e+04,147
7.7743988602971103e+02,"SOUTHBURY",132,10787462.3998,4493896.0000,0.0000,1.9656000000000000e+04,148
7.5756542059004300e+02,"NORTH CANAAN",101,2465117.8786,0.0000,0.0000,3.2540000000000000e+03,149
7.4107586110191539e+02,"CHESTER",26,2269062.8166,704084.0000,160863.0000,4.2290000000000000e+03,150
7.2999722492021647e+02,"LEBANON",72,1249816.0000,848408.0000,3162866.0000,7.2070000000000000e+03,151
7.2061596272075053e+02,"BARKHAMSTED",5,2611512.2489,0.0000,0.0000,3.6240000000000000e+03,152
6.9564528985507252e+02,"BROOKLYN",19,1247752.0000,2819977.0000,1692214.0000,8.2800000000000000e+03,153
6.7272926662960390e+02,"DURHAM",38,3683813.0734,1090926.0000,65548.0000,7.1950000000000000e+03,154
6.3643779748598604e+02,"WILLINGTON",161,2530954.3138,110356.0000,1105399.0000,5.8870000000000000e+03,155
6.1216704782914815e+02,"ASHFORD",3,1840472.7908,0.0000,767971.0000,4.2610000000000000e+03,156
5.2469833425262425e+02,"MANSFIELD",79,2469256.8954,8124478.0000,2952402.0000,2.5817000000000000e+04,157
4.2478096036818340e+02,"GOSHEN",55,1149879.3849,73065.0000,0.0000,2.8790000000000000e+03,158
3.3341039215686277e+02,"CANTERBURY",22,220000.0000,326828.0000,1153565.0000,5.1000000000000000e+03,159
3.2130189715302492e+02,"COLEBROOK",29,451429.1655,0.0000,0.0000,1.4050000000000000e+03,160
2.0474042093901781e+02,"HAMPTON",64,9846.0000,0.0000,369538.0000,1.8530000000000000e+03,161
2.0369120282407408e+02,"ROXBURY",121,161140.9981,0.0000,278832.0000,2.1600000000000000e+03,162
1.8125552460538532e+02,"COLUMBIA",30,466180.0000,0.0000,509881.0000,5.3850000000000000e+03,163
