BondedDebt-And-NPL-And-NOPEBL-Per_Capita,Municipality,numbered,Total_Bonded_Long_Term_Debt_(RSD_+_Town),Total_Net_Pension_Liability,Total_Net_OPEB_Liability,2018 Population,SortID
1.5812588652482270e+02,"CHAPLIN",24,51705.0000,0.0000,305027.0000,2.2560000000000000e+03,164
1.2971698113207546e+02,"HARTLAND",66,275000.0000,0.0000,0.0000,2.1200000000000000e+03,165
1.1755096077460688e+02,"WASHINGTON",151,210284.9993,193385.0000,0.0000,3.4340000000000000e+03,166
7.8502234636871506e+01,"EASTFORD",46,36117.0000,0.0000,104402.0000,1.7900000000000000e+03,167
7.0357001972386584e+01,"VOLUNTOWN",148,178355.0000,0.0000,0.0000,2.5350000000000000e+03,168
5.1608776660572822e+01,"BRIDGEWATER",16,84690.0025,0.0000,0.0000,1.6410000000000000e+03,169
7.6371865170649262e+03,"BLOOMFIELD",11,43362250.0000,34455924.0000,84861536.0000,2.1301000000000000e+04,12
5.3022471660628726e+03,"TORRINGTON",144,16793869.0000,45899880.0000,118791567.0000,3.4228000000000000e+04,33
3.9120460200424591e+03,"SOUTHINGTON",133,119417000.0000,13483000.0000,38475000.0000,4.3807000000000000e+04,51
3.3600200868621064e+03,"LEDYARD",73,31875772.0000,5994191.0000,11643293.0000,1.4736000000000000e+04,72
2.5592738312735087e+03,"PORTLAND",114,9827802.0000,10386696.0000,3599545.0000,9.3050000000000000e+03,91
1.7114087301587301e+03,"STERLING",137,6085000.0000,0.0000,384125.0000,3.7800000000000000e+03,120
1.0458900030024647e+03,"DEEP RIVER",36,2744731.0834,1398757.0000,524319.0000,4.4630000000000000e+03,140
1.3776148723257418e+04,"BRIDGEPORT",15,763760607.0000,293705063.0000,938698280.0000,1.4490000000000000e+05,4
6.2240053281853279e+03,"CLINTON",27,57640929.0000,13620558.0000,9339382.0000,1.2950000000000000e+04,22
4.5666446419860158e+03,"STONINGTON",138,76377914.0000,4174076.0000,3698037.0000,1.8449000000000000e+04,40
3.5966448145241102e+03,"VERNON",147,45476718.0000,52562864.0000,7352901.0000,2.9303000000000000e+04,60
3.1306170089673128e+03,"WESTBROOK",157,17725000.0000,633019.0000,3287067.0000,6.9140000000000000e+03,77
2.4279909444985396e+03,"CANTON",23,18429033.0000,6121679.0000,384755.0000,1.0270000000000000e+04,95
2.0648248922160055e+03,"HADDAM",62,15419780.2638,1557210.0000,0.0000,8.2220000000000000e+03,109
1.6103717315631829e+03,"WINDHAM",164,12911100.0000,10063644.0000,16811100.0000,2.4706000000000000e+04,126
8.2358596377019740e+02,"KENT",69,2293686.9091,0.0000,0.0000,2.7850000000000000e+03,144
