Municipality,Mill Rate FY 2016-17,Mill Rate - Real & Personal Property - FY 2016-17,Mill Rate - Motor Vehicle - FY 2016-17,Adjusted Mill Rate FY 2016-17
"ANDOVER",3.0719999999999999e+01,,,"30.72"
"ANSONIA",,3.7320000000000000e+01,3.7000000000000000e+01,"37.32 / 37"
"ASHFORD",,3.2368000000000002e+01,3.2000000000000000e+01,"32.368 / 32"
"AVON",2.9520000000000000e+01,,,"29.52"
"BARKHAMSTED",2.8359999999999999e+01,,,"28.36"
"BEACON FALLS",,3.2899999999999999e+01,3.2000000000000000e+01,"32.9 / 32"
"BERLIN",3.0809999999999999e+01,,,"30.81"
"BETHANY",3.5500000000000000e+01,,,"35.5"
"BETHEL",,3.2170000000000002e+01,3.2000000000000000e+01,"32.17 / 32"
"BETHLEHEM",2.3410000000000000e+01,,,"23.41"
"BLOOMFIELD",3.6649999999999999e+01,,,"36.65"
"BOLTON",,3.7500000000000000e+01,3.7000000000000000e+01,"37.5 / 37"
"BOZRAH",2.7500000000000000e+01,,,"27.5"
"BRANFORD",2.7410000000000000e+01,,,"27.41"
"BRIDGEPORT",,5.4369999999999997e+01,3.7000000000000000e+01,"54.37 / 37"
"BRIDGEWATER",1.6454000000000001e+01,,,"16.454"
"BRISTOL",3.6030000000000001e+01,,,"36.03"
"BROOKFIELD",2.6399999999999999e+01,,,"26.4"
"BROOKLYN",2.6340000000000000e+01,,,"26.34"
"BURLINGTON",3.1600000000000001e+01,,,"31.6"
"CANAAN",2.4000000000000000e+01,,,"24"
"CANTERBURY",2.4500000000000000e+01,,,"24.5"
"CANTON",2.9760000000000002e+01,,,"29.76"
"CHAPLIN",3.5049999999999997e+01,,,"35.05"
"CHESHIRE",3.1190000000000001e+01,,,"31.19"
"CHESTER",2.5570000000000000e+01,,,"25.57"
"CLINTON",2.7140000000000001e+01,,,"27.14"
"COLCHESTER",3.0910000000000000e+01,,,"30.91"
"COLEBROOK",2.9300000000000001e+01,,,"29.3"
"COLUMBIA",2.7440000000000001e+01,,,"27.44"
"CORNWALL",1.5310000000000000e+01,,,"15.31"
"COVENTRY",3.1199999999999999e+01,,,"31.2"
"CROMWELL",3.1379999999999999e+01,,,"31.38"
"DANBURY",2.8680000000000000e+01,,,"28.68"
"DARIEN",1.5770000000000000e+01,,,"15.77"
"DEEP RIVER",2.7530000000000001e+01,,,"27.53"
"DERBY",,3.9369999999999997e+01,3.7000000000000000e+01,"39.37 / 37"
"DURHAM",3.5310000000000002e+01,,,"35.31"
"EAST GRANBY",3.1100000000000001e+01,,,"31.1"
"EAST HADDAM",2.9350000000000001e+01,,,"29.35"
"EAST HAMPTON",2.9440000000000001e+01,,,"29.44"
"EAST HARTFORD",,4.5859999999999999e+01,3.7000000000000000e+01,"45.86 / 37"
"EAST HAVEN",3.1550000000000001e+01,,,"31.55"
"EAST LYME",2.5359999999999999e+01,,,"25.36"
"EAST WINDSOR",3.0930000000000000e+01,,,"30.93"
"EASTFORD",2.5109999999999999e+01,,,"25.11"
"EASTON",3.0809999999999999e+01,,,"30.81"
"ELLINGTON",3.0500000000000000e+01,,,"30.5"
"ENFIELD",,3.0859999999999999e+01,2.8800000000000001e+01,"30.86 / 28.8"
"ESSEX",2.1579999999999998e+01,,,"21.58"
"FAIRFIELD",2.5449999999999999e+01,,,"25.45"
"FARMINGTON",2.5780000000000001e+01,,,"25.78"
"FRANKLIN",2.5219999999999999e+01,,,"25.22"
"GLASTONBURY",,3.6399999999999999e+01,3.4600000000000001e+01,"36.4 / 34.6"
"GOSHEN",1.8699999999999999e+01,,,"18.7"
"GRANBY",3.6939999999999998e+01,,,"36.94"
"GREENWICH",1.1202000000000000e+01,,,"11.202"
"GRISWOLD",2.7059999999999999e+01,,,"27.06"
"GROTON",2.1730000000000000e+01,,,"21.73"
"GROTON (City of)",5.4320000000000004e+00,,,"5.432"
"GUILFORD",2.8670000000000002e+01,,,"28.67"
"HADDAM",3.1199999999999999e+01,,,"31.2"
"HAMDEN",,4.5359999999999999e+01,3.7000000000000000e+01,"45.36 / 37"
"HAMPTON",2.8500000000000000e+01,,,"28.5"
"HARTFORD",,7.4290000000000006e+01,3.7000000000000000e+01,"74.29 / 37"
"HARTLAND",2.5500000000000000e+01,,,"25.5"
"HARWINTON",2.7800000000000001e+01,,,"27.8"
"HEBRON",3.5640000000000001e+01,,,"35.64"
"KENT",1.8329999999999998e+01,,,"18.33"
"KILLINGLY",2.7309999999999999e+01,,,"27.31"
"KILLINGWORTH",2.5890000000000001e+01,,,"25.89"
"LEBANON",2.8899999999999999e+01,,,"28.9"
"LEDYARD",3.1899999999999999e+01,,,"31.9"
"LISBON",2.0500000000000000e+01,,,"20.5"
"LITCHFIELD",2.6699999999999999e+01,,,"26.7"
"LYME",1.8250000000000000e+01,,,"18.25"
"MADISON",2.6489999999999998e+01,,,"26.49"
"MANCHESTER",,3.9680000000000000e+01,3.7000000000000000e+01,"39.68 / 37"
"MANSFIELD",2.9870000000000001e+01,,,"29.87"
"MARLBOROUGH",3.4149999999999999e+01,,,"34.15"
"MERIDEN",,3.7469999999999999e+01,3.7000000000000000e+01,"37.47 / 37"
"MIDDLEBURY",3.1010000000000002e+01,,,"31.01"
"MIDDLEFIELD",,3.2840000000000003e+01,3.2000000000000000e+01,"32.84 / 32"
"MIDDLETOWN",3.3299999999999997e+01,,,"33.3"
"MILFORD",2.7840000000000000e+01,,,"27.84"
"MONROE",,3.5000000000000000e+01,3.2000000000000000e+01,"35 / 32"
"MONTVILLE",3.0609999999999999e+01,,,"30.61"
"MORRIS",2.7829999999999998e+01,,,"27.83"
"NAUGATUCK",,4.7670000000000002e+01,3.7000000000000000e+01,"47.67 / 37"
"NEW BRITAIN",,5.0500000000000000e+01,3.7000000000000000e+01,"50.5 / 37"
"NEW CANAAN",1.6312000000000001e+01,,,"16.312"
"NEW FAIRFIELD",2.8680000000000000e+01,,,"28.68"
"NEW HARTFORD",2.9516999999999999e+01,,,"29.517"
"NEW HAVEN",,4.1549999999999997e+01,3.7000000000000000e+01,"41.55 / 37"
"NEW LONDON",,4.0460000000000001e+01,3.7000000000000000e+01,"40.46 / 37"
"NEW MILFORD",2.6770000000000000e+01,,,"26.77"
"NEWINGTON",3.5750000000000000e+01,,,"35.75"
"NEWTOWN",3.3600000000000001e+01,,,"33.6"
"NORFOLK",2.2090000000000000e+01,,,"22.09"
"NORTH BRANFORD",3.1980000000000000e+01,,,"31.98"
