Municipality,Comptroller Town Code,County_Identifier,Net Investment In Capital Assets,Unrestricted Net Position,Total Net Position,Change In Net Position,Nonspendable_Fund_Bal,Restricted_Fund_Bal,Committed_Fund_Bal,Assigned_Fund_Bal,Total_Fund_Bal,Unassigned_Fund_Bal,Unrestricted_Fund_Bal,Restatement of Fund Balance (Y or N),Inter_Gov_Rev,Tax_Rev,Total_Revenue,Education,Debt_Service,Total_Expenditures,TOTAL_Trans_to_Genl_Fund,Other_Financing_Sources,TOTAL_Trans_from_Genl_Fund,Other_Financing_Uses,Operating_Surplus_(Deficit)_Including_Transfers,Prior_Yr_OP_Surplus_(Def)_including_sources_and_uses,Operating_Surplus_(Deficit)_Including_Sources_And_Uses,Special / Extraordinary Items,RSD_DEBT,TOWN_Bonded_Long_Term_Debt,Total_Bonded_Long_Term_Debt_(RSD_+_Town),Total_Net_Pension_Liability,Curr_Year_Adjusted_Taxes_Collectible,Curr_Year_Taxes_Collected,Curr_Year_Tax_Collection_Rate,Total_Adjusted_Taxes_Collectible,Total_Taxes_Collected,Overal_Total_Tax_Collection_Rate,2017 Population,Moody's_Bond_Ratings_June_2017,ACGLFY17,EGL,TANF17 Recipients,empl,enrollmt,numbered,TFA17 Recipients,ACMR
"CHESHIRE","25","NH",131262714.0000,-23698130.0000,111666235.0000,3494056.0000,1310489.0000,0.0000,25000.0000,2574820.0000,12269282.0000,8358973.0000,10958793.0000,"N",29594581.0000,86340125.0000,119697574.0000,81465369.0000,7465300.0000,119138739.0000,755078.0000,755078.0000,850000.0000,850000.0000,463913.0000,-144244.0000,463913.0000,0.0000,,103752070.0000,103752070.0000,36052300.0000,86093075.0000,85900838.0000,9.9776710263862689e-01,86248659.0000,85973356.0000,9.9680803153124964e-01,2.9330000000000000e+04,"Aa1",2750332351.0000,4007441337.3600,3.2000000000000000e+01,3.3382268462373139e-02,4.3390299999999997e+03,25,3.4000000000000000e+01,"31.19"
"CHESTER","26","M",11513572.0000,3320899.0000,15124350.0000,197032.0000,0.0000,0.0000,0.0000,207482.0000,2258091.0000,2050609.0000,2258091.0000,"N",1569185.0000,11326918.0000,13429127.0000,9135822.0000,221994.0000,12783901.0000,29647.0000,29647.0000,527616.0000,527616.0000,147257.0000,95313.0000,147257.0000,0.0000,2174326.4869,877538.0000,3051864.4869,738052.0000,11245161.0000,11151365.0000,9.9165899003135660e-01,11491796.0000,11274277.0000,9.8107180113534909e-01,4.2540000000000000e+03,"Aa3",444233590.0000,653799037.0600,1.0000000000000000e+00,3.7100213219616207e-02,4.3179000000000002e+02,26,1.5000000000000000e+00,"25.57"
"CLINTON","27","M",65924915.0000,-15946940.0000,49977975.0000,-360141.0000,108235.0000,0.0000,350000.0000,0.0000,7223666.0000,6765431.0000,7115431.0000,"N",13772705.0000,41499416.0000,56320422.0000,37806517.0000,3530498.0000,55232665.0000,1136693.0000,1136693.0000,1781392.0000,1781392.0000,443058.0000,-394337.0000,443058.0000,0.0000,,57058903.0000,57058903.0000,13680648.0000,38341367.0000,38097286.0000,9.9363400371196986e-01,38999301.0000,38339668.0000,9.8308603018295126e-01,1.2957000000000000e+04,"Aa2",1522190780.0000,2175563971.4300,2.2000000000000000e+01,4.0143468064560629e-02,1.8082600000000000e+03,27,2.6000000000000000e+01,"27.14"
"COLCHESTER","28","NL",62690578.0000,7583888.0000,71871157.0000,4068866.0000,27610.0000,0.0000,110303.0000,612254.0000,7172800.0000,6422633.0000,7145190.0000,"N",21992787.0000,38500512.0000,62116969.0000,46630541.0000,2244039.0000,59553817.0000,8240.0000,8240.0000,2069648.0000,2069648.0000,501744.0000,946850.0000,501744.0000,0.0000,,10765315.0000,10765315.0000,506384.0000,38112513.0000,37743244.0000,9.9031108234715459e-01,39225679.0000,38184678.0000,9.7346123696163422e-01,1.6029000000000000e+04,"Aa3",1216010210.0000,1697800703.7700,4.8000000000000000e+01,3.8032508233294383e-02,2.6235200000000000e+03,28,2.9000000000000000e+01,"30.91"
"CORNWALL","31","L",4852028.0000,4425742.0000,9333845.0000,255977.0000,12211.0000,0.0000,0.0000,472815.0000,2221919.0000,1736893.0000,2209708.0000,"N",695223.0000,6324020.0000,7193223.0000,4425840.0000,181175.0000,6469975.0000,0.0000,0.0000,647000.0000,647000.0000,76248.0000,223055.0000,76248.0000,0.0000,294318.2382,2660000.0000,2954318.2382,0.0000,6191903.0000,6084326.0000,9.8262618132099289e-01,6602655.0000,6247132.0000,9.4615453934818650e-01,1.3760000000000000e+03,"Aa2",404816100.0000,535527004.8900,0.0000000000000000e+00,3.1413612565445025e-02,1.1562000000000000e+02,31,4.5000000000000000e+00,"15.31"
"CROMWELL","33","M",90614975.0000,9968010.0000,100644509.0000,1528692.0000,0.0000,0.0000,690000.0000,1621.0000,10108377.0000,9416756.0000,10108377.0000,"N",10513398.0000,42184309.0000,54329333.0000,34040699.0000,3705097.0000,52145938.0000,665969.0000,665969.0000,1401924.0000,1401924.0000,1447440.0000,-125956.0000,1447440.0000,0.0000,,23545000.0000,23545000.0000,5651351.0000,42161852.0000,41726054.0000,9.8966368934647364e-01,42752577.0000,41946056.0000,9.8113514888237030e-01,1.3956000000000000e+04,,1322590255.0000,1942145341.1200,2.4000000000000000e+01,4.1441667713173425e-02,2.0757600000000002e+03,33,2.4000000000000000e+01,"31.38"
"DANBURY","34","F",186699850.0000,-129088733.0000,58698504.0000,-2189306.0000,1412874.0000,0.0000,0.0000,10245139.0000,36084397.0000,24426384.0000,34671523.0000,"N",59633635.0000,203508587.0000,273850220.0000,156759419.0000,20441965.0000,267936498.0000,0.0000,1977328.0000,4795882.0000,4795882.0000,1117840.0000,1549739.0000,3095168.0000,0.0000,,156714212.0000,156714212.0000,114610483.0000,203485930.0000,200283459.0000,9.8426195363974300e-01,210483636.0000,202612443.0000,9.6260425204741329e-01,8.5246000000000000e+04,"Aa1",7026564235.0000,10377904867.4500,2.3500000000000000e+02,3.9352734358453004e-02,1.1117860000000001e+04,34,2.7800000000000000e+02,"28.68"
"DARIEN","35","F",122132793.0000,21180124.0000,161269055.0000,7722994.0000,50537.0000,0.0000,333554.0000,1198642.0000,20009700.0000,18426967.0000,19959163.0000,"N",20545117.0000,132390847.0000,158931205.0000,113007360.0000,11545372.0000,153803178.0000,662822.0000,662822.0000,6066957.0000,6066957.0000,-276108.0000,1233812.0000,-276108.0000,0.0000,,62211736.0000,62211736.0000,0.0000,132510009.0000,132147050.0000,9.9726089370350879e-01,132579387.0000,131962204.0000,9.9534480424170313e-01,2.1887000000000000e+04,"Aaa",8446673225.0000,13441534266.1300,1.1000000000000000e+01,3.6903794824184752e-02,4.7981700000000001e+03,35,1.0000000000000000e+01,"15.77"
"DURHAM","38","M",38481459.0000,6166931.0000,44679918.0000,419925.0000,2500.0000,0.0000,0.0000,472322.0000,4175892.0000,3701070.0000,4173392.0000,"N",4611380.0000,24656082.0000,29805218.0000,22686736.0000,0.0000,29344681.0000,789948.0000,789948.0000,774139.0000,774139.0000,476346.0000,944320.0000,476346.0000,0.0000,4523804.8828,106799.0000,4630603.8828,1005017.0000,24620801.0000,24318288.0000,9.8771311298929709e-01,25025324.0000,24529022.0000,9.8016800901358958e-01,7.2400000000000000e+03,,694286939.0000,992588484.2900,3.0000000000000000e+00,3.3419023136246784e-02,1.1663399999999999e+03,38,3.5000000000000000e+00,"35.31"
"EAST HADDAM","41","M",63151698.0000,17047749.0000,80639240.0000,2840455.0000,0.0000,0.0000,0.0000,173885.0000,4601314.0000,4427429.0000,4601314.0000,"N",8287970.0000,25356687.0000,34616788.0000,23606161.0000,1808342.0000,32832483.0000,329046.0000,329046.0000,2075680.0000,2075680.0000,37671.0000,-181173.0000,37671.0000,0.0000,,14210000.0000,14210000.0000,499288.0000,25263753.0000,24913369.0000,9.8613096003590595e-01,25600354.0000,25159131.0000,9.8276496489071985e-01,9.0360000000000000e+03,,856815319.0000,1228377309.7100,2.0000000000000000e+01,4.4731610337972169e-02,1.0643299999999999e+03,40,1.2500000000000000e+01,"29.35"
"EAST HAMPTON","42","M",92409066.0000,1216719.0000,94849900.0000,2544003.0000,0.0000,0.0000,0.0000,0.0000,5263469.0000,5263469.0000,5263469.0000,"N",13949064.0000,33583829.0000,48160877.0000,34672028.0000,2881468.0000,47459555.0000,430801.0000,430801.0000,828049.0000,828049.0000,304074.0000,-105005.0000,304074.0000,0.0000,,33763238.0000,33763238.0000,9876135.0000,33204218.0000,32674062.0000,9.8403347430136734e-01,34812901.0000,33228784.0000,9.5449626562290801e-01,1.2901000000000000e+04,"Aa3",1123511268.0000,1605563611.4300,3.4000000000000000e+01,3.8163001293661063e-02,1.9731099999999999e+03,41,3.7500000000000000e+01,"29.44"
"EAST LYME","45","NL",67876584.0000,-8455915.0000,59449203.0000,-4364576.0000,0.0000,0.0000,0.0000,1203004.0000,5969668.0000,4766664.0000,5969668.0000,"N",17133976.0000,54276614.0000,78082997.0000,54395836.0000,5819555.0000,78173118.0000,400894.0000,8051323.0000,235000.0000,7885429.0000,75773.0000,-126475.0000,75773.0000,0.0000,,50305878.0000,50305878.0000,5809677.0000,54023040.0000,53463733.0000,9.8964688029403747e-01,55524521.0000,54019179.0000,9.7288869903082997e-01,1.8789000000000000e+04,"Aa2",2125356763.0000,3157522071.4300,2.3000000000000000e+01,4.1925823542962454e-02,2.6280100000000002e+03,44,3.0500000000000000e+01,"25.36"
"EAST WINDSOR","47","H",50159825.0000,8717637.0000,58972399.0000,1094041.0000,0.0000,0.0000,345441.0000,869982.0000,9355750.0000,8140327.0000,9355750.0000,"N",8696498.0000,30248423.0000,39640594.0000,24647004.0000,735103.0000,37724476.0000,153385.0000,153385.0000,1908393.0000,1908393.0000,161110.0000,504020.0000,161110.0000,0.0000,,11641215.0000,11641215.0000,7025153.0000,30005060.0000,29656630.0000,9.8838762528720159e-01,31018654.0000,29958954.0000,9.6583668653062771e-01,1.1395000000000000e+04,"Aa2",961944790.0000,1352524745.1400,4.7000000000000000e+01,5.0220666565210771e-02,1.1436500000000001e+03,45,4.6500000000000000e+01,"30.93"
"EASTFORD","39","W",4152097.0000,1420002.0000,5641426.0000,282775.0000,0.0000,2079.0000,499460.0000,57229.0000,1734112.0000,1175344.0000,1732033.0000,"N",1952455.0000,3699162.0000,5774846.0000,4286025.0000,97261.0000,5411971.0000,0.0000,0.0000,437500.0000,437500.0000,-74625.0000,-213649.0000,-74625.0000,0.0000,,90899.0000,90899.0000,0.0000,3631268.0000,3585035.0000,9.8726808376578101e-01,3817533.0000,3673938.0000,9.6238539391800937e-01,1.7560000000000000e+03,,144080812.0000,221338838.6300,1.0000000000000000e+00,4.1536863966770511e-02,1.8613000000000000e+02,46,5.0000000000000000e-01,"25.11"
"EASTON","46","F",65671262.0000,7564668.0000,73235930.0000,2754110.0000,0.0000,0.0000,0.0000,640000.0000,7683106.0000,7043106.0000,7683106.0000,"N",3216630.0000,41081724.0000,45761936.0000,28889950.0000,3092943.0000,44553386.0000,0.0000,0.0000,471205.0000,471205.0000,737345.0000,768801.0000,737345.0000,0.0000,8154959.7028,21216524.0000,29371483.7028,4888602.0000,41170899.0000,40588250.0000,9.8584803795515852e-01,42234713.0000,40914082.0000,9.6873114776463620e-01,7.5790000000000000e+03,,1336452269.0000,1900955420.9200,6.0000000000000000e+00,3.9032006245121001e-02,1.3370899999999999e+03,47,0.0000000000000000e+00,"30.81"
"ESSEX","50","M",15031908.0000,2020339.0000,17052247.0000,507735.0000,33608.0000,0.0000,50000.0000,562426.0000,3737339.0000,3091305.0000,3703731.0000,"N",1230405.0000,22498997.0000,24540677.0000,16546676.0000,1056076.0000,24167584.0000,0.0000,0.0000,441017.0000,441017.0000,-67924.0000,466944.0000,-67924.0000,0.0000,3764065.7871,7163668.0000,10927733.7871,2643001.0000,22551121.0000,22300796.0000,9.8889966489914183e-01,22948470.0000,22407309.0000,9.7641842789519306e-01,6.5880000000000000e+03,"Aa2",1040470701.0000,1484198508.4100,5.0000000000000000e+00,3.7578288100208766e-02,7.7938000000000000e+02,50,6.0000000000000000e+00,"21.58"
"FARMINGTON","52","H",125419345.0000,-26410811.0000,99008534.0000,14129020.0000,0.0000,0.0000,0.0000,595369.0000,12643010.0000,12047641.0000,12643010.0000,"N",18087152.0000,92566548.0000,112959339.0000,74459202.0000,7142100.0000,107759759.0000,317000.0000,317000.0000,4148591.0000,4148591.0000,1367989.0000,413371.0000,1367989.0000,0.0000,,40083912.0000,40083912.0000,29437153.0000,92478734.0000,92206375.0000,9.9705490129222574e-01,92829200.0000,92344719.0000,9.9478094177263188e-01,2.5572000000000000e+04,"Aaa",3573952113.0000,5329528756.9800,3.5000000000000000e+01,3.6523574947220271e-02,4.0350999999999999e+03,52,4.0000000000000000e+01,"25.78"
"FRANKLIN","53","NL",3896713.0000,6290288.0000,10195500.0000,583971.0000,0.0000,4146530.0000,0.0000,88079.0000,5452727.0000,1218118.0000,1306197.0000,"N",1880734.0000,5170762.0000,7190557.0000,4660131.0000,249387.0000,7131161.0000,0.0000,4854000.0000,393473.0000,393473.0000,-334077.0000,-50867.0000,4519923.0000,0.0000,,6079488.0000,6079488.0000,0.0000,5154120.0000,5065471.0000,9.8280036165242568e-01,5243115.0000,5118094.0000,9.7615520544561774e-01,1.9440000000000000e+03,,203247100.0000,313054322.8700,3.0000000000000000e+00,3.3676333021515438e-02,2.4872000000000000e+02,53,4.5000000000000000e+00,"25.22"
"GRANBY","56","H",49033010.0000,7492168.0000,56718740.0000,-1125945.0000,0.0000,0.0000,51064.0000,1269960.0000,4811771.0000,3490747.0000,4811771.0000,"N",12481611.0000,36067912.0000,49373122.0000,33926677.0000,3644006.0000,47845369.0000,130199.0000,130199.0000,1528115.0000,1528115.0000,129837.0000,412174.0000,129837.0000,0.0000,,20062394.0000,20062394.0000,3195466.0000,35804847.0000,35475403.0000,9.9079889937806465e-01,36363625.0000,35835109.0000,9.8546580545806417e-01,1.1357000000000000e+04,,971368910.0000,1448556776.7200,4.0000000000000000e+00,3.2683570277004248e-02,1.8360799999999999e+03,56,2.5000000000000000e+00,"36.94"
"GREENWICH","57","F",660326099.0000,-204508933.0000,456379264.0000,29933737.0000,0.0000,0.0000,0.0000,20675591.0000,54717584.0000,34041993.0000,54717584.0000,"N",38170719.0000,362243704.0000,433144031.0000,182761348.0000,37926459.0000,422293219.0000,7489490.0000,7489490.0000,19797546.0000,19797546.0000,-1457244.0000,2241407.0000,-1457244.0000,0.0000,,159532383.0000,159532383.0000,124554280.0000,361982718.0000,359277282.0000,9.9252606308127667e-01,368509700.0000,361407859.0000,9.8072821149619671e-01,6.2855000000000000e+04,"Aaa",32321707486.0000,46177528894.2900,9.7000000000000000e+01,3.7043472217395838e-02,8.8224599999999991e+03,57,8.9500000000000000e+01,"11.20"
"GROTON","59","NL",164500510.0000,10782360.0000,175616294.0000,-4084661.0000,0.0000,0.0000,481258.0000,1889794.0000,13828947.0000,11457895.0000,13828947.0000,"N",48964896.0000,83180759.0000,135088508.0000,90690477.0000,6215462.0000,133430459.0000,579596.0000,579596.0000,1198730.0000,1198730.0000,1038915.0000,-3976568.0000,1038915.0000,0.0000,,45147078.0000,45147078.0000,19060328.0000,82404142.0000,81431951.0000,9.8820215857596094e-01,84191293.0000,82367558.0000,9.7833819941451661e-01,3.9075000000000000e+04,"Aa2",3802539060.0000,4914736071.5700,2.2600000000000000e+02,4.0266276993018345e-02,4.8198400000000001e+03,59,2.1350000000000000e+02,"21.73"
"GROTON (City of)","501",,19349984.0000,10366270.0000,29776254.0000,-396232.0000,9035.0000,0.0000,468052.0000,451000.0000,4879846.0000,3951759.0000,4870811.0000,"N",306708.0000,6457027.0000,13075808.0000,0.0000,635400.0000,15749292.0000,3655141.0000,3655141.0000,0.0000,0.0000,981657.0000,426837.0000,981657.0000,0.0000,,9480000.0000,9480000.0000,2670730.0000,6364156.0000,6330454.0000,9.9470440385182257e-01,6463344.0000,6367542.0000,9.8517764179037970e-01,,"Aa3",,,,,,60,,"5.43"
"GUILFORD","60","NH",58570280.0000,-7014505.0000,51555775.0000,5790614.0000,67712.0000,668304.0000,298153.0000,2246947.0000,12665796.0000,9384680.0000,11929780.0000,"N",15947157.0000,87743261.0000,106360059.0000,69620612.0000,8022928.0000,104558216.0000,0.0000,430811.0000,208515.0000,208515.0000,1593328.0000,1733491.0000,2024139.0000,0.0000,,96345000.0000,96345000.0000,14309260.0000,87615077.0000,87184258.0000,9.9508282119069524e-01,88175549.0000,87506343.0000,9.9241052641475469e-01,2.2283000000000000e+04,"Aa2",3074936075.0000,4478517998.3000,4.0000000000000000e+01,3.1162573826546473e-02,3.4362500000000000e+03,61,2.8000000000000000e+01,"28.67"
"HEBRON","67","T",47858671.0000,10786072.0000,58859144.0000,1663336.0000,0.0000,0.0000,0.0000,531009.0000,7742761.0000,7211752.0000,7742761.0000,"N",8869881.0000,28311687.0000,38366765.0000,27768780.0000,1168517.0000,36612886.0000,48604.0000,148604.0000,1182240.0000,1182240.0000,620243.0000,687744.0000,720243.0000,0.0000,7992316.3584,5978811.0000,13971127.3584,0.0000,28272564.0000,27728993.0000,9.8077390504801754e-01,29887115.0000,28128398.0000,9.4115467484901105e-01,9.5070000000000000e+03,,786095920.0000,1071376676.2300,1.1000000000000000e+01,3.6695589298626173e-02,1.5885500000000000e+03,68,7.0000000000000000e+00,"35.64"
"KENT","68","L",13602520.0000,5014200.0000,18674099.0000,3865080.0000,0.0000,0.0000,302141.0000,0.0000,2553625.0000,2251484.0000,2553625.0000,"N",1259101.0000,10960540.0000,12731142.0000,7784758.0000,659345.0000,11623151.0000,31044.0000,31044.0000,925614.0000,925614.0000,213421.0000,186931.0000,213421.0000,0.0000,485227.2132,1910000.0000,2395227.2132,0.0000,10905641.0000,10808914.0000,9.9113055344477230e-01,11032484.0000,10889245.0000,9.8701661384689066e-01,2.8000000000000000e+03,"Aa2",595983179.0000,825204801.7500,0.0000000000000000e+00,4.0748162992651972e-02,2.8927999999999997e+02,69,3.0000000000000000e+00,"18.33"
"KILLINGLY","69","W",102507177.0000,20209695.0000,123351561.0000,2807411.0000,0.0000,0.0000,583236.0000,4779657.0000,14147798.0000,8784905.0000,14147798.0000,"N",22586845.0000,34043520.0000,60884366.0000,44788575.0000,3184777.0000,58173946.0000,928759.0000,1139603.0000,1229094.0000,1229094.0000,2410085.0000,1737994.0000,2620929.0000,0.0000,,31692505.0000,31692505.0000,0.0000,33761002.0000,33012123.0000,9.7781822352310510e-01,35211085.0000,33674879.0000,9.5637152334272002e-01,1.7172000000000000e+04,"Aa3",1136583970.0000,1772252233.3000,1.5700000000000000e+02,5.0882875352627727e-02,2.3511100000000001e+03,70,1.8250000000000000e+02,"27.31"
"LYME","75","NL",9573767.0000,2964338.0000,12588105.0000,646513.0000,0.0000,0.0000,0.0000,357533.0000,1903888.0000,1546355.0000,1903888.0000,"N",952422.0000,9524744.0000,10827779.0000,6727035.0000,445210.0000,10750705.0000,505722.0000,505722.0000,230000.0000,230000.0000,352796.0000,210252.0000,352796.0000,0.0000,6508721.3012,2473580.0000,8982301.3012,0.0000,9472210.0000,9386998.0000,9.9100400012246348e-01,9662632.0000,9474539.0000,9.8053397873374459e-01,2.3540000000000000e+03,,519831150.0000,695103048.3800,0.0000000000000000e+00,3.5159443990188062e-02,2.7643000000000001e+02,76,3.5000000000000000e+00,"18.25"
