Municipality,Comptroller Town Code,County_Identifier,Net Investment In Capital Assets,Unrestricted Net Position,Total Net Position,Change In Net Position,Nonspendable_Fund_Bal,Restricted_Fund_Bal,Committed_Fund_Bal,Assigned_Fund_Bal,Total_Fund_Bal,Unassigned_Fund_Bal,Unrestricted_Fund_Bal,Restatement of Fund Balance (Y or N),Inter_Gov_Rev,Tax_Rev,Total_Revenue,Education,Debt_Service,Total_Expenditures,TOTAL_Trans_to_Genl_Fund,Other_Financing_Sources,TOTAL_Trans_from_Genl_Fund,Other_Financing_Uses,Operating_Surplus_(Deficit)_Including_Transfers,Prior_Yr_OP_Surplus_(Def)_including_sources_and_uses,Operating_Surplus_(Deficit)_Including_Sources_And_Uses,Special / Extraordinary Items,RSD_DEBT,TOWN_Bonded_Long_Term_Debt,Total_Bonded_Long_Term_Debt_(RSD_+_Town),Total_Net_Pension_Liability,Curr_Year_Adjusted_Taxes_Collectible,Curr_Year_Taxes_Collected,Curr_Year_Tax_Collection_Rate,Total_Adjusted_Taxes_Collectible,Total_Taxes_Collected,Overal_Total_Tax_Collection_Rate,2017 Population,Moody's_Bond_Ratings_June_2017,ACGLFY17,EGL,TANF17 Recipients,empl,enrollmt,numbered,TFA17 Recipients,ACMR
"AVON","4","H",121244059.0000,-9292611.0000,112012752.0000,1680553.0000,13077.0000,0.0000,0.0000,2116988.0000,11084387.0000,8954322.0000,11071310.0000,"N",14481234.0000,77085268.0000,94230964.0000,65760599.0000,3029750.0000,91969956.0000,623759.0000,872508.0000,2831228.0000,2831228.0000,53539.0000,-245220.0000,302288.0000,0.0000,,22512088.0000,22512088.0000,26481938.0000,76941666.0000,76689193.0000,9.9671864396593646e-01,77261577.0000,76845495.0000,9.9461463231587932e-01,1.8352000000000000e+04,"Aaa",2592702830.0000,3687550799.8400,6.0000000000000000e+00,3.3322721001804098e-02,3.3110999999999999e+03,4,1.0500000000000000e+01,"29.52"
"BARKHAMSTED","5","L",5401306.0000,3509540.0000,8910846.0000,932037.0000,0.0000,0.0000,0.0000,245000.0000,1582112.0000,1337112.0000,1582112.0000,"N",2429469.0000,9903442.0000,12546786.0000,9992374.0000,712300.0000,12364265.0000,0.0000,0.0000,76100.0000,76100.0000,106421.0000,-173650.0000,106421.0000,0.0000,613375.5242,2360000.0000,2973375.5242,0.0000,9909477.0000,9673900.0000,9.7622710058260387e-01,10738610.0000,9851999.0000,9.1743707984552936e-01,3.6510000000000000e+03,,347111840.0000,502811081.1000,4.0000000000000000e+00,4.5847750865051905e-02,5.2837000000000000e+02,5,3.5000000000000000e+00,"28.36"
"BERLIN","7","H",85860084.0000,20074879.0000,107000507.0000,460860.0000,0.0000,0.0000,577833.0000,2638395.0000,14295655.0000,11079427.0000,14295655.0000,"N",17531502.0000,68126071.0000,90092780.0000,54263656.0000,7601990.0000,88612471.0000,6800.0000,172007.0000,1212259.0000,1212259.0000,274850.0000,1712823.0000,440057.0000,0.0000,,83879306.0000,83879306.0000,8899298.0000,68069358.0000,67242632.0000,9.8785465260301120e-01,69455916.0000,67675740.0000,9.7436969947959506e-01,2.0505000000000000e+04,"Aa2",2194716070.0000,3282737375.9400,4.8000000000000000e+01,3.8644470868014272e-02,2.8702600000000002e+03,7,4.5000000000000000e+01,"30.81"
"BETHLEHEM","10","L",6496984.0000,3325228.0000,9907896.0000,585934.0000,0.0000,823607.0000,400000.0000,0.0000,2620935.0000,1397328.0000,1797328.0000,"Y",1634796.0000,8850080.0000,10832743.0000,7155551.0000,0.0000,9574665.0000,4000.0000,4000.0000,1137195.0000,1137195.0000,124883.0000,138838.0000,124883.0000,0.0000,7155551.0000,0.0000,7155551.0000,1541681.0000,8676843.0000,8538569.0000,9.8406401959791134e-01,9200278.0000,8730872.0000,9.4897915041262881e-01,3.4390000000000000e+03,,369816439.0000,489510704.3200,1.0000000000000000e+00,4.9974502804691484e-02,3.4110000000000002e+02,10,4.0000000000000000e+00,"23.41"
"BLOOMFIELD","11","H",118959001.0000,-68881398.0000,50077603.0000,-450517.0000,104250.0000,0.0000,0.0000,2064444.0000,19553906.0000,17385212.0000,19449656.0000,"N",14366350.0000,74698743.0000,92637988.0000,47763637.0000,6205214.0000,90139370.0000,125000.0000,10065675.0000,1346360.0000,11161499.0000,1277258.0000,987377.0000,1402794.0000,0.0000,,48787250.0000,48787250.0000,34635241.0000,74666544.0000,73654079.0000,9.8644017861600775e-01,75940544.0000,74087483.0000,9.7559852876481901e-01,2.1406000000000000e+04,"Aa2",2038141920.0000,3020013609.5000,1.5100000000000000e+02,5.2127122919118883e-02,2.3086500000000001e+03,11,1.3900000000000000e+02,"36.65"
"BRANFORD","14","NH",95412799.0000,57789048.0000,153523533.0000,9087161.0000,16571.0000,0.0000,80447.0000,6921026.0000,27335974.0000,20317930.0000,27319403.0000,"N",13980773.0000,96604984.0000,116323999.0000,64679977.0000,8039014.0000,109986749.0000,751714.0000,751714.0000,4370854.0000,4370854.0000,2718110.0000,-142323.0000,2718110.0000,0.0000,,30059128.0000,30059128.0000,19414678.0000,96604655.0000,94972081.0000,9.8310046239490223e-01,100123921.0000,96001985.0000,9.5883165622329158e-01,2.8111000000000000e+04,"Aa1",3505790076.0000,5185659054.8700,8.6000000000000000e+01,4.2252644679527072e-02,3.0327199999999998e+03,14,8.4000000000000000e+01,"27.41"
"BRIDGEWATER","16","L",4345765.0000,3563280.0000,9297284.0000,125579.0000,0.0000,0.0000,204728.0000,1196925.0000,2899335.0000,1497682.0000,2899335.0000,"N",114484.0000,6441498.0000,6897776.0000,4048381.0000,0.0000,6792090.0000,0.0000,0.0000,534000.0000,534000.0000,-428314.0000,199237.0000,-428314.0000,0.0000,174959.9916,0.0000,174959.9916,0.0000,6424915.0000,6411480.0000,9.9790892175227219e-01,6450526.0000,6424232.0000,9.9592374327302924e-01,1.6440000000000000e+03,,391337712.0000,547995101.3400,0.0000000000000000e+00,3.8277511961722487e-02,1.2269000000000000e+02,16,0.0000000000000000e+00,"16.45"
"BRISTOL","17","H",257933889.0000,73469419.0000,530339314.0000,239269.0000,0.0000,0.0000,3093837.0000,7884336.0000,38773417.0000,27795244.0000,38773417.0000,"N",73042538.0000,141427033.0000,221073541.0000,115560011.0000,8657539.0000,204391730.0000,13143.0000,13143.0000,14078369.0000,14078369.0000,2616585.0000,4439849.0000,2616585.0000,0.0000,,79002963.0000,79002963.0000,8932185.0000,140732000.0000,138734000.0000,9.8580280248983887e-01,144547000.0000,141093000.0000,9.7610465800051194e-01,6.0223000000000000e+04,"Aa2",3842668911.0000,5566370034.5400,7.6500000000000000e+02,5.2348099733720649e-02,8.3311100000000006e+03,17,7.6050000000000000e+02,"36.03"
"BROOKLYN","19","W",26950583.0000,-3621046.0000,23962136.0000,482874.0000,0.0000,32351.0000,0.0000,0.0000,1040783.0000,1008432.0000,1008432.0000,"N",7902323.0000,14506521.0000,23055839.0000,18274053.0000,4274734.0000,22257719.0000,0.0000,0.0000,528835.0000,528835.0000,269285.0000,-1092430.0000,269285.0000,0.0000,,4042517.0000,4042517.0000,2587708.0000,14409399.0000,14230058.0000,9.8755388757018947e-01,14655334.0000,14374017.0000,9.8080446341243399e-01,8.2080000000000000e+03,,542832084.0000,775936748.5700,4.3000000000000000e+01,4.7236425614803991e-02,1.2116900000000001e+03,19,5.3500000000000000e+01,"26.34"
"CHAPLIN","24","W",7521698.0000,1261438.0000,8839122.0000,449338.0000,1151.0000,47346.0000,0.0000,0.0000,976389.0000,927892.0000,927892.0000,"Y",2938522.0000,5702017.0000,8716903.0000,6564585.0000,29545.0000,8311639.0000,0.0000,0.0000,347456.0000,347456.0000,57808.0000,-57063.0000,57808.0000,0.0000,0.0000,75800.0000,75800.0000,0.0000,5711329.0000,5604823.0000,9.8135180095560948e-01,5819822.0000,5642387.0000,9.6951195414567659e-01,2.2410000000000000e+03,,161525200.0000,231600713.9300,1.3000000000000000e+01,5.1159072741806554e-02,2.6926999999999998e+02,24,2.1000000000000000e+01,"35.05"
