Municipality,Mill Rate FY 2018-19,Mill Rate - Motor Vehicle - FY 2018-19,Comments,Mill Rate - Real & Personal Property - FY 2018-19
"OLD SAYBROOK",1.9600000000000001e+01,,,
"RIDGEFIELD",2.7780000000000001e+01,,,
"SOMERS",2.7370000000000001e+01,,,
"SUFFIELD",2.9320000000000000e+01,,,
"WARREN",1.4250000000000000e+01,,,
"WESTPORT",1.6859999999999999e+01,,,
"WOODBURY",2.6579999999999998e+01,,,
"EAST HAMPTON",3.2210000000000001e+01,,,
"ANDOVER",3.3950000000000003e+01,,,
"ANSONIA",3.7320000000000000e+01,,,
"AVON",3.1350000000000001e+01,,,
"BARKHAMSTED",2.9859999999999999e+01,,,
"BEACON FALLS",3.5899999999999999e+01,,,
"BERLIN",3.2500000000000000e+01,,,
"BETHANY",3.6899999999999999e+01,,,
"BETHEL",,3.2000000000000000e+01,,33
"BETHLEHEM",2.4149999999999999e+01,,,
"BLOOMFIELD",3.7520000000000003e+01,,,
"BOLTON",3.9000000000000000e+01,,,
"BRANFORD",2.8640000000000001e+01,,,
"BRIDGEPORT",,4.5000000000000000e+01,,54
"BRIDGEWATER",1.7199999999999999e+01,,,
"BRISTOL",3.6880000000000003e+01,,,
"BROOKFIELD",2.8340000000000000e+01,,,
"BROOKLYN",2.8090000000000000e+01,,,
"BURLINGTON",3.2500000000000000e+01,,,
"CANAAN",2.3899999999999999e+01,,,
"CANTON",3.0699999999999999e+01,,,
"CHAPLIN",3.2500000000000000e+01,,,
"CHESHIRE",3.2619999999999997e+01,,,
"CHESTER",2.7109999999999999e+01,,,
"CLINTON",3.0539999999999999e+01,,,
"COLCHESTER",3.2280000000000001e+01,,,
"COLEBROOK",3.0899999999999999e+01,,,
"COLUMBIA",2.9329999999999998e+01,,,
"CORNWALL",1.6620000000000001e+01,,,
"COVENTRY",3.2200000000000003e+01,,,
"DANBURY",2.7600000000000001e+01,,,
"DARIEN",1.6079999999999998e+01,,,
"DEEP RIVER",2.9420000000000002e+01,,,
"DERBY",3.9369999999999997e+01,,,
"DURHAM",3.6500000000000000e+01,,,
"EAST GRANBY",3.3000000000000000e+01,,,
"EAST HADDAM",2.9660000000000000e+01,,,
"EAST HARTFORD",,4.5000000000000000e+01,,48
"EAST HAVEN",3.2450000000000003e+01,,,
"EAST WINDSOR",3.3899999999999999e+01,,,
"EASTFORD",2.6109999999999999e+01,,,
"EASTON",3.1379999999999999e+01,,,
"ELLINGTON",3.1699999999999999e+01,,,
"ENFIELD",3.3399999999999999e+01,,,
"ESSEX",2.1850000000000001e+01,,,
"FAIRFIELD",2.6359999999999999e+01,,,
"FARMINGTON",2.7180000000000000e+01,,,
"FRANKLIN",2.5719999999999999e+01,,,
"GOSHEN",1.9600000000000001e+01,,,
"GRANBY",3.8689999999999998e+01,,,
"GREENWICH",1.1369000000000000e+01,,,
"GRISWOLD",2.7949999999999999e+01,,,
"GROTON",2.4170000000000002e+01,,,
"GROTON (City of)",4.5800000000000001e+00,,,
"GUILFORD",3.1280000000000001e+01,,,
"HADDAM",3.1690000000000001e+01,,,
"HAMDEN",,4.5000000000000000e+01,,48
"HAMPTON",2.8500000000000000e+01,,,
"HARTFORD",,4.5000000000000000e+01,,74
"HARWINTON",2.8000000000000000e+01,,,
