Municipality,Mill Rate FY 2018-19,Mill Rate - Motor Vehicle - FY 2018-19,Comments,Mill Rate - Real & Personal Property - FY 2018-19
"HEBRON",3.7439999999999998e+01,,,
"KENT",1.8609999999999999e+01,,,
"KILLINGLY",2.7760000000000002e+01,,,
"KILLINGWORTH",2.7469999999999999e+01,,,
"LEBANON",2.9399999999999999e+01,,,
"LEDYARD",3.4289999999999999e+01,,,
"LISBON",2.2500000000000000e+01,,,
"LITCHFIELD",2.7699999999999999e+01,,,
"MADISON",2.8039999999999999e+01,,,
"MANCHESTER",3.5810000000000002e+01,,,
"MANSFIELD",3.0879999999999999e+01,,,
"MARLBOROUGH",3.6520000000000003e+01,,,
"MERIDEN",4.1039999999999999e+01,,,
"MIDDLEBURY",3.2509999999999998e+01,,,
"MIDDLEFIELD",3.4490000000000002e+01,,,
"MIDDLETOWN",3.4799999999999997e+01,,,
"MONROE",3.5240000000000002e+01,,,
"MONTVILLE",3.1730000000000000e+01,,,
"MORRIS",2.6570000000000000e+01,,,
"NAUGATUCK",,4.5000000000000000e+01,,48
"NEW BRITAIN",,4.5000000000000000e+01,,50
"NEW CANAAN",1.6960000000000001e+01,,,
"NEW FAIRFIELD",3.0579999999999998e+01,,,
"NEW HARTFORD",3.0623999999999999e+01,,,
"NEW HAVEN",4.2979999999999997e+01,,,
"NEW LONDON",4.3170000000000002e+01,,,
"NEW MILFORD",2.8170000000000002e+01,,,
"NEWINGTON",3.8500000000000000e+01,,,
"NEWTOWN",3.4240000000000002e+01,,,
"NORFOLK",2.3570000000000000e+01,,,
"NORTH BRANFORD",3.3390000000000001e+01,,,
"NORTH CANAAN",2.7500000000000000e+01,,,
"NORTH HAVEN",3.1180000000000000e+01,,,
"NORTH STONINGTON",2.8199999999999999e+01,,,
"NORWALK",,3.0498999999999999e+01,"Use 2018-19 budget book, pg. iv and pg. 20",26
"NORWICH",4.1009999999999998e+01,,,
"OLD LYME",2.1910000000000000e+01,,,
"ORANGE",3.2000000000000000e+01,,,
"OXFORD",2.3050000000000001e+01,,,
"PLAINFIELD",2.7960000000000001e+01,,,
"PLAINVILLE",3.3840000000000003e+01,,,
"PLYMOUTH",3.9689999999999998e+01,,,
"POMFRET",2.5899999999999999e+01,,,
"PORTLAND",3.3810000000000002e+01,,,
"PRESTON",2.6030000000000001e+01,,,
"PROSPECT",3.1000000000000000e+01,,,
"PUTNAM",2.0840000000000000e+01,,,
"REDDING",3.1719999999999999e+01,,,
"ROCKY HILL",3.2399999999999999e+01,,,
"ROXBURY",1.5850000000000000e+01,,,
"SALEM",3.2200000000000003e+01,,,
"SALISBURY",1.1300000000000001e+01,,,
"SCOTLAND",,3.2750000000000000e+01,,39
"SEYMOUR",3.6000000000000000e+01,,,
"SHARON",1.4699999999999999e+01,,,
"SHELTON",2.2149999999999999e+01,,,
"SHERMAN",2.0329999999999998e+01,,,
"SIMSBURY",3.6420000000000002e+01,,,
"SOUTH WINDSOR",3.7670000000000002e+01,,,
"SOUTHBURY",2.9000000000000000e+01,,,
"SOUTHINGTON",3.0480000000000000e+01,,,
"SPRAGUE",3.3250000000000000e+01,,,
"STAFFORD",3.4259999999999998e+01,,,
"STAMFORD",,2.7250000000000000e+01,,26
"STERLING",3.1940000000000001e+01,,,
"STONINGTON",2.2680000000000000e+01,,,
"STRATFORD",3.9899999999999999e+01,,,
"THOMASTON",3.5789999999999999e+01,,,
"THOMPSON",2.7750000000000000e+01,,,
"TOLLAND",3.5000000000000000e+01,,,
"TORRINGTON",,4.5000000000000000e+01,,46
"TRUMBULL",3.4020000000000003e+01,,,
"UNION",3.1100000000000001e+01,,,
"VERNON",3.9630000000000003e+01,,,
"VOLUNTOWN",2.8920000000000002e+01,,,
"WALLINGFORD",2.8640000000000001e+01,,,
"WASHINGTON",1.4250000000000000e+01,,,
"WATERBURY",,4.5000000000000000e+01,,60
"WATERFORD",2.7420000000000002e+01,,,
"WATERTOWN",3.3590000000000003e+01,,,
"WEST HARTFORD",4.1000000000000000e+01,,,
"WEST HAVEN",,3.7000000000000000e+01,,36
"WESTBROOK",2.4370000000000001e+01,,,
"WESTON",2.9390000000000001e+01,,,
"WETHERSFIELD",4.0780000000000001e+01,,,
"WILLINGTON",3.0090000000000000e+01,,,
"WILTON",2.8187500000000000e+01,,,
"WINCHESTER",3.3539999999999999e+01,,,
"WINDHAM",3.7509999999999998e+01,,,
"WINDSOR",3.2960000000000001e+01,,,
"WINDSOR LOCKS",2.6660000000000000e+01,,,
"WOLCOTT",3.2200000000000003e+01,,,
"WOODBRIDGE",3.9829999999999998e+01,,,
"WOODSTOCK",2.4500000000000000e+01,,,
"ASHFORD",3.4767000000000003e+01,,,
"BOZRAH",2.7500000000000000e+01,,,
"CANTERBURY",2.6199999999999999e+01,,,
"CROMWELL",3.0329999999999998e+01,,,
"EAST LYME",2.7350000000000001e+01,,,
"GLASTONBURY",3.6000000000000000e+01,,,
"HARTLAND",2.6500000000000000e+01,,,
"LYME",1.8600000000000001e+01,,,
"MILFORD",2.7739999999999998e+01,,,
