2018 Tax Exempt %,Municipality,numbered,2018 Net GL,2018 GL Tax Exempt Property,2018 Total NGL and Taxable
7.9520427031001623e-02,"WETHERSFIELD",1.6000000000000000e+02,2321469775.0000,200552270.0000,2522022045.0000
7.8969263106825588e-02,"WATERFORD",1.5300000000000000e+02,3300513595.0000,282986350.0000,3583499945.0000
7.8667189598191897e-02,"PRESTON",1.1500000000000000e+02,440197519.0000,37585877.0000,477783396.0000
7.8406007017082974e-02,"SALEM",1.2200000000000000e+02,374381805.0000,31851100.0000,406232905.0000
7.8140782466193826e-02,"COLCHESTER",2.8000000000000000e+01,1223066888.0000,103672450.0000,1326739338.0000
7.7863087588018090e-02,"NEW CANAAN",9.1000000000000000e+01,7706360081.0000,650707050.0000,8357067131.0000
7.7512057871860635e-02,"HEBRON",6.8000000000000000e+01,778563080.0000,65418770.0000,843981850.0000
7.7366852592651261e-02,"MIDDLEBURY",8.2000000000000000e+01,961292386.0000,80608600.0000,1041900986.0000
7.7184707551357506e-02,"PLAINVILLE",1.1100000000000000e+02,1396438540.0000,116798780.0000,1513237320.0000
7.7097799319518656e-02,"MILFORD",8.5000000000000000e+01,6590353101.0000,550547740.0000,7140900841.0000
7.6979006441865921e-02,"WESTON",1.5800000000000000e+02,2234268538.0000,186335710.0000,2420604248.0000
7.6707663294224515e-02,"GUILFORD",6.1000000000000000e+01,2987621831.0000,248213356.0000,3235835187.0000
7.6348400783694884e-02,"NORTH BRANFORD",1.0000000000000000e+02,1263309544.0000,104424291.0000,1367733835.0000
7.5865933580047631e-02,"BERLIN",7.0000000000000000e+00,2334216926.0000,191625385.0000,2525842311.0000
7.5380270508603145e-02,"NAUGATUCK",8.9000000000000000e+01,1715681562.0000,139872140.0000,1855553702.0000
7.3921697228200370e-02,"CORNWALL",3.1000000000000000e+01,393026776.0000,31372300.0000,424399076.0000
7.3606635752812899e-02,"CANTON",2.3000000000000000e+01,1080596193.0000,85858830.0000,1166455023.0000
7.3135189497338549e-02,"ORANGE",1.0800000000000000e+02,2080863835.0000,164192630.0000,2245056465.0000
7.2502480255062882e-02,"BROOKLYN",1.9000000000000000e+01,555929903.0000,43457040.0000,599386943.0000
7.1427359727440673e-02,"DARIEN",3.5000000000000000e+01,8473454179.0000,651792260.0000,9125246439.0000
6.8795709931133750e-02,"BRANFORD",1.4000000000000000e+01,3583125596.0000,264714920.0000,3847840516.0000
6.7853070736459617e-02,"KILLINGWORTH",7.1000000000000000e+01,700716370.0000,51006720.0000,751723090.0000
6.7785860879673782e-02,"LEBANON",7.2000000000000000e+01,666581923.0000,48470440.0000,715052363.0000
6.7618562161014931e-02,"CLINTON",2.7000000000000000e+01,1543849109.0000,111963680.0000,1655812789.0000
6.7488904960435067e-02,"MIDDLEFIELD",8.3000000000000000e+01,421101430.0000,30476500.0000,451577930.0000
6.6308030635071527e-02,"HADDAM",6.2000000000000000e+01,949807954.0000,67452540.0000,1017260494.0000
6.6135720065639170e-02,"OLD SAYBROOK",1.0700000000000000e+02,2272648040.0000,160947600.0000,2433595640.0000
6.6012807628179196e-02,"PLYMOUTH",1.1200000000000000e+02,763052060.0000,53931370.0000,816983430.0000
6.5942201402271847e-02,"FRANKLIN",5.3000000000000000e+01,232086350.0000,16384730.0000,248471080.0000
6.5564519310401775e-02,"EASTON",4.7000000000000000e+01,1284698368.0000,90140660.0000,1374839028.0000
6.5224938272555100e-02,"LYME",7.6000000000000000e+01,493602258.0000,34441630.0000,528043888.0000
6.5013838026188389e-02,"BETHANY",8.0000000000000000e+00,563920992.0000,39211990.0000,603132982.0000
6.4935244202442358e-02,"BOLTON",1.2000000000000000e+01,443024196.0000,30765660.0000,473789856.0000
6.4544504519753493e-02,"OXFORD",1.0900000000000000e+02,1542367730.0000,106420200.0000,1648787930.0000
6.3841071632375915e-02,"TRUMBULL",1.4500000000000000e+02,4684998075.0000,319492010.0000,5004490085.0000
6.3346819582127775e-02,"OLD LYME",1.0600000000000000e+02,1586335438.0000,107285500.0000,1693620938.0000
6.3337435654631805e-02,"SEYMOUR",1.2500000000000000e+02,1215603131.0000,82199490.0000,1297802621.0000
6.1314231663238655e-02,"GRANBY",5.6000000000000000e+01,1003655584.0000,65558010.0000,1069213594.0000
6.0923964052124469e-02,"CHESTER",2.6000000000000000e+01,440999763.0000,28610520.0000,469610283.0000
6.0867687213650441e-02,"PORTLAND",1.1400000000000000e+02,828545517.0000,53700260.0000,882245777.0000
6.0487765408264643e-02,"EAST HAMPTON",4.1000000000000000e+01,1147808108.0000,73898290.0000,1221706398.0000
5.9085128960456049e-02,"LISBON",7.4000000000000000e+01,378847315.0000,23789870.0000,402637185.0000
5.8808229544800854e-02,"COVENTRY",3.2000000000000000e+01,977892640.0000,61101400.0000,1038994040.0000
5.8691372919409276e-02,"WOODBURY",1.6900000000000000e+02,1066345892.0000,66487550.0000,1132833442.0000
5.7670521024308780e-02,"BOZRAH",1.3000000000000000e+01,227249026.0000,13907630.0000,241156656.0000
5.7666516035119145e-02,"GLASTONBURY",5.4000000000000000e+01,4225059297.0000,258554380.0000,4483613677.0000
5.6741738821107258e-02,"MONROE",8.6000000000000000e+01,2186084476.0000,131504000.0000,2317588476.0000
5.6217579506900657e-02,"SOUTH WINDSOR",1.3100000000000000e+02,2768191892.0000,164890810.0000,2933082702.0000
5.6212316982949248e-02,"COLUMBIA",3.0000000000000000e+01,494411199.0000,29447300.0000,523858499.0000
5.6051897149389789e-02,"NEW HARTFORD",9.3000000000000000e+01,677694328.0000,40241675.0000,717936003.0000
5.4512056374152851e-02,"PROSPECT",1.1600000000000000e+02,864171826.0000,49823780.0000,913995606.0000
5.4035346964467414e-02,"WOLCOTT",1.6700000000000000e+02,1242066460.0000,70949260.0000,1313015720.0000
5.3895485156824276e-02,"WILLINGTON",1.6100000000000000e+02,441512168.0000,25151040.0000,466663208.0000
5.3293657214114477e-02,"BARKHAMSTED",5.0000000000000000e+00,356598332.0000,20074260.0000,376672592.0000
5.2759866880153682e-02,"DURHAM",3.8000000000000000e+01,699395332.0000,38955280.0000,738350612.0000
5.2138404704313891e-02,"BROOKFIELD",1.8000000000000000e+01,2274481668.0000,125110930.0000,2399592598.0000
5.1954425238154092e-02,"ELLINGTON",4.8000000000000000e+01,1413925575.0000,77485400.0000,1491410975.0000
5.1084340369308201e-02,"BETHEL",9.0000000000000000e+00,2039778550.0000,109810330.0000,2149588880.0000
5.0050938912940823e-02,"ROXBURY",1.2100000000000000e+02,666032190.0000,35091920.0000,701124110.0000
4.8757471773405933e-02,"BURLINGTON",2.0000000000000000e+01,952047658.0000,48798740.0000,1000846398.0000
4.8467510137907933e-02,"GOSHEN",5.5000000000000000e+01,559425795.0000,28495060.0000,587920855.0000
4.8266773977955542e-02,"SHELTON",1.2700000000000000e+02,4735794614.0000,240173950.0000,4975968564.0000
4.6745846991216089e-02,"ANDOVER",1.0000000000000000e+00,263368267.0000,12915100.0000,276283367.0000
4.6281440740131165e-02,"ESSEX",5.0000000000000000e+01,1062738700.0000,51571900.0000,1114310600.0000
4.5837839746115140e-02,"SOUTHINGTON",1.3300000000000000e+02,4068965111.0000,195472613.0000,4264437724.0000
4.4809636948642387e-02,"CANTERBURY",2.2000000000000000e+01,364883117.0000,17117300.0000,382000417.0000
4.4499364231023263e-02,"MARLBOROUGH",8.0000000000000000e+01,589677713.0000,27462340.0000,617140053.0000
4.4379395018981700e-02,"NEW FAIRFIELD",9.2000000000000000e+01,1604519204.0000,74514500.0000,1679033704.0000
4.4325972882940705e-02,"WARREN",1.5000000000000000e+02,382221550.0000,17728160.0000,399949710.0000
3.3976004400016122e-02,"HARWINTON",6.7000000000000000e+01,573930317.0000,20185688.0000,594116005.0000
3.3018600543827534e-02,"SHERMAN",1.2800000000000000e+02,688720839.0000,23517100.0000,712237939.0000
3.2496427840359533e-02,"EAST HARTFORD",4.2000000000000000e+01,2783862372.0000,93504133.0000,2877366505.0000
3.2220879803326628e-02,"EAST GRANBY",3.9000000000000000e+01,607221264.0000,20216600.0000,627437864.0000
1.6306966583504015e-02,"WEST HARTFORD",1.5500000000000000e+02,6314734062.0000,104681190.0000,6419415252.0000
