2018 Tax Exempt %,Municipality,numbered,2018 Net GL,2018 GL Tax Exempt Property,2018 Total NGL and Taxable
5.7496430361592210e-01,"MANSFIELD",7.9000000000000000e+01,1107706109.0000,1498442312.0000,2606148421.0000
5.5697536538433978e-01,"NEW HAVEN",9.4000000000000000e+01,6586033021.0000,8280031993.0000,14866065014.0000
5.0775814573270428e-01,"HARTFORD",6.5000000000000000e+01,4025919645.0000,4152823406.0000,8178743051.0000
4.4131971998117736e-01,"WINDSOR LOCKS",1.6600000000000000e+02,1461337386.0000,1154357920.0000,2615695306.0000
4.0344815512980431e-01,"WINDHAM",1.6400000000000000e+02,950431736.0000,642777210.0000,1593208946.0000
3.6411505221335821e-01,"WESTBROOK",1.5700000000000000e+02,1149561346.0000,658252080.0000,1807813426.0000
3.4920225190442522e-01,"EASTFORD",4.6000000000000000e+01,154907651.0000,83119680.0000,238027331.0000
3.1219772173738058e-01,"NEW BRITAIN",9.0000000000000000e+01,2684288510.0000,1218415210.0000,3902703720.0000
2.8488510349675183e-01,"MIDDLETOWN",8.4000000000000000e+01,3464464084.0000,1380161725.0000,4844625809.0000
2.8120997631490779e-01,"FARMINGTON",5.2000000000000000e+01,3667248785.0000,1434726290.0000,5101975075.0000
2.7016317797522016e-01,"BRIDGEPORT",1.5000000000000000e+01,6372682964.0000,2358971526.0000,8731654490.0000
2.6792255127884634e-01,"WATERBURY",1.5200000000000000e+02,4335806209.0000,1586799680.0000,5922605889.0000
2.5967798050462176e-01,"GROTON",5.9000000000000000e+01,3750970179.0000,1315703620.0000,5066673799.0000
2.5363847101053560e-01,"CANAAN",2.1000000000000000e+01,181600530.0000,61713900.0000,243314430.0000
2.5061562371761381e-01,"NORWICH",1.0500000000000000e+02,1987387026.0000,664639209.0000,2652026235.0000
2.4952744711172595e-01,"SUFFIELD",1.4000000000000000e+02,1463802021.0000,486705050.0000,1950507071.0000
2.4443708791182495e-01,"WEST HAVEN",1.5600000000000000e+02,2683008169.0000,867997480.0000,3551005649.0000
2.4393926777882710e-01,"NEW MILFORD",9.6000000000000000e+01,2912395588.0000,939670078.0000,3852065666.0000
2.2347268174039406e-01,"POMFRET",1.1300000000000000e+02,356086268.0000,102476180.0000,458562448.0000
2.2247079811081319e-01,"EAST WINDSOR",4.5000000000000000e+01,954201918.0000,273021337.0000,1227223255.0000
2.1501341756580328e-01,"NEW LONDON",9.5000000000000000e+01,1449238134.0000,396956650.0000,1846194784.0000
1.9740379022499524e-01,"MONTVILLE",8.7000000000000000e+01,1282590471.0000,315461520.0000,1598051991.0000
1.9515897264204984e-01,"DEEP RIVER",3.6000000000000000e+01,508866800.0000,123390730.0000,632257530.0000
1.9331543012488869e-01,"EAST HAVEN",4.3000000000000000e+01,1972764707.0000,472757100.0000,2445521807.0000
1.7699645059642782e-01,"DERBY",3.7000000000000000e+01,723147500.0000,155521250.0000,878668750.0000
1.7232728167025113e-01,"KENT",6.9000000000000000e+01,591845519.0000,123226400.0000,715071919.0000
1.6891313911428293e-01,"EAST HADDAM",4.0000000000000000e+01,878682740.0000,178586700.0000,1057269440.0000
1.6641791574117615e-01,"SOMERS",1.3000000000000000e+02,867171797.0000,173123830.0000,1040295627.0000
1.6612523189964104e-01,"MERIDEN",8.1000000000000000e+01,3126883746.0000,622940407.0000,3749824153.0000
1.6221608714471955e-01,"DANBURY",3.4000000000000000e+01,7840619462.0000,1518141600.0000,9358761062.0000
1.5870791834320375e-01,"PUTNAM",1.1700000000000000e+02,651895151.0000,122978600.0000,774873751.0000
1.5720535282043441e-01,"HAMDEN",6.3000000000000000e+01,3870450238.0000,721949881.0000,4592400119.0000
1.5203456369139740e-01,"NORFOLK",9.9000000000000000e+01,260524275.0000,46710270.0000,307234545.0000
1.4450084797897003e-01,"LEDYARD",7.3000000000000000e+01,1111080848.0000,187670700.0000,1298751548.0000
1.4155512593888489e-01,"MORRIS",8.8000000000000000e+01,337271111.0000,55615050.0000,392886161.0000
1.3952276129985824e-01,"LITCHFIELD",7.5000000000000000e+01,1049804996.0000,170221460.0000,1220026456.0000
1.3299426381801191e-01,"WASHINGTON",1.5100000000000000e+02,1206937533.0000,185138070.0000,1392075603.0000
1.3125962962689164e-01,"WALLINGFORD",1.4900000000000000e+02,4236788453.0000,640144400.0000,4876932853.0000
1.2628349462650565e-01,"SIMSBURY",1.2900000000000000e+02,2442435959.0000,353019940.0000,2795455899.0000
1.2596606903555163e-01,"KILLINGLY",7.0000000000000000e+01,1343574733.0000,193636450.0000,1537211183.0000
1.2584354951316698e-01,"SALISBURY",1.2300000000000000e+02,1268910246.0000,182672300.0000,1451582546.0000
1.2371367381485772e-01,"SPRAGUE",1.3400000000000000e+02,162822920.0000,22987260.0000,185810180.0000
1.2366496200783499e-01,"CHESHIRE",2.5000000000000000e+01,2801534670.0000,395341580.0000,3196876250.0000
1.2194376139453790e-01,"ANSONIA",2.0000000000000000e+00,991285843.0000,137669000.0000,1128954843.0000
1.2061646479887504e-01,"STAMFORD",1.3600000000000000e+02,21644176320.0000,2968720617.0000,24612896937.0000
1.2047216986966890e-01,"VOLUNTOWN",1.4800000000000000e+02,205878155.0000,28199890.0000,234078045.0000
1.1937229046025125e-01,"HARTLAND",6.6000000000000000e+01,200988260.0000,27244690.0000,228232950.0000
1.1766213105383209e-01,"NORWALK",1.0400000000000000e+02,14278579822.0000,1904087073.0000,16182666895.0000
1.1525185175499181e-01,"TORRINGTON",1.4400000000000000e+02,1990937765.0000,259349810.0000,2250287575.0000
1.1242033674024172e-01,"WINCHESTER",1.6300000000000000e+02,720384009.0000,91243430.0000,811627439.0000
1.1171892349040018e-01,"ENFIELD",4.9000000000000000e+01,2931233750.0000,368660650.0000,3299894400.0000
1.0955708538421460e-01,"ASHFORD",3.0000000000000000e+00,303793134.0000,37377680.0000,341170814.0000
1.0927489016427885e-01,"REDDING",1.1800000000000000e+02,1566028367.0000,192121650.0000,1758150017.0000
1.0900439961491448e-01,"STAFFORD",1.3500000000000000e+02,785213437.0000,96063010.0000,881276447.0000
1.0602209070215431e-01,"NORTH STONINGTON",1.0300000000000000e+02,529171238.0000,62757525.0000,591928763.0000
1.0506946192462047e-01,"UNION",1.4600000000000000e+02,92609474.0000,10872830.0000,103482304.0000
1.0278145123837230e-01,"GRISWOLD",5.8000000000000000e+01,725588151.0000,83120220.0000,808708371.0000
1.0166057751291432e-01,"ROCKY HILL",1.2000000000000000e+02,2208948420.0000,249975640.0000,2458924060.0000
1.0159732784348112e-01,"VERNON",1.4700000000000000e+02,1830070306.0000,206956478.0000,2037026784.0000
1.0115186337227611e-01,"WATERTOWN",1.5400000000000000e+02,1831869941.0000,206149460.0000,2038019401.0000
1.0028191536592325e-01,"SOUTHBURY",1.3200000000000000e+02,2138190984.0000,238321193.0000,2376512177.0000
1.0023578820074955e-01,"FAIRFIELD",5.1000000000000000e+01,10966569327.0000,1221700870.0000,12188270197.0000
9.8884128641593766e-02,"HAMPTON",6.4000000000000000e+01,147576350.0000,16194320.0000,163770670.0000
9.8044812300916440e-02,"PLAINFIELD",1.1000000000000000e+02,999860890.0000,108687410.0000,1108548300.0000
9.7919457438832888e-02,"GREENWICH",5.7000000000000000e+01,33102411425.0000,3593215920.0000,36695627345.0000
9.7770041388545448e-02,"TOLLAND",1.4300000000000000e+02,1281864011.0000,138909040.0000,1420773051.0000
9.7399709991740177e-02,"NORTH HAVEN",1.0200000000000000e+02,2886765912.0000,311511270.0000,3198277182.0000
9.7189320002021615e-02,"WOODBRIDGE",1.6800000000000000e+02,1156494546.0000,124498880.0000,1280993426.0000
9.6428510597129952e-02,"RIDGEFIELD",1.1900000000000000e+02,4840022456.0000,516523775.0000,5356546231.0000
9.6312208789102696e-02,"BRISTOL",1.7000000000000000e+01,3945511672.0000,420500252.0000,4366011924.0000
9.6212653878961288e-02,"SCOTLAND",1.2400000000000000e+02,111452759.0000,11864700.0000,123317459.0000
9.2805723057304404e-02,"MADISON",7.7000000000000000e+01,2932909218.0000,300035800.0000,3232945018.0000
9.2127010128095738e-02,"THOMASTON",1.4100000000000000e+02,563757264.0000,57207640.0000,620964904.0000
9.1135059682094718e-02,"WINDSOR",1.6500000000000000e+02,3105965090.0000,311445960.0000,3417411050.0000
9.0890467697947619e-02,"BRIDGEWATER",1.6000000000000000e+01,380014331.0000,37992870.0000,418007201.0000
9.0889863923529365e-02,"STONINGTON",1.3800000000000000e+02,2790498286.0000,278984910.0000,3069483196.0000
9.0662432038394428e-02,"MANCHESTER",7.8000000000000000e+01,4027713642.0000,401569590.0000,4429283232.0000
9.0302910605940617e-02,"WESTPORT",1.5900000000000000e+02,11307712334.0000,1122482800.0000,12430195134.0000
9.0212718232417832e-02,"BLOOMFIELD",1.1000000000000000e+01,2155023283.0000,213687872.0000,2368711155.0000
8.9944223465275364e-02,"SHARON",1.2600000000000000e+02,729146484.0000,72064280.0000,801210764.0000
8.8898995203557887e-02,"CROMWELL",3.3000000000000000e+01,1446485326.0000,141138130.0000,1587623456.0000
8.8846446901923781e-02,"STRATFORD",1.3900000000000000e+02,4616208382.0000,450125790.0000,5066334172.0000
8.8291633386958460e-02,"THOMPSON",1.4200000000000000e+02,610881466.0000,59158964.0000,670040430.0000
8.7558250789117262e-02,"NEWINGTON",9.7000000000000000e+01,2640307103.0000,253364855.0000,2893671958.0000
8.7266008209831353e-02,"WILTON",1.6200000000000000e+02,4245883836.0000,405946680.0000,4651830516.0000
8.7212048781792381e-02,"EAST LYME",4.4000000000000000e+01,2183924019.0000,208662360.0000,2392586379.0000
8.7064524705916260e-02,"NEWTOWN",9.8000000000000000e+01,3188565218.0000,304086020.0000,3492651238.0000
8.6233635380480733e-02,"AVON",4.0000000000000000e+00,2559343136.0000,241529423.0000,2800872559.0000
8.5651595065660280e-02,"STERLING",1.3700000000000000e+02,236437554.0000,22148290.0000,258585844.0000
8.5067655595286909e-02,"COLEBROOK",2.9000000000000000e+01,187316668.0000,17416140.0000,204732808.0000
8.3101766643604885e-02,"NORTH CANAAN",1.0100000000000000e+02,320478800.0000,29046140.0000,349524940.0000
8.1572190591943164e-02,"CHAPLIN",2.4000000000000000e+01,218445290.0000,19401700.0000,237846990.0000
8.0750729730329415e-02,"WOODSTOCK",1.7000000000000000e+02,724932776.0000,63681150.0000,788613926.0000
7.9953735094792644e-02,"BEACON FALLS",6.0000000000000000e+00,478923791.0000,41619370.0000,520543161.0000
7.9835328901179739e-02,"BETHLEHEM",1.0000000000000000e+01,361791560.0000,31389760.0000,393181320.0000
