MUNICIPALITY,MEDIAN HOUSEHOLD INCOME - 2018 ESTIMATE
"ANDOVER",101098.0000
"ANSONIA",53540.0000
"ASHFORD",68269.0000
"AVON",132500.0000
"BARKHAMSTED",111071.0000
"BEACON FALLS",86842.0000
"BERLIN",95996.0000
"BETHANY",119653.0000
"BETHEL",101473.0000
"BETHLEHEM",93750.0000
"BLOOMFIELD",76952.0000
"BOLTON",105417.0000
"BOZRAH",87109.0000
"BRANFORD",80167.0000
"BRIDGEPORT",45441.0000
"BRIDGEWATER",106429.0000
"BRISTOL",66829.0000
"BROOKFIELD",107255.0000
"BROOKLYN",72090.0000
"BURLINGTON",126341.0000
"CANAAN",77847.0000
"CANTERBURY",92835.0000
"CANTON",89255.0000
"CHAPLIN",68889.0000
"CHESHIRE",112945.0000
"CHESTER",92417.0000
"CLINTON",76360.0000
"COLCHESTER",103380.0000
"COLEBROOK",91786.0000
"COLUMBIA",106604.0000
"CORNWALL",82083.0000
"COVENTRY",91461.0000
"CROMWELL",91841.0000
"DANBURY",71672.0000
"DARIEN",210511.0000
"DEEP RIVER",71641.0000
"DERBY",56301.0000
"DURHAM",117631.0000
"EAST GRANBY",100689.0000
"EAST HADDAM",91339.0000
"EAST HAMPTON",100780.0000
"EAST HARTFORD",55468.0000
"EAST HAVEN",65333.0000
"EAST LYME",93416.0000
"EAST WINDSOR",74974.0000
"EASTFORD",86667.0000
"EASTON",142841.0000
"ELLINGTON",85572.0000
"ENFIELD",76423.0000
"ESSEX",87000.0000
"FAIRFIELD",134559.0000
"FARMINGTON",94606.0000
"FRANKLIN",94000.0000
"GLASTONBURY",116625.0000
"GOSHEN",98967.0000
"GRANBY",121114.0000
"GREENWICH",142819.0000
"GRISWOLD",62542.0000
"GROTON",66999.0000
"GROTON (City of)",
"GUILFORD",110000.0000
"HADDAM",108800.0000
"HAMDEN",75392.0000
"HAMPTON",75288.0000
"HARTFORD",34338.0000
"HARTLAND",95259.0000
"HARWINTON",108355.0000
"HEBRON",110938.0000
"KENT",65985.0000
"KILLINGLY",61709.0000
"KILLINGWORTH",113068.0000
"LEBANON",95757.0000
"LEDYARD",91268.0000
"LISBON",88553.0000
"LITCHFIELD",80570.0000
"LYME",96146.0000
"MADISON",104754.0000
"MANCHESTER",70736.0000
"MANSFIELD",56807.0000
"MARLBOROUGH",109750.0000
"MERIDEN",57886.0000
"MIDDLEBURY",108977.0000
"MIDDLEFIELD",93750.0000
"MIDDLETOWN",67651.0000
"MILFORD",89778.0000
"MONROE",115049.0000
"MONTVILLE",73765.0000
"MORRIS",94500.0000
"NAUGATUCK",70512.0000
"NEW BRITAIN",45258.0000
"NEW CANAAN",192428.0000
"NEW FAIRFIELD",107089.0000
"NEW HARTFORD",99926.0000
"NEW HAVEN",41142.0000
"NEW LONDON",39675.0000
"NEW MILFORD",87188.0000
"NEWINGTON",80310.0000
"NEWTOWN",123974.0000
"NORFOLK",75547.0000
"NORTH BRANFORD",86087.0000
"NORTH CANAAN",68438.0000
"NORTH HAVEN",99094.0000
"NORTH STONINGTON",76985.0000
"NORWALK",82474.0000
"NORWICH",55391.0000
"OLD LYME",92383.0000
"OLD SAYBROOK",81411.0000
"ORANGE",117215.0000
"OXFORD",106047.0000
"PLAINFIELD",67551.0000
"PLAINVILLE",65553.0000
"PLYMOUTH",80750.0000
"POMFRET",78958.0000
"PORTLAND",91295.0000
"PRESTON",75568.0000
"PROSPECT",100524.0000
"PUTNAM",59753.0000
"REDDING",128047.0000
"RIDGEFIELD",158518.0000
"ROCKY HILL",83100.0000
"ROXBURY",137656.0000
"SALEM",113000.0000
"SALISBURY",83698.0000
"SCOTLAND",89000.0000
"SEYMOUR",70941.0000
"SHARON",78403.0000
"SHELTON",94446.0000
"SHERMAN",113506.0000
"SIMSBURY",119588.0000
"SOMERS",105164.0000
"SOUTH WINDSOR",107088.0000
"SOUTHBURY",94176.0000
"SOUTHINGTON",92220.0000
"SPRAGUE",65688.0000
"STAFFORD",72806.0000
"STAMFORD",89309.0000
"STERLING",77985.0000
"STONINGTON",79250.0000
"STRATFORD",75845.0000
"SUFFIELD",111573.0000
"THOMASTON",67862.0000
"THOMPSON",80941.0000
"TOLLAND",115718.0000
"TORRINGTON",63576.0000
"TRUMBULL",118707.0000
"UNION",90714.0000
"VERNON",62566.0000
"VOLUNTOWN",75673.0000
"WALLINGFORD",79420.0000
"WARREN",107813.0000
"WASHINGTON",97604.0000
"WATERBURY",41617.0000
"WATERFORD",85438.0000
"WATERTOWN",76920.0000
"WEST HARTFORD",99280.0000
"WEST HAVEN",58112.0000
"WESTBROOK",89489.0000
"WESTON",219083.0000
"WESTPORT",187988.0000
"WETHERSFIELD",83391.0000
"WILLINGTON",74940.0000
"WILTON",187903.0000
"WINCHESTER",68651.0000
"WINDHAM",44091.0000
"WINDSOR",88986.0000
"WINDSOR LOCKS",66846.0000
"WOLCOTT",86786.0000
"WOODBRIDGE",142188.0000
"WOODBURY",78025.0000
"WOODSTOCK",89531.0000
