Municipality,numbered,Median Home Values - 2018 Estimate,Population_Range,Margin of Error
"DARIEN",3.5000000000000000e+01,1461100.0000,"10,000 to 30,000",92202.0000
"NEW CANAAN",9.1000000000000000e+01,1420000.0000,"10,000 to 30,000",82320.0000
"GREENWICH",5.7000000000000000e+01,1278000.0000,"30,000 to 70,000",76511.0000
"WESTPORT",1.5900000000000000e+02,1167500.0000,"10,000 to 30,000",48496.0000
"WESTON",1.5800000000000000e+02,878400.0000,"0 to 10,000",32007.0000
"WILTON",1.6200000000000000e+02,798700.0000,"10,000 to 30,000",25476.0000
"RIDGEFIELD",1.1900000000000000e+02,655900.0000,"10,000 to 30,000",20367.0000
"EASTON",4.7000000000000000e+01,641900.0000,"0 to 10,000",25633.0000
"ROXBURY",1.2100000000000000e+02,629300.0000,"0 to 10,000",51239.0000
"FAIRFIELD",5.1000000000000000e+01,603100.0000,"30,000 to 70,000",12212.0000
"REDDING",1.1800000000000000e+02,593000.0000,"0 to 10,000",20112.0000
"LYME",7.6000000000000000e+01,555000.0000,"0 to 10,000",64943.0000
"STAMFORD",1.3600000000000000e+02,526700.0000,"70,000 & Up",12213.0000
"BRIDGEWATER",1.6000000000000000e+01,480300.0000,"0 to 10,000",29221.0000
"SALISBURY",1.2300000000000000e+02,472800.0000,"0 to 10,000",83354.0000
"WOODBRIDGE",1.6800000000000000e+02,471400.0000,"0 to 10,000",16177.0000
"SHERMAN",1.2800000000000000e+02,457100.0000,"0 to 10,000",28646.0000
"NORWALK",1.0400000000000000e+02,427300.0000,"70,000 & Up",8634.0000
"CORNWALL",3.1000000000000000e+01,425400.0000,"0 to 10,000",49607.0000
"MADISON",7.7000000000000000e+01,423300.0000,"10,000 to 30,000",17960.0000
"WASHINGTON",1.5100000000000000e+02,421300.0000,"0 to 10,000",57758.0000
"NEWTOWN",9.8000000000000000e+01,403800.0000,"10,000 to 30,000",11824.0000
"OLD LYME",1.0600000000000000e+02,401000.0000,"0 to 10,000",19524.0000
"TRUMBULL",1.4500000000000000e+02,396900.0000,"30,000 to 70,000",7443.0000
"GUILFORD",6.1000000000000000e+01,393700.0000,"10,000 to 30,000",11616.0000
"ORANGE",1.0800000000000000e+02,389800.0000,"10,000 to 30,000",9097.0000
"SHARON",1.2600000000000000e+02,389600.0000,"0 to 10,000",42470.0000
"AVON",4.0000000000000000e+00,385100.0000,"10,000 to 30,000",15747.0000
"OLD SAYBROOK",1.0700000000000000e+02,381900.0000,"0 to 10,000",13530.0000
"WARREN",1.5000000000000000e+02,377900.0000,"0 to 10,000",20006.0000
"BROOKFIELD",1.8000000000000000e+01,373800.0000,"10,000 to 30,000",15302.0000
"ESSEX",5.0000000000000000e+01,371300.0000,"0 to 10,000",30891.0000
"KENT",6.9000000000000000e+01,367600.0000,"0 to 10,000",35416.0000
"WESTBROOK",1.5700000000000000e+02,365800.0000,"0 to 10,000",24603.0000
"KILLINGWORTH",7.1000000000000000e+01,365400.0000,"0 to 10,000",17327.0000
"MONROE",8.6000000000000000e+01,362400.0000,"10,000 to 30,000",14101.0000
"WOODBURY",1.6900000000000000e+02,353500.0000,"0 to 10,000",20180.0000
