MUNICIPALITY,NUMBERED,TOWN CODE,2016 Net Grand List,2016 Tax Exempt Property Assessment,2016 Total Exempt and NGL,Tax Exempt Property as a % of Total
"MIDDLEFIELD",8.3000000000000000e+01,8.2000000000000000e+01,4.0071863000000000e+08,3.0484700000000000e+07,4.3120333000000000e+08,7.0696810249586892e-02
"MIDDLETOWN",8.4000000000000000e+01,8.3000000000000000e+01,3.3353466820000000e+09,1.2919420990000000e+09,4.6272887810000000e+09,2.7920066374608227e-01
"MILFORD",8.5000000000000000e+01,8.4000000000000000e+01,6.5561168680000000e+09,5.4510116000000000e+08,7.1012180280000000e+09,7.6761642559160140e-02
"MONROE",8.6000000000000000e+01,8.5000000000000000e+01,2.1587770570000000e+09,1.3316160000000000e+08,2.2919386570000000e+09,5.8099984305120957e-02
"MONTVILLE",8.7000000000000000e+01,8.6000000000000000e+01,1.2536435470000000e+09,3.2317573000000000e+08,1.5768192770000000e+09,2.0495419780436894e-01
"MORRIS",8.8000000000000000e+01,8.7000000000000000e+01,3.0774269500000000e+08,1.5051910000000000e+07,3.2279460500000000e+08,4.6629992468430505e-02
"NAUGATUCK",8.9000000000000000e+01,8.8000000000000000e+01,1.6059793860000000e+09,1.2736261000000000e+08,1.7333419960000000e+09,7.3478061625410471e-02
"NEW BRITAIN",9.0000000000000000e+01,8.9000000000000000e+01,2.5043374430000000e+09,1.1201586900000000e+09,3.6244961330000000e+09,3.0905225137399811e-01
"NEW CANAAN",9.1000000000000000e+01,9.0000000000000000e+01,8.2955520620000000e+09,5.8247392000000000e+08,8.8780259820000000e+09,6.5608494633936976e-02
"NEW FAIRFIELD",9.2000000000000000e+01,9.1000000000000000e+01,1.5930903130000000e+09,6.2803200000000000e+07,1.6558935130000000e+09,3.7927076534178074e-02
"NEW HARTFORD",9.3000000000000000e+01,9.2000000000000000e+01,6.5837936900000000e+08,3.9050415000000000e+07,6.9742978400000000e+08,5.5991894662187243e-02
"NEW HAVEN",9.4000000000000000e+01,9.3000000000000000e+01,6.5736342720000000e+09,7.8503100200000000e+09,1.4423944292000000e+10,5.4425543118285913e-01
"NEW LONDON",9.5000000000000000e+01,9.5000000000000000e+01,1.3084974520000000e+09,8.6066130100000000e+08,2.1691587530000000e+09,3.9677192820013024e-01
"NEW MILFORD",9.6000000000000000e+01,9.6000000000000000e+01,2.8818024980000000e+09,2.5178210500000000e+08,3.1335846030000000e+09,8.0349547530630366e-02
"NEWINGTON",9.7000000000000000e+01,9.4000000000000000e+01,2.6099861390000000e+09,3.9673143000000000e+08,3.0067175690000000e+09,1.3194835261229684e-01
"NEWTOWN",9.8000000000000000e+01,9.7000000000000000e+01,3.1128569180000000e+09,3.0110532200000000e+08,3.4139622400000000e+09,8.8198199286468965e-02
"NORFOLK",9.9000000000000000e+01,9.8000000000000000e+01,3.0096844500000000e+08,5.9860940000000000e+07,3.6082938500000000e+08,1.6589818481662738e-01
"NORTH BRANFORD",1.0000000000000000e+02,9.9000000000000000e+01,1.2372269820000000e+09,1.0472853100000000e+08,1.3419555130000000e+09,7.8041730881133906e-02
"NORTH CANAAN",1.0100000000000000e+02,1.0000000000000000e+02,3.2786196000000000e+08,4.7655620000000000e+07,3.7551758000000000e+08,1.2690649529643858e-01
"NORTH HAVEN",1.0200000000000000e+02,1.0100000000000000e+02,2.7993406990000000e+09,3.0846172000000000e+08,3.1078024190000000e+09,9.9253967406092047e-02
"NORTH STONINGTON",1.0300000000000000e+02,1.0200000000000000e+02,5.2206811400000000e+08,3.8734175000000000e+07,5.6080228900000000e+08,6.9069217012414863e-02
"NORWALK",1.0400000000000000e+02,1.0300000000000000e+02,1.2201892347000000e+10,1.3636293560000000e+09,1.3565521703000000e+10,1.0052170390899415e-01
"NORWICH",1.0500000000000000e+02,1.0400000000000000e+02,1.8322519820000000e+09,5.5453097000000000e+08,2.3867829520000000e+09,2.3233405850135300e-01
"OLD LYME",1.0600000000000000e+02,1.0500000000000000e+02,1.5743392050000000e+09,1.0280455000000000e+08,1.6771437550000000e+09,6.1297399041383906e-02
"OLD SAYBROOK",1.0700000000000000e+02,1.0600000000000000e+02,2.2460980700000000e+09,1.6841347100000000e+08,2.4145115410000000e+09,6.9750534690030702e-02
"ORANGE",1.0800000000000000e+02,1.0700000000000000e+02,1.9661482500000000e+09,1.5960763000000000e+08,2.1257558800000000e+09,7.5082765383201008e-02
"OXFORD",1.0900000000000000e+02,1.0800000000000000e+02,1.4769580760000000e+09,1.0561440000000000e+08,1.5825724760000000e+09,6.6735900947136148e-02
"PLAINFIELD",1.1000000000000000e+02,1.0900000000000000e+02,9.3551704000000000e+08,1.2025038000000000e+08,1.0557674200000000e+09,1.1389855163365431e-01
"PLAINVILLE",1.1100000000000000e+02,1.1000000000000000e+02,1.3774678430000000e+09,1.1669287000000000e+08,1.4941607130000000e+09,7.8099276058264291e-02
"PLYMOUTH",1.1200000000000000e+02,1.1100000000000000e+02,7.4030036900000000e+08,5.3650260000000000e+07,7.9395062900000000e+08,6.7573798722943015e-02
"POMFRET",1.1300000000000000e+02,1.1200000000000000e+02,3.4961681300000000e+08,9.7455780000000000e+07,4.4707259300000000e+08,2.1798647809305546e-01
"PORTLAND",1.1400000000000000e+02,1.1300000000000000e+02,8.1447895000000000e+08,5.3636490000000000e+07,8.6811544000000000e+08,6.1784974127404073e-02
"PRESTON",1.1500000000000000e+02,1.1400000000000000e+02,4.4910940800000000e+08,3.6673877000000000e+07,4.8578328500000000e+08,7.5494316359608793e-02
"PROSPECT",1.1600000000000000e+02,1.1500000000000000e+02,8.4558568500000000e+08,4.9887160000000000e+07,8.9547284500000000e+08,5.5710410738362477e-02
"PUTNAM",1.1700000000000000e+02,1.1600000000000000e+02,6.1275468800000000e+08,1.2781360000000000e+08,7.4056828800000000e+08,1.7258854054523060e-01
"REDDING",1.1800000000000000e+02,1.1700000000000000e+02,1.6330375030000000e+09,1.9740646000000000e+08,1.8304439630000000e+09,1.0784621872633639e-01
"RIDGEFIELD",1.1900000000000000e+02,1.1800000000000000e+02,4.7871402140000000e+09,4.8093457700000000e+08,5.2680747910000000e+09,9.1292283439413299e-02
"ROCKY HILL",1.2000000000000000e+02,1.1900000000000000e+02,2.0616367900000000e+09,2.3131850000000000e+08,2.2929552900000000e+09,1.0088225488251888e-01
"ROXBURY",1.2100000000000000e+02,1.2000000000000000e+02,7.0646168000000000e+08,5.1583830000000000e+07,7.5804551000000000e+08,6.8048460573297248e-02
"SALEM",1.2200000000000000e+02,1.2100000000000000e+02,3.6898691900000000e+08,3.1729400000000000e+07,4.0071631900000000e+08,7.9181701606716948e-02
"SALISBURY",1.2300000000000000e+02,1.2200000000000000e+02,1.2523180960000000e+09,1.8003394000000000e+08,1.4323520360000000e+09,1.2569112583716816e-01
"SCOTLAND",1.2400000000000000e+02,1.2300000000000000e+02,1.1445398500000000e+08,1.3900920000000000e+07,1.2835490500000000e+08,1.0830065278767492e-01
"SEYMOUR",1.2500000000000000e+02,1.2400000000000000e+02,1.2000121100000000e+09,8.1961810000000000e+07,1.2819739200000000e+09,6.3934069735209584e-02
"SHARON",1.2600000000000000e+02,1.2500000000000000e+02,7.4290422800000000e+08,7.8642650000000000e+07,8.2154687800000000e+08,9.5725091417120572e-02
"SHELTON",1.2700000000000000e+02,1.2600000000000000e+02,4.6506876960000000e+09,2.4171243000000000e+08,4.8924001260000000e+09,4.9405695318224675e-02
"SHERMAN",1.2800000000000000e+02,1.2700000000000000e+02,6.8462592800000000e+08,1.6923620000000000e+07,7.0154954800000000e+08,2.4123199919729690e-02
"SIMSBURY",1.2900000000000000e+02,1.2800000000000000e+02,2.2778544490000000e+09,3.3144257000000000e+08,2.6092970190000000e+09,1.2702370316087039e-01
"SOMERS",1.3000000000000000e+02,1.2900000000000000e+02,8.5156291000000000e+08,1.7295513000000000e+08,1.0245180400000000e+09,1.6881609034429496e-01
"SOUTH WINDSOR",1.3100000000000000e+02,1.3200000000000000e+02,2.6016599250000000e+09,1.7296032000000000e+08,2.7746202450000000e+09,6.2336573919145467e-02
"SOUTHBURY",1.3200000000000000e+02,1.3000000000000000e+02,2.1301449630000000e+09,1.5143715000000000e+08,2.2815821130000000e+09,6.6373745278393140e-02
"SOUTHINGTON",1.3300000000000000e+02,1.3100000000000000e+02,3.9458168170000000e+09,2.1745460300000000e+08,4.1632714200000000e+09,5.2231666173712978e-02
"SPRAGUE",1.3400000000000000e+02,1.3300000000000000e+02,1.7393472000000000e+08,1.6652180000000000e+07,1.9058690000000000e+08,8.7373161534187296e-02
"STAFFORD",1.3500000000000000e+02,1.3400000000000000e+02,7.7753286200000000e+08,9.3365530000000000e+07,8.7089839200000000e+08,1.0720599654063892e-01
"STAMFORD",1.3600000000000000e+02,1.3500000000000000e+02,1.9725952821000000e+10,2.6597878570000000e+09,2.2385740678000000e+10,1.1881616495334263e-01
"STERLING",1.3700000000000000e+02,1.3600000000000000e+02,2.2516135600000000e+08,2.1467890000000000e+07,2.4662924600000000e+08,8.7045191712583833e-02
"STONINGTON",1.3800000000000000e+02,1.3700000000000000e+02,2.6478168720000000e+09,2.4250862900000000e+08,2.8903255010000000e+09,8.3903570347386977e-02
"STRATFORD",1.3900000000000000e+02,1.3800000000000000e+02,4.4917448080000000e+09,4.3797075000000000e+08,4.9297155580000000e+09,8.8843006223605733e-02
"SUFFIELD",1.4000000000000000e+02,1.3900000000000000e+02,1.3849224050000000e+09,4.7944819000000000e+08,1.8643705950000000e+09,2.5716356570191456e-01
"THOMASTON",1.4100000000000000e+02,1.4000000000000000e+02,5.4712908800000000e+08,5.5963520000000000e+07,6.0309260800000000e+08,9.2794239653489499e-02
"THOMPSON",1.4200000000000000e+02,1.4100000000000000e+02,6.0193794400000000e+08,5.6216154000000000e+07,6.5815409800000000e+08,8.5414881060271092e-02
"TOLLAND",1.4300000000000000e+02,1.4200000000000000e+02,1.2677214870000000e+09,1.4676571500000000e+08,1.4144872020000000e+09,1.0375895574910970e-01
"TORRINGTON",1.4400000000000000e+02,1.4300000000000000e+02,1.9558612700000000e+09,2.5869992000000000e+08,2.2145611900000000e+09,1.1681768883523151e-01
"TRUMBULL",1.4500000000000000e+02,1.4400000000000000e+02,4.6547206290000000e+09,3.1897485000000000e+08,4.9736954790000000e+09,6.4132364224303573e-02
"UNION",1.4600000000000000e+02,1.4500000000000000e+02,9.0522627000000000e+07,1.0144710000000000e+07,1.0066733700000000e+08,1.0077459384864824e-01
"VERNON",1.4700000000000000e+02,1.4600000000000000e+02,1.7948305440000000e+09,2.0473399000000000e+08,1.9995645340000000e+09,1.0238928852695885e-01
"VOLUNTOWN",1.4800000000000000e+02,1.4700000000000000e+02,2.0282452000000000e+08,2.8393180000000000e+07,2.3121770000000000e+08,1.2279847087831079e-01
"WALLINGFORD",1.4900000000000000e+02,1.4800000000000000e+02,4.2170918180000000e+09,6.2531380000000000e+08,4.8424056180000000e+09,1.2913288339076928e-01
"WARREN",1.5000000000000000e+02,1.4900000000000000e+02,3.6299895000000000e+08,1.6308700000000000e+07,3.7930765000000000e+08,4.2995969103180494e-02
"WASHINGTON",1.5100000000000000e+02,1.5000000000000000e+02,1.1246738210000000e+09,1.8300838000000000e+08,1.3076822010000000e+09,1.3994866631973069e-01
"WATERBURY",1.5200000000000000e+02,1.5100000000000000e+02,4.1504062240000000e+09,1.6659933100000000e+09,5.8163995340000000e+09,2.8643034238988713e-01
"WATERFORD",1.5300000000000000e+02,1.5200000000000000e+02,3.2390621980000000e+09,2.8091380800000000e+08,3.5199760060000000e+09,7.9805603083988749e-02
"WATERTOWN",1.5400000000000000e+02,1.5300000000000000e+02,1.7675438910000000e+09,1.9421120000000000e+08,1.9617550910000000e+09,9.8998698099976024e-02
"WEST HARTFORD",1.5500000000000000e+02,1.5500000000000000e+02,6.2327117420000000e+09,1.0209762000000000e+08,6.3348093620000000e+09,1.6116920678377944e-02
"WEST HAVEN",1.5600000000000000e+02,1.5600000000000000e+02,2.6487222100000000e+09,8.8625294000000000e+08,3.5349751500000000e+09,2.5070980767714873e-01
"WESTBROOK",1.5700000000000000e+02,1.5400000000000000e+02,1.1356120740000000e+09,6.3863199000000000e+08,1.7742440640000000e+09,3.5994596400689999e-01
"WESTON",1.5800000000000000e+02,1.5700000000000000e+02,2.3725420540000000e+09,1.9835288000000000e+08,2.5708949340000000e+09,7.7153242389173413e-02
"WESTPORT",1.5900000000000000e+02,1.5800000000000000e+02,1.1017166887000000e+10,1.1096430000000000e+09,1.2126809887000000e+10,9.1503289846206190e-02
"WETHERSFIELD",1.6000000000000000e+02,1.5900000000000000e+02,2.2429589760000000e+09,1.9286640000000000e+08,2.4358253760000000e+09,7.9179074945313316e-02
"WILLINGTON",1.6100000000000000e+02,1.6000000000000000e+02,4.3794635000000000e+08,2.5852660000000000e+07,4.6379901000000000e+08,5.5741084915209287e-02
"WILTON",1.6200000000000000e+02,1.6100000000000000e+02,4.3140847200000000e+09,4.3492275000000000e+08,4.7490074700000000e+09,9.1581820569340985e-02
"WINCHESTER",1.6300000000000000e+02,1.6200000000000000e+02,7.1275781600000000e+08,8.0011230000000000e+07,7.9276904600000000e+08,1.0092627910197190e-01
"WINDHAM",1.6400000000000000e+02,1.6300000000000000e+02,8.8790481800000000e+08,6.3426454000000000e+08,1.5221693580000000e+09,4.1668460652326439e-01
"WINDSOR",1.6500000000000000e+02,1.6400000000000000e+02,2.8867421860000000e+09,3.0822715000000000e+08,3.1949693360000000e+09,9.6472647335604983e-02
"WINDSOR LOCKS",1.6600000000000000e+02,1.6500000000000000e+02,1.2109550760000000e+09,8.2104268000000000e+08,2.0319977560000000e+09,4.0405688322029820e-01
"WOLCOTT",1.6700000000000000e+02,1.6600000000000000e+02,1.2271799440000000e+09,7.1458480000000000e+07,1.2986384240000000e+09,5.5025693587517015e-02
"WOODBRIDGE",1.6800000000000000e+02,1.6700000000000000e+02,1.1423515300000000e+09,1.2438554000000000e+08,1.2667370700000000e+09,9.8193652768052336e-02
"WOODBURY",1.6900000000000000e+02,1.6800000000000000e+02,1.1449565560000000e+09,6.9293765000000000e+07,1.2142503210000000e+09,5.7067116888165931e-02
"WOODSTOCK",1.7000000000000000e+02,1.6900000000000000e+02,7.1112746300000000e+08,6.2604510000000000e+07,7.7373197300000000e+08,8.0912398846932493e-02
