MUNICIPALITY,Numbered,2014,2015,2016,2017,2018
"ANDOVER",1.0000000000000000e+00,5.7821373257614869e-02,4.7569803516028956e-02,4.4352759154203197e-02,3.7170882808466699e-02,3.4271099744245526e-02
"ANSONIA",2.0000000000000000e+00,8.8185295367615810e-02,7.8236738179101289e-02,6.8167202572347263e-02,6.5561416729464958e-02,5.6601743247605724e-02
"ASHFORD",3.0000000000000000e+00,5.6343577620173363e-02,4.7993705743509051e-02,4.8122065727699531e-02,4.3968871595330743e-02,3.9768339768339767e-02
"AVON",4.0000000000000000e+00,4.4960740023663549e-02,3.7060839760068555e-02,3.5207510935666278e-02,3.3322721001804098e-02,2.9981064590784767e-02
"BARKHAMSTED",5.0000000000000000e+00,5.3571428571428568e-02,4.8198002605297441e-02,4.5099739809193407e-02,4.5847750865051905e-02,3.9931300987548303e-02
"BEACON FALLS",6.0000000000000000e+00,6.7845752391997680e-02,5.4265815438189202e-02,5.0359712230215826e-02,4.3639475185396466e-02,3.7613122171945700e-02
"BERLIN",7.0000000000000000e+00,5.4685494223363287e-02,4.7935858068918459e-02,4.2313598362054256e-02,3.8644470868014272e-02,3.4871967654986520e-02
"BETHANY",8.0000000000000000e+00,5.8424790187217558e-02,4.4552845528455287e-02,4.0168448331713638e-02,3.8560411311053984e-02,3.3269353806781830e-02
"BETHEL",9.0000000000000000e+00,5.3771541576419626e-02,4.6487795789081424e-02,4.2908554027867488e-02,3.9194038089980676e-02,3.4647550776583033e-02
"BETHLEHEM",1.0000000000000000e+01,6.3700707785642061e-02,5.2120592743995914e-02,5.2014278429372771e-02,4.9974502804691484e-02,3.8148524923702951e-02
"BLOOMFIELD",1.1000000000000000e+01,6.8259385665529013e-02,6.1473978344393991e-02,5.4366888810943530e-02,5.2127122919118883e-02,4.2778057372924005e-02
"BOLTON",1.2000000000000000e+01,4.5251752708731677e-02,4.1719342604298354e-02,3.8194444444444448e-02,3.4971644612476371e-02,2.7908435246158672e-02
"BOZRAH",1.3000000000000000e+01,6.5653075328265378e-02,5.3695955369595538e-02,4.6121593291404611e-02,4.2817679558011051e-02,3.8620689655172416e-02
"BRANFORD",1.4000000000000000e+01,5.9665871121718374e-02,5.2773594377510037e-02,4.6473756733057744e-02,4.2252644679527072e-02,3.6146072292144588e-02
"BRIDGEPORT",1.5000000000000000e+01,9.7058906465894032e-02,8.4520967810279804e-02,7.5739240614455944e-02,6.8931341568514798e-02,6.0336414260290488e-02
"BRIDGEWATER",1.6000000000000000e+01,6.0606060606060608e-02,4.2704626334519574e-02,3.5799522673031027e-02,3.8277511961722487e-02,3.2296650717703351e-02
"BRISTOL",1.7000000000000000e+01,7.2816564101009493e-02,6.5015573497837847e-02,5.6638190496458213e-02,5.2348099733720649e-02,4.5724090183919812e-02
"BROOKFIELD",1.8000000000000000e+01,5.1908727154752893e-02,4.3403523850451223e-02,4.1224970553592463e-02,3.8754696725711218e-02,3.5347043701799488e-02
"BROOKLYN",1.9000000000000000e+01,7.3015873015873020e-02,5.8361942128494361e-02,5.1601858645145514e-02,4.7236425614803991e-02,4.0301043942704541e-02
"BURLINGTON",2.0000000000000000e+01,4.8188405797101451e-02,4.4991965720407069e-02,4.2288557213930350e-02,3.5922845514068304e-02,3.1952247191011238e-02
"CANAAN",2.1000000000000000e+01,4.5197740112994350e-02,3.1339031339031341e-02,2.9702970297029702e-02,2.9921259842519685e-02,2.9185867895545316e-02
"CANTERBURY",2.2000000000000000e+01,7.1603213412504363e-02,5.9132260321903427e-02,5.3272980501392758e-02,4.4970820460006868e-02,3.9491758241758240e-02
"CANTON",2.3000000000000000e+01,4.8590175563043091e-02,4.1003888299752565e-02,3.8793863516134723e-02,3.5419954409959667e-02,3.1652173913043480e-02
"CHAPLIN",2.4000000000000000e+01,6.8855084067253797e-02,6.2300319488817889e-02,5.6754596322941650e-02,5.1159072741806554e-02,4.6068308181096106e-02
"CHESHIRE",2.5000000000000000e+01,4.8136342938918886e-02,3.9395119418483907e-02,3.7474332648870637e-02,3.3382268462373139e-02,2.9747558036280604e-02
"CHESTER",2.6000000000000000e+01,4.7210300429184553e-02,3.8860103626943004e-02,3.8066723695466209e-02,3.7100213219616207e-02,2.9311809685641461e-02
"CLINTON",2.7000000000000000e+01,5.5440342872943450e-02,4.7546437482672579e-02,4.0968858131487887e-02,4.0143468064560629e-02,3.3900631347790283e-02
"COLCHESTER",2.8000000000000000e+01,5.5100521221146684e-02,4.5275380845850643e-02,4.3154761904761904e-02,3.8032508233294383e-02,3.3733923676997679e-02
"COLEBROOK",2.9000000000000000e+01,5.9929494712103411e-02,4.9353701527614570e-02,5.3380782918149468e-02,5.4347826086956520e-02,4.8076923076923080e-02
"COLUMBIA",3.0000000000000000e+01,5.6726596404215748e-02,4.8931557757819759e-02,4.2967542503863990e-02,3.7712519319938173e-02,3.4324241495556233e-02
"CORNWALL",3.1000000000000000e+01,3.6842105263157891e-02,3.5340314136125657e-02,2.7450980392156862e-02,3.1413612565445025e-02,2.8205128205128206e-02
"COVENTRY",3.2000000000000000e+01,5.5310880829015543e-02,4.7134578235672894e-02,4.2362002567394093e-02,3.8225517770391203e-02,3.3752061921076007e-02
"CROMWELL",3.3000000000000000e+01,5.7114102402817966e-02,4.8405395184671622e-02,4.3802070184296896e-02,4.1441667713173425e-02,3.5451254525028085e-02
"DANBURY",3.4000000000000000e+01,5.3225945759198479e-02,4.6743898803185822e-02,4.2269893268519494e-02,3.9352734358453004e-02,3.4067330086809233e-02
"DARIEN",3.5000000000000000e+01,5.0600141209696400e-02,4.3275399510089817e-02,4.2373859831428239e-02,3.6903794824184752e-02,3.4105311671851594e-02
"DEEP RIVER",3.6000000000000000e+01,5.2705061082024433e-02,4.5038705137227304e-02,3.7662794790566702e-02,3.4700315457413249e-02,3.2638888888888891e-02
"DERBY",3.7000000000000000e+01,7.9492415402567088e-02,6.7527891955372871e-02,6.2536613942589345e-02,5.9216384683882455e-02,5.1836492890995262e-02
"DURHAM",3.8000000000000000e+01,4.8209688743271709e-02,3.9680676215073964e-02,3.4853801169590644e-02,3.3419023136246784e-02,3.0134445989800650e-02
