Municipality,numbered,County_Identifier,Curr_Year_Taxes_Collected,Curr_Year_Adjusted_Taxes_Collectible,Total_Taxes_Collected,Total_Adjusted_Taxes_Collectible
"GOSHEN",55,,10360759.0000,10390240.0000,10384396.0000,10434570.0000
"GRANBY",56,,36218070.0000,36463368.0000,36501768.0000,36960491.0000
"GREENWICH",57,,368848327.0000,371138708.0000,370583864.0000,378201967.0000
"GRISWOLD",58,,19418711.0000,19818937.0000,19728162.0000,20542500.0000
"GROTON",59,,86440702.0000,87457827.0000,87588014.0000,88988381.0000
"GROTON (City of)",60,,6153259.0000,6188388.0000,6230581.0000,6295071.0000
"GUILFORD",61,,89525072.0000,90004270.0000,90060549.0000,90790969.0000
"HADDAM",62,,28665940.0000,28916621.0000,28881864.0000,30013495.0000
"HAMDEN",63,,168835571.0000,171637311.0000,170943068.0000,178088290.0000
"HAMPTON",64,,3921509.0000,3994183.0000,3962660.0000,4090858.0000
"HARTFORD",65,,269045000.0000,282448000.0000,276203000.0000,330093000.0000
"HARTLAND",66,,5234658.0000,5282484.0000,5355228.0000,5474460.0000
"HARWINTON",67,,16046115.0000,16116917.0000,16137520.0000,16228857.0000
"HEBRON",68,,27595496.0000,28166514.0000,27829644.0000,29915933.0000
"KENT",69,,11073778.0000,11144887.0000,11152444.0000,11276999.0000
"KILLINGLY",70,,33695039.0000,34291457.0000,34538663.0000,35789027.0000
"KILLINGWORTH",71,,18890623.0000,18985980.0000,18974784.0000,19100570.0000
"LEBANON",72,,18041046.0000,18498930.0000,18225345.0000,18829492.0000
"LEDYARD",73,,36166533.0000,36544091.0000,36531291.0000,37082593.0000
"LISBON",74,,8308054.0000,8395709.0000,8418467.0000,8580863.0000
"LITCHFIELD",75,,28658606.0000,28936650.0000,29082659.0000,29474845.0000
"LYME",76,,9486580.0000,9560562.0000,9587407.0000,9740816.0000
"MADISON",77,,78497100.0000,78890981.0000,78678388.0000,79567822.0000
"MANCHESTER",78,,144818000.0000,147524000.0000,147076000.0000,152144000.0000
"MANSFIELD",79,,32921904.0000,33299172.0000,33202390.0000,33792698.0000
"MARLBOROUGH",80,,20405343.0000,20541515.0000,20522189.0000,20751910.0000
"MERIDEN",81,,121577654.0000,123968662.0000,123850205.0000,131737361.0000
"MIDDLEBURY",82,,29623119.0000,29920971.0000,29958862.0000,30806467.0000
"MIDDLEFIELD",83,,13758145.0000,13978474.0000,13991168.0000,14372937.0000
"MIDDLETOWN",84,,118674000.0000,122057000.0000,120997000.0000,128660000.0000
"MILFORD",85,,178854000.0000,180987000.0000,181857000.0000,188378000.0000
"MONROE",86,,75961577.0000,76796399.0000,76496167.0000,77784570.0000
"MONTVILLE",87,,39214729.0000,40017994.0000,40496066.0000,42777723.0000
"MORRIS",88,,8706839.0000,8864740.0000,8802790.0000,9042266.0000
"NAUGATUCK",89,,73451935.0000,76544335.0000,77301988.0000,86567587.0000
"NEW BRITAIN",90,,119586000.0000,123770000.0000,122721000.0000,137239000.0000
"NEW CANAAN",91,,138231071.0000,138764406.0000,138631960.0000,139497781.0000
"NEW FAIRFIELD",92,,47069562.0000,47366920.0000,47342448.0000,47763545.0000
"NEW HARTFORD",93,,19865440.0000,20090033.0000,20189925.0000,20548535.0000
"NEW HAVEN",94,,247772318.0000,252804250.0000,250222687.0000,260666551.0000
"NEW LONDON",95,,55084705.0000,56138026.0000,55669411.0000,57655569.0000
"NEW MILFORD",96,,77282440.0000,78497860.0000,78297467.0000,80367684.0000
"NEWINGTON",97,,94774000.0000,95685000.0000,95228000.0000,96696000.0000
"NEWTOWN",98,,103526641.0000,104201004.0000,103957357.0000,105847099.0000
"NORFOLK",99,,6593174.0000,6686041.0000,6660360.0000,6817210.0000
"NORTH BRANFORD",100,,40978419.0000,41540837.0000,41349555.0000,42733737.0000
"NORTH CANAAN",101,,8785626.0000,9031182.0000,8991337.0000,9655885.0000
"NORTH HAVEN",102,,84454839.0000,85547698.0000,84918618.0000,87763860.0000
"NORTH STONINGTON",103,,14494097.0000,14690828.0000,15044168.0000,15366739.0000
"NORWALK",104,,309333318.0000,312751089.0000,313259613.0000,319020062.0000
"NORWICH",105,,71998000.0000,74348000.0000,73540000.0000,77708000.0000
"OLD LYME",106,,33862739.0000,34244763.0000,34240586.0000,34891535.0000
"OLD SAYBROOK",107,,43732460.0000,44068196.0000,44012511.0000,44477284.0000
"ORANGE",108,,64011829.0000,64408494.0000,64420712.0000,64826058.0000
"OXFORD",109,,32549269.0000,32984156.0000,33120388.0000,34579400.0000
"PLAINFIELD",110,,27403664.0000,28229003.0000,27912617.0000,29696984.0000
"PLAINVILLE",111,,45519823.0000,46236414.0000,46309307.0000,48427085.0000
"PLYMOUTH",112,,28209789.0000,28810622.0000,28732779.0000,29607654.0000
"POMFRET",113,,9043051.0000,9140135.0000,9108528.0000,9238866.0000
"PORTLAND",114,,26672831.0000,27020395.0000,27054351.0000,27778183.0000
"PRESTON",115,,10708747.0000,10866211.0000,10899618.0000,11134457.0000
"PROSPECT",116,,26344026.0000,26585606.0000,26556727.0000,26886422.0000
"PUTNAM",117,,12119531.0000,12350641.0000,12339585.0000,12904619.0000
"REDDING",118,,46188039.0000,46843282.0000,46551369.0000,49707108.0000
"RIDGEFIELD",119,,128348447.0000,129503845.0000,128984381.0000,132335292.0000
"ROCKY HILL",120,,65204254.0000,65812091.0000,65567296.0000,66591518.0000
"ROXBURY",121,,9923198.0000,10034052.0000,10010071.0000,10135102.0000
"SALEM",122,,11773958.0000,11926763.0000,11908238.0000,12140785.0000
"SALISBURY",123,,13852219.0000,13937182.0000,13973502.0000,14149396.0000
"SCOTLAND",124,,4303984.0000,4370387.0000,4381957.0000,4515094.0000
"SEYMOUR",125,,42757440.0000,43520906.0000,43423110.0000,44898756.0000
"SHARON",126,,10837441.0000,10956381.0000,11041639.0000,11615422.0000
"SHELTON",127,,102482093.0000,103546605.0000,103428079.0000,105944068.0000
"SHERMAN",128,,13855578.0000,13922298.0000,13890322.0000,13974387.0000
"SIMSBURY",129,,86727571.0000,87249802.0000,87206760.0000,88171101.0000
"SOMERS",130,,22246552.0000,22534860.0000,22441591.0000,22796195.0000
"SOUTH WINDSOR",131,,98275075.0000,99320302.0000,99180060.0000,102224497.0000
"SOUTHBURY",132,,61828636.0000,62390623.0000,62143172.0000,63211716.0000
"SOUTHINGTON",133,,119709000.0000,120887000.0000,120956000.0000,123062000.0000
"SPRAGUE",134,,5051670.0000,5169457.0000,5162390.0000,5362826.0000
"STAFFORD",135,,25825174.0000,26464325.0000,26301739.0000,27566258.0000
"STAMFORD",136,,517689846.0000,523219943.0000,522536888.0000,532610473.0000
"STERLING",137,,6917970.0000,7130350.0000,7018936.0000,7269986.0000
"STONINGTON",138,,60734560.0000,61137740.0000,61220305.0000,61696126.0000
"STRATFORD",139,,175058251.0000,179620498.0000,178078474.0000,186737780.0000
"SUFFIELD",140,,39820718.0000,40247137.0000,40094662.0000,41058803.0000
"THOMASTON",141,,19036595.0000,19320944.0000,19212871.0000,19667762.0000
"THOMPSON",142,,15809394.0000,16122016.0000,16023170.0000,16943006.0000
"TOLLAND",143,,43699966.0000,44114882.0000,44088482.0000,44725671.0000
"TORRINGTON",144,,88862864.0000,88862864.0000,88862864.0000,88862864.0000
"TRUMBULL",145,,152618250.0000,154240400.0000,154386818.0000,156806266.0000
"UNION",146,,2759449.0000,2785897.0000,2798568.0000,2862308.0000
"VERNON",147,,69399587.0000,70400141.0000,70008361.0000,71731782.0000
"VOLUNTOWN",148,,5833897.0000,6017720.0000,5923302.0000,6257837.0000
"WALLINGFORD",149,,119173000.0000,120824000.0000,120357000.0000,124662000.0000
"WARREN",150,,5229153.0000,5242043.0000,5247863.0000,5260753.0000
"WASHINGTON",151,,15964732.0000,16049565.0000,16084679.0000,16208862.0000
"WATERBURY",152,,237668000.0000,241359000.0000,239579000.0000,246120000.0000
"WATERFORD",153,,86952222.0000,87563306.0000,87567757.0000,89155014.0000
"WATERTOWN",154,,55844763.0000,56615022.0000,56583037.0000,57884476.0000
"WEST HARTFORD",155,,251419000.0000,252998000.0000,252997000.0000,255988000.0000
"WEST HAVEN",156,,93225076.0000,94716054.0000,94267907.0000,98032629.0000
"WESTBROOK",157,,27446120.0000,27621615.0000,27549012.0000,27878596.0000
"WESTON",158,,67841750.0000,68506047.0000,68534231.0000,70661003.0000
"WESTPORT",159,,183980240.0000,186200623.0000,185983298.0000,196062606.0000
"WETHERSFIELD",160,,87730706.0000,88497998.0000,88322452.0000,90409982.0000
"WILLINGTON",161,,13196061.0000,13272326.0000,13238250.0000,13337557.0000
"WILTON",162,,118661233.0000,119515512.0000,119318330.0000,121739951.0000
"WINCHESTER",163,,23190371.0000,23458587.0000,23484918.0000,23921016.0000
"WINDHAM",164,,36899177.0000,37542158.0000,37563381.0000,38848198.0000
"WINDSOR",165,,93054026.0000,93966005.0000,93730279.0000,95153310.0000
"WINDSOR LOCKS",166,,32664889.0000,33715958.0000,33639001.0000,35543152.0000
"WOLCOTT",167,,39796519.0000,40685972.0000,40375525.0000,42065081.0000
"WOODBRIDGE",168,,44270912.0000,44470066.0000,44381999.0000,44574939.0000
"WOODBURY",169,,30688339.0000,31175995.0000,31074081.0000,32619530.0000
"WOODSTOCK",170,,17166829.0000,17415057.0000,17391631.0000,17810194.0000
