Municipality,numbered,County_Identifier,Curr_Year_Taxes_Collected,Curr_Year_Adjusted_Taxes_Collectible,Total_Taxes_Collected,Total_Adjusted_Taxes_Collectible
"ANDOVER",1,,8269987.0000,8387889.0000,8339605.0000,8539431.0000
"ANSONIA",2,,32376814.0000,33881695.0000,32729148.0000,36330515.0000
"ASHFORD",3,,9991267.0000,10203872.0000,10116372.0000,10596771.0000
"AVON",4,,79919978.0000,80213899.0000,80070853.0000,80568248.0000
"BARKHAMSTED",5,,10053250.0000,10306423.0000,10317442.0000,11068923.0000
"BEACON FALLS",6,,16298708.0000,16579498.0000,16614102.0000,17355369.0000
"BERLIN",7,,69789191.0000,70660090.0000,70449198.0000,72269109.0000
"BETHANY",8,,20150028.0000,20306970.0000,20302340.0000,20520917.0000
"BETHEL",9,,63149000.0000,63747268.0000,63668046.0000,64465632.0000
"BETHLEHEM",10,,9351096.0000,9511074.0000,9472834.0000,9925457.0000
"BLOOMFIELD",11,,74917117.0000,76014160.0000,75788795.0000,77492400.0000
"BOLTON",12,,16985592.0000,17152040.0000,17163937.0000,17404717.0000
"BOZRAH",13,,6232871.0000,6369687.0000,6344359.0000,6664447.0000
"BRANFORD",14,,99419016.0000,101116747.0000,100653887.0000,105131673.0000
"BRIDGEPORT",15,,308782170.0000,313253555.0000,310275971.0000,341157516.0000
"BRIDGEWATER",16,,6302414.0000,6318755.0000,6312618.0000,6344877.0000
"BRISTOL",17,,138673000.0000,140626000.0000,140302000.0000,143798000.0000
"BROOKFIELD",18,,60420332.0000,60994116.0000,60839278.0000,61741621.0000
"BROOKLYN",19,,14831555.0000,15008416.0000,14991976.0000,15247698.0000
"BURLINGTON",20,,29442934.0000,29638973.0000,29615603.0000,29952578.0000
"CANAAN",21,,4219187.0000,4267744.0000,4273345.0000,4360821.0000
"CANTERBURY",22,,8725709.0000,8848336.0000,8826301.0000,9033880.0000
"CANTON",23,,33969161.0000,34189033.0000,34125909.0000,34741339.0000
"CHAPLIN",24,,6514230.0000,6607954.0000,6612859.0000,6783908.0000
"CHESHIRE",25,,88279271.0000,88471517.0000,88370205.0000,88683562.0000
"CHESTER",26,,11538351.0000,11662786.0000,11615626.0000,11872950.0000
"CLINTON",27,,45144035.0000,45455718.0000,45328639.0000,46090467.0000
"COLCHESTER",28,,38812483.0000,39244661.0000,39194673.0000,40232879.0000
"COLEBROOK",29,,5647738.0000,5703852.0000,5715716.0000,5821102.0000
"COLUMBIA",30,,13993050.0000,14098934.0000,14282996.0000,14470241.0000
"CORNWALL",31,,6192525.0000,6289405.0000,6253317.0000,6628247.0000
"COVENTRY",32,,30360549.0000,30712305.0000,30697682.0000,31295675.0000
"CROMWELL",33,,42891960.0000,43312188.0000,43190645.0000,44097160.0000
"DANBURY",34,,204970373.0000,207887930.0000,207870007.0000,215360042.0000
"DARIEN",35,,137308028.0000,137616625.0000,137831989.0000,138409733.0000
"DEEP RIVER",36,,14252761.0000,14481202.0000,14444165.0000,14811357.0000
"DERBY",37,,27701559.0000,28292141.0000,28173592.0000,29374956.0000
"DURHAM",38,,25630653.0000,25924400.0000,25831756.0000,26395787.0000
"EAST GRANBY",39,,18906293.0000,18991683.0000,19087166.0000,19369940.0000
"EAST HADDAM",40,,25241194.0000,25488028.0000,25587369.0000,25903542.0000
"EAST HAMPTON",41,,35251726.0000,35564525.0000,36308558.0000,37006804.0000
"EAST HARTFORD",42,,124562000.0000,127053000.0000,126818000.0000,130505000.0000
"EAST HAVEN",43,,60571894.0000,61771861.0000,61673080.0000,64817721.0000
"EAST LYME",44,,55691728.0000,56325303.0000,56180432.0000,57943417.0000
"EAST WINDSOR",45,,31622734.0000,31998454.0000,31833612.0000,32880638.0000
"EASTFORD",46,,3744366.0000,3788192.0000,3784086.0000,3852807.0000
"EASTON",47,,42038082.0000,42568524.0000,42582256.0000,43864624.0000
"ELLINGTON",48,,43133192.0000,43371144.0000,43406471.0000,43852454.0000
"ENFIELD",49,,87371691.0000,89206850.0000,88675454.0000,94400790.0000
"ESSEX",50,,22803848.0000,23023027.0000,23024097.0000,23526362.0000
"FAIRFIELD",51,,273905000.0000,276797000.0000,276567000.0000,285198000.0000
"FARMINGTON",52,,95930106.0000,96204439.0000,96134914.0000,96655799.0000
"FRANKLIN",53,,5177101.0000,5260656.0000,5258134.0000,5381967.0000
"GLASTONBURY",54,,146537634.0000,147299438.0000,147096644.0000,148291526.0000
