MUNICIPALITY,NUMBERED,TOWN CODE,Net Grand List - 2017 GL Year
"ANDOVER",1.0000000000000000e+00,1.0000000000000000e+00,2.5971595700000000e+08
"ANSONIA",2.0000000000000000e+00,2.0000000000000000e+00,9.8215212100000000e+08
"ASHFORD",3.0000000000000000e+00,3.0000000000000000e+00,3.0125222400000000e+08
"AVON",4.0000000000000000e+00,4.0000000000000000e+00,2.6155855600000000e+09
"BARKHAMSTED",5.0000000000000000e+00,5.0000000000000000e+00,3.5247636000000000e+08
"BEACON FALLS",6.0000000000000000e+00,6.0000000000000000e+00,4.7295935600000000e+08
"BERLIN",7.0000000000000000e+00,7.0000000000000000e+00,2.3250848730000000e+09
"BETHANY",8.0000000000000000e+00,8.0000000000000000e+00,5.5794390000000000e+08
"BETHEL",9.0000000000000000e+00,9.0000000000000000e+00,2.0059569250000000e+09
"BETHLEHEM",1.0000000000000000e+01,1.0000000000000000e+01,3.7733630600000000e+08
"BLOOMFIELD",1.1000000000000000e+01,1.1000000000000000e+01,2.1168632020000000e+09
"BOLTON",1.2000000000000000e+01,1.2000000000000000e+01,4.3501646800000000e+08
"BOZRAH",1.3000000000000000e+01,1.3000000000000000e+01,2.2478778000000000e+08
"BRANFORD",1.4000000000000000e+01,1.4000000000000000e+01,3.5699912550000000e+09
"BRIDGEPORT",1.5000000000000000e+01,1.5000000000000000e+01,6.0646632140000000e+09
"BRIDGEWATER",1.6000000000000000e+01,1.6000000000000000e+01,3.7030943500000000e+08
"BRISTOL",1.7000000000000000e+01,1.7000000000000000e+01,3.9169634850000000e+09
"BROOKFIELD",1.8000000000000000e+01,1.8000000000000000e+01,2.2427244980000000e+09
"BROOKLYN",1.9000000000000000e+01,1.9000000000000000e+01,5.5234090700000000e+08
"BURLINGTON",2.0000000000000000e+01,2.0000000000000000e+01,9.3213905300000000e+08
"CANAAN",2.1000000000000000e+01,2.1000000000000000e+01,1.7674168000000000e+08
"CANTERBURY",2.2000000000000000e+01,2.2000000000000000e+01,3.6173646800000000e+08
"CANTON",2.3000000000000000e+01,2.3000000000000000e+01,1.1217669720000000e+09
"CHAPLIN",2.4000000000000000e+01,2.4000000000000000e+01,1.8996579000000000e+08
"CHESHIRE",2.5000000000000000e+01,2.5000000000000000e+01,2.7788719060000000e+09
"CHESTER",2.6000000000000000e+01,2.6000000000000000e+01,4.4429597100000000e+08
"CLINTON",2.7000000000000000e+01,2.7000000000000000e+01,1.5330115010000000e+09
"COLCHESTER",2.8000000000000000e+01,2.8000000000000000e+01,1.2131639350000000e+09
"COLEBROOK",2.9000000000000000e+01,2.9000000000000000e+01,1.8614391700000000e+08
"COLUMBIA",3.0000000000000000e+01,3.0000000000000000e+01,4.8712616000000000e+08
"CORNWALL",3.1000000000000000e+01,3.1000000000000000e+01,3.8980920000000000e+08
"COVENTRY",3.2000000000000000e+01,3.2000000000000000e+01,9.6595183500000000e+08
"CROMWELL",3.3000000000000000e+01,3.3000000000000000e+01,1.4421035760000000e+09
"DANBURY",3.4000000000000000e+01,3.4000000000000000e+01,7.7337434280000000e+09
"DARIEN",3.5000000000000000e+01,3.5000000000000000e+01,8.5899990250000000e+09
"DEEP RIVER",3.6000000000000000e+01,3.6000000000000000e+01,5.0327914500000000e+08
