MUNICIPALITY,PER CAPITA INCOME - 2018 ESTIMATE
"ANDOVER",41260.0000
"ANSONIA",28009.0000
"ASHFORD",36212.0000
"AVON",72594.0000
"BARKHAMSTED",44722.0000
"BEACON FALLS",43137.0000
"BERLIN",48602.0000
"BETHANY",55103.0000
"BETHEL",46066.0000
"BETHLEHEM",47845.0000
"BLOOMFIELD",43010.0000
"BOLTON",46413.0000
"BOZRAH",38732.0000
"BRANFORD",49036.0000
"BRIDGEPORT",23348.0000
"BRIDGEWATER",70043.0000
"BRISTOL",34515.0000
"BROOKFIELD",49856.0000
"BROOKLYN",33827.0000
"BURLINGTON",53189.0000
"CANAAN",57318.0000
"CANTERBURY",38051.0000
"CANTON",50526.0000
"CHAPLIN",34773.0000
"CHESHIRE",48968.0000
"CHESTER",43551.0000
"CLINTON",41529.0000
"COLCHESTER",44990.0000
"COLEBROOK",40893.0000
"COLUMBIA",47985.0000
"CORNWALL",55647.0000
"COVENTRY",43012.0000
"CROMWELL",48862.0000
"DANBURY",34512.0000
"DARIEN",112096.0000
"DEEP RIVER",45081.0000
"DERBY",30705.0000
"DURHAM",55566.0000
"EAST GRANBY",43299.0000
"EAST HADDAM",45802.0000
"EAST HAMPTON",44081.0000
"EAST HARTFORD",28011.0000
"EAST HAVEN",33484.0000
"EAST LYME",45316.0000
"EAST WINDSOR",38384.0000
"EASTFORD",40678.0000
"EASTON",69652.0000
"ELLINGTON",49825.0000
"ENFIELD",34592.0000
"ESSEX",55708.0000
"FAIRFIELD",65487.0000
"FARMINGTON",56571.0000
"FRANKLIN",43095.0000
"GLASTONBURY",60080.0000
"GOSHEN",44846.0000
"GRANBY",54714.0000
"GREENWICH",98467.0000
"GRISWOLD",33009.0000
"GROTON",36151.0000
"GROTON (City of)",
"GUILFORD",60834.0000
"HADDAM",49564.0000
"HAMDEN",37920.0000
"HAMPTON",38900.0000
"HARTFORD",20066.0000
"HARTLAND",44411.0000
"HARWINTON",44167.0000
"HEBRON",48654.0000
"KENT",42983.0000
"KILLINGLY",30883.0000
"KILLINGWORTH",49316.0000
"LEBANON",41739.0000
"LEDYARD",43735.0000
"LISBON",42479.0000
"LITCHFIELD",46891.0000
"LYME",66526.0000
"MADISON",54813.0000
"MANCHESTER",35940.0000
"MANSFIELD",22104.0000
"MARLBOROUGH",51397.0000
"MERIDEN",33452.0000
"MIDDLEBURY",48721.0000
"MIDDLEFIELD",46654.0000
"MIDDLETOWN",37412.0000
"MILFORD",47358.0000
"MONROE",48741.0000
"MONTVILLE",32398.0000
"MORRIS",50277.0000
"NAUGATUCK",36715.0000
"NEW BRITAIN",24052.0000
"NEW CANAAN",119180.0000
"NEW FAIRFIELD",51244.0000
"NEW HARTFORD",44846.0000
"NEW HAVEN",25818.0000
"NEW LONDON",24356.0000
"NEW MILFORD",42708.0000
"NEWINGTON",39117.0000
"NEWTOWN",55985.0000
"NORFOLK",48357.0000
"NORTH BRANFORD",47256.0000
"NORTH CANAAN",35008.0000
"NORTH HAVEN",47629.0000
"NORTH STONINGTON",37784.0000
"NORWALK",47322.0000
"NORWICH",29957.0000
"OLD LYME",56674.0000
"OLD SAYBROOK",48264.0000
"ORANGE",53267.0000
"OXFORD",43991.0000
"PLAINFIELD",29721.0000
"PLAINVILLE",37022.0000
"PLYMOUTH",38455.0000
"POMFRET",41442.0000
"PORTLAND",47858.0000
"PRESTON",37771.0000
"PROSPECT",41065.0000
"PUTNAM",32395.0000
"REDDING",65491.0000
"RIDGEFIELD",80859.0000
"ROCKY HILL",45689.0000
"ROXBURY",88797.0000
"SALEM",51837.0000
"SALISBURY",59895.0000
"SCOTLAND",37743.0000
"SEYMOUR",36420.0000
"SHARON",70183.0000
"SHELTON",46952.0000
"SHERMAN",73827.0000
"SIMSBURY",60453.0000
"SOMERS",43387.0000
"SOUTH WINDSOR",47189.0000
"SOUTHBURY",48943.0000
"SOUTHINGTON",42269.0000
"SPRAGUE",33265.0000
"STAFFORD",36477.0000
"STAMFORD",55059.0000
"STERLING",31969.0000
"STONINGTON",50209.0000
"STRATFORD",37485.0000
"SUFFIELD",48749.0000
"THOMASTON",34350.0000
"THOMPSON",34836.0000
"TOLLAND",51773.0000
"TORRINGTON",31789.0000
"TRUMBULL",51194.0000
"UNION",48675.0000
"VERNON",35873.0000
"VOLUNTOWN",33975.0000
"WALLINGFORD",42096.0000
"WARREN",59002.0000
"WASHINGTON",73969.0000
"WATERBURY",22751.0000
"WATERFORD",43125.0000
"WATERTOWN",40009.0000
"WEST HARTFORD",54601.0000
"WEST HAVEN",28721.0000
"WESTBROOK",62714.0000
"WESTON",99698.0000
"WESTPORT",110963.0000
"WETHERSFIELD",43950.0000
"WILLINGTON",40238.0000
"WILTON",85151.0000
"WINCHESTER",33560.0000
"WINDHAM",20064.0000
"WINDSOR",39725.0000
"WINDSOR LOCKS",37034.0000
"WOLCOTT",36857.0000
"WOODBRIDGE",55439.0000
"WOODBURY",49878.0000
"WOODSTOCK",40615.0000
