MUNICIPALITY,Numbered,2017 Labor Force,2017 Unemployed,2017 Unemp Rate,2016 Labor Force,2016 Unemployed,2016 Unemp Rate,2015 Labor Force,2015 Unemployed,2015 Unemp Rate,2014 Labor Force,2014 Unemployed,2014 Unemp Rate
"ANDOVER",1.0000000000000000e+00,1.9370000000000000e+03,7.2000000000000000e+01,3.7170882808466699e-02,1.9390000000000000e+03,8.6000000000000000e+01,4.4352759154203197e-02,1.9340000000000000e+03,9.2000000000000000e+01,4.7569803516028956e-02,1.9370000000000000e+03,1.1200000000000000e+02,5.7821373257614869e-02
"ANSONIA",2.0000000000000000e+00,9.2890000000000000e+03,6.0900000000000000e+02,6.5561416729464958e-02,9.3300000000000000e+03,6.3600000000000000e+02,6.8167202572347263e-02,9.3690000000000000e+03,7.3300000000000000e+02,7.8236738179101289e-02,9.4120000000000000e+03,8.3000000000000000e+02,8.8185295367615810e-02
"ASHFORD",3.0000000000000000e+00,2.5700000000000000e+03,1.1300000000000000e+02,4.3968871595330743e-02,2.5560000000000000e+03,1.2300000000000000e+02,4.8122065727699531e-02,2.5420000000000000e+03,1.2200000000000000e+02,4.7993705743509051e-02,2.5380000000000000e+03,1.4300000000000000e+02,5.6343577620173363e-02
"AVON",4.0000000000000000e+00,9.4230000000000000e+03,3.1400000000000000e+02,3.3322721001804098e-02,9.3730000000000000e+03,3.3000000000000000e+02,3.5207510935666278e-02,9.3360000000000000e+03,3.4600000000000000e+02,3.7060839760068555e-02,9.2970000000000000e+03,4.1800000000000000e+02,4.4960740023663549e-02
"BARKHAMSTED",5.0000000000000000e+00,2.3120000000000000e+03,1.0600000000000000e+02,4.5847750865051905e-02,2.3060000000000000e+03,1.0400000000000000e+02,4.5099739809193407e-02,2.3030000000000000e+03,1.1100000000000000e+02,4.8198002605297441e-02,2.2960000000000000e+03,1.2300000000000000e+02,5.3571428571428568e-02
"BEACON FALLS",6.0000000000000000e+00,3.5060000000000000e+03,1.5300000000000000e+02,4.3639475185396466e-02,3.4750000000000000e+03,1.7500000000000000e+02,5.0359712230215826e-02,3.4460000000000000e+03,1.8700000000000000e+02,5.4265815438189202e-02,3.4490000000000000e+03,2.3400000000000000e+02,6.7845752391997680e-02
"BERLIN",7.0000000000000000e+00,1.1774000000000000e+04,4.5500000000000000e+02,3.8644470868014272e-02,1.1722000000000000e+04,4.9600000000000000e+02,4.2313598362054256e-02,1.1724000000000000e+04,5.6200000000000000e+02,4.7935858068918459e-02,1.1685000000000000e+04,6.3900000000000000e+02,5.4685494223363287e-02
"BETHANY",8.0000000000000000e+00,3.1120000000000000e+03,1.2000000000000000e+02,3.8560411311053984e-02,3.0870000000000000e+03,1.2400000000000000e+02,4.0168448331713638e-02,3.0750000000000000e+03,1.3700000000000000e+02,4.4552845528455287e-02,3.0980000000000000e+03,1.8100000000000000e+02,5.8424790187217558e-02
"BETHEL",9.0000000000000000e+00,1.0869000000000000e+04,4.2600000000000000e+02,3.9194038089980676e-02,1.0837000000000000e+04,4.6500000000000000e+02,4.2908554027867488e-02,1.0734000000000000e+04,4.9900000000000000e+02,4.6487795789081424e-02,1.0619000000000000e+04,5.7100000000000000e+02,5.3771541576419626e-02
"BETHLEHEM",1.0000000000000000e+01,1.9610000000000000e+03,9.8000000000000000e+01,4.9974502804691484e-02,1.9610000000000000e+03,1.0200000000000000e+02,5.2014278429372771e-02,1.9570000000000000e+03,1.0200000000000000e+02,5.2120592743995914e-02,1.9780000000000000e+03,1.2600000000000000e+02,6.3700707785642061e-02
"BLOOMFIELD",1.1000000000000000e+01,1.1894000000000000e+04,6.2000000000000000e+02,5.2127122919118883e-02,1.1404000000000000e+04,6.2000000000000000e+02,5.4366888810943530e-02,1.1452000000000000e+04,7.0400000000000000e+02,6.1473978344393991e-02,1.1427000000000000e+04,7.8000000000000000e+02,6.8259385665529013e-02
"BOLTON",1.2000000000000000e+01,3.1740000000000000e+03,1.1100000000000000e+02,3.4971644612476371e-02,3.1680000000000000e+03,1.2100000000000000e+02,3.8194444444444448e-02,3.1640000000000000e+03,1.3200000000000000e+02,4.1719342604298354e-02,3.1380000000000000e+03,1.4200000000000000e+02,4.5251752708731677e-02
"BOZRAH",1.3000000000000000e+01,1.4480000000000000e+03,6.2000000000000000e+01,4.2817679558011051e-02,1.4310000000000000e+03,6.6000000000000000e+01,4.6121593291404611e-02,1.4340000000000000e+03,7.7000000000000000e+01,5.3695955369595538e-02,1.4470000000000000e+03,9.5000000000000000e+01,6.5653075328265378e-02
"BRANFORD",1.4000000000000000e+01,1.6070000000000000e+04,6.7900000000000000e+02,4.2252644679527072e-02,1.5966000000000000e+04,7.4200000000000000e+02,4.6473756733057744e-02,1.5936000000000000e+04,8.4100000000000000e+02,5.2773594377510037e-02,1.5922000000000000e+04,9.5000000000000000e+02,5.9665871121718374e-02
"BRIDGEPORT",1.5000000000000000e+01,6.9620000000000000e+04,4.7990000000000000e+03,6.8931341568514798e-02,7.0241000000000000e+04,5.3200000000000000e+03,7.5739240614455944e-02,7.0799000000000000e+04,5.9840000000000000e+03,8.4520967810279804e-02,7.0926000000000000e+04,6.8840000000000000e+03,9.7058906465894032e-02
"BRIDGEWATER",1.6000000000000000e+01,8.3600000000000000e+02,3.2000000000000000e+01,3.8277511961722487e-02,8.3800000000000000e+02,3.0000000000000000e+01,3.5799522673031027e-02,8.4300000000000000e+02,3.6000000000000000e+01,4.2704626334519574e-02,8.5800000000000000e+02,5.2000000000000000e+01,6.0606060606060608e-02
"BRISTOL",1.7000000000000000e+01,3.3048000000000000e+04,1.7300000000000000e+03,5.2348099733720649e-02,3.2893000000000000e+04,1.8630000000000000e+03,5.6638190496458213e-02,3.3069000000000000e+04,2.1500000000000000e+03,6.5015573497837847e-02,3.2987000000000000e+04,2.4020000000000000e+03,7.2816564101009493e-02
"BROOKFIELD",1.8000000000000000e+01,9.3150000000000000e+03,3.6100000000000000e+02,3.8754696725711218e-02,9.3390000000000000e+03,3.8500000000000000e+02,4.1224970553592463e-02,9.3080000000000000e+03,4.0400000000000000e+02,4.3403523850451223e-02,9.2470000000000000e+03,4.8000000000000000e+02,5.1908727154752893e-02
"BROOKLYN",1.9000000000000000e+01,4.1070000000000000e+03,1.9400000000000000e+02,4.7236425614803991e-02,4.0890000000000000e+03,2.1100000000000000e+02,5.1601858645145514e-02,4.0780000000000000e+03,2.3800000000000000e+02,5.8361942128494361e-02,4.0950000000000000e+03,2.9900000000000000e+02,7.3015873015873020e-02
"BURLINGTON",2.0000000000000000e+01,5.6510000000000000e+03,2.0300000000000000e+02,3.5922845514068304e-02,5.6280000000000000e+03,2.3800000000000000e+02,4.2288557213930350e-02,5.6010000000000000e+03,2.5200000000000000e+02,4.4991965720407069e-02,5.5200000000000000e+03,2.6600000000000000e+02,4.8188405797101451e-02
"CANAAN",2.1000000000000000e+01,6.3500000000000000e+02,1.9000000000000000e+01,2.9921259842519685e-02,7.0700000000000000e+02,2.1000000000000000e+01,2.9702970297029702e-02,7.0200000000000000e+02,2.2000000000000000e+01,3.1339031339031341e-02,7.0800000000000000e+02,3.2000000000000000e+01,4.5197740112994350e-02
"CANTERBURY",2.2000000000000000e+01,2.9130000000000000e+03,1.3100000000000000e+02,4.4970820460006868e-02,2.8720000000000000e+03,1.5300000000000000e+02,5.3272980501392758e-02,2.8580000000000000e+03,1.6900000000000000e+02,5.9132260321903427e-02,2.8630000000000000e+03,2.0500000000000000e+02,7.1603213412504363e-02
