Municipality,Mill Rate FY 2019-20,Mill Rate - Real & Personal Property - FY 2019-20,Mill Rate - Motor Vehicle - FY 2019-20,Comments
"WINDHAM",3.6439999999999998e+01,,,
"ANDOVER",3.4990000000000002e+01,,,
"ANSONIA",3.7799999999999997e+01,,,
"ASHFORD",3.5460999999999999e+01,,,
"AVON",3.2899999999999999e+01,,,
"BARKHAMSTED",3.0969999999999999e+01,,,
"BEACON FALLS",3.5899999999999999e+01,,,
"BERLIN",3.3930000000000000e+01,,,
"BETHANY",3.6899999999999999e+01,,,
"BETHEL",,3.3409999999999997e+01,3.2000000000000000e+01,
"BETHLEHEM",2.6789999999999999e+01,,,
"BLOOMFIELD",3.7460000000000001e+01,,,
"BOLTON",3.9000000000000000e+01,,,
"BOZRAH",2.7500000000000000e+01,,,
"BRANFORD",2.9070000000000000e+01,,,
"BRIDGEPORT",,5.3990000000000002e+01,4.5000000000000000e+01,
"BRIDGEWATER",1.7500000000000000e+01,,,
"BRISTOL",3.8049999999999997e+01,,,
"BROOKFIELD",2.9140000000000001e+01,,,
"BROOKLYN",2.8920000000000002e+01,,,
"BURLINGTON",3.3000000000000000e+01,,,
"CANAAN",2.4600000000000001e+01,,,
"CANTERBURY",2.6399999999999999e+01,,,
"CANTON",3.2030000000000001e+01,,,
"CHAPLIN",3.2500000000000000e+01,,,
"CHESHIRE",3.3219999999999999e+01,,,
"CHESTER",2.8789999999999999e+01,,,
"CLINTON",3.1250000000000000e+01,,,
"COLCHESTER",3.2840000000000003e+01,,,
"COLEBROOK",3.0899999999999999e+01,,,
"COLUMBIA",2.9329999999999998e+01,,,
"CORNWALL",1.6699999999999999e+01,,,
"COVENTRY",3.2200000000000003e+01,,,
"CROMWELL",3.0329999999999998e+01,,,
"DANBURY",2.7600000000000001e+01,,,
"DARIEN",1.6469999999999999e+01,,,
"DEEP RIVER",2.9420000000000002e+01,,,
"DERBY",4.1869999999999997e+01,,,
"DURHAM",3.5890000000000001e+01,,,
"EAST GRANBY",3.2799999999999997e+01,,,
"EAST HADDAM",3.0440000000000001e+01,,,
