"Town","Gross Residential Grand List","Gross Commercial Grand List","Gross Industrial Grand List","Total Gross Grand List","Year"
"Andover",97055070,3066240,888240,125343342,"SFY 1996-1997"
"Ansonia",411258551,59844530,13087260,576488505,"SFY 1996-1997"
"Ashford",113939515,7188150,460930,146753854,"SFY 1996-1997"
"Avon",1059144050,211322020,20990810,1458146170,"SFY 1996-1997"
"Barkhamsted",162527760,11605070,2875630,227157680,"SFY 1996-1997"
"Beacon Falls",144349370,8889460,18569510,214120746,"SFY 1996-1997"
"Berlin",545803371,98945950,93702300,1006170385,"SFY 1996-1997"
"Bethany",251410520,18370600,3111530,307256358,"SFY 1996-1997"
"Bethel",811148720,103503465,134769220,1206319231,"SFY 1996-1997"
"Bethlehem",209799096,6891560,0,237024882,"SFY 1996-1997"
"Bloomfield",725337730,290407332,152890480,1411169210,"SFY 1996-1997"
"Bolton",229236733,12234870,3605350,277675690,"SFY 1996-1997"
"Bozrah",69333274,10815210,7895940,126946751,"SFY 1996-1997"
"Branford",1317639600,279742590,68376500,1939005495,"SFY 1996-1997"
"Bridgeport",1217513666,454806073,142187841,2427711795,"SFY 1996-1997"
"Bridgewater",159320310,1930590,1083220,178115298,"SFY 1996-1997"
"Bristol",1721409780,319233450,190216050,2674099811,"SFY 1996-1997"
"Brookfield",706151500,115377860,35077550,1030795941,"SFY 1996-1997"
"Brooklyn",196602490,24936490,1790460,274174805,"SFY 1996-1997"
"Burlington",431656330,11329570,2523570,535947868,"SFY 1996-1997"
"Canaan",47121654,3356424,371452,72441477,"SFY 1996-1997"
"Canterbury",154774340,6145860,1306200,191395914,"SFY 1996-1997"
"Canton",480829090,64568800,3193870,622998953,"SFY 1996-1997"
"Chaplin",89001725,8350240,0,120725462,"SFY 1996-1997"
"Cheshire",1122104230,129833800,119105320,1637225420,"SFY 1996-1997"
"Chester",190862910,42584510,12464600,290771350,"SFY 1996-1997"
"Clinton",521934410,61073000,24086240,718047834,"SFY 1996-1997"
"Colchester",418332095,52201400,7687890,584792229,"SFY 1996-1997"
"Colebrook",103286605,1656635,0,115222187,"SFY 1996-1997"
"Columbia",209486210,13751360,0,257154450,"SFY 1996-1997"
"Cornwall",151030345,7455590,0,173715965,"SFY 1996-1997"
"Coventry",381240455,12427660,1630510,477582475,"SFY 1996-1997"
"Cromwell",491511770,107745674,28255460,746820046,"SFY 1996-1997"
"Danbury",2528952910,1121173700,227187700,4595612740,"SFY 1996-1997"
"Darien",2332899319,259883220,0,2844286977,"SFY 1996-1997"
"Deep River",178809538,18275710,7508900,249591076,"SFY 1996-1997"
"Derby",303962715,55836180,17615860,458720570,"SFY 1996-1997"
"Durham",268227410,13345100,12742425,351087915,"SFY 1996-1997"
"Eastford",39407280,2672990,542080,56756082,"SFY 1996-1997"
"East Granby",227329240,18362340,48822050,377802249,"SFY 1996-1997"
"East Haddam",314653847,21567050,4002700,396241982,"SFY 1996-1997"
"East Hampton",455851090,32192670,6277600,586292865,"SFY 1996-1997"
"East Hartford",991356480,316763270,263239530,2105606125,"SFY 1996-1997"
"East Haven",703060252,115364026,24499220,969694890,"SFY 1996-1997"
"East Lyme",641268500,76243720,5952030,842810868,"SFY 1996-1997"
"Easton",557943840,26590560,39210,671183540,"SFY 1996-1997"
"East Windsor",230147240,92851060,63000590,491888050,"SFY 1996-1997"
"Ellington",399964775,49347871,4362260,548965125,"SFY 1996-1997"
"Enfield",1018928970,208251530,167913010,1740271855,"SFY 1996-1997"
"Essex",437196010,77579020,28366660,627523038,"SFY 1996-1997"
"Fairfield",3255740070,446604390,57032260,4237774959,"SFY 1996-1997"
"Farmington",1056361720,341438330,64901920,1750976389,"SFY 1996-1997"
"Franklin",74517490,20197520,5639920,130146500,"SFY 1996-1997"
"Glastonbury",1269800640,232086790,19841210,1828875460,"SFY 1996-1997"
"Goshen",153802466,5981149,919070,202847345,"SFY 1996-1997"
"Granby",476028220,31782660,4549970,581204238,"SFY 1996-1997"
"Greenwich",7538961790,1166258850,21456730,9664705160,"SFY 1996-1997"
"Griswold",226766050,29563280,9704100,337034694,"SFY 1996-1997"
"Groton",818831180,248994530,322788790,2023514205,"SFY 1996-1997"
"Guilford",1014418931,74682705,16606735,1295393580,"SFY 1996-1997"
"Haddam",346146030,16689760,3181480,735355908,"SFY 1996-1997"
"Hamden",1583987054,418070470,66140660,2408534224,"SFY 1996-1997"
"Hampton",62314280,551630,68370,77227422,"SFY 1996-1997"
"Hartford",1520974320,2777626630,283909130,5809759515,"SFY 1996-1997"
"Hartland",83390300,4616640,0,116734190,"SFY 1996-1997"
"Harwinton",302044610,11933520,2607390,377819262,"SFY 1996-1997"
"Hebron",281323950,12662580,427460,350931734,"SFY 1996-1997"
"Kent",220311050,26196390,1203550,273035160,"SFY 1996-1997"
"Killingly",297398182,67292362,51415760,566972365,"SFY 1996-1997"
"Killingworth",250078846,6765990,526440,303959766,"SFY 1996-1997"
"Lebanon",275172825,9613920,1219700,347064047,"SFY 1996-1997"
"Ledyard",405981800,34380120,11337480,577950012,"SFY 1996-1997"
"Lisbon",109537500,9042080,0,174152600,"SFY 1996-1997"
"Litchfield",527152077,69605725,11800525,691284554,"SFY 1996-1997"
"Lyme",238758310,2061030,0,278992530,"SFY 1996-1997"
"Madison",1188050360,103872690,6548010,1438198931,"SFY 1996-1997"
"Manchester",1539635130,536456010,173934160,2714863270,"SFY 1996-1997"
"Mansfield",343425050,71275225,871990,484102141,"SFY 1996-1997"
"Marlborough",214162440,13526820,2883430,267398341,"SFY 1996-1997"
"Meriden",1128318700,275034590,60174860,1863967580,"SFY 1996-1997"
"Middlebury",305414490,28263860,39436000,449318048,"SFY 1996-1997"
"Middlefield",156385800,11604300,11498180,218452530,"SFY 1996-1997"
"Middletown",999198656,548896090,132104220,2263847486,"SFY 1996-1997"
"Milford",1761491101,453710110,184769060,2950721581,"SFY 1996-1997"
"Monroe",981654320,80046520,26299980,1264980410,"SFY 1996-1997"
"Montville",414633221,47852730,35138020,779107173,"SFY 1996-1997"
"Morris",138577735,7868910,2099300,169325755,"SFY 1996-1997"
"Naugatuck",309934770,47859630,36252730,597654900,"SFY 1996-1997"
"New Britain",857497810,251975730,52890980,1510449088,"SFY 1996-1997"
"New Canaan",2502905100,176084150,1948730,2903280990,"SFY 1996-1997"
"New Fairfield",725257160,17593050,2966990,859471380,"SFY 1996-1997"
"New Hartford",326780470,14567845,20646950,423051089,"SFY 1996-1997"
"New Haven",1735860410,1302622830,182415440,3990012038,"SFY 1996-1997"
"Newington",987554907,240371220,95520750,1596069058,"SFY 1996-1997"
"New London",489246800,315837480,8049300,938471743,"SFY 1996-1997"
"New Milford",891826280,136752970,65757940,1451044100,"SFY 1996-1997"
"Newtown",1128407566,104303680,42285060,1486615376,"SFY 1996-1997"
"Norfolk",135015303,9009580,392590,170996543,"SFY 1996-1997"
"North Branford",440499010,51596020,27854820,627099321,"SFY 1996-1997"
"North Canaan",93955020,22372830,13622770,182170240,"SFY 1996-1997"
"North Haven",932398654,278816057,264031590,1940737584,"SFY 1996-1997"
"North Stonington",204240879,21037500,8422120,292843206,"SFY 1996-1997"
"Norwalk",1808268531,685585048,200447164,3427158587,"SFY 1996-1997"
"Norwich",842106687,293789895,61699720,1427542888,"SFY 1996-1997"
"Old Lyme",655734534,35806320,8383720,780392865,"SFY 1996-1997"
"Old Saybrook",839908896,147100620,31622865,1163397503,"SFY 1996-1997"
"Orange",749151995,206482900,59403120,1165442860,"SFY 1996-1997"
"Oxford",335636751,9688710,16160129,446258524,"SFY 1996-1997"
"Plainfield",292863770,57124650,33793710,496506770,"SFY 1996-1997"
"Plainville",481551320,125972810,61152880,846656950,"SFY 1996-1997"
"Plymouth",308996190,22579060,18344920,426261884,"SFY 1996-1997"
"Pomfret",119962425,14632360,3638330,168825834,"SFY 1996-1997"
"Portland",296902010,39809790,20970280,431191214,"SFY 1996-1997"
"Preston",151273824,7850570,1093770,200223728,"SFY 1996-1997"
"Prospect",270674367,18606710,8853380,358865043,"SFY 1996-1997"
"Putnam",205934158,60620981,30283350,374871459,"SFY 1996-1997"
"Redding",816539774,28337550,9657292,931142089,"SFY 1996-1997"
"Ridgefield",1714612917,134581630,168560904,2266915285,"SFY 1996-1997"
"Rocky Hill",675708820,300147510,63067330,1230752060,"SFY 1996-1997"
"Roxbury",238571980,1411400,12870,258112452,"SFY 1996-1997"
"Salem",132191020,10286090,506730,178491400,"SFY 1996-1997"
"Salisbury",404827860,32579890,1856170,485098525,"SFY 1996-1997"
"Scotland",56258245,1674080,0,69876285,"SFY 1996-1997"
"Seymour",433562006,43837800,27416200,616328705,"SFY 1996-1997"
"Sharon",227252150,12999800,0,302431166,"SFY 1996-1997"
"Shelton",1355788370,254562840,114795090,2168555170,"SFY 1996-1997"
"Sherman",307504360,2407550,0,341682010,"SFY 1996-1997"
"Simsbury",992673660,137985618,12169960,1350209338,"SFY 1996-1997"
"Somers",307576030,17297170,7700480,406695992,"SFY 1996-1997"
"Southbury",1046461930,282127817,3727150,1565395710,"SFY 1996-1997"
"Southington",1286799509,241013058,69244560,1909145827,"SFY 1996-1997"
"South Windsor",846082540,56227740,129646360,1265109019,"SFY 1996-1997"
"Sprague",73987433,7036940,10010300,130459820,"SFY 1996-1997"
"Stafford",328417540,41037490,20321340,495842395,"SFY 1996-1997"
"Stamford",4833584880,2260791850,188742980,8488480837,"SFY 1996-1997"
"Sterling",71106500,2955500,8411120,131989290,"SFY 1996-1997"
"Stonington",778058830,170123450,26527410,1123905770,"SFY 1996-1997"
"Stratford",1687029945,277106350,231921480,2724659195,"SFY 1996-1997"
"Suffield",565247690,37379720,31015040,735134815,"SFY 1996-1997"
"Thomaston",239470827,30073529,30775880,371359656,"SFY 1996-1997"
"Thompson",261217730,16642070,5913510,348004992,"SFY 1996-1997"
"Tolland",435058710,19829190,14816450,556993529,"SFY 1996-1997"
"Torrington",1107244219,210299777,45689950,1659650366,"SFY 1996-1997"
