MUNICIPALITY,NUMBERED,TOWN CODE,RESIDENTIAL,COMMERCIAL,INDUSTRIAL,PUBLIC UTILITY,APARTMENT,TOTAL REAL,REAL EXEMPTIONS,TOTAL NET REAL,TOTAL MV,MV EXEMPTIONS,TOTAL NET MV,TOTAL PERS PROP,PERS PROP EXEMPTIONS,TOTAL NET PERS PROP,TOTAL GRAND LIST,TOTAL NET GRAND LIST,OTHER
"ANDOVER",1.0000000000000000e+00,1.0000000000000000e+00,2.1110337000000000e+08,5.0767300000000000e+06,1.0677000000000000e+06,7.7100000000000000e+05,1.7964000000000000e+06,2.2589006000000000e+08,8.7900000000000000e+05,2.2501106000000000e+08,2.8678849000000000e+07,9.3294000000000000e+05,2.7745909000000000e+07,7.4464280000000000e+06,4.8744000000000000e+05,6.9589880000000000e+06,2.6201533700000000e+08,2.5971595700000000e+08,6.0748600000000000e+06
"ANSONIA",2.0000000000000000e+00,2.0000000000000000e+00,7.0961305600000000e+08,8.8420540000000000e+07,2.2900600000000000e+07,3.4000000000000000e+04,1.8093800000000000e+07,8.3918220600000000e+08,6.9762700000000000e+06,8.3220593600000000e+08,1.0105128000000000e+08,2.2748500000000000e+06,9.8776430000000000e+07,5.6506555000000000e+07,5.3368000000000000e+06,5.1169755000000000e+07,9.9674004100000000e+08,9.8215212100000000e+08,1.2021000000000000e+05
"ASHFORD",3.0000000000000000e+00,3.0000000000000000e+00,2.2534145000000000e+08,1.4552646000000000e+07,0.0000000000000000e+00,0.0000000000000000e+00,9.3814000000000000e+06,2.6080514600000000e+08,1.1153600000000000e+06,2.5968978600000000e+08,3.1898635000000000e+07,1.0930200000000000e+06,3.0805615000000000e+07,1.2889700000000000e+07,2.1328770000000000e+06,1.0756823000000000e+07,3.0559348100000000e+08,3.0125222400000000e+08,1.1529650000000000e+07
"AVON",4.0000000000000000e+00,4.0000000000000000e+00,2.0250401800000000e+09,2.6759970000000000e+08,2.0528890000000000e+07,3.2259000000000000e+05,3.6421010000000000e+07,2.3547055300000000e+09,3.9293900000000000e+06,2.3507761400000000e+09,1.7640567000000000e+08,6.4634000000000000e+05,1.7575933000000000e+08,1.1474870000000000e+08,2.5698610000000000e+07,8.9050090000000000e+07,2.6458599000000000e+09,2.6155855600000000e+09,4.7931600000000000e+06
"BARKHAMSTED",5.0000000000000000e+00,5.0000000000000000e+00,2.5202812000000000e+08,1.1308890000000000e+07,4.5506200000000000e+06,0.0000000000000000e+00,2.1733800000000000e+06,3.0645676000000000e+08,1.0948600000000000e+06,3.0536190000000000e+08,3.3266630000000000e+07,3.7095000000000000e+05,3.2895680000000000e+07,1.8983490000000000e+07,4.7647100000000000e+06,1.4218780000000000e+07,3.5870688000000000e+08,3.5247636000000000e+08,3.6395750000000000e+07
"BEACON FALLS",6.0000000000000000e+00,6.0000000000000000e+00,3.4856317000000000e+08,1.3528150000000000e+07,3.2056150000000000e+07,2.9553000000000000e+05,8.4582000000000000e+05,4.0591156000000000e+08,3.1374640000000000e+06,4.0277409600000000e+08,4.5328690000000000e+07,2.9330000000000000e+05,4.5035390000000000e+07,2.9155262000000000e+07,4.0053920000000000e+06,2.5149870000000000e+07,4.8039551200000000e+08,4.7295935600000000e+08,1.0622740000000000e+07
"BERLIN",7.0000000000000000e+00,7.0000000000000000e+00,1.4537268420000000e+09,2.9767188700000000e+08,1.3608351000000000e+08,3.7174000000000000e+06,7.9000000000000000e+04,1.9256665330000000e+09,6.6786870000000000e+06,1.9189878460000000e+09,2.1547956500000000e+08,8.3150400000000000e+06,2.0716452500000000e+08,2.8930516200000000e+08,9.0372660000000000e+07,1.9893250200000000e+08,2.4304512600000000e+09,2.3250848730000000e+09,3.4387894000000000e+07
"BETHANY",8.0000000000000000e+00,8.0000000000000000e+00,4.5670848000000000e+08,2.6398150000000000e+07,4.8197100000000000e+06,0.0000000000000000e+00,2.8138000000000000e+05,4.9174500000000000e+08,1.4811500000000000e+06,4.9026385000000000e+08,4.9030130000000000e+07,1.2286000000000000e+05,4.8907270000000000e+07,2.2094105000000000e+07,3.3213250000000000e+06,1.8772780000000000e+07,5.6286923500000000e+08,5.5794390000000000e+08,3.5372800000000000e+06
"BETHEL",9.0000000000000000e+00,9.0000000000000000e+00,1.3632475900000000e+09,2.1359146000000000e+08,7.4180710000000000e+07,1.6941400000000000e+06,2.5000360000000000e+07,1.7189225100000000e+09,4.1791500000000000e+06,1.7147433600000000e+09,1.4754033500000000e+08,5.6565000000000000e+05,1.4697468500000000e+08,1.6947718000000000e+08,2.5238300000000000e+07,1.4423888000000000e+08,2.0359400250000000e+09,2.0059569250000000e+09,4.1208250000000000e+07
"BETHLEHEM",1.0000000000000000e+01,1.0000000000000000e+01,3.0029160000000000e+08,2.3513500000000000e+07,2.5315000000000000e+06,0.0000000000000000e+00,0.0000000000000000e+00,3.3507768000000000e+08,2.4945400000000000e+06,3.3258314000000000e+08,3.5385550000000000e+07,6.9820000000000000e+04,3.5315730000000000e+07,1.0324406000000000e+07,8.8697000000000000e+05,9.4374360000000000e+06,3.8078763600000000e+08,3.7733630600000000e+08,8.7410800000000000e+06
