Municipality,Mill Rates  FY 2012-13,Comments
"NORTH STONINGTON",2.5250000000000000e+01,
"NORWALK",2.1331000000000000e+01,
"NORWICH",2.6899999999999999e+01,
"OLD LYME",1.9260000000000002e+01,
"OLD SAYBROOK",1.4619999999999999e+01,
"ORANGE",3.1199999999999999e+01,
"OXFORD",2.4100000000000001e+01,
"PLAINFIELD",2.1520000000000000e+01,
"PLAINVILLE",3.0890000000000001e+01,
"PLYMOUTH",3.4899999999999999e+01,
"POMFRET",2.2980000000000000e+01,
"PORTLAND",3.0730000000000000e+01,
"PRESTON",1.9430000000000000e+01,
"PROSPECT",2.7579999999999998e+01,
"PUTNAM",1.4940000000000000e+01,
"REDDING",2.3280000000000001e+01,
"RIDGEFIELD",2.0370000000000001e+01,
"ROCKY HILL",2.5899999999999999e+01,
"ROXBURY",1.2100000000000000e+01,
"SALEM",2.9600000000000001e+01,
"SALISBURY",1.0199999999999999e+01,
"SCOTLAND",3.0070000000000000e+01,
"SEYMOUR",3.2829999999999998e+01,
"SHARON",1.1350000000000000e+01,
"SHELTON",2.2399999999999999e+01,
"SHERMAN",1.6100000000000001e+01,
"SIMSBURY",3.1370000000000001e+01,
"SOMERS",2.3120000000000001e+01,
"SOUTH WINDSOR",2.9430000000000000e+01,
"SOUTHBURY",2.1199999999999999e+01,
"SOUTHINGTON",2.7480000000000000e+01,
"SPRAGUE",2.6750000000000000e+01,
"STAFFORD",3.2289999999999999e+01,
"STAMFORD",1.7890000000000001e+01,
"STERLING",2.1340000000000000e+01,
"STONINGTON",1.5890000000000001e+01,
"STRATFORD",3.4479999999999997e+01,
"SUFFIELD",2.4840000000000000e+01,
"THOMASTON",3.2829999999999998e+01,
"THOMPSON",2.2199999999999999e+01,
"TOLLAND",2.9989999999999998e+01,
"TORRINGTON",3.3469999999999999e+01,
"TRUMBULL",3.0710000000000001e+01,
"UNION",2.3590000000000000e+01,
"VERNON",3.3630000000000003e+01,
"VOLUNTOWN",2.4250000000000000e+01,
"WALLINGFORD",2.5980000000000000e+01,
"WARREN",1.3000000000000000e+01,
"WASHINGTON",1.1500000000000000e+01,
"WATERBURY",4.1818399999999997e+01,
"WATERFORD",1.9770000000000000e+01,
"WATERTOWN",2.4230000000000000e+01,
"WEST HARTFORD",3.5750000000000000e+01,
"WEST HAVEN",3.1250000000000000e+01,
"WESTBROOK",2.0980000000000000e+01,
"WESTON",2.4020000000000000e+01,
"WESTPORT",1.7910000000000000e+01,
"WETHERSFIELD",3.2579999999999998e+01,
"WILLINGTON",2.3960000000000001e+01,
"WILTON",2.1055499999999999e+01,
"WINCHESTER",2.5430000000000000e+01,
"WINDHAM",2.8629999999999999e+01,
"WINDSOR",2.7949999999999999e+01,
"WINDSOR LOCKS",2.4270000000000000e+01,
"WOLCOTT",2.5270000000000000e+01,
"WOODBRIDGE",3.3729999999999997e+01,
"WOODBURY",2.2579999999999998e+01,
"WOODSTOCK",2.1780000000000001e+01,
"ANDOVER",3.0800000000000001e+01,
"ANSONIA",2.7649999999999999e+01,
"ASHFORD",3.1050000000000001e+01,
"AVON",2.5649999999999999e+01,
"BARKHAMSTED",2.3390000000000001e+01,
"BEACON FALLS",3.1100000000000001e+01,
"BERLIN",2.5149999999999999e+01,
"BETHANY",2.8539999999999999e+01,
"BETHEL",2.4070000000000000e+01,
"BETHLEHEM",2.0500000000000000e+01,
"BLOOMFIELD",3.4549999999999997e+01,
"BOLTON",2.9800000000000001e+01,
"BOZRAH",2.2500000000000000e+01,
"BRANFORD",2.4949999999999999e+01,
"BRIDGEPORT",4.1109999999999999e+01,"confirmed with City's finance Office"
"BRIDGEWATER",1.7500000000000000e+01,
"BRISTOL",2.8750000000000000e+01,
"BROOKFIELD",2.4539999999999999e+01,
"BROOKLYN",2.3190000000000001e+01,
"BURLINGTON",2.6800000000000001e+01,
"CANAAN",2.0500000000000000e+01,
"CANTERBURY",2.1199999999999999e+01,
"CANTON",2.6420000000000002e+01,
"CHAPLIN",3.0149999999999999e+01,
"CHESHIRE",2.7230000000000000e+01,
"CHESTER",2.2449999999999999e+01,
"CLINTON",2.5180000000000000e+01,
"COLCHESTER",2.8800000000000001e+01,
"COLEBROOK",2.6820000000000000e+01,
"COLUMBIA",2.7129999999999999e+01,
"CORNWALL",1.4600000000000000e+01,
"COVENTRY",2.7000000000000000e+01,
"CROMWELL",2.7059999999999999e+01,
"DANBURY",2.2449999999999999e+01,
"DARIEN",1.2680000000000000e+01,
"DEEP RIVER",2.4680000000000000e+01,
"DERBY",3.5500000000000000e+01,
"DURHAM",3.2189999999999998e+01,
"EAST GRANBY",2.7300000000000001e+01,
"EAST HADDAM",2.1520000000000000e+01,
"EAST HAMPTON",2.5969999999999999e+01,
"EAST HARTFORD",4.2789999999999999e+01,
"EAST HAVEN",3.0949999999999999e+01,
"EAST LYME",2.2780000000000001e+01,
"EAST WINDSOR",2.4726299999999998e+01,
"EASTFORD",2.1500000000000000e+01,
"EASTON",2.9100000000000001e+01,
"ELLINGTON",2.7899999999999999e+01,
"ENFIELD",2.7840000000000000e+01,
"ESSEX",1.8469999999999999e+01,
"FAIRFIELD",2.3370000000000001e+01,
"FARMINGTON",2.1899999999999999e+01,
"FRANKLIN",2.1039999999999999e+01,
"GLASTONBURY",3.0500000000000000e+01,
"GOSHEN",1.5000000000000000e+01,
"GRANBY",3.0690000000000001e+01,
"GREENWICH",1.0388999999999999e+01,
"GRISWOLD",2.4800000000000001e+01,
"GROTON",2.0219999999999999e+01,
"GROTON (City of)",4.5949999999999998e+00,
"GUILFORD",2.2359999999999999e+01,
