TANF12%,TANF11%,MUNICIPALITY,numbered,2011 TANF RECIPIENTS,2012 TANF RECIPIENTS,SortID
4.5632553036430760e-02,5.1799114257570056e-02,"HARTFORD",6.5000000000000000e+01,6.4680000000000000e+03,5.6980000000000000e+03,1
3.6922782926795975e-02,3.5694298467124394e-02,"NEW BRITAIN",9.0000000000000000e+01,2.6150000000000000e+03,2.7050000000000000e+03,2
3.3696648485783520e-02,3.5593389539790722e-02,"WATERBURY",1.5200000000000000e+02,3.9220000000000000e+03,3.7130000000000000e+03,3
3.2542346722228652e-02,3.2804722768838987e-02,"NEW HAVEN",9.4000000000000000e+01,4.2510000000000000e+03,4.2170000000000000e+03,4
2.8158959308320772e-02,2.8753866899341635e-02,"WINDHAM",1.6400000000000000e+02,7.2500000000000000e+02,7.1000000000000000e+02,5
2.6847388730963071e-02,2.8701300484763593e-02,"BRIDGEPORT",1.5000000000000000e+01,4.1800000000000000e+03,3.9100000000000000e+03,6
2.5028111284413655e-02,2.6333925786209147e-02,"NEW LONDON",9.5000000000000000e+01,7.2600000000000000e+02,6.9000000000000000e+02,7
2.2412374526904724e-02,2.3300970873786409e-02,"MERIDEN",8.1000000000000000e+01,1.4160000000000000e+03,1.3620000000000000e+03,8
2.1233419124925757e-02,2.2470797861809541e-02,"NORWICH",1.0500000000000000e+02,9.0800000000000000e+02,8.5800000000000000e+02,9
1.9105920885890863e-02,2.0548612871152009e-02,"EAST HARTFORD",4.2000000000000000e+01,1.0540000000000000e+03,9.8000000000000000e+02,10
1.5037202768094074e-02,1.7742858629481242e-02,"ANSONIA",2.0000000000000000e+00,3.4100000000000000e+02,2.8900000000000000e+02,11
1.3729863692688972e-02,1.4374225526641884e-02,"BRISTOL",1.7000000000000000e+01,8.7000000000000000e+02,8.3100000000000000e+02,12
1.2427614028238661e-02,1.1907085691977357e-02,"PLAINFIELD",1.1000000000000000e+02,1.8300000000000000e+02,1.9100000000000000e+02,13
1.2340514536707802e-02,1.3490901485044969e-02,"PUTNAM",1.1700000000000000e+02,1.2900000000000000e+02,1.1800000000000000e+02,14
1.1860771130378355e-02,1.3537141518106604e-02,"WEST HAVEN",1.5600000000000000e+02,7.5100000000000000e+02,6.5800000000000000e+02,15
