Municipality,Numbered,April 2000 Census Population
"ANDOVER",1,3.0360000000000000e+03
"ANSONIA",2,1.8554000000000000e+04
"ASHFORD",3,4.0980000000000000e+03
"AVON",4,1.5832000000000000e+04
"BARKHAMSTED",5,3.4940000000000000e+03
"BEACON FALLS",6,5.2460000000000000e+03
"BERLIN",7,1.8215000000000000e+04
"BETHANY",8,5.0400000000000000e+03
"BETHEL",9,1.8067000000000000e+04
"BETHLEHEM",10,3.4220000000000000e+03
"BLOOMFIELD",11,1.9587000000000000e+04
"BOLTON",12,5.0170000000000000e+03
"BOZRAH",13,2.3570000000000000e+03
"BRANFORD",14,2.8683000000000000e+04
"BRIDGEPORT",15,1.3952900000000000e+05
"BRIDGEWATER",16,1.8240000000000000e+03
"BRISTOL",17,6.0062000000000000e+04
"BROOKFIELD",18,1.5664000000000000e+04
"BROOKLYN",19,7.1730000000000000e+03
"BURLINGTON",20,8.1900000000000000e+03
"CANAAN",21,1.0810000000000000e+03
"CANTERBURY",22,4.6920000000000000e+03
"CANTON",23,8.8400000000000000e+03
"CHAPLIN",24,2.2500000000000000e+03
"CHESHIRE",25,2.8543000000000000e+04
"CHESTER",26,3.7430000000000000e+03
"CLINTON",27,1.3094000000000000e+04
"COLCHESTER",28,1.4551000000000000e+04
"COLEBROOK",29,1.4710000000000000e+03
"COLUMBIA",30,4.9710000000000000e+03
"CORNWALL",31,1.4340000000000000e+03
"COVENTRY",32,1.1504000000000000e+04
"CROMWELL",33,1.2871000000000000e+04
"DANBURY",34,7.4848000000000000e+04
"DARIEN",35,1.9607000000000000e+04
"DEEP RIVER",36,4.6100000000000000e+03
"DERBY",37,1.2391000000000000e+04
"DURHAM",38,6.6270000000000000e+03
"EAST GRANBY",39,4.7450000000000000e+03
"EAST HADDAM",40,8.3330000000000000e+03
"EAST HAMPTON",41,1.3352000000000000e+04
"EAST HARTFORD",42,4.9575000000000000e+04
"EAST HAVEN",43,2.8189000000000000e+04
"EAST LYME",44,1.8118000000000000e+04
"EAST WINDSOR",45,9.8180000000000000e+03
"EASTFORD",46,1.6180000000000000e+03
"EASTON",47,7.2720000000000000e+03
"ELLINGTON",48,1.2921000000000000e+04
"ENFIELD",49,4.5212000000000000e+04
"ESSEX",50,6.5050000000000000e+03
"FAIRFIELD",51,5.7340000000000000e+04
"FARMINGTON",52,2.3641000000000000e+04
"FRANKLIN",53,1.8350000000000000e+03
"GLASTONBURY",54,3.1876000000000000e+04
"GOSHEN",55,2.6970000000000000e+03
