MUNICIPALITY,Numbered,2012 LABOR FORCE,2012 UNEMPLOYED,2012 UNEMP RATE
"ANDOVER",1,2.0220000000000000e+03,1.3600000000000000e+02,6.7260138476755688e-02
"ANSONIA",2,1.0275000000000000e+04,1.0360000000000000e+03,1.0082725060827251e-01
"ASHFORD",3,2.5540000000000000e+03,2.0800000000000000e+02,8.1440877055599062e-02
"AVON",4,9.4610000000000000e+03,5.0900000000000000e+02,5.3799809745270058e-02
"BARKHAMSTED",5,2.2770000000000000e+03,1.8900000000000000e+02,8.3003952569169967e-02
"BEACON FALLS",6,3.3750000000000000e+03,2.7100000000000000e+02,8.0296296296296296e-02
"BERLIN",7,1.1058000000000000e+04,7.6000000000000000e+02,6.8728522336769765e-02
"BETHANY",8,3.0900000000000000e+03,1.9100000000000000e+02,6.1812297734627833e-02
"BETHEL",9,1.0919000000000000e+04,7.1700000000000000e+02,6.5665353970143781e-02
"BETHLEHEM",10,2.0300000000000000e+03,1.3600000000000000e+02,6.6995073891625609e-02
"BLOOMFIELD",11,1.0073000000000000e+04,1.0070000000000000e+03,9.9970217412885934e-02
"BOLTON",12,2.9130000000000000e+03,1.8700000000000000e+02,6.4194987984895299e-02
"BOZRAH",13,1.5310000000000000e+03,1.2700000000000000e+02,8.2952318745917700e-02
"BRANFORD",14,1.6590000000000000e+04,1.2020000000000000e+03,7.2453285111512958e-02
"BRIDGEPORT",15,6.6715000000000000e+04,8.3370000000000000e+03,1.2496440080941318e-01
"BRIDGEWATER",16,9.3300000000000000e+02,4.9000000000000000e+01,5.2518756698821008e-02
"BRISTOL",17,3.3679000000000000e+04,2.9130000000000000e+03,8.6493066896285525e-02
"BROOKFIELD",18,9.1880000000000000e+03,5.9800000000000000e+02,6.5084893339138000e-02
"BROOKLYN",19,4.0390000000000000e+03,3.7900000000000000e+02,9.3835107699925729e-02
"BURLINGTON",20,5.3860000000000000e+03,3.4000000000000000e+02,6.3126624582250282e-02
"CANAAN",21,6.7600000000000000e+02,4.3000000000000000e+01,6.3609467455621307e-02
"CANTERBURY",22,3.1110000000000000e+03,2.6000000000000000e+02,8.3574413371906145e-02
"CANTON",23,5.7810000000000000e+03,3.2300000000000000e+02,5.5872686386438331e-02
"CHAPLIN",24,1.3300000000000000e+03,1.0600000000000000e+02,7.9699248120300756e-02
"CHESHIRE",25,1.4573000000000000e+04,9.4200000000000000e+02,6.4640087833664997e-02
"CHESTER",26,2.3350000000000000e+03,1.2800000000000000e+02,5.4817987152034259e-02
"CLINTON",27,7.7060000000000000e+03,5.3500000000000000e+02,6.9426420970672198e-02
"COLCHESTER",28,9.0490000000000000e+03,6.5800000000000000e+02,7.2715217151066422e-02
"COLEBROOK",29,8.0200000000000000e+02,4.6000000000000000e+01,5.7356608478802994e-02
"COLUMBIA",30,3.1020000000000000e+03,2.0900000000000000e+02,6.7375886524822695e-02
"CORNWALL",31,7.8900000000000000e+02,4.6000000000000000e+01,5.8301647655259824e-02
"COVENTRY",32,7.1380000000000000e+03,5.6600000000000000e+02,7.9293919865508544e-02
"CROMWELL",33,7.9920000000000000e+03,5.4800000000000000e+02,6.8568568568568564e-02
"DANBURY",34,4.5898000000000000e+04,3.1530000000000000e+03,6.8695803738724998e-02
"DARIEN",35,9.3270000000000000e+03,5.7100000000000000e+02,6.1220113648547229e-02
"DEEP RIVER",36,2.5410000000000000e+03,1.8300000000000000e+02,7.2018890200708383e-02
"DERBY",37,7.0530000000000000e+03,6.4100000000000000e+02,9.0883312065787605e-02
"DURHAM",38,4.2490000000000000e+03,2.5900000000000000e+02,6.0955518945634266e-02
"EAST GRANBY",39,2.9290000000000000e+03,1.7900000000000000e+02,6.1113007852509386e-02
"EAST HADDAM",40,5.3030000000000000e+03,3.7500000000000000e+02,7.0714689798227412e-02
"EAST HAMPTON",41,7.1900000000000000e+03,5.3000000000000000e+02,7.3713490959666200e-02
"EAST HARTFORD",42,2.6700000000000000e+04,2.8200000000000000e+03,1.0561797752808989e-01
"EAST HAVEN",43,1.6404000000000000e+04,1.4640000000000000e+03,8.9246525237746885e-02
"EAST LYME",44,9.6370000000000000e+03,7.3900000000000000e+02,7.6683615232956318e-02
"EAST WINDSOR",45,6.5200000000000000e+03,5.8300000000000000e+02,8.9417177914110427e-02
"EASTFORD",46,9.6200000000000000e+02,5.6000000000000000e+01,5.8212058212058215e-02
"EASTON",47,3.7440000000000000e+03,2.1700000000000000e+02,5.7959401709401712e-02
"ELLINGTON",48,9.3280000000000000e+03,5.9600000000000000e+02,6.3893653516295029e-02
