Municipality,numbered,County_Identifier,Curr_Year_Taxes_Collected,Curr_Year_Adjusted_Taxes_Collectible,Total_Taxes_Collected,Total_Adjusted_Taxes_Collectible
"FARMINGTON",5.2000000000000000e+01,"H",78957976.0000,79292043.0000,79300663.0000,79719863.0000
"FRANKLIN",5.3000000000000000e+01,"NL",4267118.0000,4312941.0000,4342065.0000,4409375.0000
"GLASTONBURY",5.4000000000000000e+01,"H",124429404.0000,125090308.0000,125323077.0000,126170731.0000
"GOSHEN",5.5000000000000000e+01,"L",9094914.0000,9161026.0000,9152746.0000,9259390.0000
"GRANBY",5.6000000000000000e+01,"H",31293869.0000,31627866.0000,31513085.0000,32054483.0000
"GREENWICH",5.7000000000000000e+01,"F",303971405.0000,306264382.0000,305756992.0000,311161288.0000
"GRISWOLD",5.8000000000000000e+01,"NL",15203954.0000,15538436.0000,15443236.0000,16250522.0000
"GROTON",5.9000000000000000e+01,"NL",75868185.0000,77540497.0000,76897666.0000,79954815.0000
"GROTON (City of)",6.0000000000000000e+01,,5443915.0000,5497598.0000,5523626.0000,5597114.0000
"GUILFORD",6.1000000000000000e+01,"NH",69726281.0000,70073457.0000,70064123.0000,70562896.0000
"HADDAM",6.2000000000000000e+01,"M",24809142.0000,25123509.0000,25056672.0000,26279038.0000
"HAMDEN",6.3000000000000000e+01,"NH",137428543.0000,139022100.0000,137730117.0000,140986439.0000
"HAMPTON",6.4000000000000000e+01,"W",3695670.0000,3783591.0000,3749231.0000,3943543.0000
"HARTFORD",6.5000000000000000e+01,"H",261285000.0000,278481000.0000,268831000.0000,312154000.0000
"HARTLAND",6.6000000000000000e+01,"H",4584101.0000,4663158.0000,4615528.0000,4766841.0000
"HARWINTON",6.7000000000000000e+01,"L",13094643.0000,13248909.0000,13516614.0000,13812225.0000
"HEBRON",6.8000000000000000e+01,"T",25975464.0000,26370297.0000,26203615.0000,27081568.0000
"KENT",6.9000000000000000e+01,"L",9252594.0000,9367480.0000,9370308.0000,9693771.0000
"KILLINGLY",7.0000000000000000e+01,"W",27398276.0000,28005174.0000,27934193.0000,29033321.0000
"KILLINGWORTH",7.1000000000000000e+01,"M",18520110.0000,18657771.0000,18588989.0000,18769666.0000
"LEBANON",7.2000000000000000e+01,"NL",14718842.0000,15058644.0000,14965364.0000,15434677.0000
"LEDYARD",7.3000000000000000e+01,"NL",29860738.0000,30231449.0000,30121679.0000,30618122.0000
"LISBON",7.4000000000000000e+01,"NL",6792749.0000,6909769.0000,6889508.0000,7094972.0000
"LITCHFIELD",7.5000000000000000e+01,"L",24020000.0000,24488000.0000,24416000.0000,25134000.0000
"LYME",7.6000000000000000e+01,"NL",8020116.0000,8097973.0000,8086611.0000,8231001.0000
"MADISON",7.7000000000000000e+01,"NH",65889778.0000,66347409.0000,66111966.0000,67031518.0000
"MANCHESTER",7.8000000000000000e+01,"H",120953000.0000,123354000.0000,122343000.0000,127244000.0000
"MANSFIELD",7.9000000000000000e+01,"T",25624839.0000,26035701.0000,25732504.0000,26408470.0000
"MARLBOROUGH",8.0000000000000000e+01,"H",16966547.0000,17135312.0000,17098950.0000,17338640.0000
"MERIDEN",8.1000000000000000e+01,"NH",107069552.0000,109965111.0000,108884017.0000,117351834.0000
"MIDDLEBURY",8.2000000000000000e+01,"NH",25629684.0000,25962334.0000,26172276.0000,26829407.0000
"MIDDLEFIELD",8.3000000000000000e+01,"M",12362261.0000,12572924.0000,12527332.0000,12842420.0000
"MIDDLETOWN",8.4000000000000000e+01,"M",99672000.0000,101814000.0000,101473000.0000,105936000.0000
"MILFORD",8.5000000000000000e+01,"NH",153158000.0000,155888000.0000,155326000.0000,163483000.0000
"MONROE",8.6000000000000000e+01,"F",64923280.0000,65702612.0000,65679160.0000,66829482.0000
"MONTVILLE",8.7000000000000000e+01,"NL",33078939.0000,35053257.0000,33590245.0000,36258207.0000
"MORRIS",8.8000000000000000e+01,"L",7248510.0000,7311252.0000,7308049.0000,7401766.0000
"NAUGATUCK",8.9000000000000000e+01,"NH",63735946.0000,66594092.0000,65610814.0000,75677386.0000
"NEW BRITAIN",9.0000000000000000e+01,"H",103302000.0000,107582000.0000,106917000.0000,120018000.0000
"NEW CANAAN",9.1000000000000000e+01,"F",113298408.0000,113812002.0000,113806824.0000,115204428.0000
"NEW FAIRFIELD",9.2000000000000000e+01,"F",39559732.0000,39870215.0000,39543782.0000,39993500.0000
"NEW HARTFORD",9.3000000000000000e+01,"L",16965763.0000,17191649.0000,17192161.0000,17552043.0000
"NEW HAVEN",9.4000000000000000e+01,"NH",220502270.0000,226835431.0000,223014860.0000,234445307.0000
"NEW LONDON",9.5000000000000000e+01,"NL",38412589.0000,39140385.0000,38661321.0000,39889964.0000
"NEW MILFORD",9.6000000000000000e+01,"L",68789048.0000,70093601.0000,69935257.0000,72284386.0000
"NEWINGTON",9.7000000000000000e+01,"H",79582000.0000,80441000.0000,80332000.0000,81807000.0000
"NEWTOWN",9.8000000000000000e+01,"F",93813987.0000,94762206.0000,94187398.0000,96244174.0000
"NORFOLK",9.9000000000000000e+01,"L",6100542.0000,6213689.0000,6176952.0000,6370333.0000
"NORTH BRANFORD",1.0000000000000000e+02,"NH",34234823.0000,34811049.0000,34652050.0000,35723541.0000
"NORTH CANAAN",1.0100000000000000e+02,"L",7039380.0000,7247567.0000,7128811.0000,7674510.0000
"NORTH HAVEN",1.0200000000000000e+02,"NH",73406669.0000,74623024.0000,74307852.0000,77096854.0000
"NORTH STONINGTON",1.0300000000000000e+02,"NL",12383351.0000,12701312.0000,12559171.0000,13055651.0000
"NORWALK",1.0400000000000000e+02,"F",258424733.0000,261927248.0000,258157441.0000,266267901.0000
"NORWICH",1.0500000000000000e+02,"NL",57049000.0000,59108000.0000,58081000.0000,62127000.0000
"OLD LYME",1.0600000000000000e+02,"NL",29561728.0000,29967309.0000,29920187.0000,30683185.0000
"OLD SAYBROOK",1.0700000000000000e+02,"M",34501352.0000,34709525.0000,34657783.0000,35053484.0000
"ORANGE",1.0800000000000000e+02,"NH",52211458.0000,52769717.0000,52604390.0000,53301783.0000
"OXFORD",1.0900000000000000e+02,"NH",31847304.0000,32456789.0000,32215884.0000,36523748.0000
"PLAINFIELD",1.1000000000000000e+02,"W",20703464.0000,21383467.0000,21393585.0000,22911557.0000
"PLAINVILLE",1.1100000000000000e+02,"H",39509492.0000,40514611.0000,40023033.0000,42237967.0000
"PLYMOUTH",1.1200000000000000e+02,"L",24797984.0000,25865788.0000,25333330.0000,28315467.0000
"POMFRET",1.1300000000000000e+02,"W",7747819.0000,7899074.0000,7823066.0000,8060579.0000
"PORTLAND",1.1400000000000000e+02,"M",23815543.0000,24154606.0000,24287781.0000,24930055.0000
"PRESTON",1.1500000000000000e+02,"NL",8629989.0000,8809312.0000,8865557.0000,9110788.0000
"PROSPECT",1.1600000000000000e+02,"NH",20707468.0000,20950481.0000,20961113.0000,21441046.0000
"PUTNAM",1.1700000000000000e+02,"W",8433242.0000,8650051.0000,8611107.0000,9174507.0000
"REDDING",1.1800000000000000e+02,"F",43119722.0000,44044397.0000,43529585.0000,45814635.0000
"RIDGEFIELD",1.1900000000000000e+02,"F",111582933.0000,113330243.0000,112482741.0000,117432165.0000
"ROCKY HILL",1.2000000000000000e+02,"H",52275960.0000,52823294.0000,52672020.0000,53572077.0000
"ROXBURY",1.2100000000000000e+02,"L",8784446.0000,8866630.0000,8854818.0000,8990811.0000
"SALEM",1.2200000000000000e+02,"NL",10393687.0000,10595639.0000,10553796.0000,10968993.0000
"SALISBURY",1.2300000000000000e+02,"L",11325092.0000,11404216.0000,11443334.0000,11617120.0000
"SCOTLAND",1.2400000000000000e+02,"W",3775479.0000,3879540.0000,3821927.0000,4010103.0000
"SEYMOUR",1.2500000000000000e+02,"NH",37381321.0000,38213590.0000,38030270.0000,39897384.0000
"SHARON",1.2600000000000000e+02,"L",9382060.0000,9583631.0000,9544238.0000,10061139.0000
"SHELTON",1.2700000000000000e+02,"F",96430694.0000,97544404.0000,97266020.0000,99682092.0000
"SHERMAN",1.2800000000000000e+02,"F",11714429.0000,11823560.0000,11778990.0000,11903510.0000
"SIMSBURY",1.2900000000000000e+02,"H",79747515.0000,80214546.0000,80198189.0000,81041788.0000
"SOMERS",1.3000000000000000e+02,"T",17523381.0000,17707631.0000,17667024.0000,18031398.0000
"SOUTH WINDSOR",1.3100000000000000e+02,"H",77752911.0000,78796861.0000,78746057.0000,81807588.0000
"SOUTHBURY",1.3200000000000000e+02,"NH",54915664.0000,55212445.0000,55189013.0000,55701559.0000
"SOUTHINGTON",1.3300000000000000e+02,"H",97457000.0000,98794000.0000,98770000.0000,101178000.0000
"SPRAGUE",1.3400000000000000e+02,"NL",4636975.0000,4791589.0000,4755945.0000,5070557.0000
"STAFFORD",1.3500000000000000e+02,"T",22217291.0000,23036961.0000,22600370.0000,24255886.0000
"STAMFORD",1.3600000000000000e+02,"F",411502313.0000,417787311.0000,414785396.0000,427089441.0000
"STERLING",1.3700000000000000e+02,"W",6511412.0000,6757708.0000,6575188.0000,6855363.0000
"STONINGTON",1.3800000000000000e+02,"NL",48750829.0000,49487774.0000,49307578.0000,50302770.0000
"STRATFORD",1.3900000000000000e+02,"F",150227449.0000,152921577.0000,152243989.0000,157177120.0000
"SUFFIELD",1.4000000000000000e+02,"H",33405170.0000,33755515.0000,33848104.0000,34517149.0000
"THOMASTON",1.4100000000000000e+02,"L",16324968.0000,16626776.0000,16652279.0000,17511206.0000
"THOMPSON",1.4200000000000000e+02,"W",12420422.0000,12660868.0000,12591995.0000,13223692.0000
"TOLLAND",1.4300000000000000e+02,"T",37735202.0000,38100458.0000,38032791.0000,38575258.0000
"TORRINGTON",1.4400000000000000e+02,"L",76135568.0000,76135568.0000,76135568.0000,76135568.0000
"TRUMBULL",1.4500000000000000e+02,"F",127882470.0000,129537844.0000,129018723.0000,131978227.0000
"UNION",1.4600000000000000e+02,"T",2193309.0000,2215932.0000,2239222.0000,2280838.0000
"VERNON",1.4700000000000000e+02,"T",56603238.0000,57407016.0000,57069827.0000,58688763.0000
"VOLUNTOWN",1.4800000000000000e+02,"NL",4615486.0000,4759345.0000,4731506.0000,4964972.0000
"WALLINGFORD",1.4900000000000000e+02,"NH",103684000.0000,105608000.0000,105089000.0000,109188000.0000
"WARREN",1.5000000000000000e+02,"L",4258928.0000,4295920.0000,4272327.0000,4322020.0000
"WASHINGTON",1.5100000000000000e+02,"L",13605109.0000,13734945.0000,13783899.0000,13999198.0000
"WATERBURY",1.5200000000000000e+02,"NH",213522000.0000,220594000.0000,215895000.0000,232751000.0000
"WATERFORD",1.5300000000000000e+02,"NL",68572578.0000,69258247.0000,68431959.0000,69795530.0000
"WATERTOWN",1.5400000000000000e+02,"L",44207717.0000,44879018.0000,44758102.0000,45875967.0000
"WEST HARTFORD",1.5500000000000000e+02,"H",197344000.0000,199192000.0000,199098000.0000,202038000.0000
"WEST HAVEN",1.5600000000000000e+02,"NH",86085641.0000,87970800.0000,86808816.0000,91622308.0000
"WESTBROOK",1.5700000000000000e+02,"M",22361075.0000,22650090.0000,22593561.0000,23123992.0000
"WESTON",1.5800000000000000e+02,"F",62228086.0000,62936877.0000,62857173.0000,64250897.0000
"WESTPORT",1.5900000000000000e+02,"F",162662577.0000,166067052.0000,164667525.0000,176020666.0000
"WETHERSFIELD",1.6000000000000000e+02,"H",71782216.0000,72558938.0000,72391467.0000,74515863.0000
"WILLINGTON",1.6100000000000000e+02,"T",11150609.0000,11219031.0000,11253385.0000,11363674.0000
"WILTON",1.6200000000000000e+02,"F",103661623.0000,104546443.0000,104544151.0000,106471470.0000
"WINCHESTER",1.6300000000000000e+02,"L",20224636.0000,20684500.0000,20583340.0000,21340620.0000
"WINDHAM",1.6400000000000000e+02,"W",30600578.0000,31309499.0000,31104238.0000,32360889.0000
"WINDSOR",1.6500000000000000e+02,"H",78222116.0000,79201381.0000,79164619.0000,80739437.0000
"WINDSOR LOCKS",1.6600000000000000e+02,"H",29037825.0000,29699635.0000,29321667.0000,30729351.0000
"WOLCOTT",1.6700000000000000e+02,"NH",30363864.0000,30979059.0000,30973329.0000,31923611.0000
"WOODBRIDGE",1.6800000000000000e+02,"NH",39182781.0000,39352844.0000,39410230.0000,39733827.0000
"WOODBURY",1.6900000000000000e+02,"L",27018420.0000,27479740.0000,27317961.0000,28358954.0000
"WOODSTOCK",1.7000000000000000e+02,"W",14383923.0000,14598858.0000,14633784.0000,14999073.0000
