Municipality,numbered,County_Identifier,Curr_Year_Taxes_Collected,Curr_Year_Adjusted_Taxes_Collectible,Total_Taxes_Collected,Total_Adjusted_Taxes_Collectible
"ANDOVER",1.0000000000000000e+00,"T",7572674.0000,7657199.0000,7618466.0000,7738418.0000
"ANSONIA",2.0000000000000000e+00,"NH",29491520.0000,30667475.0000,30418647.0000,33255713.0000
"ASHFORD",3.0000000000000000e+00,"W",8641907.0000,8826425.0000,8793547.0000,9378234.0000
"AVON",4.0000000000000000e+00,"H",66072909.0000,66261613.0000,66204680.0000,66435130.0000
"BARKHAMSTED",5.0000000000000000e+00,"L",8245347.0000,8435758.0000,8353532.0000,8907115.0000
"BEACON FALLS",6.0000000000000000e+00,"NH",13487356.0000,13962723.0000,13816067.0000,15031156.0000
"BERLIN",7.0000000000000000e+00,"H",56246044.0000,57082130.0000,56801878.0000,58811019.0000
"BETHANY",8.0000000000000000e+00,"NH",17122459.0000,17361758.0000,17263580.0000,17624644.0000
"BETHEL",9.0000000000000000e+00,"F",52046713.0000,52657934.0000,52767619.0000,53603542.0000
"BETHLEHEM",1.0000000000000000e+01,"L",8150950.0000,8341223.0000,8370600.0000,8885917.0000
"BLOOMFIELD",1.1000000000000000e+01,"H",64404520.0000,65281933.0000,65566643.0000,66998570.0000
"BOLTON",1.2000000000000000e+01,"T",13778394.0000,13943188.0000,13944051.0000,14227211.0000
"BOZRAH",1.3000000000000000e+01,"NL",4859397.0000,4949866.0000,4984415.0000,5300962.0000
"BRANFORD",1.4000000000000000e+01,"NH",82259180.0000,83707138.0000,83267282.0000,86499681.0000
"BRIDGEPORT",1.5000000000000000e+01,"F",267783020.0000,275342273.0000,270246149.0000,312560537.0000
"BRIDGEWATER",1.6000000000000000e+01,"L",6727134.0000,6759286.0000,6752287.0000,6822497.0000
"BRISTOL",1.7000000000000000e+01,"H",115615000.0000,117021000.0000,116804000.0000,119536000.0000
"BROOKFIELD",1.8000000000000000e+01,"F",51325201.0000,51739800.0000,51818674.0000,52575731.0000
"BROOKLYN",1.9000000000000000e+01,"W",11397984.0000,11708068.0000,11628203.0000,12405245.0000
"BURLINGTON",2.0000000000000000e+01,"H",24555334.0000,24792920.0000,24881671.0000,25454952.0000
"CANAAN",2.1000000000000000e+01,"L",3783667.0000,3846053.0000,3833538.0000,3934842.0000
"CANTERBURY",2.2000000000000000e+01,"W",7909311.0000,8075777.0000,8122877.0000,8461062.0000
"CANTON",2.3000000000000000e+01,"H",29211703.0000,29521094.0000,29538174.0000,30449156.0000
"CHAPLIN",2.4000000000000000e+01,"W",5048344.0000,5195831.0000,5118167.0000,5304909.0000
"CHESHIRE",2.5000000000000000e+01,"NH",75683912.0000,75961009.0000,75754835.0000,76107993.0000
"CHESTER",2.6000000000000000e+01,"M",10955634.0000,11049827.0000,11005471.0000,11219244.0000
"CLINTON",2.7000000000000000e+01,"M",36792037.0000,37085402.0000,36985906.0000,37678450.0000
"COLCHESTER",2.8000000000000000e+01,"NL",33249659.0000,33774748.0000,33587513.0000,34969363.0000
"COLEBROOK",2.9000000000000000e+01,"L",4596901.0000,4718284.0000,4661166.0000,4896019.0000
"COLUMBIA",3.0000000000000000e+01,"T",12376937.0000,12602440.0000,12477518.0000,12886306.0000
"CORNWALL",3.1000000000000000e+01,"L",5610880.0000,5689537.0000,5637004.0000,5944302.0000
"COVENTRY",3.2000000000000000e+01,"T",25796278.0000,26385567.0000,26220505.0000,27465333.0000
"CROMWELL",3.3000000000000000e+01,"M",36967505.0000,37316375.0000,37256742.0000,38346650.0000
"DANBURY",3.4000000000000000e+01,"F",166103116.0000,168271128.0000,168006974.0000,174190169.0000
"DARIEN",3.5000000000000000e+01,"F",106074171.0000,106717082.0000,106150747.0000,107790230.0000
"DEEP RIVER",3.6000000000000000e+01,"M",11499374.0000,11658655.0000,11664734.0000,12014476.0000
"DERBY",3.7000000000000000e+01,"NH",24587605.0000,25449328.0000,25055673.0000,26674588.0000
"DURHAM",3.8000000000000000e+01,"M",21854134.0000,22120933.0000,22073891.0000,22483795.0000
"EAST GRANBY",3.9000000000000000e+01,"H",14935593.0000,15188580.0000,15080771.0000,15588369.0000
"EAST HADDAM",4.0000000000000000e+01,"M",20458313.0000,20680064.0000,20599689.0000,20997962.0000
"EAST HAMPTON",4.1000000000000000e+01,"M",28141477.0000,28705137.0000,28722303.0000,29788576.0000
"EAST HARTFORD",4.2000000000000000e+01,"H",103104000.0000,106016000.0000,105433000.0000,110017000.0000
"EAST HAVEN",4.3000000000000000e+01,"NH",58428197.0000,60056771.0000,59265693.0000,62680260.0000
"EAST LYME",4.4000000000000000e+01,"NL",44399761.0000,45122627.0000,44731229.0000,46018017.0000
"EAST WINDSOR",4.5000000000000000e+01,"H",25790429.0000,26420692.0000,26281430.0000,27782388.0000
"EASTFORD",4.6000000000000000e+01,"W",3362312.0000,3448238.0000,3417566.0000,3537776.0000
"EASTON",4.7000000000000000e+01,"F",37508478.0000,38033479.0000,37671054.0000,38754638.0000
"ELLINGTON",4.8000000000000000e+01,"T",33828181.0000,34331008.0000,34220317.0000,35374829.0000
"ENFIELD",4.9000000000000000e+01,"H",74515000.0000,76341000.0000,75642000.0000,80774000.0000
"ESSEX",5.0000000000000000e+01,"M",19865801.0000,20061358.0000,20049423.0000,20381558.0000
"FAIRFIELD",5.1000000000000000e+01,"F",236661000.0000,239402000.0000,238871000.0000,243402000.0000
