MUNICIPALITY,PER CAPITA INCOME - 2012 ESTIMATE
"ANDOVER",3.7086000000000000e+04
"ANSONIA",2.6348000000000000e+04
"ASHFORD",3.9095000000000000e+04
"AVON",6.1754000000000000e+04
"BARKHAMSTED",3.7210000000000000e+04
"BEACON FALLS",3.3050000000000000e+04
"BERLIN",3.8426000000000000e+04
"BETHANY",4.5221000000000000e+04
"BETHEL",3.8390000000000000e+04
"BETHLEHEM",3.8338000000000000e+04
"BLOOMFIELD",4.0761000000000000e+04
"BOLTON",4.3525000000000000e+04
"BOZRAH",3.4209000000000000e+04
"BRANFORD",4.2340000000000000e+04
"BRIDGEPORT",1.9743000000000000e+04
"BRIDGEWATER",5.8181000000000000e+04
"BRISTOL",3.0555000000000000e+04
"BROOKFIELD",4.9320000000000000e+04
"BROOKLYN",2.5997000000000000e+04
"BURLINGTON",4.3245000000000000e+04
"CANAAN",3.7205000000000000e+04
"CANTERBURY",3.1443000000000000e+04
"CANTON",4.3650000000000000e+04
"CHAPLIN",3.3121000000000000e+04
"CHESHIRE",4.2761000000000000e+04
"CHESTER",4.1371000000000000e+04
"CLINTON",3.7941000000000000e+04
"COLCHESTER",3.6455000000000000e+04
"COLEBROOK",4.0399000000000000e+04
"COLUMBIA",4.0357000000000000e+04
"CORNWALL",4.9767000000000000e+04
"COVENTRY",3.7212000000000000e+04
"CROMWELL",4.3611000000000000e+04
"DANBURY",3.0815000000000000e+04
"DARIEN",9.4301000000000000e+04
"DEEP RIVER",4.0988000000000000e+04
"DERBY",2.6797000000000000e+04
"DURHAM",4.5732000000000000e+04
"EAST GRANBY",4.2999000000000000e+04
"EAST HADDAM",3.9821000000000000e+04
"EAST HAMPTON",4.0502000000000000e+04
"EAST HARTFORD",2.5549000000000000e+04
"EAST HAVEN",3.0618000000000000e+04
"EAST LYME",3.7972000000000000e+04
"EAST WINDSOR",3.3078000000000000e+04
"EASTFORD",3.9041000000000000e+04
"EASTON",6.2493000000000000e+04
"ELLINGTON",4.0231000000000000e+04
"ENFIELD",2.9866000000000000e+04
"ESSEX",5.8309000000000000e+04
"FAIRFIELD",6.0556000000000000e+04
"FARMINGTON",5.0895000000000000e+04
"FRANKLIN",3.5834000000000000e+04
"GLASTONBURY",5.1179000000000000e+04
"GOSHEN",4.2065000000000000e+04
"GRANBY",5.5814000000000000e+04
"GREENWICH",9.1717000000000000e+04
"GRISWOLD",2.9736000000000000e+04
"GROTON",3.3295000000000000e+04
"GROTON (City of)",
"GUILFORD",5.1406000000000000e+04
"HADDAM",3.9751000000000000e+04
"HAMDEN",3.3781000000000000e+04
"HAMPTON",3.8353000000000000e+04
"HARTFORD",1.6448000000000000e+04
"HARTLAND",3.7144000000000000e+04
"HARWINTON",4.5117000000000000e+04
"HEBRON",4.3863000000000000e+04
"KENT",4.4827000000000000e+04
"KILLINGLY",2.6585000000000000e+04
"KILLINGWORTH",5.1157000000000000e+04
"LEBANON",3.4727000000000000e+04
"LEDYARD",3.8112000000000000e+04
"LISBON",3.6803000000000000e+04
"LITCHFIELD",4.3414000000000000e+04
"LYME",7.0267000000000000e+04
"MADISON",5.3753000000000000e+04
"MANCHESTER",3.3512000000000000e+04
"MANSFIELD",2.0977000000000000e+04
"MARLBOROUGH",4.4766000000000000e+04
"MERIDEN",2.6761000000000000e+04
"MIDDLEBURY",4.4364000000000000e+04
"MIDDLEFIELD",4.0201000000000000e+04
"MIDDLETOWN",3.2205000000000000e+04
"MILFORD",3.9882000000000000e+04
"MONROE",4.8380000000000000e+04
"MONTVILLE",2.9051000000000000e+04
"MORRIS",3.7172000000000000e+04
"NAUGATUCK",2.9789000000000000e+04
"NEW BRITAIN",2.0601000000000000e+04
"NEW CANAAN",9.8693000000000000e+04
"NEW FAIRFIELD",3.9940000000000000e+04
"NEW HARTFORD",3.8098000000000000e+04
"NEW HAVEN",2.3026000000000000e+04
"NEW LONDON",2.2157000000000000e+04
"NEW MILFORD",4.2464000000000000e+04
"NEWINGTON",3.6209000000000000e+04
"NEWTOWN",4.7221000000000000e+04
"NORFOLK",4.4974000000000000e+04
"NORTH BRANFORD",3.9264000000000000e+04
"NORTH CANAAN",2.5553000000000000e+04
"NORTH HAVEN",3.8394000000000000e+04
"NORTH STONINGTON",3.9332000000000000e+04
"NORWALK",4.5620000000000000e+04
"NORWICH",2.7903000000000000e+04
"OLD LYME",4.9371000000000000e+04
"OLD SAYBROOK",4.4614000000000000e+04
"ORANGE",4.8196000000000000e+04
"OXFORD",4.4029000000000000e+04
"PLAINFIELD",2.5756000000000000e+04
"PLAINVILLE",3.1392000000000000e+04
"PLYMOUTH",3.1407000000000000e+04
"POMFRET",3.9712000000000000e+04
"PORTLAND",4.2447000000000000e+04
"PRESTON",3.3497000000000000e+04
"PROSPECT",3.6385000000000000e+04
