MUNICIPALITY,AREA
"ANDOVER",1.5446999999999999e+01
"ANSONIA",6.0190000000000001e+00
"ASHFORD",3.8762000000000000e+01
"AVON",2.3154000000000000e+01
"BARKHAMSTED",3.6253999999999998e+01
"BEACON FALLS",9.6679999999999993e+00
"BERLIN",2.6324000000000002e+01
"BETHANY",2.1129000000000001e+01
"BETHEL",1.6888999999999999e+01
"BETHLEHEM",1.9375000000000000e+01
"BLOOMFIELD",2.6085999999999999e+01
"BOLTON",1.4407000000000000e+01
"BOZRAH",1.9965000000000000e+01
"BRANFORD",2.1835000000000001e+01
"BRIDGEPORT",1.5974000000000000e+01
"BRIDGEWATER",1.6395000000000000e+01
"BRISTOL",2.6411000000000001e+01
"BROOKFIELD",1.9773000000000000e+01
"BROOKLYN",2.9091000000000001e+01
"BURLINGTON",2.9741000000000000e+01
"CANAAN",3.2911999999999999e+01
"CANTERBURY",3.9945000000000000e+01
"CANTON",2.4585999999999999e+01
"CHAPLIN",1.9427000000000000e+01
"CHESHIRE",3.3070000000000000e+01
"CHESTER",1.6050999999999998e+01
"CLINTON",1.6207000000000001e+01
"COLCHESTER",4.8982999999999997e+01
"COLEBROOK",3.1530999999999999e+01
"COLUMBIA",2.1373000000000001e+01
"CORNWALL",4.6061000000000000e+01
"COVENTRY",3.7569000000000003e+01
"CROMWELL",1.2452999999999999e+01
"DANBURY",4.1892000000000003e+01
"DARIEN",1.2654999999999999e+01
"DEEP RIVER",1.3513999999999999e+01
"DERBY",5.0549999999999997e+00
"DURHAM",2.3658999999999999e+01
"EAST GRANBY",1.7564000000000000e+01
"EAST HADDAM",5.4253000000000000e+01
"EAST HAMPTON",3.5649999999999999e+01
"EAST HARTFORD",1.7995999999999999e+01
"EAST HAVEN",1.2305000000000000e+01
"EAST LYME",3.3996000000000002e+01
"EAST WINDSOR",2.6251000000000001e+01
"EASTFORD",2.8920999999999999e+01
"EASTON",2.7419000000000000e+01
"ELLINGTON",3.4060000000000002e+01
"ENFIELD",3.3270000000000003e+01
"ESSEX",1.0401999999999999e+01
"FAIRFIELD",2.9902999999999999e+01
"FARMINGTON",2.8015999999999998e+01
"FRANKLIN",1.9489000000000001e+01
"GLASTONBURY",5.1270000000000003e+01
"GOSHEN",4.3631000000000000e+01
"GRANBY",4.0677999999999997e+01
"GREENWICH",4.7622000000000000e+01
"GRISWOLD",3.4707000000000001e+01
"GROTON",3.1030999999999999e+01
"GUILFORD",4.7118000000000002e+01
"HADDAM",4.3936999999999998e+01
"HAMDEN",3.2646000000000001e+01
"HAMPTON",2.5091999999999999e+01
"HARTFORD",1.7381000000000000e+01
"HARTLAND",3.3079000000000001e+01
"HARWINTON",3.0792999999999999e+01
"HEBRON",3.6936999999999998e+01
"KENT",4.8549999999999997e+01
"KILLINGLY",4.8305999999999997e+01
"KILLINGWORTH",3.5331000000000003e+01
"LEBANON",5.4097999999999999e+01
"LEDYARD",3.8219000000000001e+01
"LISBON",1.6286999999999999e+01
"LITCHFIELD",5.6098999999999997e+01
"LYME",3.1840000000000000e+01
"MADISON",3.6146999999999998e+01
"MANCHESTER",2.7402999999999999e+01
"MANSFIELD",4.4598999999999997e+01
"MARLBOROUGH",2.3350999999999999e+01
"MERIDEN",2.3792999999999999e+01
"MIDDLEBURY",1.7751000000000001e+01
"MIDDLEFIELD",1.2648999999999999e+01
"MIDDLETOWN",4.1018000000000001e+01
"MILFORD",2.2175000000000001e+01
"MONROE",2.6073000000000000e+01
"MONTVILLE",4.1954000000000001e+01
"MORRIS",1.7346000000000000e+01
"NAUGATUCK",1.6308000000000000e+01
"NEW BRITAIN",1.3393000000000001e+01
"NEW CANAAN",2.2195000000000000e+01
"NEW FAIRFIELD",2.0442000000000000e+01
"NEW HARTFORD",3.7037999999999997e+01
"NEW HAVEN",1.8678999999999998e+01
"NEW LONDON",5.6150000000000002e+00
"NEW MILFORD",6.1566000000000003e+01
"NEWINGTON",1.3141000000000000e+01
"NEWTOWN",5.7658999999999999e+01
"NORFOLK",4.5322000000000003e+01
"NORTH BRANFORD",2.4757000000000001e+01
"NORTH CANAAN",1.9466000000000001e+01
"NORTH HAVEN",2.0840000000000000e+01
"NORTH STONINGTON",5.4247999999999998e+01
"NORWALK",2.2859999999999999e+01
"NORWICH",2.8062000000000001e+01
"OLD LYME",2.3015000000000001e+01
"OLD SAYBROOK",1.5044000000000000e+01
"ORANGE",1.7181000000000001e+01
"OXFORD",3.2741999999999997e+01
"PLAINFIELD",4.2359000000000002e+01
"PLAINVILLE",9.7110000000000003e+00
"PLYMOUTH",2.1891999999999999e+01
"POMFRET",4.0329000000000001e+01
"PORTLAND",2.3350000000000001e+01
"PRESTON",3.0815000000000001e+01
"PROSPECT",1.4225000000000000e+01
"PUTNAM",2.0303999999999998e+01
"REDDING",3.1498999999999999e+01
"RIDGEFIELD",3.4515000000000001e+01
"ROCKY HILL",1.3454000000000001e+01
"ROXBURY",2.6302000000000000e+01
"SALEM",2.8919000000000000e+01
"SALISBURY",5.7241999999999997e+01
"SCOTLAND",1.8632000000000001e+01
"SEYMOUR",1.4518000000000001e+01
"SHARON",5.8765000000000001e+01
"SHELTON",3.0626000000000001e+01
"SHERMAN",2.1891999999999999e+01
"SIMSBURY",3.3923999999999999e+01
"SOMERS",2.8367999999999999e+01
"SOUTH WINDSOR",2.8062999999999999e+01
