Sort ID,Municipality,numbered,MEDIAN HOUSEHOLD INCOME - 2012 ESTIMATE,Population_Range,PercentOfStateMedian
1,"WESTON",1.5800000000000000e+02,2.1342300000000000e+05,"0 to 10,000",3.0699952530962760e+00
2,"DARIEN",3.5000000000000000e+01,2.0072400000000000e+05,"10,000 to 30,000",2.8873257670564882e+00
3,"NEW CANAAN",9.1000000000000000e+01,1.6703700000000000e+05,"10,000 to 30,000",2.4027532041600139e+00
4,"WILTON",1.6200000000000000e+02,1.6190600000000000e+05,"10,000 to 30,000",2.3289460435276688e+00
5,"WESTPORT",1.5900000000000000e+02,1.5258600000000000e+05,"10,000 to 30,000",2.1948819747119495e+00
6,"RIDGEFIELD",1.1900000000000000e+02,1.4810400000000000e+05,"10,000 to 30,000",2.1304103914037889e+00
7,"EASTON",4.7000000000000000e+01,1.4243400000000000e+05,"0 to 10,000",2.0488499546886461e+00
8,"WOODBRIDGE",1.6800000000000000e+02,1.3721600000000000e+05,"0 to 10,000",1.9737913376199312e+00
9,"GREENWICH",5.7000000000000000e+01,1.2958800000000000e+05,"30,000 to 70,000",1.8640659388080956e+00
10,"REDDING",1.1800000000000000e+02,1.2022300000000000e+05,"0 to 10,000",1.7293545649390814e+00
11,"FAIRFIELD",5.1000000000000000e+01,1.1992400000000000e+05,"30,000 to 70,000",1.7250535824738560e+00
12,"SHERMAN",1.2800000000000000e+02,1.1875000000000000e+05,"0 to 10,000",1.7081661128612322e+00
13,"SIMSBURY",1.2900000000000000e+02,1.1757700000000000e+05,"10,000 to 30,000",1.6912930278053482e+00
14,"NEWTOWN",9.8000000000000000e+01,1.1602400000000000e+05,"10,000 to 30,000",1.6689538111883082e+00
15,"HEBRON",6.8000000000000000e+01,1.1428600000000000e+05,"0 to 10,000",1.6439534515743897e+00
16,"MONROE",8.6000000000000000e+01,1.1260500000000000e+05,"10,000 to 30,000",1.6197730116946447e+00
17,"AVON",4.0000000000000000e+00,1.1176800000000000e+05,"10,000 to 30,000",1.6077331377033617e+00
18,"BROOKFIELD",1.8000000000000000e+01,1.1109600000000000e+05,"10,000 to 30,000",1.5980667155741597e+00
19,"MARLBOROUGH",8.0000000000000000e+01,1.1071800000000000e+05,"0 to 10,000",1.5926293531264835e+00
20,"CHESHIRE",2.5000000000000000e+01,1.1058700000000000e+05,"10,000 to 30,000",1.5907449761935586e+00
21,"DURHAM",3.8000000000000000e+01,1.0996900000000000e+05,"0 to 10,000",1.5818553201283103e+00
22,"BETHANY",8.0000000000000000e+00,1.0956400000000000e+05,"0 to 10,000",1.5760295746486572e+00
