Sort ID,Municipality,numbered,PER CAPITA INCOME - 2012 ESTIMATE,Population_Range,PercentOfState
1,"NEW CANAAN",9.1000000000000000e+01,9.8693000000000000e+04,"10,000 to 30,000",2.6104425106461768e+00
2,"DARIEN",3.5000000000000000e+01,9.4301000000000000e+04,"10,000 to 30,000",2.4942735472267041e+00
3,"WESTON",1.5800000000000000e+02,9.2022000000000000e+04,"0 to 10,000",2.4339937048694686e+00
4,"GREENWICH",5.7000000000000000e+01,9.1717000000000000e+04,"30,000 to 70,000",2.4259264157431164e+00
5,"WESTPORT",1.5900000000000000e+02,8.8920000000000000e+04,"10,000 to 30,000",2.3519454069352235e+00
6,"WILTON",1.6200000000000000e+02,7.8574000000000000e+04,"10,000 to 30,000",2.0782923797180417e+00
7,"RIDGEFIELD",1.1900000000000000e+02,7.7535000000000000e+04,"10,000 to 30,000",2.0508106964318777e+00
8,"LYME",7.6000000000000000e+01,7.0267000000000000e+04,"0 to 10,000",1.8585711640701457e+00
9,"WOODBRIDGE",1.6800000000000000e+02,6.9179000000000000e+04,"0 to 10,000",1.8297934244981089e+00
10,"REDDING",1.1800000000000000e+02,6.3081000000000000e+04,"0 to 10,000",1.6685005422276298e+00
11,"EASTON",4.7000000000000000e+01,6.2493000000000000e+04,"0 to 10,000",1.6529478667971540e+00
12,"AVON",4.0000000000000000e+00,6.1754000000000000e+04,"10,000 to 30,000",1.6334012219959266e+00
13,"ROXBURY",1.2100000000000000e+02,6.1204000000000000e+04,"0 to 10,000",1.6188536514402094e+00
14,"FAIRFIELD",5.1000000000000000e+01,6.0556000000000000e+04,"30,000 to 70,000",1.6017139683127464e+00
15,"ESSEX",5.0000000000000000e+01,5.8309000000000000e+04,"0 to 10,000",1.5422805300605709e+00
16,"BRIDGEWATER",1.6000000000000000e+01,5.8181000000000000e+04,"0 to 10,000",1.5388949136403312e+00
17,"SIMSBURY",1.2900000000000000e+02,5.7069000000000000e+04,"10,000 to 30,000",1.5094823709894993e+00
18,"SHERMAN",1.2800000000000000e+02,5.5920000000000000e+04,"0 to 10,000",1.4790911735921919e+00
19,"GRANBY",5.6000000000000000e+01,5.5814000000000000e+04,"0 to 10,000",1.4762874599941809e+00
20,"MADISON",7.7000000000000000e+01,5.3753000000000000e+04,"10,000 to 30,000",1.4217737456026662e+00
21,"WASHINGTON",1.5100000000000000e+02,5.2826000000000000e+04,"0 to 10,000",1.3972544766842119e+00
22,"WARREN",1.5000000000000000e+02,5.2310000000000000e+04,"0 to 10,000",1.3836062104901208e+00
23,"GUILFORD",6.1000000000000000e+01,5.1406000000000000e+04,"10,000 to 30,000",1.3596952945221785e+00
24,"GLASTONBURY",5.4000000000000000e+01,5.1179000000000000e+04,"10,000 to 30,000",1.3536911154019098e+00
25,"KILLINGWORTH",7.1000000000000000e+01,5.1157000000000000e+04,"0 to 10,000",1.3531092125796811e+00
26,"FARMINGTON",5.2000000000000000e+01,5.0895000000000000e+04,"10,000 to 30,000",1.3461792789695031e+00
27,"CORNWALL",3.1000000000000000e+01,4.9767000000000000e+04,"0 to 10,000",1.3163435342661411e+00
28,"OLD LYME",1.0600000000000000e+02,4.9371000000000000e+04,"0 to 10,000",1.3058692834660248e+00
29,"BROOKFIELD",1.8000000000000000e+01,4.9320000000000000e+04,"10,000 to 30,000",1.3045203269235857e+00
30,"SHARON",1.2600000000000000e+02,4.8922000000000000e+04,"0 to 10,000",1.2939931758669030e+00
31,"MONROE",8.6000000000000000e+01,4.8380000000000000e+04,"10,000 to 30,000",1.2796572063374507e+00
32,"ORANGE",1.0800000000000000e+02,4.8196000000000000e+04,"10,000 to 30,000",1.2747903827333562e+00
33,"NEWTOWN",9.8000000000000000e+01,4.7221000000000000e+04,"10,000 to 30,000",1.2490015076573122e+00
34,"WEST HARTFORD",1.5500000000000000e+02,4.6234000000000000e+04,"30,000 to 70,000",1.2228952310418706e+00
35,"SALISBURY",1.2300000000000000e+02,4.5882000000000000e+04,"0 to 10,000",1.2135847858862117e+00
36,"DURHAM",3.8000000000000000e+01,4.5732000000000000e+04,"0 to 10,000",1.2096172666437432e+00
37,"NORWALK",1.0400000000000000e+02,4.5620000000000000e+04,"70,000 & Up",1.2066548522760336e+00
38,"BETHANY",8.0000000000000000e+00,4.5221000000000000e+04,"0 to 10,000",1.1961012510910678e+00
39,"HARWINTON",6.7000000000000000e+01,4.5117000000000000e+04,"0 to 10,000",1.1933504377496231e+00
40,"NORFOLK",9.9000000000000000e+01,4.4974000000000000e+04,"0 to 10,000",1.1895680694051367e+00
41,"TRUMBULL",1.4500000000000000e+02,4.4885000000000000e+04,"30,000 to 70,000",1.1872140079879387e+00
42,"KENT",6.9000000000000000e+01,4.4827000000000000e+04,"0 to 10,000",1.1856799005475176e+00
