MUNICIPALITY,2012 TANF RECIPIENTS
"ANDOVER",1.1000000000000000e+01
"ANSONIA",2.8900000000000000e+02
"ASHFORD",2.1000000000000000e+01
"AVON",1.4000000000000000e+01
"BARKHAMSTED",4.0000000000000000e+00
"BEACON FALLS",2.4000000000000000e+01
"BERLIN",3.2000000000000000e+01
"BETHANY",1.3000000000000000e+01
"BETHEL",4.3000000000000000e+01
"BETHLEHEM",1.0000000000000000e+00
"BLOOMFIELD",1.7700000000000000e+02
"BOLTON",1.3000000000000000e+01
"BOZRAH",1.5000000000000000e+01
"BRANFORD",1.1200000000000000e+02
"BRIDGEPORT",3.9100000000000000e+03
"BRIDGEWATER",0.0000000000000000e+00
"BRISTOL",8.3100000000000000e+02
"BROOKFIELD",3.6000000000000000e+01
"BROOKLYN",6.1000000000000000e+01
"BURLINGTON",6.0000000000000000e+00
"CANAAN",1.0000000000000000e+01
"CANTERBURY",1.8000000000000000e+01
"CANTON",1.3000000000000000e+01
"CHAPLIN",1.6000000000000000e+01
"CHESHIRE",2.5000000000000000e+01
"CHESTER",6.0000000000000000e+00
"CLINTON",3.9000000000000000e+01
"COLCHESTER",5.0000000000000000e+01
"COLEBROOK",0.0000000000000000e+00
"COLUMBIA",9.0000000000000000e+00
"CORNWALL",0.0000000000000000e+00
"COVENTRY",3.9000000000000000e+01
"CROMWELL",4.8000000000000000e+01
"DANBURY",5.0600000000000000e+02
"DARIEN",1.0000000000000000e+01
"DEEP RIVER",1.0000000000000000e+00
"DERBY",1.5100000000000000e+02
"DURHAM",2.0000000000000000e+00
"EAST GRANBY",9.0000000000000000e+00
"EAST HADDAM",9.0000000000000000e+00
"EAST HAMPTON",3.9000000000000000e+01
"EAST HARTFORD",9.8000000000000000e+02
"EAST HAVEN",2.2800000000000000e+02
"EAST LYME",3.6000000000000000e+01
"EAST WINDSOR",5.9000000000000000e+01
"EASTFORD",1.0000000000000000e+00
"EASTON",1.0000000000000000e+00
"ELLINGTON",5.0000000000000000e+01
"ENFIELD",2.5400000000000000e+02
"ESSEX",1.1000000000000000e+01
"FAIRFIELD",5.7000000000000000e+01
"FARMINGTON",4.2000000000000000e+01
"FRANKLIN",5.0000000000000000e+00
"GLASTONBURY",3.3000000000000000e+01
"GOSHEN",8.0000000000000000e+00
"GRANBY",9.0000000000000000e+00
"GREENWICH",1.2000000000000000e+02
"GRISWOLD",1.1800000000000000e+02
"GROTON",2.9300000000000000e+02
"GROTON (City of)",
"GUILFORD",3.7000000000000000e+01
"HADDAM",8.0000000000000000e+00
"HAMDEN",4.5500000000000000e+02
"HAMPTON",3.0000000000000000e+00
"HARTFORD",5.6980000000000000e+03
"HARTLAND",3.0000000000000000e+00
"HARWINTON",8.0000000000000000e+00
"HEBRON",8.0000000000000000e+00
"KENT",6.0000000000000000e+00
"KILLINGLY",1.9100000000000000e+02
"KILLINGWORTH",6.0000000000000000e+00
"LEBANON",3.2000000000000000e+01
"LEDYARD",6.3000000000000000e+01
"LISBON",1.9000000000000000e+01
"LITCHFIELD",1.6000000000000000e+01
"LYME",3.0000000000000000e+00
"MADISON",9.0000000000000000e+00
"MANCHESTER",6.5600000000000000e+02
"MANSFIELD",3.9000000000000000e+01
"MARLBOROUGH",1.2000000000000000e+01
"MERIDEN",1.3620000000000000e+03
"MIDDLEBURY",1.0000000000000000e+01
"MIDDLEFIELD",1.0000000000000000e+00
"MIDDLETOWN",4.3200000000000000e+02
"MILFORD",1.8300000000000000e+02
"MONROE",2.8000000000000000e+01
"MONTVILLE",8.0000000000000000e+01
"MORRIS",7.0000000000000000e+00
"NAUGATUCK",2.3800000000000000e+02
"NEW BRITAIN",2.7050000000000000e+03
"NEW CANAAN",1.0000000000000000e+01
"NEW FAIRFIELD",2.5000000000000000e+01
"NEW HARTFORD",6.0000000000000000e+00
"NEW HAVEN",4.2170000000000000e+03
"NEW LONDON",6.9000000000000000e+02
