Municipality,Equalized Net Grand List GLYR 2011
"ANDOVER",369373775.7100
"ANSONIA",1356816401.0800
"ASHFORD",421452028.5700
"AVON",3573844476.6700
"BARKHAMSTED",505822209.8800
"BEACON FALLS",675570668.5700
"BERLIN",3087503864.2900
"BETHANY",820596491.9000
"BETHEL",2654603288.2900
"BETHLEHEM",490788174.6000
"BLOOMFIELD",2595430274.2700
"BOLTON",596743012.9800
"BOZRAH",314565081.6700
"BRANFORD",4905862518.4700
"BRIDGEPORT",7729475313.5300
"BRIDGEWATER",551028925.7100
"BRISTOL",5459212487.1800
"BROOKFIELD",3101025712.8600
"BROOKLYN",688058184.0400
"BURLINGTON",1242699536.9600
"CANAAN",218423817.6000
"CANTERBURY",453811452.5800
"CANTON",1518771590.2800
"CHAPLIN",213098562.4800
"CHESHIRE",3869637585.3300
"CHESTER",634519843.8200
"CLINTON",2096939873.4300
"COLCHESTER",1681198817.1400
"COLEBROOK",243345405.6600
"COLUMBIA",662497595.7100
"CORNWALL",558229842.8600
"COVENTRY",1323175982.1700
"CROMWELL",1782299356.0400
"DANBURY",9161036487.1900
"DARIEN",11544162951.9800
"DEEP RIVER",682594876.0100
"DERBY",1066521234.2900
"DURHAM",1028249574.8800
"EAST GRANBY",764970437.4500
"EAST HADDAM",1236067713.8900
"EAST HAMPTON",1533936946.5800
"EAST HARTFORD",3849203342.8600
"EAST HAVEN",2818987195.7100
"EAST LYME",2925132152.8600
"EAST WINDSOR",1313333289.1300
"EASTFORD",185964068.9199
"EASTON",1883133657.1400
"ELLINGTON",1775809961.4900
"ENFIELD",4062183095.7100
"ESSEX",1473597146.5400
"FAIRFIELD",15534035048.1800
"FARMINGTON",5313947102.2200
"FRANKLIN",279527368.7300
"GLASTONBURY",5742991730.7200
"GOSHEN",729286705.1799
"GRANBY",1408127838.8200
"GREENWICH",42269356544.5100
"GRISWOLD",997412758.5700
"GROTON",5674978734.2900
"GROTON (City of)",
"GUILFORD",4177877720.9300
"HADDAM",1235489184.2800
"HAMDEN",5517481551.7000
"HAMPTON",203292220.3800
"HARTFORD",6526348965.1800
"HARTLAND",277715085.7100
"HARWINTON",790175621.8600
"HEBRON",1097934378.5700
"KENT",686205493.7900
"KILLINGLY",1491814232.4200
"KILLINGWORTH",1021230811.4300
"LEBANON",839856300.0000
"LEDYARD",1495867237.4700
"LISBON",548596972.8600
"LITCHFIELD",1425894469.0700
"LYME",681950152.8099
"MADISON",4169051044.8300
"MANCHESTER",5558448948.5700
"MANSFIELD",1339347646.3900
"MARLBOROUGH",807409860.0000
"MERIDEN",4644224171.4300
"MIDDLEBURY",1314965601.4300
"MIDDLEFIELD",573588857.1400
"MIDDLETOWN",4870325433.2000
"MILFORD",9154001282.8600
"MONROE",3098919582.7399
"MONTVILLE",1850227588.5700
"MORRIS",498407736.8000
"NAUGATUCK",2353969968.8800
"NEW BRITAIN",3549594737.1800
"NEW CANAAN",11358746273.3400
"NEW FAIRFIELD",2241292944.0900
"NEW HARTFORD",944979389.9400
"NEW HAVEN",8567371655.7100
"NEW LONDON",1874244933.8400
"NEW MILFORD",4089945388.9000
"NEWINGTON",3648904984.2900
"NEWTOWN",4362136947.5500
"NORFOLK",370367224.9700
"NORTH BRANFORD",1731652915.2400
"NORTH CANAAN",421768605.8200
"NORTH HAVEN",3669842887.3200
"NORTH STONINGTON",750776095.7100
"NORWALK",16560812571.4800
"NORWICH",2919737141.6300
"OLD LYME",2132599268.9900
"OLD SAYBROOK",2806949497.1600
"ORANGE",2124005571.2500
"OXFORD",1971212881.3900
"PLAINFIELD",1139986602.9500
"PLAINVILLE",1911842160.0000
"PLYMOUTH",1081692950.0000
"POMFRET",454037339.1000
"PORTLAND",1138755292.8599
"PRESTON",550789647.9200
"PROSPECT",1121080438.5700
"PUTNAM",730010176.1799
"REDDING",2284785226.6000
"RIDGEFIELD",6861675339.8100
"ROCKY HILL",2741368612.6600
"ROXBURY",936257043.4000
"SALEM",512891607.1400
"SALISBURY",1561736122.5400
"SCOTLAND",151122286.8300
"SEYMOUR",1710743807.1400
"SHARON",986489880.7600
"SHELTON",6393817344.2900
"SHERMAN",901271767.1400
"SIMSBURY",3505330153.7199
"SOMERS",1169982972.1099
"SOUTH WINDSOR",3386291507.2199
"SOUTHBURY",2728456232.0800
"SOUTHINGTON",5316762764.2900
"SPRAGUE",277001389.0500
"STAFFORD",1097801514.2900
"STAMFORD",28845672604.2400
"STERLING",345122762.8000
"STONINGTON",3636910156.1400
"STRATFORD",6121995816.6200
"SUFFIELD",1892114160.1500
"THOMASTON",751534592.8600
"THOMPSON",807310836.3900
"TOLLAND",1781574138.8400
"TORRINGTON",3163588444.0000
"TRUMBULL",6339433162.8600
"UNION",128609415.7100
"VERNON",2484656177.1400
"VOLUNTOWN",266836147.3500
"WALLINGFORD",5908424628.2200
"WARREN",471325949.6500
"WASHINGTON",1539044494.7100
"WATERBURY",5511932368.5800
"WATERFORD",4426753187.6000
"WATERTOWN",2400494080.0500
"WEST HARTFORD",8400921331.4300
"WEST HAVEN",3861225599.6300
"WESTBROOK",1607615430.0000
"WESTON",3423962877.5300
"WESTPORT",14306009245.2100
"WETHERSFIELD",3146435531.2800
"WILLINGTON",599333682.7300
"WILTON",6134734483.9900
"WINCHESTER",976395143.9200
"WINDHAM",1205543088.2100
"WINDSOR",4026157220.7800
"WINDSOR LOCKS",1598600471.9400
"WOLCOTT",1794715471.4300
"WOODBRIDGE",1631618463.2400
"WOODBURY",1489047857.5200
"WOODSTOCK",963537918.5700
