MUNICIPALITY,2013 TANF RECIPIENTS
"ANDOVER",1.0000000000000000e+01
"ANSONIA",2.8500000000000000e+02
"ASHFORD",2.6000000000000000e+01
"AVON",1.3000000000000000e+01
"BARKHAMSTED",4.0000000000000000e+00
"BEACON FALLS",2.5000000000000000e+01
"BERLIN",4.7000000000000000e+01
"BETHANY",4.0000000000000000e+00
"BETHEL",4.8000000000000000e+01
"BETHLEHEM",1.0000000000000000e+00
"BLOOMFIELD",1.7600000000000000e+02
"BOLTON",1.3000000000000000e+01
"BOZRAH",1.0000000000000000e+01
"BRANFORD",9.8000000000000000e+01
"BRIDGEPORT",3.4120000000000000e+03
"BRIDGEWATER",0.0000000000000000e+00
"BRISTOL",8.8100000000000000e+02
"BROOKFIELD",2.1000000000000000e+01
"BROOKLYN",6.9000000000000000e+01
"BURLINGTON",1.0000000000000000e+01
"CANAAN",6.0000000000000000e+00
"CANTERBURY",1.3000000000000000e+01
"CANTON",1.2000000000000000e+01
"CHAPLIN",1.4000000000000000e+01
"CHESHIRE",2.7000000000000000e+01
"CHESTER",3.0000000000000000e+00
"CLINTON",3.8000000000000000e+01
"COLCHESTER",4.4000000000000000e+01
"COLEBROOK",0.0000000000000000e+00
"COLUMBIA",8.0000000000000000e+00
"CORNWALL",0.0000000000000000e+00
"COVENTRY",4.0000000000000000e+01
"CROMWELL",3.8000000000000000e+01
"DANBURY",4.3500000000000000e+02
"DARIEN",1.5000000000000000e+01
"DEEP RIVER",1.1000000000000000e+01
"DERBY",1.4200000000000000e+02
"DURHAM",3.0000000000000000e+00
"EAST GRANBY",1.1000000000000000e+01
"EAST HADDAM",9.0000000000000000e+00
"EAST HAMPTON",3.2000000000000000e+01
"EAST HARTFORD",9.4000000000000000e+02
"EAST HAVEN",2.2600000000000000e+02
"EAST LYME",3.1000000000000000e+01
"EAST WINDSOR",4.7000000000000000e+01
"EASTFORD",0.0000000000000000e+00
"EASTON",1.0000000000000000e+00
"ELLINGTON",4.2000000000000000e+01
"ENFIELD",2.5400000000000000e+02
"ESSEX",6.0000000000000000e+00
"FAIRFIELD",5.9000000000000000e+01
"FARMINGTON",3.8000000000000000e+01
"FRANKLIN",5.0000000000000000e+00
"GLASTONBURY",3.5000000000000000e+01
"GOSHEN",6.0000000000000000e+00
"GRANBY",1.3000000000000000e+01
"GREENWICH",1.2000000000000000e+02
"GRISWOLD",1.4000000000000000e+02
"GROTON",2.9500000000000000e+02
"GROTON (City of)",
"GUILFORD",3.1000000000000000e+01
"HADDAM",1.1000000000000000e+01
"HAMDEN",4.6500000000000000e+02
"HAMPTON",7.0000000000000000e+00
"HARTFORD",5.3430000000000000e+03
"HARTLAND",1.0000000000000000e+00
"HARWINTON",9.0000000000000000e+00
"HEBRON",7.0000000000000000e+00
"KENT",1.0000000000000000e+00
"KILLINGLY",1.8400000000000000e+02
"KILLINGWORTH",4.0000000000000000e+00
"LEBANON",3.3000000000000000e+01
"LEDYARD",6.7000000000000000e+01
"LISBON",2.6000000000000000e+01
"LITCHFIELD",1.3000000000000000e+01
"LYME",0.0000000000000000e+00
"MADISON",1.4000000000000000e+01
"MANCHESTER",6.3600000000000000e+02
"MANSFIELD",3.2000000000000000e+01
"MARLBOROUGH",9.0000000000000000e+00
"MERIDEN",1.3310000000000000e+03
"MIDDLEBURY",7.0000000000000000e+00
"MIDDLEFIELD",6.0000000000000000e+00
"MIDDLETOWN",4.5400000000000000e+02
"MILFORD",1.6900000000000000e+02
"MONROE",2.5000000000000000e+01
"MONTVILLE",8.7000000000000000e+01
"MORRIS",9.0000000000000000e+00
"NAUGATUCK",2.6000000000000000e+02
"NEW BRITAIN",2.6910000000000000e+03
"NEW CANAAN",7.0000000000000000e+00
"NEW FAIRFIELD",1.6000000000000000e+01
"NEW HARTFORD",1.0000000000000000e+01
"NEW HAVEN",4.3410000000000000e+03
"NEW LONDON",6.9100000000000000e+02
"NEW MILFORD",8.2000000000000000e+01
"NEWINGTON",5.2000000000000000e+01
"NEWTOWN",3.9000000000000000e+01
"NORFOLK",0.0000000000000000e+00
"NORTH BRANFORD",4.6000000000000000e+01
"NORTH CANAAN",4.0000000000000000e+00
"NORTH HAVEN",6.1000000000000000e+01
