MUNICIPALITY,NUMBERED,TOWN CODE,Net Grand List - 2010 GL Year
"ANDOVER",1.0000000000000000e+00,1.0000000000000000e+00,277779008.0000
"ANSONIA",2.0000000000000000e+00,2.0000000000000000e+00,1165382074.0000
"ASHFORD",3.0000000000000000e+00,3.0000000000000000e+00,343837767.0000
"AVON",4.0000000000000000e+00,4.0000000000000000e+00,2638616860.0000
"BARKHAMSTED",5.0000000000000000e+00,5.0000000000000000e+00,370660182.0000
"BEACON FALLS",6.0000000000000000e+00,6.0000000000000000e+00,540455641.0000
"BERLIN",7.0000000000000000e+00,7.0000000000000000e+00,2315395129.0000
"BETHANY",8.0000000000000000e+00,8.0000000000000000e+00,617087907.0000
"BETHEL",9.0000000000000000e+00,9.0000000000000000e+00,2312832450.0000
"BETHLEHEM",1.0000000000000000e+01,1.0000000000000000e+01,405637873.0000
"BLOOMFIELD",1.1000000000000000e+01,1.1000000000000000e+01,1954832232.0000
"BOLTON",1.2000000000000000e+01,1.2000000000000000e+01,477288285.0000
"BOZRAH",1.3000000000000000e+01,1.3000000000000000e+01,243404219.0000
"BRANFORD",1.4000000000000000e+01,1.4000000000000000e+01,3446825087.0000
"BRIDGEPORT",1.5000000000000000e+01,1.5000000000000000e+01,6985043932.0000
"BRIDGEWATER",1.6000000000000000e+01,1.6000000000000000e+01,416521811.0000
"BRISTOL",1.7000000000000000e+01,1.7000000000000000e+01,4272946245.0000
"BROOKFIELD",1.8000000000000000e+01,1.8000000000000000e+01,2615921837.0000
"BROOKLYN",1.9000000000000000e+01,1.9000000000000000e+01,521979567.0000
"BURLINGTON",2.0000000000000000e+01,2.0000000000000000e+01,922464098.0000
"CANAAN",2.1000000000000000e+01,2.1000000000000000e+01,188188760.0000
"CANTERBURY",2.2000000000000000e+01,2.2000000000000000e+01,380008455.0000
"CANTON",2.3000000000000000e+01,2.3000000000000000e+01,1121224936.0000
"CHAPLIN",2.4000000000000000e+01,2.4000000000000000e+01,172251937.0000
"CHESHIRE",2.5000000000000000e+01,2.5000000000000000e+01,2840240842.0000
"CHESTER",2.6000000000000000e+01,2.6000000000000000e+01,500981070.0000
"CLINTON",2.7000000000000000e+01,2.7000000000000000e+01,1490408085.0000
"COLCHESTER",2.8000000000000000e+01,2.8000000000000000e+01,1297297874.0000
"COLEBROOK",2.9000000000000000e+01,2.9000000000000000e+01,182139408.0000
"COLUMBIA",3.0000000000000000e+01,3.0000000000000000e+01,534100530.0000
"CORNWALL",3.1000000000000000e+01,3.1000000000000000e+01,454746840.0000
"COVENTRY",3.2000000000000000e+01,3.2000000000000000e+01,969387403.0000
"CROMWELL",3.3000000000000000e+01,3.3000000000000000e+01,1391647305.0000
"DANBURY",3.4000000000000000e+01,3.4000000000000000e+01,7817419062.0000
"DARIEN",3.5000000000000000e+01,3.5000000000000000e+01,8795413483.0000
"DEEP RIVER",3.6000000000000000e+01,3.6000000000000000e+01,478667206.0000
"DERBY",3.7000000000000000e+01,3.7000000000000000e+01,911734591.0000
"DURHAM",3.8000000000000000e+01,3.8000000000000000e+01,726841238.0000
"EAST GRANBY",3.9000000000000000e+01,4.0000000000000000e+01,561917917.0000
"EAST HADDAM",4.0000000000000000e+01,4.1000000000000000e+01,983357843.0000
"EAST HAMPTON",4.1000000000000000e+01,4.2000000000000000e+01,1114684030.0000
"EAST HARTFORD",4.2000000000000000e+01,4.3000000000000000e+01,3092116582.0000
"EAST HAVEN",4.3000000000000000e+01,4.4000000000000000e+01,2261591957.0000
"EAST LYME",4.4000000000000000e+01,4.5000000000000000e+01,2329404814.0000
"EAST WINDSOR",4.5000000000000000e+01,4.7000000000000000e+01,1081994877.0000
"EASTFORD",4.6000000000000000e+01,3.9000000000000000e+01,161986262.0000
"EASTON",4.7000000000000000e+01,4.6000000000000000e+01,1671596103.0000
"ELLINGTON",4.8000000000000000e+01,4.8000000000000000e+01,1242143466.0000
"ENFIELD",4.9000000000000000e+01,4.9000000000000000e+01,3210138866.0000
"ESSEX",5.0000000000000000e+01,5.0000000000000000e+01,1116538776.0000
"FAIRFIELD",5.1000000000000000e+01,5.1000000000000000e+01,10787725630.0000
"FARMINGTON",5.2000000000000000e+01,5.2000000000000000e+01,3727355263.0000
"FRANKLIN",5.3000000000000000e+01,5.3000000000000000e+01,211212205.0000
"GLASTONBURY",5.4000000000000000e+01,5.4000000000000000e+01,4165399080.0000
"GOSHEN",5.5000000000000000e+01,5.5000000000000000e+01,610305970.0000
"GRANBY",5.6000000000000000e+01,5.6000000000000000e+01,1057105520.0000
"GREENWICH",5.7000000000000000e+01,5.7000000000000000e+01,30363191887.0000
"GRISWOLD",5.8000000000000000e+01,5.8000000000000000e+01,826130433.0000
"GROTON",5.9000000000000000e+01,5.9000000000000000e+01,4110600162.0000
"GROTON (City of)",6.0000000000000000e+01,,
"GUILFORD",6.1000000000000000e+01,6.0000000000000000e+01,3472194672.0000
"HADDAM",6.2000000000000000e+01,6.1000000000000000e+01,890333108.0000
"HAMDEN",6.3000000000000000e+01,6.2000000000000000e+01,4022975958.0000
"HAMPTON",6.4000000000000000e+01,6.3000000000000000e+01,153546826.0000
"HARTFORD",6.5000000000000000e+01,6.4000000000000000e+01,3738377678.0000
"HARTLAND",6.6000000000000000e+01,6.5000000000000000e+01,197939734.0000
"HARWINTON",6.7000000000000000e+01,6.6000000000000000e+01,553918475.0000
"HEBRON",6.8000000000000000e+01,6.7000000000000000e+01,868218820.0000
"KENT",6.9000000000000000e+01,6.8000000000000000e+01,660005006.0000
"KILLINGLY",7.0000000000000000e+01,6.9000000000000000e+01,1311450736.0000
"KILLINGWORTH",7.1000000000000000e+01,7.0000000000000000e+01,818293169.0000
"LEBANON",7.2000000000000000e+01,7.1000000000000000e+01,658930140.0000
"LEDYARD",7.3000000000000000e+01,7.2000000000000000e+01,1091877538.0000
