MUNICIPALITY,Numbered,2009 LABOR FORCE,2009 UNEMPLOYED,2009 UNEMP RATE,2008 LABOR FORCE,2008 UNEMPLOYED,2008 UNEMP RATE,2007 LABOR FORCE,2007 UNEMPLOYED,2007 UNEMP RATE,2006 LABOR FORCE,2006 UNEMPLOYED,2006 UNEMP RATE
"ANDOVER",1,2.0100000000000000e+03,1.3000000000000000e+02,6.4676616915422883e-02,1.9770000000000000e+03,7.9000000000000000e+01,3.9959534648457258e-02,1.9550000000000000e+03,6.7000000000000000e+01,3.4271099744245526e-02,1.9490000000000000e+03,6.6000000000000000e+01,3.3863519753719859e-02
"ANSONIA",2,1.0041000000000000e+04,9.9000000000000000e+02,9.8595757394681807e-02,1.0014000000000000e+04,6.9900000000000000e+02,6.9802276812462552e-02,9.9180000000000000e+03,5.5800000000000000e+02,5.6261343012704176e-02,9.7810000000000000e+03,5.2600000000000000e+02,5.3777732338206728e-02
"ASHFORD",3,2.6690000000000000e+03,1.7600000000000000e+02,6.5942300487073807e-02,2.6610000000000000e+03,1.2400000000000000e+02,4.6599022923712888e-02,2.6180000000000000e+03,1.0100000000000000e+02,3.8579067990832695e-02,2.5800000000000000e+03,9.8000000000000000e+01,3.7984496124031007e-02
"AVON",4,9.3030000000000000e+03,5.1900000000000000e+02,5.5788455336988070e-02,9.2560000000000000e+03,3.3000000000000000e+02,3.5652549697493520e-02,9.1640000000000000e+03,2.7600000000000000e+02,3.0117852466171977e-02,9.0540000000000000e+03,2.6700000000000000e+02,2.9489728296885353e-02
"BARKHAMSTED",5,2.2750000000000000e+03,1.8400000000000000e+02,8.0879120879120886e-02,2.2160000000000000e+03,1.0500000000000000e+02,4.7382671480144405e-02,2.1910000000000000e+03,8.8000000000000000e+01,4.0164308534915566e-02,2.1970000000000000e+03,9.3000000000000000e+01,4.2330450614474283e-02
"BEACON FALLS",6,3.3770000000000000e+03,2.9600000000000000e+02,8.7651761918862897e-02,3.3400000000000000e+03,1.8900000000000000e+02,5.6586826347305393e-02,3.3130000000000000e+03,1.4600000000000000e+02,4.4068819800784788e-02,3.2620000000000000e+03,1.4000000000000000e+02,4.2918454935622317e-02
"BERLIN",7,1.1679000000000000e+04,8.2400000000000000e+02,7.0553985786454318e-02,1.1532000000000000e+04,5.3700000000000000e+02,4.6566077003121750e-02,1.1308000000000000e+04,4.2400000000000000e+02,3.7495578351609479e-02,1.1114000000000000e+04,4.2000000000000000e+02,3.7790174554615800e-02
"BETHANY",8,3.1710000000000000e+03,2.0400000000000000e+02,6.4333017975402085e-02,3.1590000000000000e+03,1.3400000000000000e+02,4.2418486862931308e-02,3.1280000000000000e+03,1.0900000000000000e+02,3.4846547314578008e-02,3.0640000000000000e+03,9.8000000000000000e+01,3.1984334203655353e-02
"BETHEL",9,1.0791000000000000e+04,8.0300000000000000e+02,7.4413863404689098e-02,1.0780000000000000e+04,4.6400000000000000e+02,4.3042671614100185e-02,1.0737000000000000e+04,3.5300000000000000e+02,3.2876967495576045e-02,1.0630000000000000e+04,3.5400000000000000e+02,3.3301975540921916e-02
"BETHLEHEM",10,2.0270000000000000e+03,1.5300000000000000e+02,7.5481006413418844e-02,2.0310000000000000e+03,9.3000000000000000e+01,4.5790251107828653e-02,2.0070000000000000e+03,7.5000000000000000e+01,3.7369207772795218e-02,1.9960000000000000e+03,6.9000000000000000e+01,3.4569138276553106e-02
"BLOOMFIELD",11,1.0295000000000000e+04,9.2600000000000000e+02,8.9946576007770757e-02,1.0208000000000000e+04,6.5600000000000000e+02,6.4263322884012541e-02,1.0018000000000000e+04,5.2600000000000000e+02,5.2505490117787983e-02,9.8870000000000000e+03,5.2900000000000000e+02,5.3504602002629714e-02
"BOLTON",12,3.0960000000000000e+03,2.0300000000000000e+02,6.5568475452196379e-02,3.0510000000000000e+03,1.2800000000000000e+02,4.1953457882661423e-02,3.0050000000000000e+03,9.6000000000000000e+01,3.1946755407653911e-02,2.9860000000000000e+03,9.7000000000000000e+01,3.2484929671801742e-02
"BOZRAH",13,1.5090000000000000e+03,1.0900000000000000e+02,7.2233267064280987e-02,1.5090000000000000e+03,7.9000000000000000e+01,5.2352551358515576e-02,1.4710000000000000e+03,6.7000000000000000e+01,4.5547246770904146e-02,1.4700000000000000e+03,6.7000000000000000e+01,4.5578231292517007e-02
