Municipality,Numbered,ADM 2011-12,NCE 2011-12
"ANDOVER            ",1.0000000000000000e+00,6.0815999999999997e+02,7.7748650000000000e+06
"ANSONIA            ",2.0000000000000000e+00,2.7105599999999999e+03,3.0669465000000000e+07
"ASHFORD            ",3.0000000000000000e+00,7.0271000000000004e+02,1.0418145000000000e+07
"AVON               ",4.0000000000000000e+00,3.5380000000000000e+03,4.5796004000000000e+07
"BARKHAMSTED        ",5.0000000000000000e+00,6.5015999999999997e+02,8.0387190000000000e+06
"BEACON FALLS       ",6.0000000000000000e+00,9.9490999999999997e+02,1.3089040000000000e+07
"BERLIN             ",7.0000000000000000e+00,3.0789200000000001e+03,4.2766400000000000e+07
"BETHANY            ",8.0000000000000000e+00,9.7352999999999997e+02,1.3860464000000000e+07
"BETHEL             ",9.0000000000000000e+00,2.9623400000000001e+03,4.1527614000000000e+07
"BETHLEHEM          ",1.0000000000000000e+01,4.5324000000000001e+02,6.8964360000000000e+06
"BLOOMFIELD         ",1.1000000000000000e+01,2.3743000000000002e+03,4.1176834000000000e+07
"BOLTON             ",1.2000000000000000e+01,8.2828999999999996e+02,1.1943836000000000e+07
"BOZRAH             ",1.3000000000000000e+01,3.4975000000000000e+02,5.1764240000000000e+06
"BRANFORD           ",1.4000000000000000e+01,3.3934200000000001e+03,4.9412623000000000e+07
"BRIDGEPORT         ",1.5000000000000000e+01,2.0870820000000000e+04,2.7085868300000000e+08
"BRIDGEWATER        ",1.6000000000000000e+01,2.0531999999999999e+02,4.4515160000000000e+06
"BRISTOL            ",1.7000000000000000e+01,8.6365300000000007e+03,1.0912372600000000e+08
"BROOKFIELD         ",1.8000000000000000e+01,2.9048299999999999e+03,3.6211833000000000e+07
"BROOKLYN           ",1.9000000000000000e+01,1.2645100000000000e+03,1.5959407000000000e+07
"BURLINGTON         ",2.0000000000000000e+01,1.7787100000000000e+03,2.1676421000000000e+07
"CANAAN             ",2.1000000000000000e+01,1.4100000000000000e+02,3.0167310000000000e+06
"CANTERBURY         ",2.2000000000000000e+01,7.2098000000000002e+02,1.0606061000000000e+07
"CANTON             ",2.3000000000000000e+01,1.7717300000000000e+03,2.3386899000000000e+07
"CHAPLIN            ",2.4000000000000000e+01,3.0179000000000002e+02,5.5768610000000000e+06
"CHESHIRE           ",2.5000000000000000e+01,4.7848400000000001e+03,6.0018150000000000e+07
"CHESTER            ",2.6000000000000000e+01,5.2984000000000003e+02,8.2104490000000000e+06
"CLINTON            ",2.7000000000000000e+01,2.0573099999999999e+03,2.9887519000000000e+07
"COLCHESTER         ",2.8000000000000000e+01,3.0629200000000001e+03,3.6929804000000000e+07
"COLEBROOK          ",2.9000000000000000e+01,2.2184000000000000e+02,3.4819120000000000e+06
"COLUMBIA           ",3.0000000000000000e+01,7.3782000000000005e+02,1.0797457000000000e+07
"CORNWALL           ",3.1000000000000000e+01,1.5988000000000000e+02,3.9785510000000000e+06
"COVENTRY           ",3.2000000000000000e+01,1.8891300000000001e+03,2.7022586000000000e+07
"CROMWELL           ",3.3000000000000000e+01,2.0346099999999999e+03,2.6434626000000000e+07
"DANBURY            ",3.4000000000000000e+01,1.0615370000000001e+04,1.2438210900000000e+08
"DARIEN             ",3.5000000000000000e+01,4.8349200000000001e+03,7.8254565000000000e+07
"DEEP RIVER         ",3.6000000000000000e+01,6.4800000000000000e+02,9.7035450000000000e+06
"DERBY              ",3.7000000000000000e+01,1.5724500000000000e+03,1.9776455000000000e+07
"DURHAM             ",3.8000000000000000e+01,1.3400999999999999e+03,2.0269980000000000e+07
"EAST GRANBY        ",3.9000000000000000e+01,8.9039999999999998e+02,1.4040502000000000e+07
"EAST HADDAM        ",4.0000000000000000e+01,1.3027600000000000e+03,1.8761639000000000e+07
"EAST HAMPTON       ",4.1000000000000000e+01,1.9965100000000000e+03,2.7432357000000000e+07
"EAST HARTFORD      ",4.2000000000000000e+01,8.1415100000000002e+03,9.5835782000000000e+07
"EAST HAVEN         ",4.3000000000000000e+01,3.6742700000000000e+03,4.9693257000000000e+07
"EAST LYME          ",4.4000000000000000e+01,2.7842600000000002e+03,3.8275932000000000e+07
"EAST WINDSOR       ",4.5000000000000000e+01,1.3691300000000001e+03,2.0427951000000000e+07
"EASTFORD           ",4.6000000000000000e+01,2.3391999999999999e+02,3.6172990000000000e+06
"EASTON             ",4.7000000000000000e+01,1.5091199999999999e+03,2.3751072000000000e+07
"ELLINGTON          ",4.8000000000000000e+01,2.7663400000000001e+03,3.0305289000000000e+07
