TANF13%,TANF12%,MUNICIPALITY,numbered,2012 TANF RECIPIENTS,2013 TANF RECIPIENTS,SortID
4.6904315196998124e-04,1.4071294559099437e-03,"HARTLAND",6.6000000000000000e+01,3.0000000000000000e+00,1.0000000000000000e+00,151
4.0716612377850165e-04,2.7144408251900110e-04,"DURHAM",3.8000000000000000e+01,2.0000000000000000e+00,3.0000000000000000e+00,152
3.4808552958727002e-04,4.9726504226752855e-04,"NEW CANAAN",9.1000000000000000e+01,1.0000000000000000e+01,7.0000000000000000e+00,153
3.3886818027787193e-04,2.0332090816672314e-03,"KENT",6.9000000000000000e+01,6.0000000000000000e+00,1.0000000000000000e+00,154
3.2228608261266586e-04,3.2228608261266586e-04,"WILTON",1.6200000000000000e+02,6.0000000000000000e+00,6.0000000000000000e+00,155
2.8042624789680314e-04,2.8042624789680314e-04,"BETHLEHEM",1.0000000000000000e+01,1.0000000000000000e+00,1.0000000000000000e+00,156
2.7412280701754384e-04,2.7412280701754384e-04,"SHERMAN",1.2800000000000000e+02,1.0000000000000000e+00,1.0000000000000000e+00,157
2.1507688998817078e-04,4.3015377997634156e-04,"REDDING",1.1800000000000000e+02,4.0000000000000000e+00,2.0000000000000000e+00,158
1.3152702880441932e-04,1.3152702880441932e-04,"EASTON",4.7000000000000000e+01,1.0000000000000000e+00,1.0000000000000000e+00,159
1.1978438810141745e-04,2.7949690556997405e-04,"RIDGEFIELD",1.1900000000000000e+02,7.0000000000000000e+00,3.0000000000000000e+00,160
0.0000000000000000e+00,0.0000000000000000e+00,"BRIDGEWATER",1.6000000000000000e+01,0.0000000000000000e+00,0.0000000000000000e+00,161
0.0000000000000000e+00,0.0000000000000000e+00,"COLEBROOK",2.9000000000000000e+01,0.0000000000000000e+00,0.0000000000000000e+00,162
0.0000000000000000e+00,0.0000000000000000e+00,"CORNWALL",3.1000000000000000e+01,0.0000000000000000e+00,0.0000000000000000e+00,163
0.0000000000000000e+00,5.7803468208092489e-04,"EASTFORD",4.6000000000000000e+01,1.0000000000000000e+00,0.0000000000000000e+00,164
0.0000000000000000e+00,1.2484394506866417e-03,"LYME",7.6000000000000000e+01,3.0000000000000000e+00,0.0000000000000000e+00,165
0.0000000000000000e+00,3.5608308605341245e-03,"NORFOLK",9.9000000000000000e+01,6.0000000000000000e+00,0.0000000000000000e+00,166
0.0000000000000000e+00,0.0000000000000000e+00,"ROXBURY",1.2100000000000000e+02,0.0000000000000000e+00,0.0000000000000000e+00,167
0.0000000000000000e+00,1.1737089201877935e-03,"UNION",1.4600000000000000e+02,1.0000000000000000e+00,0.0000000000000000e+00,168
0.0000000000000000e+00,2.7643400138217000e-03,"WARREN",1.5000000000000000e+02,4.0000000000000000e+00,0.0000000000000000e+00,169
