MUNICIPALITY,NUMBERED,TOWN CODE,RESIDENTIAL,COMMERCIAL,INDUSTRIAL,PUBLIC UTILITY,APARTMENT,TOTAL REAL,REAL EXEMPTIONS,TOTAL NET REAL,TOTAL GROSS MV,MV EXEMPTIONS,TOTAL NET MV,TOTAL PERS PROP,PERS PROP EXEMPTIONS,TOTAL NET PERS PROP,TOTAL GROSS GRAND LIST,TOTAL NET GRAND LIST,OTHER
"ANDOVER",1.0000000000000000e+00,1.0000000000000000e+00,2.1467668800000000e+08,4.6964000000000000e+06,1.0683000000000000e+06,6.1680000000000000e+05,1.5360000000000000e+06,2.2936410800000000e+08,1.0125000000000000e+06,2.2835160800000000e+08,2.4721366000000000e+07,4.6048000000000000e+05,2.4260886000000000e+07,6.2607730000000000e+06,3.6699400000000000e+05,5.8937790000000000e+06,2.6034624700000000e+08,258506273.0000,6.7699200000000000e+06
"ANSONIA",2.0000000000000000e+00,2.0000000000000000e+00,9.0910860000000000e+08,1.0408600000000000e+08,2.0006500000000000e+07,3.3360000000000000e+05,1.6936400000000000e+07,1.0505953950000000e+09,6.7009360000000000e+06,1.0438944590000000e+09,9.0916888000000000e+07,1.0519080000000000e+06,8.9864980000000000e+07,4.4521036000000000e+07,3.7868300000000000e+06,4.0734206000000000e+07,1.1860333190000000e+09,1174493645.0000,1.2429500000000000e+05
"ASHFORD",3.0000000000000000e+00,3.0000000000000000e+00,2.2358100000000000e+08,1.2745100000000000e+07,0.0000000000000000e+00,0.0000000000000000e+00,9.2912000000000000e+06,2.5964455000000000e+08,5.9402500000000000e+05,2.5905052500000000e+08,2.9897442000000000e+07,9.9472200000000000e+05,2.8902720000000000e+07,7.5628770000000000e+06,5.8594200000000000e+05,6.9769350000000000e+06,2.9710486900000000e+08,294930180.0000,1.4027250000000000e+07
"AVON",4.0000000000000000e+00,4.0000000000000000e+00,2.1034324800000000e+09,2.4870078000000000e+08,2.8467040000000000e+07,3.4009000000000000e+05,3.7355920000000000e+07,2.4238044900000000e+09,4.9468600000000000e+06,2.4188576300000000e+09,1.7446525000000000e+08,8.2706000000000000e+05,1.7363819000000000e+08,9.0912010000000000e+07,1.5301040000000000e+07,7.5610970000000000e+07,2.6891817500000000e+09,2668106790.0000,5.5081800000000000e+06
"BARKHAMSTED",5.0000000000000000e+00,5.0000000000000000e+00,2.7885350000000000e+08,1.3118390000000000e+07,4.3317200000000000e+06,0.0000000000000000e+00,2.1320500000000000e+06,3.3383069000000000e+08,1.0687900000000000e+06,3.3276190000000000e+08,3.0788799000000000e+07,7.5325000000000000e+05,3.0035549000000000e+07,1.4710187000000000e+07,3.3656400000000000e+06,1.1344547000000000e+07,3.7932967600000000e+08,374141996.0000,3.5395030000000000e+07
"BEACON FALLS",6.0000000000000000e+00,6.0000000000000000e+00,3.5740982000000000e+08,1.4544290000000000e+07,3.0697430000000000e+07,3.1364000000000000e+05,0.0000000000000000e+00,4.1658601000000000e+08,4.0478580000000000e+06,4.1253815200000000e+08,4.1007660000000000e+07,3.6711000000000000e+05,4.0640550000000000e+07,2.0463570000000000e+07,2.1296380000000000e+06,1.8333932000000000e+07,4.7805724000000000e+08,471512634.0000,1.3620830000000000e+07
"BERLIN",7.0000000000000000e+00,7.0000000000000000e+00,1.5342242400000000e+09,2.8480818000000000e+08,1.3888260000000000e+08,3.4684000000000000e+06,0.0000000000000000e+00,2.0075324700000000e+09,1.1264068000000000e+07,1.9962684020000000e+09,1.9160127000000000e+08,1.1923310000000000e+07,1.7967796000000000e+08,2.3279946000000000e+08,5.7119040000000000e+07,1.7568042000000000e+08,2.4319332000000000e+09,2351626782.0000,4.6149050000000000e+07
"BETHANY",8.0000000000000000e+00,8.0000000000000000e+00,5.1701240000000000e+08,1.4671490000000000e+07,1.9591290000000000e+07,0.0000000000000000e+00,0.0000000000000000e+00,5.5856017000000000e+08,4.9289900000000000e+06,5.5363118000000000e+08,4.5999669000000000e+07,3.2738700000000000e+05,4.5672282000000000e+07,2.3652578000000000e+07,3.4763900000000000e+06,2.0176188000000000e+07,6.2821241700000000e+08,619479650.0000,7.2849900000000000e+06
"BETHEL",9.0000000000000000e+00,9.0000000000000000e+00,1.6892889800000000e+09,2.2509659000000000e+08,8.8050310000000000e+07,0.0000000000000000e+00,2.0779840000000000e+07,2.0803417400000000e+09,7.1398400000000000e+06,2.0732019000000000e+09,1.3669379000000000e+08,4.3542000000000000e+05,1.3625837000000000e+08,1.5494964000000000e+08,2.3945240000000000e+07,1.3100440000000000e+08,2.3719851700000000e+09,2340464670.0000,5.7126020000000000e+07
"BETHLEHEM",1.0000000000000000e+01,1.0000000000000000e+01,3.3095680000000000e+08,2.2356600000000000e+07,3.1460000000000000e+06,0.0000000000000000e+00,0.0000000000000000e+00,3.6901690000000000e+08,2.9031400000000000e+06,3.6611376000000000e+08,3.2836080000000000e+07,1.5529000000000000e+05,3.2680790000000000e+07,8.2313320000000000e+06,1.4277370000000000e+06,6.8035950000000000e+06,4.1008431200000000e+08,405598145.0000,1.2557500000000000e+07
