Municipality,Millrate FY 2013-14
"ANDOVER",3.0770000000000000e+01
"ANSONIA",3.9340000000000003e+01
"ASHFORD",3.1649999999999999e+01
"AVON",2.6320000000000000e+01
"BARKHAMSTED",2.4260000000000002e+01
"BEACON FALLS",3.1899999999999999e+01
"BERLIN",2.8770000000000000e+01
"BETHANY",2.9600000000000001e+01
"BETHEL",3.1500000000000000e+01
"BETHLEHEM",2.0500000000000000e+01
"BLOOMFIELD",3.4850000000000001e+01
"BOLTON",3.0960000000000001e+01
"BOZRAH",2.6250000000000000e+01
"BRANFORD",2.5590000000000000e+01
"BRIDGEPORT",4.1854999999999997e+01
"BRIDGEWATER",1.7500000000000000e+01
"BRISTOL",3.3500000000000000e+01
"BROOKFIELD",2.5399999999999999e+01
"BROOKLYN",2.3190000000000001e+01
"BURLINGTON",2.7500000000000000e+01
"CANAAN",2.1500000000000000e+01
"CANTERBURY",2.1699999999999999e+01
"CANTON",2.6910000000000000e+01
"CHAPLIN",3.0149999999999999e+01
"CHESHIRE",2.7600000000000001e+01
"CHESTER",2.1949999999999999e+01
"CLINTON",2.5430000000000000e+01
"COLCHESTER",3.0280000000000001e+01
"COLEBROOK",2.7100000000000001e+01
"COLUMBIA",2.7129999999999999e+01
"CORNWALL",1.4500000000000000e+01
"COVENTRY",2.7969999999999999e+01
"CROMWELL",3.0750000000000000e+01
"DANBURY",2.6800000000000001e+01
"DARIEN",1.3170000000000000e+01
"DEEP RIVER",2.5079999999999998e+01
"DERBY",3.5340000000000003e+01
"DURHAM",3.2659999999999997e+01
"EAST GRANBY",2.8199999999999999e+01
"EAST HADDAM",2.6010000000000002e+01
"EAST HAMPTON",2.6629999999999999e+01
"EAST HARTFORD",4.3899999999999999e+01
"EAST HAVEN",3.0949999999999999e+01
"EAST LYME",2.3349000000000000e+01
"EAST WINDSOR",2.9779100000000000e+01
"EASTFORD",2.1500000000000000e+01
"EASTON",2.9300000000000001e+01
"ELLINGTON",2.8399999999999999e+01
"ENFIELD",2.9260000000000002e+01
"ESSEX",1.8989999999999998e+01
"FAIRFIELD",2.3930000000000000e+01
"FARMINGTON",2.4070000000000000e+01
"FRANKLIN",2.1539999999999999e+01
"GLASTONBURY",3.5100000000000001e+01
"GOSHEN",1.9199999999999999e+01
"GRANBY",3.4829999999999998e+01
"GREENWICH",1.0675000000000001e+01
"GRISWOLD",2.6030000000000001e+01
"GROTON",2.0719999999999999e+01
"GROTON (City of)",4.5949999999999998e+00
"GUILFORD",2.3059999999999999e+01
"HADDAM",2.9480000000000000e+01
"HAMDEN",3.8940500000000000e+01
"HAMPTON",2.4800000000000001e+01
"HARTFORD",7.4290000000000006e+01
"HARTLAND",2.4500000000000000e+01
"HARWINTON",2.4600000000000001e+01
"HEBRON",3.4700000000000003e+01
"KENT",1.4449999999999999e+01
"KILLINGLY",2.0699999999999999e+01
"KILLINGWORTH",2.4530000000000001e+01
"LEBANON",2.3899999999999999e+01
"LEDYARD",2.8199999999999999e+01
"LISBON",1.9399999999999999e+01
"LITCHFIELD",2.2600000000000001e+01
"LYME",1.4000000000000000e+01
"MADISON",2.0390000000000001e+01
"MANCHESTER",3.7439999999999998e+01
"MANSFIELD",2.7949999999999999e+01
"MARLBOROUGH",3.0760000000000002e+01
"MERIDEN",3.4990000000000002e+01
"MIDDLEBURY",2.8859999999999999e+01
"MIDDLEFIELD",3.3240000000000002e+01
"MIDDLETOWN",2.7699999999999999e+01
"MILFORD",2.6280000000000001e+01
"MONROE",3.0410000000000000e+01
"MONTVILLE",2.9059999999999999e+01
"MORRIS",2.1649999999999999e+01
"NAUGATUCK",4.4799999999999997e+01
"NEW BRITAIN",4.4119999999999997e+01
"NEW CANAAN",1.4586000000000000e+01
"NEW FAIRFIELD",2.5640000000000001e+01
"NEW HARTFORD",2.4949999999999999e+01
"NEW HAVEN",4.0799999999999997e+01
"NEW LONDON",2.7500000000000000e+01
"NEW MILFORD",2.5850000000000001e+01
"NEWINGTON",3.3630000000000003e+01
"NEWTOWN",3.3320000000000000e+01
"NORFOLK",2.0219999999999999e+01
"NORTH BRANFORD",2.9100000000000001e+01
"NORTH CANAAN",2.5500000000000000e+01
